Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		226  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.258463	5.14823	0.0827533	1.77383	0.345786	7.76571	0.511268	10.6087	0.615291	12.3573	0.874433	17.4138	0.276412	6.17607	0.476278	10.3695	0.73853	14.9514
0.262794	5.13913	0.084861	1.78339	0.348238	7.66048	0.511616	10.5692	0.617268	12.1693	0.875745	17.1222	0.280533	6.14031	0.477327	10.291	0.739992	14.7037
0.267086	5.12961	0.0869689	1.79259	0.350722	7.56018	0.51212	10.5131	0.619273	11.9886	0.877078	16.8415	0.284669	6.10633	0.478665	10.194	0.741477	14.4654
0.271338	5.11965	0.089077	1.80145	0.353239	7.46452	0.512674	10.4531	0.621305	11.8149	0.878432	16.5711	0.288821	6.074	0.480299	10.0802	0.742986	14.2361
0.275546	5.10923	0.091185	1.80998	0.355789	7.37324	0.513436	10.3729	0.623365	11.6477	0.879809	16.3104	0.292988	6.04321	0.482238	9.95136	0.744518	14.0152
0.279709	5.09834	0.093293	1.81819	0.358371	7.28608	0.514414	10.2739	0.625451	11.4867	0.881207	16.0589	0.297167	6.01386	0.484492	9.80927	0.746073	13.8024
0.283824	5.08697	0.0954009	1.82612	0.360988	7.20283	0.515621	10.1576	0.627564	11.3316	0.882626	15.8162	0.30136	5.98584	0.486776	9.67305	0.747651	13.5973
0.287889	5.07509	0.0975084	1.83376	0.363638	7.12329	0.517068	10.0257	0.629427	11.201	0.884066	15.5819	0.305564	5.95907	0.48909	9.54236	0.749251	13.3993
0.291903	5.06269	0.0996158	1.84113	0.366323	7.04728	0.518771	9.88028	0.631031	11.0929	0.885527	15.3555	0.309779	5.93346	0.491434	9.41691	0.750874	13.2083
0.295862	5.04975	0.101723	1.84824	0.369045	6.97461	0.52052	9.74075	0.632368	11.0057	0.887009	15.1366	0.314005	5.90895	0.493806	9.2964	0.75252	13.0238
0.299765	5.03627	0.10383	1.85512	0.371802	6.90514	0.522316	9.60685	0.633432	10.9381	0.888512	14.925	0.31824	5.88546	0.496207	9.18057	0.754188	12.8455
0.303608	5.02224	0.105936	1.86176	0.374598	6.83873	0.524158	9.47832	0.634218	10.8891	0.890035	14.7202	0.322485	5.86293	0.498636	9.06918	0.755877	12.6732
0.307392	5.00764	0.108042	1.86818	0.377432	6.77523	0.526048	9.35488	0.634723	10.858	0.89158	14.522	0.326737	5.8413	0.501092	8.96199	0.757589	12.5065
0.311112	4.99247	0.110147	1.87439	0.380306	6.71452	0.527985	9.23629	0.635451	10.8139	0.893144	14.33	0.330997	5.82051	0.503576	8.85879	0.759322	12.3452
