Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.69457	2.65403	0.695671	2.65393	0.667765	5.75661	0.900935	7.77503	0.439136	3.80602	0.672327	5.79871
0.691991	2.65428	0.693092	2.65418	0.669469	5.72217	0.901717	7.71545	0.441381	3.79273	0.673095	5.75589
0.689413	2.65453	0.690513	2.65442	0.671167	5.68825	0.90251	7.65699	0.443618	3.77961	0.673881	5.71394
0.686835	2.65479	0.687935	2.65468	0.672859	5.65486	0.903316	7.5996	0.445847	3.76663	0.674684	5.67284
0.684257	2.65504	0.685357	2.65493	0.674545	5.62196	0.904135	7.54328	0.448068	3.75381	0.675506	5.63258
0.681679	2.65531	0.682779	2.65519	0.676224	5.58956	0.904965	7.48799	0.450281	3.74113	0.676345	5.59312
0.679102	2.65557	0.680202	2.65546	0.677897	5.55763	0.905809	7.4337	0.452485	3.72858	0.677202	5.55446
0.676525	2.65584	0.677625	2.65572	0.679564	5.52617	0.906665	7.3804	0.45468	3.71617	0.678078	5.51658
0.673949	2.65611	0.675049	2.65599	0.681224	5.49516	0.907534	7.32806	0.456866	3.70389	0.678972	5.47945
0.671373	2.65638	0.672473	2.65627	0.682877	5.46459	0.908415	7.27665	0.459044	3.69173	0.679885	5.44307
0.668798	2.65666	0.669897	2.65654	0.684524	5.43445	0.90931	7.22616	0.461212	3.6797	0.680817	5.40741
0.666223	2.65695	0.667322	2.65683	0.686163	5.40473	0.910217	7.17657	0.463371	3.66777	0.681768	5.37246
0.663648	2.65724	0.664747	2.65711	0.687796	5.37542	0.911138	7.12785	0.46552	3.65596	0.682737	5.3382
0.661075	2.65753	0.662173	2.6574	0.689422	5.34651	0.912071	7.07999	0.46766	3.64426	0.683727	5.30462
0.658501	2.65783	0.6596	2.6577	0.69104	5.31798	0.913018	7.03296	0.469791	3.63267	0.684735	5.27171
0.655929	2.65813	0.657027	2.658	0.692652	5.28984	0.913978	6.98675	0.471911	3.62117	0.685763	5.23945
0.653357	2.65844	0.654455	2.65831	0.694256	5.26206	0.914952	6.94134	0.474021	3.60978	0.686811	5.20782
0.650785	2.65875	0.651883	2.65862	0.695853	5.23465	0.915938	6.89671	0.476121	3.59848	0.687878	5.17681
0.648215	2.65907	0.649312	2.65893	0.697442	5.20758	0.916938	6.85285	0.478211	3.58727	0.688965	5.14642
0.645645	2.65939	0.646742	2.65925	0.699024	5.18087	0.917951	6.80973	0.480291	3.57615	0.690072	5.11662
0.643076	2.65972	0.644173	2.65958	0.700598	5.15448	0.918978	6.76734	0.48236	3.56512	0.691199	5.0874
0.640508	2.66006	0.641604	2.65991	0.702165	5.12843	0.920018	6.72567	0.484419	3.55417	0.692346	5.05876
0.63794	2.6604	0.639036	2.66025	0.703724	5.1027	0.921072	6.6847	0.486467	3.5433	0.693513	5.03068
