Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
390  Points		390  Points		367  Points		200  Points		401  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.78742	2.58543	0.788519	2.58526	0.603639	1.83045	0.880038	0.41171	0.35487	2.39216	0.654624	0.270474
0.784844	2.58592	0.785944	2.58573	0.605462	1.82998	0.880453	0.419871	0.357253	2.3928	0.654898	0.280475
0.782268	2.58637	0.783368	2.58614	0.607284	1.82931	0.880875	0.428198	0.359637	2.39307	0.655183	0.290632
0.779692	2.58674	0.780792	2.58662	0.609106	1.8285	0.881305	0.436651	0.36202	2.39312	0.655477	0.300997
0.777115	2.58715	0.778215	2.58698	0.610927	1.82753	0.881745	0.445167	0.364404	2.39289	0.655782	0.311595
0.774538	2.58754	0.775639	2.58734	0.612746	1.8264	0.882192	0.453802	0.366787	2.39242	0.656098	0.322398
0.771961	2.58787	0.773061	2.58772	0.614565	1.8251	0.882649	0.462582	0.36917	2.39163	0.656424	0.333475
0.769383	2.58819	0.770484	2.58805	0.616382	1.82358	0.883114	0.471435	0.371551	2.39058	0.656762	0.34469
0.766805	2.58847	0.767906	2.58837	0.618198	1.82191	0.883588	0.480412	0.373932	2.38927	0.657111	0.356104
0.764227	2.58879	0.765327	2.58865	0.620011	1.82012	0.884071	0.489536	0.376311	2.38767	0.657472	0.367791
0.761648	2.58908	0.762749	2.58896	0.621823	1.81814	0.884563	0.498735	0.378688	2.38591	0.657844	0.379657
0.759069	2.58931	0.76017	2.58923	0.623633	1.81599	0.885064	0.508057	0.381064	2.38387	0.658228	0.3917
0.75649	2.58951	0.757591	2.58942	0.625441	1.81374	0.885575	0.517485	0.383437	2.3815	0.658624	0.404004
0.753911	2.58974	0.755012	2.58963	0.627246	1.81127	0.886095	0.527051	0.385808	2.37893	0.659033	0.416526
0.751331	2.58993	0.752432	2.58988	0.629049	1.80861	0.886625	0.536731	0.388176	2.37617	0.659454	0.429243
0.748751	2.59006	0.749853	2.59003	0.630849	1.80584	0.887164	0.546511	0.390541	2.3731	0.659888	0.442188
0.746172	2.59024	0.747273	2.59015	0.632646	1.80295	0.887714	0.55647	0.392903	2.36979	0.660335	0.455333
0.743592	2.59041	0.744693	2.59031	0.634441	1.79985	0.888273	0.566476	0.395262	2.36631	0.660795	0.468709
0.741011	2.5905	0.742113	2.59046	0.636232	1.79661	0.888842	0.576592	0.397617	2.36258	0.661268	0.482329
0.738431	2.59059	0.739533	2.59058	0.63802	1.79322	0.889421	0.58685	0.399968	2.35859	0.661756	0.496116
0.735851	2.59068	0.736952	2.59065	0.639804	1.78966	0.890011	0.597222	0.402315	2.35435	0.662257	0.510072
0.73327	2.5907	0.734372	2.5907	0.641585	1.78597	0.890611	0.607738	0.404658	2.34988	0.662772	0.524286
0.73069	2.59072	0.731792	2.59071	0.643362	1.78213	0.891222	0.618325	0.406997	2.34527	0.663301	0.53876
0.72811	2.59077	0.729211	2.59073	0.645135	1.77813	0.891843	0.629035	0.40933	2.3404	0.663845	0.553406
0.725529	2.59079	0.726631	2.59078	0.646904	1.77401	0.892475	0.639893	0.411659	2.33529	0.664403	0.568225
0.722949	2.59073	0.72405	2.59078	0.648669	1.76974	0.893118	0.650825	0.413982	2.32995	0.664977	0.583305
0.720368	2.59071	0.72147	2.59071	0.650429	1.76527	0.893771	0.661881	0.4163	2.32438	0.665565	0.5986
0.717788	2.59066	0.718889	2.59064	0.652185	1.76069	0.894436	0.673085	0.418612	2.31865	0.666169	0.614091
0.715208	2.59056	0.716309	2.5906	0.653937	1.75602	0.895112	0.68432	0.420919	2.31271	0.666789	0.629809
0.712627	2.59045	0.713729	2.59052	0.655683	1.75117	0.895799	0.695701	0.423219	2.30653	0.667424	0.645685
0.710047	2.59032	0.711149	2.59043	0.657425	1.74619	0.896498	0.70724	0.425514	2.30015	0.668075	0.661768
0.707467	2.59023	0.708569	2.59027	0.659162	1.7411	0.897208	0.71886	0.427802	2.29354	0.668742	0.678086
0.704887	2.59005	0.705989	2.5901	0.660893	1.73582	0.89793	0.730563	0.430083	2.28676	0.669426	0.694565
0.702308	2.58986	0.703409	2.58996	0.66262	1.73041	0.898663	0.742351	0.432357	2.27978	0.670126	0.711297
0.699728	2.58966	0.700829	2.58975	0.66434	1.72489	0.899409	0.754311	0.434624	2.27261	0.670843	0.728199
0.697149	2.58943	0.69825	2.5895	0.666056	1.71927	0.900166	0.766357	0.436884	2.26525	0.671576	0.745273
0.69457	2.58922	0.695671	2.58928	0.667765	1.71355	0.900935	0.778446	0.439136	2.25763	0.672327	0.762563
0.691991	2.5889	0.693092	2.58908	0.669469	1.70766	0.901717	0.790644	0.441381	2.24987	0.673095	0.780047
0.689413	2.5886	0.690513	2.58877	0.671167	1.70164	0.90251	0.802939	0.443618	2.24197	0.673881	0.797672
0.686835	2.58835	0.687935	2.58842	0.672859	1.69551	0.903316	0.81537	0.445847	2.23385	0.674684	0.815497
0.684257	2.58801	0.685357	2.58815	0.674545	1.68928	0.904135	0.827911	0.448068	2.22555	0.675506	0.833509
0.681679	2.58761	0.682779	2.58778	0.676224	1.68296	0.904965	0.840465	0.450281	2.21702	0.676345	0.851702
0.679102	2.58724	0.680202	2.58738	0.677897	1.67651	0.905809	0.853112	0.452485	2.20838	0.677202	0.87007
0.676525	2.58684	0.677625	2.58703	0.679564	1.66995	0.906665	0.865891	0.45468	2.1996	0.678078	0.888528
0.673949	2.58639	0.675049	2.58657	0.681224	1.66329	0.907534	0.878694	0.456866	2.19066	0.678972	0.907202
0.671373	2.58592	0.672473	2.5861	0.682877	1.65653	0.908415	0.891595	0.459044	2.18151	0.679885	0.926029
0.668798	2.58541	0.669897	2.58567	0.684524	1.64969	0.90931	0.904631	0.461212	2.17221	0.680817	0.944975
0.666223	2.58493	0.667322	2.58517	0.686163	1.6428	0.910217	0.917649	0.463371	2.16279	0.681768	0.964111
0.663648	2.58438	0.664747	2.58459	0.687796	1.63576	0.911138	0.930745	0.46552	2.15323	0.682737	0.983385
