Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
416  Points		416  Points		380  Points		231  Points		400  Points		360  Points		240  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.828178	2.54561	0.828161	2.54563	0.553474	7.017	0.852814	10.1819	0.346724	4.40097	0.899787	3.34005	0.837959	9.98927
0.826336	2.54775	0.826319	2.54777	0.555301	6.95237	0.852794	10.062	0.348885	4.37312	0.898444	3.34744	0.83944	9.8895
0.824493	2.5499	0.824475	2.54992	0.557123	6.88927	0.852785	9.94503	0.351041	4.34588	0.897089	3.35484	0.840917	9.792
0.822647	2.55205	0.822629	2.55207	0.558941	6.82766	0.852788	9.83087	0.35319	4.31924	0.895723	3.36226	0.842391	9.6967
0.820799	2.55421	0.820781	2.55423	0.560753	6.76746	0.852803	9.71945	0.355334	4.29316	0.894345	3.36969	0.843861	9.60351
0.818948	2.55637	0.81893	2.55639	0.562561	6.70864	0.85283	9.61066	0.357471	4.26762	0.892955	3.37712	0.845327	9.51237
0.817094	2.55854	0.817076	2.55856	0.564364	6.65114	0.85287	9.50443	0.3596	4.24259	0.891553	3.38457	0.846788	9.4232
0.815235	2.5607	0.815218	2.56073	0.566161	6.5949	0.852923	9.40068	0.361722	4.21806	0.890138	3.39202	0.848245	9.33594
0.813373	2.56287	0.813355	2.56289	0.567952	6.53989	0.852989	9.29932	0.363836	4.194	0.88871	3.39948	0.849698	9.25052
0.811505	2.56504	0.811488	2.56506	0.569737	6.48606	0.853058	9.21289	0.365942	4.17039	0.887269	3.40695	0.850959	9.17753
0.809633	2.5672	0.809615	2.56722	0.571516	6.43336	0.853124	9.14056	0.368039	4.14722	0.885814	3.41442	0.852032	9.11635
0.807754	2.56936	0.807736	2.56938	0.573289	6.38176	0.853185	9.08168	0.370127	4.12445	0.884345	3.4219	0.852916	9.06646
0.805869	2.57151	0.805851	2.57153	0.575055	6.33122	0.853237	9.0357	0.372205	4.10208	0.882863	3.42938	0.853614	9.02745
0.803977	2.57365	0.803959	2.57367	0.576813	6.2817	0.853277	9.00222	0.374273	4.08009	0.881366	3.43686	0.854127	8.99902
0.802078	2.57579	0.80206	2.57581	0.578565	6.23316	0.853304	8.98093	0.376331	4.05846	0.879854	3.44435	0.854454	8.98093
0.800171	2.57791	0.800153	2.57793	0.580309	6.18558	0.853344	8.95052	0.378379	4.03717	0.878328	3.45183	0.854924	8.95507
0.798256	2.58002	0.798238	2.58004	0.582045	6.13891	0.853389	8.91771	0.380415	4.01622	0.876787	3.45931	0.855435	8.92715
0.796332	2.58211	0.796313	2.58213	0.583774	6.09313	0.853453	8.87352	0.38244	3.99558	0.87523	3.4668	0.856128	8.8895
0.794398	2.58419	0.794379	2.58421	0.585494	6.04821	0.853539	8.81832	0.384454	3.97525	0.873659	3.47428	0.857002	8.84241
0.792455	2.58624	0.792436	2.58626	0.587206	6.00411	0.85365	8.75257	0.386455	3.95521	0.872072	3.48176	0.858056	8.78621
0.790501	2.58828	0.790482	2.5883	0.588909	5.96082	0.853791	8.6768	0.388444	3.93545	0.870469	3.48923	0.859289	8.72131
0.788537	2.5903	0.788518	2.59032	0.590603	5.91831	0.853968	8.59162	0.390421	3.91596	0.86885	3.49671	0.860697	8.64818
0.786561	2.59229	0.786542	2.59231	0.592289	5.87654	0.85416	8.50829	0.392384	3.89672	0.867216	3.50418	0.862098	8.57643
0.784574	2.59426	0.784555	2.59428	0.593965	5.8355	0.854367	8.42676	0.394334	3.87773	0.865566	3.51164	0.863492	8.50601
0.782575	2.5962	0.782556	2.59622	0.595631	5.79517	0.854591	8.34696	0.396271	3.85898	0.863899	3.5191	0.86488	8.4369
0.780564	2.59811	0.780545	2.59813	0.597288	5.75552	0.854831	8.26886	0.398193	3.84045	0.862217	3.52656	0.866259	8.36904
0.778541	2.6	0.778522	2.60001	0.598936	5.71652	0.855087	8.19241	0.400102	3.82214	0.860518	3.53401	0.867632	8.30241
0.776505	2.60185	0.776485	2.60187	0.600572	5.67817	0.85536	8.11756	0.401996	3.80404	0.858804	3.54145	0.868996	8.23696
0.774456	2.60368	0.774436	2.60369	0.602199	5.64043	0.85565	8.04428	0.403876	3.78615	0.857073	3.54889	0.870353	8.17266
0.772393	2.60547	0.772374	2.60548	0.603815	5.60329	0.855957	7.97251	0.405741	3.76844	0.855326	3.55632	0.871701	8.10948
