Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		477  Points		243  Points		128  Points		400  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.301727	1.52491	0.0933971	2.25331	0.291959	2.02789	0.454079	7.3772	0.531898	6.65275	0.422287	6.3105	0.557126	4.56864
0.303121	1.47188	0.0954961	2.25246	0.293793	1.91669	0.460969	7.40874	0.538124	6.71154	0.428132	6.23285	0.561406	4.62113
0.304469	1.42516	0.0975943	2.25167	0.29553	1.81814	0.467884	7.43227	0.544404	6.76864	0.433901	6.15006	0.565737	4.6752
0.305777	1.38401	0.0996918	2.25091	0.297181	1.73089	0.474818	7.44843	0.550737	6.82408	0.439592	6.0622	0.570118	4.73105
0.307048	1.34778	0.101789	2.25016	0.298756	1.65382	0.481763	7.45781	0.55712	6.878	0.445198	5.9693	0.574553	4.78892
0.308288	1.3159	0.103885	2.24946	0.300263	1.5857	0.488715	7.46098	0.563553	6.93046	0.450715	5.87154	0.579042	4.84877
0.3095	1.28795	0.10598	2.24882	0.30171	1.52553	0.495666	7.45839	0.570035	6.98154	0.456139	5.76905	0.583588	4.91061
0.310688	1.26348	0.108075	2.24817	0.303105	1.47249	0.502613	7.45042	0.576563	7.03133	0.461465	5.66205	0.588192	4.97452
0.311855	1.24207	0.110169	2.24751	0.304454	1.42567	0.509549	7.43748	0.583137	7.07988	0.466689	5.55097	0.592857	5.04047
0.313003	1.22349	0.112263	2.24693	0.305762	1.38443	0.516471	7.41988	0.589755	7.12723	0.471156	5.45101	0.597585	5.10819
0.314135	1.20737	0.114356	2.24641	0.307034	1.34818	0.523375	7.3978	0.596417	7.17337	0.474899	5.36366	0.602376	5.17758
0.315253	1.19342	0.116449	2.24587	0.308274	1.31628	0.530256	7.37157	0.603122	7.21834	0.477948	5.29007	0.607232	5.24845
0.316358	1.18149	0.118541	2.24533	0.309487	1.28824	0.537111	7.34138	0.609868	7.26222	0.480329	5.23101	0.612156	5.32041
0.317454	1.17133	0.120633	2.24485	0.310675	1.26372	0.543936	7.30737	0.616654	7.30493	0.482062	5.18731	0.617146	5.39312
0.318541	1.1628	0.122724	2.24435	0.311841	1.24233	0.550728	7.26982	0.62348	7.34641	0.483164	5.1591	0.622205	5.46633
0.319621	1.15578	0.124815	2.24392	0.31299	1.2237	0.557483	7.22884	0.630344	7.38674	0.484737	5.11817	0.627332	5.53958
0.320695	1.15002	0.126906	2.24352	0.314122	1.20749	0.564198	7.18453	0.637244	7.42588	0.486432	5.07356	0.632528	5.6124
0.321764	1.14545	0.128996	2.2431	0.31524	1.19357	0.57087	7.13707	0.644181	7.46371	0.488715	5.0125	0.63779	5.68443
0.322829	1.14195	0.131085	2.24271	0.316346	1.18163	0.577497	7.08654	0.651152	7.5002	0.491561	4.93458	0.64312	5.75526
0.323892	1.13942	0.133175	2.24233	0.317441	1.17144	0.584075	7.03309	0.658157	7.53531	0.494944	4.83968	0.648515	5.82447
0.324952	1.13781	0.135264	2.24195	0.318529	1.16291	0.590602	6.97687	0.665193	7.56897	0.498828	4.72772	0.653973	5.89162
0.326012	1.13699	0.137352	2.24162	0.319608	1.15582	0.597076	6.9179	0.672261	7.60107	0.503173	4.59878	0.659493	5.95642
0.327071	1.13689	0.139441	2.24131	0.320682	1.15008	0.603493	6.85636	0.679357	7.63159	0.507397	4.46986	0.665072	6.01857
0.32813	1.13743	0.141529	2.24097	0.321751	1.14553	0.609852	6.79231	0.686481	7.66039	0.511502	4.34157	0.670708	6.07775
0.32919	1.13859	0.143617	2.24065	0.322817	1.142	0.61615	6.7258	0.693631	7.68737	0.515487	4.21436	0.676397	6.13371
0.330252	1.14031	0.145704	2.24038	0.323879	1.13944	0.622385	6.65702	0.700806	7.71249	0.519355	4.08868	0.682137	6.1863
0.331315	1.14251	0.147791	2.2401	0.32494	1.13782	0.628555	6.58603	0.708003	7.73562	0.523106	3.96509	0.687925	6.23537
0.332381	1.14516	0.149878	2.23982	0.326	1.13698	0.634657	6.5129	0.71522	7.75668	0.526743	3.84393	0.693756	6.28072
0.333449	1.14825	0.151965	2.23956	0.327059	1.13685	0.640691	6.43769	0.722457	7.77552	0.530269	3.72553	0.699628	6.32233
0.334521	1.15173	0.154051	2.23933	0.328118	1.13745	0.646653	6.36058	0.729709	7.79203	0.533685	3.61018	0.705537	6.36016
0.335595	1.15554	0.156138	2.2391	0.329178	1.13859	0.652543	6.28165	0.736976	7.80615	0.536996	3.49817	0.71148	6.39413
0.336674	1.15964	0.158224	2.23888	0.33024	1.14026	0.658358	6.20099	0.744255	7.81776	0.540204	3.38968	0.717452	6.42428
0.337756	1.16403	0.16031	2.23865	0.331303	1.14248	0.663364	6.12941	0.751544	7.8267	0.543312	3.28486	0.723451	6.4506
0.338843	1.16871	0.162395	2.23843	0.332369	1.14517	0.667585	6.06748	0.758839	7.83287	0.546325	3.18379	0.729472	6.47322
0.339934	1.17361	0.164481	2.23821	0.333437	1.14823	0.671043	6.01557	0.766139	7.83613	0.549245	3.08648	0.735513	6.49208
0.34103	1.17871	0.166566	2.23799	0.334508	1.15167	0.673756	5.97422	0.773441	7.83633	0.552076	2.99308	0.741569	6.50724
0.34213	1.18401	0.168651	2.23781	0.335583	1.15548	0.675739	5.94367	0.780742	7.83345	0.554822	2.90349	0.747638	6.51881
0.343236	1.18948	0.170736	2.23768	0.336661	1.15961	0.677002	5.92391	0.788038	7.82733	0.557486	2.81772	0.753716	6.52687
0.344347	1.19516	0.172821	2.23747	0.337744	1.16399	0.678811	5.89546	0.795327	7.81779	0.560073	2.73573	0.7598	6.53148
0.345463	1.20093	0.174905	2.23729	0.33883	1.16863	0.680768	5.86449	0.802605	7.80479	0.562584	2.65734	0.765887	6.53265
0.34644	1.20606	0.176989	2.23713	0.339921	1.17355	0.683412	5.82204	0.80987	7.78823	0.565024	2.58255	0.771973	6.5306
0.347276	1.21053	0.179074	2.23697	0.341017	1.17865	0.686729	5.76794	0.817118	7.76809	0.567396	2.51128	0.778056	6.52532
0.34797	1.21427	0.181158	2.23682	0.342118	1.18394	0.690698	5.70201	0.824345	7.74436	0.569704	2.44338	0.784133	6.51682
0.34852	1.21722	0.183242	2.23664	0.343223	1.18945	0.695296	5.62417	0.831549	7.71696	0.571949	2.37874	0.7902	6.50532
0.348926	1.21933	0.185326	2.23655	0.344334	1.19509	0.700495	5.53407	0.838725	7.68597	0.574136	2.3172	0.796255	6.4908
0.349186	1.22075	0.187409	2.23639	0.34545	1.20084	0.705608	5.44335	0.845871	7.65159	0.576267	2.25867	0.802294	6.47333
0.34956	1.22287	0.189493	2.23624	0.346572	1.20676	0.710638	5.35218	0.852983	7.6139	0.578345	2.20307	0.808317	6.45304
0.349967	1.22516	0.191576	2.23613	0.347699	1.21279	0.715582	5.26067	0.860058	7.57316	0.580372	2.15023	0.814319	6.42996
0.350522	1.22824	0.19366	2.236	0.348832	1.21892	0.72044	5.16895	0.867095	7.52968	0.582352	2.10004	0.820298	6.40418
0.351226	1.23204	0.195743	2.23586	0.34997	1.22518	0.725213	5.07725	0.874089	7.48375	0.584286	2.05238	0.826252	6.37575
0.35208	1.2368	0.197826	2.23572	0.351115	1.23145	0.729901	4.98569	0.88104	7.43584	0.586176	2.00713	0.831418	6.349
0.353087	1.24245	0.199909	2.23565	0.352265	1.23785	0.734504	4.89436	0.887945	7.38637	0.588026	1.96415	0.835805	6.32467
0.354248	1.24891	0.201992	2.23554	0.353421	1.2443	0.739021	4.80346	0.894803	7.33578	0.589836	1.92335	0.839418	6.30343
0.355414	1.25543	0.204075	2.23541	0.354583	1.25076	0.743454	4.71315	0.901614	7.28454	0.59161	1.88472	0.842267	6.28609
0.356587	1.26203	0.206157	2.23531	0.355752	1.25731	0.747804	4.62354	0.908377	7.23311	0.593348	1.84801	0.844357	6.27293
0.357766	1.26862	0.20824	2.23519	0.356926	1.26393	0.75207	4.53472	0.915092	7.1819	0.595053	1.81317	0.845692	6.26434
0.358951	1.27528	0.210322	2.23509	0.358107	1.27056	0.756254	4.44684	0.92176	7.13125	0.596727	1.78019	0.847607	6.25184
0.360142	1.28195	0.212405	2.235	0.359294	1.27722	0.760356	4.36001	0.928381	7.08144	0.59837	1.74887	0.849685	6.23786
0.36134	1.28861	0.214487	2.23489	0.360487	1.28387	0.764378	4.27434	0.934956	7.0328	0.599986	1.71918	0.852504	6.21835
0.362543	1.29535	0.216569	2.23483	0.361686	1.29057	0.768321	4.18994	0.941486	6.98546	0.601574	1.69105	0.856056	6.19298
0.363753	1.30205	0.218651	2.23473	0.362892	1.29725	0.772186	4.10683	0.947972	6.9395	0.603137	1.66434	0.860331	6.16116
0.36497	1.30874	0.220733	2.23464	0.364103	1.30396	0.775974	4.02511	0.954417	6.89497	0.604675	1.63905	0.865318	6.12238
0.366192	1.31545	0.222815	2.23456	0.365322	1.31073	0.779686	3.94484	0.96082	6.85182	0.606191	1.61509	0.871001	6.07604
0.367421	1.32221	0.224897	2.23444	0.366546	1.3174	0.783324	3.86611	0.967184	6.81006	0.607685	1.59234	0.87664	6.02771
0.368656	1.32889	0.226979	2.23439	0.367776	1.32411	0.78689	3.78895	0.97351	6.76953	0.609158	1.57083	0.882233	5.97748
0.369897	1.33556	0.229061	2.23432	0.369013	1.33083	0.790385	3.71334	0.978992	6.73515	0.610612	1.55047	0.887778	5.92544
0.371145	1.3423	0.231142	2.23425	0.370256	1.33753	0.793809	3.6394	0.983644	6.70646	0.612047	1.53118	0.893274	5.87174
0.372398	1.34897	0.233224	2.23418	0.371506	1.3442	0.797166	3.56712	0.987475	6.68303	0.613465	1.51289	0.89872	5.81647
0.373658	1.35556	0.235305	2.23407	0.372761	1.35084	0.800456	3.49648	0.990495	6.66475	0.614866	1.49558	0.904113	5.75968
0.374924	1.36219	0.237387	2.23398	0.374023	1.35749	0.803681	3.42751	0.992711	6.65152	0.616252	1.47919	0.909452	5.70148
0.376196	1.36883	0.239468	2.23397	0.375291	1.36411	0.806843	3.36021	0.994126	6.643	0.617622	1.46371	0.914737	5.64199
0.377475	1.37538	0.24155	2.2339	0.376565	1.37072	0.809943	3.29459	0.996158	6.63085	0.618979	1.44909	0.919965	5.58137
0.378759	1.38191	0.243631	2.23382	0.377845	1.37728	0.812982	3.23066	0.998362	6.61783	0.620323	1.43522	0.925137	5.51967
0.38005	1.38847	0.245712	2.23375	0.379131	1.38382	0.815963	3.1684	1.00135	6.6089	0.621654	1.42214	0.930251	5.457
0.381347	1.39498	0.247793	2.23367	0.380423	1.39035	0.818886	3.10776			0.622973	1.40977	0.935306	5.39355
0.382649	1.40142	0.249874	2.23363	0.381722	1.3968	0.821754	3.04873			0.624281	1.39809	0.940301	5.32938
0.383958	1.40786	0.251955	2.23358	0.383026	1.40325	0.824567	2.99134			0.625578	1.38706	0.945236	5.26459
0.385273	1.41426	0.254036	2.23352	0.384337	1.4097	0.827328	2.93555			0.626865	1.37667	0.950111	5.19934
0.386593	1.42058	0.256117	2.23345	0.385653	1.41611	0.830037	2.88132			0.628143	1.36689	0.954925	5.13369
0.38792	1.42689	0.258198	2.23338	0.386975	1.42242	0.832697	2.82861			0.629412	1.35765	0.959677	5.06772
0.389252	1.43319	0.260279	2.23334	0.388303	1.42873	0.835308	2.77739			0.630673	1.349	0.964368	5.00159
0.39059	1.43946	0.26236	2.23329	0.389638	1.43503	0.837872	2.72764			0.631926	1.34083	0.968997	4.93546
0.391934	1.44566	0.26444	2.23322	0.390977	1.44123	0.840391	2.67937			0.633171	1.33316	0.973565	4.86933
0.393284	1.45184	0.266521	2.23319	0.392323	1.44743	0.842865	2.63253			0.63441	1.32595	0.97807	4.80326
0.39464	1.45794	0.268602	2.23314	0.393675	1.45358	0.845296	2.58703			0.635642	1.3192	0.982515	4.73742
0.396001	1.46402	0.270682	2.23311	0.395032	1.45969	0.847686	2.54292			0.636868	1.31289	0.986898	4.67187
0.397368	1.47007	0.272763	2.23302	0.396395	1.46579	0.850035	2.50015			0.638089	1.30695	0.99122	4.60668
0.39874	1.47606	0.274843	2.23298	0.397763	1.4718	0.852344	2.45862			0.639304	1.30142	0.995482	4.54194
