Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
473  Points		492  Points		473  Points		211  Points		130  Points		120  Points		385  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.35119	4.4142	0.15677	2.06742	0.345929	4.60151	0.622554	8.34017	0.75179	9.45072	0.820041	10.2507	0.545112	7.30617	0.710373	9.0039
0.352306	4.37697	0.158857	2.06951	0.347051	4.55991	0.628687	8.31849	0.758866	9.42924	0.825345	10.1982	0.548831	7.2653	0.713163	8.98771
0.353423	4.3406	0.160943	2.07155	0.34817	4.5193	0.63477	8.29671	0.765937	9.40817	0.830713	10.1477	0.552456	7.22418	0.71522	8.97598
0.354541	4.30507	0.16303	2.07354	0.349288	4.47963	0.640804	8.2748	0.772998	9.38747	0.836146	10.0991	0.555987	7.18285	0.716538	8.96856
0.355659	4.27034	0.165116	2.07548	0.350405	4.44089	0.646786	8.25276	0.780046	9.36708	0.841649	10.0525	0.559428	7.14134	0.718435	8.95798
0.35678	4.2364	0.167202	2.07737	0.351521	4.40305	0.652714	8.23056	0.787077	9.34693	0.847223	10.0077	0.562779	7.09968	0.720501	8.94662
0.357902	4.20323	0.169287	2.07921	0.352638	4.36608	0.658588	8.20819	0.794088	9.32699	0.852872	9.96475	0.566044	7.05791	0.723316	8.93138
0.358882	4.17493	0.171373	2.08102	0.353755	4.32996	0.664406	8.18565	0.801074	9.3072	0.858599	9.92363	0.569224	7.01606	0.726885	8.91247
0.359719	4.15124	0.173459	2.08278	0.354873	4.29467	0.670166	8.16292	0.808033	9.28752	0.864406	9.88431	0.572323	6.97416	0.731213	8.89009
0.360412	4.13195	0.175544	2.08449	0.355992	4.26018	0.675868	8.13999	0.81496	9.26789	0.870295	9.84675	0.575342	6.93224	0.736306	8.86451
