Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym3		Asym4	
470  Points		492  Points		195  Points		132  Points		120  Points		371  Points		144  Points		116  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.315222	2.50752	0.0904219	2.25693	0.436911	6.39966	0.549513	6.00826	0.670461	4.04418	0.376458	6.59364	0.552775	4.53901	0.782087	3.07277
0.317503	2.39483	0.0925243	2.25604	0.439045	6.42929	0.555153	6.09535	0.674252	4.09418	0.38259	6.5688	0.557025	4.58504	0.784969	3.1152
0.319684	2.29102	0.0946258	2.25515	0.440416	6.44754	0.560871	6.1791	0.67809	4.14356	0.388698	6.54086	0.561319	4.63082	0.787892	3.15742
0.321772	2.19561	0.0967265	2.25431	0.442394	6.47288	0.566667	6.25964	0.681973	4.19239	0.394778	6.50989	0.565654	4.67653	0.790853	3.19939
0.323776	2.10806	0.0988265	2.25352	0.444552	6.4994	0.572536	6.33695	0.685902	4.24059	0.400829	6.47588	0.570033	4.72225	0.793853	3.24114
0.325701	2.02773	0.100926	2.25272	0.447502	6.5336	0.578475	6.41106	0.689875	4.28837	0.406846	6.43873	0.574454	4.76799	0.796892	3.28276
0.327554	1.95415	0.103024	2.25199	0.451253	6.57385	0.584482	6.48217	0.693893	4.33573	0.412826	6.39851	0.578917	4.8139	0.79997	3.32423
0.329342	1.88684	0.105122	2.25126	0.455819	6.61839	0.590554	6.55025	0.697954	4.3827	0.418768	6.35519	0.583424	4.86003	0.803087	3.36565
0.33107	1.82523	0.107219	2.25057	0.461213	6.66508	0.596688	6.61531	0.702059	4.4294	0.424669	6.30877	0.587974	4.90643	0.806242	3.40696
0.332743	1.76889	0.109316	2.24993	0.467446	6.71172	0.602881	6.67746	0.706208	4.47585	0.430524	6.25919	0.592567	4.95317	0.809435	3.44819
