Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
478  Points		494  Points		255  Points		144  Points		129  Points		401  Points		2  Points		163  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.301596	5.27776	0.103526	1.9641	0.439128	8.26091	0.564793	9.78565	0.67885	11.8695	0.39333	7.50614			0.560065	9.71246	0.778396	13.5275
0.30312	5.21934	0.105626	1.96913	0.441937	8.24356	0.570553	9.7284	0.682373	11.7399	0.398595	7.47374			0.564016	9.62544	0.780973	13.356
0.304605	5.16209	0.107725	1.97398	0.4455	8.22225	0.576359	9.67373	0.685935	11.615	0.403814	7.44159			0.568012	9.54193	0.783595	13.1907
0.306054	5.10602	0.109823	1.97865	0.449824	8.19734	0.582211	9.62148	0.689537	11.4946	0.408983	7.40963			0.572055	9.46176	0.786262	13.0312
0.30747	5.05113	0.111921	1.98315	0.454914	8.16922	0.588105	9.57152	0.693177	11.3786	0.4141	7.3778			0.576146	9.3848	0.788974	12.8773
0.308857	4.99743	0.114018	1.9875	0.460773	8.13829	0.594041	9.52372	0.696858	11.2667	0.419162	7.34605			0.580285	9.31091	0.791731	12.7287
0.310217	4.94489	0.116114	1.9917	0.466648	8.10862	0.600016	9.47794	0.700578	11.1588	0.424167	7.31432			0.584472	9.23997	0.794533	12.5853
0.311554	4.89352	0.11821	1.99575	0.472534	8.08007	0.606029	9.43408	0.704338	11.0546	0.429111	7.28257			0.588708	9.17183	0.79738	12.4467
0.312869	4.8433	0.120305	1.99967	0.478425	8.05252	0.612077	9.39201	0.708139	10.9541	0.433992	7.25077			0.592992	9.1064	0.800271	12.3127
0.314165	4.79422	0.1224	2.00346	0.484318	8.02585	0.618159	9.35164	0.71198	10.857	0.438808	7.21886			0.597326	9.04356	0.803207	12.1833
0.315444	4.74625	0.124494	2.00713	0.490209	7.99996	0.624273	9.31286	0.715862	10.7633	0.443557	7.18682			0.601708	8.98319	0.806187	12.0581
0.316707	4.69938	0.126588	2.01068	0.496095	7.97476	0.630416	9.27558	0.719786	10.6728	0.448235	7.15462			0.606139	8.9252	0.809211	11.9369
0.317957	4.6536	0.128681	2.01411	0.501972	7.95016	0.636586	9.23971	0.723753	10.5854	0.452842	7.12224			0.610619	8.86948	0.812278	11.8197
0.319195	4.60886	0.130773	2.01745	0.507837	7.92609	0.642782	9.20516	0.727764	10.5009	0.457376	7.08966			0.615146	8.81593	0.815389	11.7063
0.320422	4.56517	0.132865	2.02068	0.513688	7.90249	0.649001	9.17184	0.731818	10.4194	0.461834	7.05685			0.61913	8.77097	0.818542	11.5964
0.321639	4.52248	0.134957	2.02381	0.519521	7.87929	0.65524	9.13967	0.735918	10.3406	0.466216	7.0238			0.622554	8.73384	0.821738	11.4901
0.322849	4.48079	0.137048	2.02685	0.525334	7.85644	0.661498	9.10858	0.740065	10.2645	0.470519	6.99052			0.625405	8.70395	0.824975	11.387
0.324051	4.44006	0.139139	2.02981	0.531125	7.83389	0.667771	9.07849	0.74426	10.1909	0.474744	6.95699			0.627671	8.68082	0.828253	11.2871
0.325248	4.40028	0.141229	2.03267	0.536891	7.81159	0.674057	9.04932	0.748504	10.12	0.478889	6.9232			0.629344	8.66408	0.831572	11.1902
