Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
459  Points		495  Points		183  Points		149  Points		133  Points		99  Points		310  Points		162  Points		129  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.310508	4.51875	0.083435	2.26529	0.389848	4.33546	0.578444	3.35336	0.651161	3.35234	0.896578	2.24745	0.331195	5.85535	0.510608	3.56258	0.767136	2.57215
0.314664	4.40215	0.0855452	2.26447	0.393921	4.40902	0.580379	3.4072	0.654305	3.39778	0.898689	2.28322	0.336654	5.86254	0.512225	3.58438	0.76955	2.60983
0.318711	4.28512	0.0876546	2.26362	0.398064	4.48333	0.58193	3.44962	0.657492	3.44279	0.900833	2.31865	0.342119	5.86822	0.514284	3.61167	0.771999	2.64709
0.322649	4.16825	0.0897632	2.26279	0.402276	4.55821	0.583083	3.48051	0.66072	3.48748	0.90301	2.35385	0.347589	5.87242	0.516796	3.64423	0.774483	2.68397
0.326478	4.05199	0.0918711	2.26194	0.406557	4.63337	0.583827	3.50042	0.663991	3.5319	0.905219	2.38873	0.353062	5.8751	0.51977	3.68167	0.777	2.72038
0.330199	3.93681	0.0939781	2.26107	0.410909	4.70852	0.584903	3.52904	0.667302	3.57605	0.907461	2.42326	0.358536	5.87633	0.52322	3.72383	0.779552	2.75636
0.333814	3.8232	0.0960843	2.26024	0.415331	4.78334	0.586082	3.55977	0.670654	3.61997	0.909735	2.45752	0.364012	5.87618	0.526709	3.76512	0.782137	2.79192
0.337323	3.71154	0.0981898	2.25945	0.419823	4.85748	0.587703	3.60153	0.673609	3.65808	0.91204	2.49147	0.369486	5.87467	0.530236	3.80558	0.784754	2.82707
0.34073	3.60226	0.100295	2.25862	0.424383	4.93055	0.589779	3.65398	0.676152	3.69045	0.914377	2.5251	0.374958	5.8718	0.5338	3.84515	0.787405	2.86184
0.344036	3.4957	0.102398	2.2578	0.42901	5.00224	0.59233	3.71698	0.678271	3.7171	0.916745	2.55844	0.380427	5.86761	0.537401	3.88393	0.790087	2.89617
0.347244	3.39206	0.104502	2.25706	0.433704	5.07222	0.595377	3.79009	0.679958	3.73823	0.919145	2.59143	0.385892	5.86212	0.541037	3.92197	0.792801	2.93002
0.350357	3.29158	0.106604	2.25633	0.438462	5.14013	0.598947	3.8728	0.681205	3.75359	0.921574	2.62416	0.391351	5.8553	0.544709	3.95919	0.795547	2.96353
0.353377	3.1944	0.108706	2.25556	0.443282	5.20568	0.602594	3.95429	0.682005	3.7635	0.924034	2.65659	0.396803	5.84721	0.548415	3.99574	0.798323	2.99664
0.356309	3.10074	0.110807	2.25484	0.448162	5.26864	0.606316	4.03433	0.68316	3.77779	0.926525	2.68863	0.402246	5.83789	0.552154	4.03163	0.801131	3.02931
0.359155	3.01063	0.112908	2.25415	0.453099	5.32876	0.610111	4.11273	0.684419	3.79319	0.929044	2.72042	0.407681	5.82733	0.555927	4.06683	0.803968	3.06162
0.361919	2.92407	0.115008	2.25348	0.458091	5.38591	0.613979	4.1895	0.686141	3.81425	0.931594	2.75191	0.413105	5.81546	0.559732	4.10145	0.806836	3.09356
0.364604	2.84119	0.117107	2.25285	0.463135	5.43998	0.617918	4.26451	0.688331	3.84073	0.934172	2.78312	0.418517	5.80238	0.56357	4.1355	0.809733	3.12509
0.367213	2.76185	0.119206	2.25221	0.468228	5.49082	0.621926	4.33761	0.691	3.8728	0.93678	2.81396	0.423917	5.78805	0.567439	4.16897	0.812281	3.15221
0.36975	2.68602	0.121304	2.25159	0.473367	5.53839	0.626001	4.40873	0.69416	3.91041	0.939416	2.84451	0.429303	5.77249	0.571338	4.20192	0.814471	3.17518
0.372218	2.61368	0.123401	2.25103	0.478548	5.58276	0.630141	4.47776	0.697823	3.95359	0.94208	2.87478	0.434673	5.7557	0.575268	4.23441	0.816293	3.19399
0.374621	2.5448	0.125498	2.25045	0.48377	5.62388	0.634345	4.54468	0.701527	3.99687	0.944773	2.9047	0.440028	5.73768	0.579229	4.26643	0.817742	3.20875
