Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
471  Points		492  Points		205  Points		144  Points		128  Points		368  Points		159  Points		127  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.348672	1.59985	0.135741	2.24597	0.513163	6.16208	0.63171	6.04888	0.736828	4.51194	0.466232	5.33471	0.59506	4.55782	0.829207	3.3828
0.35015	1.57402	0.137833	2.2455	0.518906	6.16413	0.637365	6.08942	0.741056	4.56406	0.471177	5.27938	0.599325	4.59753	0.832374	3.41506
0.351605	1.55021	0.139925	2.24509	0.524649	6.16351	0.643057	6.12708	0.74478	4.61057	0.47607	5.22228	0.603627	4.63735	0.835571	3.44712
0.353039	1.52822	0.142016	2.2447	0.530391	6.1603	0.648782	6.16177	0.747985	4.65114	0.480908	5.16355	0.607966	4.67722	0.838797	3.47895
0.354453	1.50805	0.144108	2.24428	0.536128	6.15471	0.654538	6.19351	0.750657	4.6854	0.485691	5.10321	0.612342	4.71704	0.842053	3.51061
0.355849	1.48952	0.146198	2.24389	0.541859	6.1469	0.660323	6.22223	0.752783	4.71286	0.490417	5.04136	0.616756	4.7568	0.845339	3.54213
0.357228	1.47247	0.148289	2.24351	0.547582	6.13695	0.666133	6.2478	0.754355	4.73342	0.495085	4.97817	0.621206	4.79652	0.848654	3.57346
0.358593	1.45682	0.150379	2.24318	0.553295	6.12505	0.671965	6.2701	0.755364	4.74665	0.499694	4.91369	0.625694	4.83609	0.851998	3.60456
0.359943	1.44251	0.152469	2.24286	0.558996	6.1113	0.677816	6.28916	0.75682	4.76581	0.504241	4.84809	0.630218	4.87546	0.85537	3.63548
0.361109	1.431	0.154558	2.24252	0.564683	6.09578	0.683684	6.30492	0.75841	4.78699	0.508728	4.78141	0.634778	4.9146	0.858772	3.66619
0.362096	1.42189	0.156647	2.2422	0.570354	6.07858	0.689565	6.31716	0.760583	4.8161	0.513151	4.71387	0.639375	4.95332	0.862202	3.69671
0.362908	1.41488	0.158736	2.24194	0.576009	6.05983	0.695456	6.32588	0.76335	4.85369	0.517511	4.6456	0.644008	4.99165	0.86566	3.72706
0.363547	1.40946	0.160825	2.24162	0.581646	6.03958	0.701353	6.33104	0.766725	4.90021	0.521808	4.57668	0.648677	5.02953	0.869147	3.75721
0.364016	1.40585	0.162913	2.24131	0.587264	6.01785	0.707253	6.33249	0.770726	4.95624	0.526039	4.50731	0.65338	5.06677	0.872662	3.78712
0.364315	1.40354	0.165001	2.24105	0.59286	5.99475	0.713152	6.33024	0.775374	5.02265	0.530206	4.43759	0.658118	5.10334	0.875747	3.81301
0.364744	1.40018	0.167089	2.24081	0.598434	5.97038	0.719048	6.32425	0.780085	5.09137	0.534308	4.36764	0.66289	5.13913	0.878394	3.83498
