Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
402  Points		402  Points		403  Points		388  Points		385  Points		366  Points		356  Points		401  Points		396  Points		377  Points		362  Points		174  Points		133  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.02106	2.4033	2.03524	2.42437	2.0238	2.40317	2.00486	2.4779	1.00339	13.5362	1.38979	18.4822	2.07301	2.81952	0.447805	6.77753	0.678621	8.93264	1.06145	14.0517	2.01823	2.69566	1.72229	23.0161	1.99884	26.6983
2.01575	2.40359	2.02913	2.42376	2.01848	2.40344	1.99847	2.47708	1.00641	13.1671	1.38939	17.9268	2.07069	2.82523	0.449549	6.69044	0.683068	8.72614	1.06159	13.6371	2.01263	2.69649	1.72144	22.3167	2.00162	25.9362
2.01047	2.40391	2.02302	2.42314	2.01319	2.40374	1.99209	2.47625	1.00964	12.8222	1.38893	17.4028	2.06844	2.83107	0.451676	6.58322	0.687865	8.53582	1.06165	13.2452	2.00705	2.69735	1.72056	21.6574	2.00449	25.2194
2.00521	2.40425	2.01691	2.42253	2.00791	2.40407	1.98571	2.47542	1.01307	12.4995	1.38842	16.9076	2.06625	2.83703	0.454126	6.4576	0.693003	8.3602	1.06162	12.8743	2.0015	2.69826	1.71964	21.0349	2.00744	24.5439
1.99997	2.40462	2.01081	2.42191	2.00266	2.40443	1.97933	2.47458	1.0167	12.1971	1.38785	16.4388	2.06412	2.84311	0.456824	6.31539	0.698471	8.19797	1.06151	12.5225	1.99599	2.69922	1.71869	20.4461	2.01045	23.9064
1.99475	2.40502	2.00471	2.42129	1.99744	2.40481	1.97296	2.47375	1.02053	11.9132	1.38724	15.9943	2.06204	2.84931	0.459682	6.15846	0.704255	8.0479	1.06132	12.1884	1.9905	2.70023	1.71771	19.8885	2.01354	23.3037
1.98956	2.40545	1.99862	2.42068	1.99223	2.40523	1.96658	2.4729	1.02454	11.6463	1.38657	15.5724	2.06003	2.85563	0.462283	6.0076	0.710339	7.90889	1.06104	11.8707	1.98506	2.7013	1.7167	19.3596	2.01669	22.7331
1.98439	2.40591	1.99253	2.42007	1.98705	2.40567	1.9602	2.47206	1.02874	11.3952	1.38587	15.1713	2.05807	2.86206	0.46463	5.86231	0.716706	7.77991	1.0607	11.5682	1.97966	2.70243	1.71567	18.8573	2.0199	22.192
1.97924	2.40641	1.98645	2.41946	1.98189	2.40615	1.95382	2.47121	1.03311	11.1584	1.38512	14.7896	2.05616	2.86861	0.466726	5.72217	0.723338	7.66004	1.06028	11.2799	1.9743	2.70364	1.71462	18.3797	2.02317	21.6784
1.97412	2.40693	1.98037	2.41886	1.97676	2.40666	1.94745	2.47035	1.03765	10.9349	1.38435	14.4259	2.0543	2.87528	0.46858	5.58686	0.730215	7.54842	1.05981	11.0047	1.96899	2.70492	1.71356	17.925	2.02648	21.19
1.96902	2.40748	1.9743	2.41826	1.97164	2.40719	1.94108	2.4695	1.04235	10.7237	1.38354	14.079	2.05249	2.88205	0.470203	5.4561	0.737318	7.44428	1.05927	10.7418	1.96374	2.70628	1.71249	17.4916	2.02984	20.725
1.96395	2.40807	1.96824	2.41767	1.96656	2.40777	1.93471	2.46864	1.0472	10.5237	1.38271	13.7477	2.05073	2.88894	0.471608	5.3297	0.743677	7.35908	1.05869	10.4904	1.95855	2.70773	1.71142	17.0782	2.03324	20.2819
1.9589	2.4087	1.96219	2.41708	1.96149	2.40837	1.92833	2.46777	1.05218	10.3342	1.38187	13.4312	2.04901	2.89594	0.472809	5.20748	0.749211	7.29019	1.05807	10.2498	1.95342	2.70929	1.71035	16.6834	2.03666	19.859
1.95387	2.40935	1.95614	2.4165	1.95646	2.40901	1.92197	2.46691	1.0573	10.1543	1.38101	13.1285	2.04734	2.90304	0.473822	5.08931	0.75386	7.23564	1.05741	10.0195	1.94836	2.71094	1.70929	16.306	2.04012	19.455
1.94887	2.41004	1.9501	2.41593	1.95144	2.40968	1.9156	2.46604	1.06252	9.98328	1.38016	12.8388	2.04572	2.91026	0.474665	4.97505	0.75758	7.19396	1.05672	9.7988	1.94338	2.71272	1.70825	15.9451	2.04359	19.0686
1.94389	2.41077	1.94408	2.41537	1.94645	2.41039	1.90923	2.46517	1.06785	9.82046	1.37931	12.5613	2.04414	2.91759	0.475353	4.86462	0.760338	7.16409	1.05603	9.58722	1.93847	2.71462	1.70723	15.5996	2.04708	18.6985
