Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		391  Points		388  Points		383  Points		370  Points		362  Points		155  Points		391  Points		380  Points		367  Points		338  Points		161  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.99053	2.6076	0.509624	2.0716	1.98757	2.60583	0.799484	1.57415	1.15943	-0.096495	1.49186	1.58474	1.91429	-0.918602	0.482014	2.46214	0.779831	0.677633	1.13812	1.50998	1.53765	-0.561098	1.85186	1.7103
1.98451	2.60394	0.514297	1.97598	1.98157	2.60208	0.803064	1.52732	1.15931	-0.0107113	1.49548	1.55762	1.91223	-0.861863	0.487633	2.40381	0.781317	0.801981	1.14157	1.47845	1.53643	-0.49423	1.85578	1.68422
1.97851	2.60013	0.518743	1.87541	1.97557	2.59824	0.806532	1.47666	1.15938	0.0780365	1.49905	1.52819	1.91031	-0.803244	0.493107	2.33736	0.782784	0.910874	1.14494	1.4441	1.53537	-0.425095	1.85963	1.6561
1.97252	2.59624	0.522952	1.77089	1.96958	2.5943	0.809455	1.42957	1.15967	0.169473	1.50254	1.49652	1.90853	-0.742841	0.498419	2.26319	0.784139	1.00264	1.14823	1.40703	1.53447	-0.353842	1.86342	1.62609
1.96653	2.59221	0.526915	1.66349	1.96359	2.59016	0.81187	1.38733	1.16016	0.263209	1.50595	1.46269	1.90688	-0.680703	0.503551	2.18169	0.785304	1.07614	1.15143	1.36747	1.53374	-0.280623	1.86714	1.59418
1.96055	2.58803	0.530628	1.55439	1.95762	2.58597	0.813811	1.35109	1.16088	0.358909	1.50929	1.42688	1.90538	-0.616925	0.508487	2.0934	0.786213	1.13058	1.15454	1.32555	1.53318	-0.205669	1.87078	1.56046
1.95459	2.58378	0.534088	1.4448	1.95166	2.58162	0.815309	1.32169	1.16182	0.456266	1.51254	1.38926	1.90404	-0.551551	0.513212	1.99909	0.786819	1.16554	1.15755	1.28157	1.53279	-0.129076	1.87434	1.52502
1.94863	2.57936	0.537296	1.33593	1.94571	2.5771	0.816389	1.29951	1.16299	0.55474	1.5157	1.34989	1.90284	-0.484672	0.517713	1.8996	0.787721	1.21615	1.16045	1.23578	1.53258	-0.0511094	1.87781	1.48792
1.94268	2.57479	0.540253	1.22894	1.93977	2.57252	0.817071	1.28514	1.16438	0.65391	1.51877	1.30904	1.9018	-0.416464	0.521978	1.79591	0.788746	1.27144	1.16325	1.18837	1.53255	0.0279536	1.8812	1.44924
1.93675	2.5701	0.542967	1.12488	1.93384	2.56776	0.818037	1.26422	1.166	0.753374	1.52174	1.26687	1.90092	-0.346991	0.526	1.68906	0.790213	1.34671	1.16594	1.13969	1.53271	0.107965	1.8845	1.40916
1.93082	2.56526	0.545444	1.02473	1.92792	2.56278	0.81907	1.24118	1.16786	0.852617	1.52461	1.22356	1.9002	-0.276454	0.529773	1.58027	0.79219	1.44207	1.16851	1.09001	1.53305	0.188592	1.88771	1.36774
1.92491	2.56021	0.547696	0.929304	1.92201	2.55772	0.820443	1.20949	1.16994	0.951129	1.52739	1.17934	1.89964	-0.205034	0.533293	1.47072	0.79476	1.55735	1.17097	1.03973	1.53358	0.269574	1.89081	1.32512
1.91901	2.55508	0.549733	0.83931	1.91611	2.55252	0.822129	1.16852	1.17225	1.04847	1.53006	1.13448	1.89925	-0.132872	0.53656	1.36156	0.798028	1.69175	1.17331	0.989188	1.5343	0.350532	1.89382	1.28155
1.91312	2.54979	0.551569	0.755269	1.91023	2.5471	0.824089	1.1181	1.17478	1.14413	1.53262	1.08922	1.89903	-0.0601794	0.539576	1.25399	0.802108	1.84404	1.17553	0.938643	1.5352	0.431223	1.89673	1.23711
1.90724	2.54429	0.553218	0.677495	1.90436	2.54152	0.826277	1.05792	1.17753	1.23767	1.53508	1.04374	1.89897	0.0128154	0.542347	1.14916	0.806537	1.9932	1.17764	0.888603	1.53629	0.511378	1.89953	1.19196
1.90138	2.53861	0.554696	0.606249	1.8985	2.53579	0.828638	0.987793	1.18049	1.32873	1.53744	0.998476	1.89909	0.0859013	0.544879	1.048	0.811306	2.1381	1.17963	0.839427	1.53756	0.59061	1.90223	1.14641
1.89553	2.53283	0.556016	0.541613	1.89266	2.5299	0.830835	0.91695	1.18366	1.41674	1.53969	0.95366	1.89937	0.158831	0.547183	0.951421	0.816404	2.27778	1.18151	0.791466	1.53901	0.66858	1.90482	1.10065
1.88969	2.52685	0.557195	0.483605	1.88683	2.52382	0.832869	0.845786	1.18703	1.50142	1.54184	0.909586	1.89982	0.231375	0.54927	0.860103	0.821818	2.41142	1.18329	0.745274	1.54064	0.745052	1.90731	1.05483
1.88386	2.52065	0.558248	0.432116	1.88101	2.51759	0.834738	0.774791	1.19059	1.58251	1.54389	0.866554	1.90044	0.303293	0.551152	0.774564	0.827533	2.53844	1.18495	0.701085	1.54245	0.819701	1.90969	1.00925
1.87806	2.51434	0.559189	0.386927	1.87521	2.51115	0.836445	0.704357	1.19384	1.65	1.54584	0.824875	1.90122	0.374254	0.552844	0.695283	0.833532	2.65828	1.18633	0.664606	1.54443	0.892168	1.91197	0.964169
1.87226	2.50781	0.560033	0.347817	1.86942	2.5045	0.837989	0.634936	1.19671	1.70495	1.54769	0.784951	1.90217	0.444105	0.554361	0.6225	0.8398	2.77049	1.18744	0.63523	1.54657	0.962248	1.91414	0.919852
1.86648	2.50103	0.560794	0.314569	1.86365	2.4977	0.839375	0.566864	1.19916	1.74859	1.54946	0.746996	1.90327	0.512543	0.555717	0.556299	0.846318	2.87486	1.18832	0.612191	1.54887	1.02961	1.91621	0.876555
1.86072	2.49415	0.561485	0.286817	1.8579	2.4907	0.840605	0.500492	1.20114	1.78188	1.55114	0.711369	1.90453	0.579326	0.556928	0.496722	0.853067	2.97121	1.189	0.594905	1.55132	1.09408	1.91818	0.834492
1.85497	2.48705	0.562118	0.264273	1.85216	2.48351	0.841684	0.436214	1.20262	1.80564	1.55274	0.678421	1.90594	0.644265	0.558009	0.443716	0.860029	3.05941	1.18948	0.582941	1.55391	1.15543	1.92006	0.794019
1.84924	2.47974	0.562705	0.246578	1.84644	2.47609	0.842618	0.374229	1.20358	1.82042	1.55427	0.648415	1.9075	0.707052	0.558976	0.397071	0.867185	3.13951	1.18979	0.575516	1.55665	1.21338	1.92185	0.755333
1.84353	2.47229	0.563187	0.234718	1.84073	2.46851	0.843411	0.314819	1.20496	1.84126	1.55573	0.621654	1.90921	0.767515	0.559842	0.356536	0.874517	3.21146	1.19022	0.565031	1.55951	1.26775	1.92355	0.718685
1.83783	2.46458	0.563582	0.227239	1.83504	2.46073	0.844071	0.25816	1.20649	1.8634	1.55714	0.598453	1.91105	0.825451	0.560621	0.321914	0.882006	3.27527	1.19068	0.554303	1.5625	1.31842	1.92516	0.684426
1.83216	2.45669	0.5639	0.222841	1.82938	2.45273	0.844603	0.204453	1.2086	1.8923	1.5585	0.579079	1.91302	0.88068	0.561327	0.29292	0.889632	3.33105	1.1913	0.540754	1.5656	1.36527	1.92671	0.652676
1.8265	2.4486	0.564148	0.220287	1.82373	2.44456	0.845014	0.153795	1.2113	1.92715	1.55981	0.563769	1.91511	0.933055	0.561973	0.269158	0.897378	3.37878	1.19205	0.525088	1.5688	1.40813	1.92818	0.623747
