Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		383  Points		387  Points		374  Points		366  Points		352  Points		143  Points		384  Points		380  Points		366  Points		174  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.73099	2.5566	0.625174	3.30253	1.73366	2.55609	0.902515	4.76035	1.36457	7.18503	1.68484	8.86277	2.04013	10.7644	0.624851	3.31218	1.10064	5.77238	1.30783	6.88187	1.69143	8.88628	2.07254	10.8575
1.72571	2.55752	0.626358	3.26893	1.72842	2.55706	0.902265	4.70181	1.36937	7.12375	1.68676	8.76647	2.04275	10.6816	0.626019	3.27828	1.10662	5.73438	1.31148	6.81829	1.69534	8.80013	2.07317	10.7807
1.72035	2.55833	0.627596	3.23642	1.7231	2.55793	0.902013	4.64465	1.37409	7.06352	1.68878	8.67296	2.04583	10.5864	0.627241	3.24547	1.11231	5.69573	1.31544	6.75779	1.69923	8.71597	2.07394	10.6894
1.71491	2.55902	0.628891	3.20496	1.7177	2.55868	0.901763	4.58884	1.37872	7.00424	1.69091	8.58221	2.04938	10.4797	0.62852	3.21372	1.11767	5.65638	1.31971	6.70033	1.70311	8.63369	2.07488	10.5846
1.70939	2.55959	0.630244	3.17453	1.71222	2.55931	0.901519	4.53436	1.38325	6.94582	1.69316	8.49417	2.05295	10.3755	0.629857	3.183	1.12271	5.6163	1.32432	6.64589	1.70697	8.55319	2.07601	10.4671
1.70378	2.56005	0.631658	3.1451	1.70666	2.55983	0.901284	4.48117	1.38766	6.88818	1.69555	8.4088	2.05653	10.2738	0.631253	3.15329	1.12742	5.57547	1.32928	6.5944	1.71079	8.47435	2.0772	10.3527
1.69811	2.5604	0.633133	3.11663	1.70102	2.56023	0.901061	4.42925	1.39196	6.83126	1.69807	8.32604	2.0601	10.1743	0.632711	3.12455	1.13178	5.53391	1.33458	6.54578	1.71457	8.3971	2.07846	10.2412
1.69237	2.56065	0.63467	3.08912	1.69531	2.56053	0.900854	4.37857	1.39612	6.77498	1.70074	8.24586	2.06367	10.0771	0.634231	3.09677	1.13581	5.49165	1.34024	6.49996	1.7183	8.32134	2.07979	10.1325
1.68656	2.56081	0.636271	3.06251	1.68954	2.56074	0.900664	4.3291	1.40015	6.71928	1.70357	8.1682	2.06722	9.982	0.635814	3.06991	1.1395	5.44872	1.34624	6.45681	1.72198	8.247	2.0812	10.0267
1.6807	2.56088	0.637936	3.0368	1.68371	2.56085	0.900496	4.28081	1.40403	6.66412	1.70657	8.09302	2.07076	9.8889	0.637461	3.04395	1.14287	5.4052	1.35258	6.41621	1.7256	8.174	2.08271	9.92366
1.6748	2.56089	0.639667	3.01196	1.67782	2.56089	0.900352	4.23369	1.40776	6.60944	1.70973	8.02026	2.07427	9.7977	0.639173	3.01887	1.14593	5.36117	1.35925	6.37804	1.72915	8.10226	2.08431	9.82329
1.66885	2.56083	0.641464	2.98796	1.6719	2.56086	0.900233	4.18769	1.41134	6.5552	1.71307	7.94987	2.07775	9.70833	0.640951	2.99463	1.14869	5.31669	1.36624	6.34215	1.73263	8.03172	2.08601	9.72556
1.66286	2.56071	0.643327	2.96477	1.66593	2.56078	0.900143	4.14281	1.41475	6.50136	1.71659	7.8818	2.0812	9.6207	0.642796	2.97122	1.15117	5.27187	1.37352	6.3084	1.73603	7.96233	2.08782	9.6304
1.65685	2.56054	0.645257	2.94237	1.65993	2.56063	0.900084	4.099	1.41799	6.4479	1.72029	7.81598	2.0846	9.53474	0.644707	2.9486	1.15339	5.22679	1.38109	6.27664	1.73935	7.89402	2.08975	9.53775
1.65081	2.56034	0.647254	2.92075	1.6539	2.56045	0.900057	4.05626	1.42106	6.39479	1.72417	7.75235	2.08796	9.45037	0.646685	2.92676	1.15537	5.18155	1.38892	6.24672	1.74259	7.82675	2.09179	9.44757
1.64474	2.56009	0.649318	2.89987	1.64785	2.56022	0.900065	4.01455	1.42397	6.34201	1.72824	7.69086	2.09127	9.36753	0.64873	2.90568	1.15711	5.13624	1.39699	6.21851	1.74573	7.76046	2.09395	9.35978
1.63866	2.55982	0.65145	2.87972	1.64177	2.55996	0.900109	3.97385	1.42671	6.28955	1.73249	7.63142	2.09453	9.28614	0.650843	2.88532	1.15865	5.09094	1.40529	6.19185	1.74879	7.69512	2.09623	9.27434
1.63255	2.55951	0.653649	2.86026	1.63568	2.55967	0.900191	3.93413	1.42927	6.23741	1.73693	7.57398	2.09773	9.20616	0.653023	2.86567	1.16001	5.04572	1.4138	6.16664	1.75176	7.6307	2.09864	9.19118
1.62644	2.55917	0.655916	2.84149	1.62957	2.55935	0.900313	3.89538	1.43166	6.18558	1.74154	7.51846	2.10087	9.12752	0.655271	2.84671	1.16119	5.00067	1.42249	6.14273	1.75463	7.56716	2.10118	9.11025
1.62031	2.55882	0.658251	2.82339	1.62344	2.559	0.900476	3.85758	1.43389	6.13406	1.74634	7.46479	2.10395	9.05018	0.657587	2.82842	1.16221	4.95584	1.43135	6.12001	1.75741	7.50447	2.10386	9.03148
1.61416	2.55844	0.660653	2.80592	1.61731	2.55864	0.900682	3.82069	1.43596	6.08285	1.7513	7.4129	2.10697	8.97409	0.65997	2.81077	1.1631	4.91131	1.44037	6.09838	1.7601	7.44262	2.10666	8.95481
