Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.158794	6.91528	0.0479315	3.80714	0.436861	-0.283743	0.722369	2.49725	0.385766	3.23812	0.870065	-1.29448	0.158794	6.91528	0.0479315	3.80714	0.436861	-0.283743	0.722369	2.49725	0.385766	3.23812	0.870065	-1.29448
0.163126	6.87712	0.0503434	3.87132	0.436693	-0.247564	0.723952	2.54322	0.387817	3.28808	0.869252	-1.29228	0.163126	6.87712	0.0503434	3.87132	0.436693	-0.247564	0.723952	2.54322	0.387817	3.28808	0.869252	-1.29228
0.167434	6.83698	0.052795	3.93343	0.43655	-0.208014	0.725564	2.58767	0.389897	3.33552	0.868442	-1.2881	0.167434	6.83698	0.052795	3.93343	0.43655	-0.208014	0.725564	2.58767	0.389897	3.33552	0.868442	-1.2881
0.171716	6.79482	0.0552849	3.99342	0.436432	-0.164981	0.727203	2.63051	0.392007	3.38054	0.867634	-1.28192	0.171716	6.79482	0.0552849	3.99342	0.436432	-0.164981	0.727203	2.63051	0.392007	3.38054	0.867634	-1.28192
0.17597	6.7505	0.0578119	4.05149	0.436342	-0.118349	0.728868	2.67187	0.394144	3.4231	0.866831	-1.2739	0.17597	6.7505	0.0578119	4.05149	0.436342	-0.118349	0.728868	2.67187	0.394144	3.4231	0.866831	-1.2739
0.180196	6.704	0.0603748	4.10756	0.436283	-0.0681063	0.730559	2.71178	0.396307	3.46324	0.866034	-1.26406	0.180196	6.704	0.0603748	4.10756	0.436283	-0.0681063	0.730559	2.71178	0.396307	3.46324	0.866034	-1.26406
0.184393	6.65522	0.0629722	4.16179	0.436257	-0.0142248	0.732275	2.75021	0.398495	3.50106	0.865243	-1.25231	0.184393	6.65522	0.0629722	4.16179	0.436257	-0.0142248	0.732275	2.75021	0.398495	3.50106	0.865243	-1.25231
0.188557	6.60393	0.0656032	4.21419	0.436265	0.0434571	0.734014	2.78721	0.400706	3.53661	0.864461	-1.23881	0.188557	6.60393	0.0656032	4.21419	0.436265	0.0434571	0.734014	2.78721	0.400706	3.53661	0.864461	-1.23881
0.192689	6.55024	0.0682665	4.26478	0.436311	0.104938	0.735777	2.82276	0.402938	3.56991	0.863687	-1.22364	0.192689	6.55024	0.0682665	4.26478	0.436311	0.104938	0.735777	2.82276	0.402938	3.56991	0.863687	-1.22364
0.196786	6.49403	0.0709611	4.31371	0.436397	0.170322	0.737561	2.85691	0.405191	3.60098	0.862923	-1.20677	0.196786	6.49403	0.0709611	4.31371	0.436397	0.170322	0.737561	2.85691	0.405191	3.60098	0.862923	-1.20677
