Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.312984	6.03718	0.208723	3.74394	0.493398	9.52448	0.826647	14.9736	0.496301	9.62807	0.852253	15.5731	0.312984	6.03718	0.208723	3.74394	0.493398	9.52448	0.826647	14.9736	0.496301	9.62807	0.852253	15.5731
0.314526	6.00352	0.212108	3.76227	0.496512	9.46976	0.828713	14.8421	0.498214	9.56363	0.852762	15.4056	0.314526	6.00352	0.212108	3.76227	0.496512	9.46976	0.828713	14.8421	0.498214	9.56363	0.852762	15.4056
0.316254	5.965	0.215498	3.78029	0.499693	9.41761	0.830775	14.7135	0.500393	9.49103	0.853313	15.2425	0.316254	5.965	0.215498	3.78029	0.499693	9.41761	0.830775	14.7135	0.500393	9.49103	0.853313	15.2425
0.317942	5.92662	0.218895	3.79802	0.502941	9.36791	0.832832	14.5877	0.502555	9.41981	0.853904	15.0838	0.317942	5.92662	0.218895	3.79802	0.502941	9.36791	0.832832	14.5877	0.502555	9.41981	0.853904	15.0838
0.319593	5.88843	0.222297	3.81546	0.50625	9.3205	0.834884	14.4645	0.5047	9.34992	0.854536	14.9293	0.319593	5.88843	0.222297	3.81546	0.50625	9.3205	0.834884	14.4645	0.5047	9.34992	0.854536	14.9293
0.321208	5.85048	0.225265	3.83042	0.50962	9.27528	0.83693	14.3438	0.506826	9.2813	0.855209	14.7789	0.321208	5.85048	0.225265	3.83042	0.50962	9.27528	0.83693	14.3438	0.506826	9.2813	0.855209	14.7789
0.322791	5.81282	0.227799	3.84301	0.513047	9.2321	0.838971	14.2256	0.508933	9.21391	0.855924	14.6324	0.322791	5.81282	0.227799	3.84301	0.513047	9.2321	0.838971	14.2256	0.508933	9.21391	0.855924	14.6324
0.324345	5.77547	0.229896	3.8533	0.516528	9.19085	0.841006	14.1099	0.511022	9.14769	0.856681	14.4898	0.324345	5.77547	0.229896	3.8533	0.516528	9.19085	0.841006	14.1099	0.511022	9.14769	0.856681	14.4898
0.325872	5.73847	0.231555	3.86137	0.520061	9.15143	0.843035	13.9964	0.513091	9.0826	0.857479	14.3508	0.325872	5.73847	0.231555	3.86137	0.520061	9.15143	0.843035	13.9964	0.513091	9.0826	0.857479	14.3508
0.327375	5.70187	0.232776	3.86726	0.523643	9.11372	0.845058	13.8852	0.515141	9.01861	0.858318	14.2154	0.327375	5.70187	0.232776	3.86726	0.523643	9.11372	0.845058	13.8852	0.515141	9.01861	0.858318	14.2154
