Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
473  Points		492  Points		473  Points		206  Points		388  Points		129  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.343172	1.10295	0.14103	2.24036	0.337598	1.10219	0.668452	7.03083	0.550821	4.13633	0.720828	6.95445
0.344201	1.10498	0.143117	2.24011	0.338624	1.10075	0.674963	6.94518	0.55461	3.99757	0.727328	6.99757
0.345232	1.10749	0.145204	2.23984	0.339649	1.10014	0.681393	6.85723	0.55827	3.86253	0.733867	7.03636
0.346265	1.11039	0.147291	2.23963	0.340674	1.10023	0.687741	6.76709	0.561807	3.73161	0.74044	7.07079
0.347301	1.11369	0.149378	2.23938	0.341699	1.10094	0.694003	6.67486	0.565224	3.60507	0.747042	7.10084
0.34834	1.11738	0.151464	2.23918	0.342726	1.10221	0.700179	6.58064	0.568525	3.48306	0.753671	7.12659
0.349383	1.1213	0.15355	2.23901	0.343753	1.10402	0.706265	6.48461	0.571714	3.3657	0.760322	7.14806
0.350429	1.12556	0.155636	2.23877	0.344783	1.10635	0.712262	6.3869	0.574796	3.253	0.766991	7.1653
0.35148	1.13012	0.157722	2.23859	0.345815	1.10909	0.718167	6.28757	0.577776	3.14505	0.773674	7.17837
0.352535	1.13492	0.159807	2.23842	0.346849	1.11222	0.723978	6.18684	0.580657	3.04182	0.780367	7.18746
0.353595	1.13992	0.161893	2.23826	0.347887	1.11572	0.729695	6.08491	0.583444	2.94318	0.787067	7.19253
0.354659	1.14506	0.163978	2.23807	0.348928	1.11956	0.735317	5.98191	0.586141	2.84911	0.793769	7.19374
0.355729	1.15045	0.166063	2.2379	0.349973	1.12368	0.740842	5.87808	0.588753	2.75945	0.800472	7.19117
0.356803	1.15603	0.168148	2.23778	0.351022	1.12812	0.745577	5.787	0.591283	2.67412	0.807169	7.18485
0.357883	1.1617	0.170233	2.23761	0.352075	1.13279	0.749556	5.709	0.593736	2.59296	0.81386	7.17493
0.358968	1.16754	0.172318	2.23746	0.353133	1.13769	0.752805	5.64441	0.596115	2.51584	0.820539	7.16153
0.360058	1.17351	0.174402	2.2373	0.354195	1.14281	0.755347	5.59319	0.598424	2.4426	0.827204	7.14469
0.361154	1.17952	0.176487	2.23719	0.355263	1.14812	0.757202	5.55545	0.600666	2.37305	0.833852	7.12441
0.362114	1.18491	0.178571	2.23706	0.356335	1.1536	0.758383	5.53138	0.602846	2.30708	0.84048	7.10093
0.362936	1.18955	0.180655	2.23692	0.357412	1.15919	0.760071	5.49677	0.604965	2.2445	0.847084	7.07424
0.363618	1.19337	0.182739	2.23682	0.358495	1.16499	0.761894	5.45908	0.607028	2.1852	0.853662	7.04439
0.364159	1.19645	0.184823	2.23669	0.359583	1.17089	0.764352	5.40787	0.609037	2.129	0.860211	7.01156
0.364557	1.19874	0.186907	2.23659	0.360677	1.17688	0.767429	5.34317	0.610995	2.0757	0.866727	6.97571
0.364813	1.20015	0.188991	2.23647	0.361776	1.18303	0.7711	5.26509	0.612905	2.02521	0.873209	6.93696
