Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
462  Points		491  Points		161  Points		123  Points		110  Points		334  Points		334  Points		134  Points		107  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.309177	4.46027	0.0716624	2.26426	0.412091	5.92764	0.554656	5.10496	0.652475	4.11321	0.335765	7.17815	0.334129	7.17721	0.529772	4.65309	0.770084	3.21567
0.31324	4.26411	0.0737715	2.26317	0.414787	5.98757	0.559478	5.2452	0.656338	4.17875	0.342455	7.17988	0.340818	7.17973	0.534135	4.71089	0.773106	3.27084
0.317122	4.07364	0.0758796	2.26207	0.416787	6.03107	0.56443	5.38204	0.660262	4.24346	0.349144	7.17832	0.347508	7.17901	0.538551	4.76725	0.776179	3.32517
0.32083	3.88979	0.0779866	2.26097	0.418074	6.0586	0.569507	5.51526	0.664246	4.30732	0.355831	7.1737	0.354196	7.1751	0.543018	4.82231	0.779302	3.37873
0.324371	3.7134	0.0800927	2.25991	0.419935	6.09781	0.574707	5.64465	0.668288	4.37046	0.362511	7.16593	0.360878	7.16813	0.547536	4.87613	0.782475	3.43151
0.32775	3.54504	0.0821977	2.2589	0.421971	6.13986	0.580025	5.76991	0.67239	4.43302	0.369184	7.15513	0.367553	7.15805	0.552104	4.92876	0.785697	3.48346
0.330976	3.38505	0.0843019	2.25792	0.424763	6.19595	0.585458	5.89094	0.676549	4.49492	0.375844	7.14138	0.374216	7.14499	0.556721	4.98032	0.788966	3.53462
0.334058	3.23362	0.0864051	2.25695	0.428329	6.26513	0.591002	6.00761	0.680765	4.55633	0.382491	7.12461	0.380867	7.12902	0.561385	5.03094	0.792283	3.58502
0.337002	3.09085	0.0885074	2.25603	0.432693	6.34575	0.596653	6.11973	0.685039	4.61739	0.38912	7.10495	0.387501	7.11004	0.566095	5.08068	0.795646	3.63468
0.339817	2.95663	0.090609	2.25513	0.437883	6.43592	0.602406	6.22729	0.689369	4.67807	0.39573	7.08241	0.394115	7.08818	0.570852	5.12963	0.799056	3.68363
0.342511	2.83073	0.0927096	2.25431	0.443926	6.53323	0.608257	6.33014	0.693756	4.73856	0.402317	7.05693	0.400709	7.06344	0.575654	5.17795	0.80251	3.73179
0.345092	2.71296	0.0948096	2.2535	0.450057	6.6236	0.614201	6.42817	0.698199	4.79898	0.40888	7.02856	0.407277	7.03576	0.5805	5.22566	0.80601	3.77926
0.347567	2.60296	0.0969088	2.25273	0.456269	6.70669	0.620235	6.52141	0.702698	4.85939	0.415414	6.99727	0.413819	7.00518	0.585391	5.27281	0.809553	3.82609
0.349942	2.50037	0.0990073	2.25198	0.462554	6.78248	0.626353	6.60981	0.707254	4.92001	0.421918	6.96309	0.420331	6.97173	0.590326	5.31957	0.813139	3.8722
0.352226	2.40483	0.101105	2.25127	0.468907	6.85095	0.632551	6.69322	0.711866	4.98089	0.428389	6.92608	0.42681	6.93538	0.595304	5.36601	0.816768	3.91769
0.354423	2.31598	0.103202	2.25063	0.47532	6.91228	0.638825	6.77164	0.716535	5.04223	0.434824	6.88612	0.433254	6.89614	0.600325	5.41215	0.820439	3.96252
0.356541	2.23337	0.105299	2.24994	0.481787	6.96679	0.64517	6.84506	0.721262	5.10426	0.441221	6.84325	0.43966	6.85401	0.604735	5.45215	0.824152	4.00672
0.358585	2.15661	0.107395	2.24934	0.488302	7.01463	0.65158	6.9133	0.726047	5.1671	0.447576	6.79753	0.446026	6.80899	0.60852	5.4861	0.827905	4.05028
0.36056	2.08542	0.10949	2.24878	0.494858	7.0562	0.658052	6.97633	0.73089	5.23096	0.453887	6.74886	0.452348	6.76106	0.611668	5.51419	0.831699	4.09332
0.362471	2.01929	0.111585	2.24821	0.501451	7.09185	0.66458	7.03414	0.735794	5.29605	0.460152	6.69731	0.458624	6.71018	0.614169	5.53633	0.835533	4.13581
0.364323	1.95799	0.11368	2.24763	0.508073	7.12187	0.671159	7.08653	0.740759	5.36258	0.466367	6.64297	0.464852	6.65651	0.616014	5.55255	0.839406	4.17765
