Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
460  Points		492  Points		460  Points		145  Points		113  Points		104  Points		326  Points		123  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.407495	4.96132	0.161365	2.09075	0.401664	5.18697	0.715249	9.26366	0.84073	10.7901	0.920175	11.2161	0.629778	8.15587	0.773901	10.0387
0.408635	4.91939	0.163451	2.09252	0.402835	5.14025	0.722061	9.24039	0.847137	10.7602	0.925917	11.1917	0.634068	8.11354	0.780598	10.0046
0.40977	4.87834	0.165538	2.09425	0.403998	5.09452	0.728825	9.21705	0.854435	10.726	0.930709	11.1723	0.63826	8.07095	0.787319	9.97171
0.410901	4.83814	0.167624	2.09594	0.405154	5.04977	0.73554	9.19365	0.861674	10.6918	0.934524	11.1575	0.642354	8.02815	0.794063	9.93983
0.411885	4.8038	0.16971	2.09759	0.406303	5.00597	0.742204	9.17015	0.868855	10.6577	0.937345	11.1469	0.646354	7.98515	0.800827	9.90894
0.412722	4.77502	0.171796	2.09919	0.407448	4.96309	0.748815	9.14655	0.87598	10.6237	0.939156	11.1403	0.65026	7.94199	0.807609	9.87898
0.413413	4.75155	0.173881	2.10076	0.408587	4.92112	0.755373	9.12283	0.883052	10.5898	0.941769	11.1308	0.654075	7.8987	0.814408	9.84988
0.413959	4.73321	0.175967	2.1023	0.409722	4.88003	0.761876	9.09898	0.890073	10.556	0.94462	11.1208	0.6578	7.85531	0.82122	9.8216
0.41436	4.71984	0.178052	2.10379	0.410854	4.8398	0.768322	9.07499	0.897048	10.5225	0.948517	11.1075	0.661438	7.81184	0.828044	9.79408
0.414617	4.71133	0.180138	2.10526	0.411983	4.80041	0.774711	9.05085	0.90398	10.4892	0.953475	11.0912	0.664991	7.76832	0.834877	9.76726
0.414985	4.69918	0.182223	2.10669	0.413109	4.76184	0.781041	9.02655	0.910875	10.4561	0.959514	11.0723	0.66846	7.72477	0.841717	9.74111
0.415386	4.68606	0.184308	2.10809	0.414233	4.72406	0.787311	9.00208	0.917735	10.4234	0.966654	11.0512	0.671849	7.68123	0.848563	9.71557
0.415931	4.66837	0.186393	2.10946	0.415355	4.68706	0.79352	8.97744	0.924567	10.391	0.97492	11.0282	0.675159	7.63771	0.855411	9.69061
0.41662	4.64626	0.188478	2.1108	0.416477	4.65082	0.799667	8.95261	0.931373	10.3591	0.983257	11.0065	0.678392	7.59425	0.86226	9.66617
0.417452	4.61988	0.190563	2.11211	0.417597	4.61532	0.80575	8.9276	0.938158	10.3275	0.991659	10.986	0.681551	7.55085	0.869107	9.64222
0.418428	4.58945	0.192648	2.11339	0.418718	4.58053	0.81177	8.90239	0.944926	10.2964	1.00012	10.9666	0.684637	7.50755	0.875951	9.61873
0.419549	4.55518	0.194733	2.11465	0.419838	4.54645	0.817724	8.87699	0.951678	10.2658			0.687654	7.46437	0.88279	9.59565
0.420669	4.52161	0.196817	2.11588	0.420959	4.51305	0.823613	8.8514	0.958419	10.2356			0.690602	7.42132	0.889621	9.57295
0.42179	4.48871	0.198902	2.11708	0.42208	4.48032	0.829436	8.8256	0.965151	10.206			0.693484	7.37842	0.896443	9.55061
0.422912	4.45646	0.200986	2.11826	0.423202	4.44823	0.835191	8.79961	0.971876	10.1768			0.696303	7.33569	0.903253	9.52859
0.424035	4.42485	0.203071	2.11942	0.424325	4.41679	0.840879	8.77342	0.978596	10.1482			0.699059	7.29314	0.910051	9.50686
0.425159	4.39386	0.205155	2.12055	0.42545	4.38596	0.8465	8.74703	0.985313	10.12			0.701756	7.2508	0.916834	9.4854
0.426285	4.36348	0.207239	2.12166	0.426576	4.35573	0.852052	8.72044	0.992028	10.0924			0.704395	7.20867	0.923601	9.46418
0.427412	4.33369	0.209323	2.12275	0.427704	4.32609	0.857535	8.69366	0.998742	10.0653			0.706978	7.16677	0.930349	9.44317
0.428542	4.30448	0.211407	2.12382	0.428834	4.29703	0.86295	8.66669	1.00546	10.0387			0.709507	7.12511	0.937077	9.42236
0.429674	4.27584	0.213491	2.12487	0.429966	4.26853	0.868296	8.63954					0.711983	7.0837	0.943784	9.40171
0.430808	4.24774	0.215575	2.12589	0.431101	4.24057	0.873572	8.61221					0.714409	7.04255	0.950467	9.38122
0.431945	4.22018	0.217659	2.1269	0.432239	4.21315	0.87878	8.58469					0.716786	7.00168	0.957126	9.36086
0.433084	4.19314	0.219743	2.12789	0.433379	4.18624	0.883919	8.55701					0.719116	6.96109	0.963758	9.34062
0.434226	4.16661	0.221827	2.12886	0.434522	4.15984	0.888989	8.52917					0.721401	6.92079	0.970363	9.32047
0.435371	4.14059	0.22391	2.12982	0.435668	4.13394	0.89399	8.50116					0.723642	6.88078	0.976939	9.3004
0.43652	4.11505	0.225994	2.13075	0.436817	4.10853	0.898923	8.473					0.72584	6.84108	0.983484	9.2804
0.437671	4.08998	0.228077	2.13167	0.437969	4.08358	0.903789	8.4447					0.727998	6.80169	0.989998	9.26045
0.438826	4.06538	0.230161	2.13257	0.439125	4.0591	0.908586	8.41626					0.730116	6.76261	0.996478	9.24053
0.439985	4.04123	0.232244	2.13346	0.440285	4.03506	0.913316	8.38769					0.732196	6.72385	1.00292	9.22064
0.441147	4.01752	0.234328	2.13433	0.441447	4.01147	0.91798	8.35899					0.73424	6.68542		
0.442312	3.99424	0.236411	2.13519	0.442614	3.9883	0.922577	8.33018					0.736248	6.64732		
0.443482	3.97139	0.238495	2.13603	0.443784	3.96555	0.927109	8.30126					0.738223	6.60954		
0.444655	3.94895	0.240578	2.13686	0.444958	3.94322	0.931575	8.27225					0.740165	6.57211		
0.445832	3.92691	0.242661	2.13767	0.446136	3.92128	0.935977	8.24314					0.742075	6.535		
0.447013	3.90526	0.244744	2.13847	0.447318	3.89973	0.940315	8.21394					0.743954	6.49824		
0.448198	3.884	0.246827	2.13926	0.448504	3.87857	0.94459	8.18468					0.745805	6.46182		
0.449387	3.86311	0.248911	2.14003	0.449694	3.85778	0.948803	8.15534					0.747627	6.42574		
0.45058	3.84259	0.250994	2.14079	0.450889	3.83735	0.952954	8.12594					0.749423	6.39		
0.451777	3.82243	0.253077	2.14154	0.452087	3.81728	0.957043	8.09649					0.751192	6.3546		
0.452978	3.80262	0.25516	2.14228	0.453289	3.79756	0.961073	8.06699					0.752936	6.31955		
0.454184	3.78315	0.257243	2.143	0.454496	3.77818	0.965043	8.03746					0.754656	6.28484		
0.455394	3.76402	0.259325	2.14372	0.455707	3.75913	0.968954	8.0079					0.756352	6.25047		
0.456609	3.74522	0.261408	2.14442	0.456923	3.74041	0.972807	7.97831					0.758027	6.21644		
0.457827	3.72673	0.263491	2.14511	0.458143	3.72201	0.976604	7.94871					0.759679	6.18275		
0.45905	3.70856	0.265574	2.14579	0.459367	3.70392	0.980344	7.9191					0.761311	6.1494		
0.460278	3.6907	0.267657	2.14646	0.460595	3.68613	0.984029	7.88949					0.762923	6.11639		
0.46151	3.67314	0.269739	2.14712	0.461828	3.66865	0.987659	7.85988					0.764516	6.08372		
0.462746	3.65587	0.271822	2.14777	0.463066	3.65145	0.991235	7.83028					0.76609	6.05138		
0.463987	3.63888	0.273905	2.14841	0.464308	3.63454	0.994759	7.8007					0.767647	6.01938		
0.465232	3.62218	0.275987	2.14904	0.465554	3.61791	0.99823	7.77115					0.769186	5.9877		
0.466482	3.60576	0.27807	2.14966	0.466805	3.60156	1.00165	7.74163					0.770709	5.95636		
0.467736	3.5896	0.280153	2.15027	0.46806	3.58547							0.772216	5.92534		
0.468995	3.57371	0.282235	2.15087	0.46932	3.56964							0.773709	5.89465		
0.470258	3.55807	0.284318	2.15147	0.470585	3.55408							0.775186	5.86428		
0.471525	3.54269	0.2864	2.15206	0.471854	3.53876							0.77665	5.83423		
0.472798	3.52756	0.288483	2.15263	0.473127	3.52369							0.7781	5.8045		
0.474074	3.51266	0.290565	2.1532	0.474405	3.50886							0.779537	5.77508		
0.475356	3.49801	0.292647	2.15376	0.475687	3.49426							0.780962	5.74598		
0.476641	3.48359	0.29473	2.15432	0.476974	3.4799							0.782375	5.71718		
0.477932	3.46939	0.296812	2.15486	0.478266	3.46576							0.783776	5.68869		
0.479226	3.45542	0.298894	2.1554	0.479562	3.45185							0.785167	5.66051		
0.480526	3.44167	0.300977	2.15593	0.480862	3.43815							0.786547	5.63262		
0.481829	3.42813	0.303059	2.15646	0.482167	3.42467							0.787916	5.60504		
0.483138	3.4148	0.305141	2.15697	0.483476	3.41139							0.789277	5.57774		
0.48445	3.40168	0.307223	2.15748	0.48479	3.39832							0.790628	5.55074		
0.485768	3.38876	0.309306	2.15798	0.486108	3.38545							0.791969	5.52403		
0.487089	3.37603	0.311388	2.15848	0.487431	3.37278							0.793303	5.4976		
0.488415	3.36351	0.31347	2.15897	0.488758	3.3603							0.794628	5.47146		
0.489746	3.35117	0.315552	2.15945	0.49009	3.34801							0.795945	5.4456		
0.491081	3.33901	0.317634	2.15993	0.491426	3.3359							0.797255	5.42001		
0.49242	3.32704	0.319716	2.1604	0.492766	3.32398							0.798558	5.3947		
0.493763	3.31525	0.321798	2.16087	0.494111	3.31223							0.799854	5.36965		
0.495111	3.30364	0.32388	2.16133	0.49546	3.30066							0.801143	5.34488		
0.496464	3.29219	0.325962	2.16178	0.496814	3.28926							0.802426	5.32036		
0.49782	3.28092	0.328044	2.16223	0.498172	3.27803							0.803703	5.29611		
0.499182	3.26981	0.330127	2.16267	0.499534	3.26697							0.804974	5.27212		
0.500547	3.25887	0.332208	2.16311	0.5009	3.25606							0.80624	5.24839		
0.501916	3.24808	0.33429	2.16354	0.502271	3.24532							0.8075	5.2249		
0.50329	3.23745	0.336372	2.16396	0.503646	3.23473							0.808756	5.20167		
0.504668	3.22698	0.338454	2.16438	0.505025	3.2243							0.810007	5.17868		
0.506051	3.21665	0.340536	2.1648	0.506408	3.21401							0.811253	5.15594		
0.507437	3.20648	0.342618	2.16521	0.507796	3.20387							0.812495	5.13343		
0.508828	3.19644	0.3447	2.16561	0.509188	3.19388							0.813733	5.11117		
0.510223	3.18656	0.346782	2.16602	0.510584	3.18403							0.814967	5.08914		
0.511622	3.17681	0.348864	2.16641	0.511984	3.17431							0.816197	5.06734		
0.513025	3.1672	0.350946	2.1668	0.513388	3.16474							0.817424	5.04577		
0.514432	3.15772	0.353027	2.16719	0.514796	3.1553							0.818648	5.02443		
0.515844	3.14838	0.355109	2.16757	0.516209	3.14599							0.819868	5.00331		
