Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
261  Points		395  Points		261  Points		217  Points		133  Points		327  Points		223  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.42805	0.144134	0.10019	3.44115	0.427911	0.0461505	0.577635	2.95428	0.928134	0.745429	0.31693	3.70582	0.697586	0.665581
0.428179	0.196326	0.102812	3.45367	0.42792	0.0575927	0.579888	2.96883	0.928707	0.759718	0.319758	3.72938	0.698098	0.680749
0.428348	0.249578	0.105444	3.46552	0.427936	0.0740461	0.582152	2.98314	0.92929	0.774034	0.322604	3.75188	0.698622	0.696014
0.428559	0.303964	0.108085	3.47677	0.427959	0.0920493	0.584427	2.99723	0.929884	0.788404	0.325467	3.77335	0.699157	0.711473
0.428811	0.359454	0.110734	3.4875	0.427997	0.116757	0.586712	3.01104	0.93049	0.80288	0.328345	3.79382	0.699704	0.727053
0.429106	0.416164	0.113391	3.49767	0.428059	0.148354	0.589008	3.0246	0.931106	0.817301	0.331239	3.81343	0.700263	0.742783
0.429444	0.474146	0.116056	3.50733	0.428154	0.18716	0.591314	3.03789	0.931733	0.831789	0.334147	3.83212	0.700835	0.758726
0.429827	0.533417	0.118727	3.51651	0.428293	0.233342	0.59363	3.05093	0.932371	0.846325	0.337069	3.84994	0.701418	0.774733
0.430256	0.594013	0.121406	3.52519	0.428491	0.287402	0.595956	3.06373	0.933021	0.860864	0.340005	3.86697	0.702013	0.790961
0.430731	0.655911	0.124091	3.5334	0.42873	0.342554	0.598292	3.07633	0.933681	0.875499	0.342953	3.88315	0.702621	0.807359
0.431254	0.719246	0.126782	3.5412	0.429012	0.398924	0.600637	3.0887	0.934353	0.890149	0.345913	3.89855	0.703242	0.823828
0.431825	0.784111	0.129479	3.54863	0.429337	0.456532	0.602991	3.1008	0.935035	0.904826	0.348884	3.91321	0.703875	0.840532
0.432447	0.850421	0.131833	3.55482	0.429707	0.515342	0.605354	3.1127	0.935729	0.919559	0.351866	3.92717	0.70452	0.857433
0.433119	0.918276	0.133843	3.55986	0.430121	0.575559	0.607727	3.1244	0.936434	0.934314	0.354859	3.94043	0.705179	0.874461
0.433844	0.987695	0.135508	3.56381	0.430582	0.637109	0.610108	3.13585	0.937151	0.949113	0.357861	3.95303	0.705851	0.891652
0.434622	1.05872	0.136825	3.56692	0.431091	0.699998	0.612498	3.1471	0.937878	0.963999	0.360873	3.96493	0.706536	0.908992
0.435454	1.13142	0.137795	3.5692	0.431647	0.764363	0.614896	3.15813	0.938617	0.97888	0.363894	3.97618	0.707234	0.926539
0.436343	1.2057	0.138415	3.57061	0.432254	0.830229	0.617303	3.16896	0.939368	0.993842	0.366923	3.98682	0.707945	0.944229
0.437289	1.28168	0.139308	3.57243	0.43291	0.897608	0.619407	3.17823	0.94013	1.00888	0.36996	3.99686	0.70867	0.962117
0.438293	1.35936	0.140279	3.57446	0.433619	0.966551	0.621205	3.18601	0.940903	1.02387	0.373004	4.00631	0.709409	0.980222
0.439357	1.43866	0.1416	3.57738	0.434381	1.03708	0.622695	3.19239	0.941687	1.03897	0.376055	4.01521	0.710162	0.998402
0.440482	1.51959	0.143273	3.58073	0.435197	1.10926	0.623876	3.19744	0.942483	1.05411	0.379113	4.02356	0.710928	1.01682
0.441669	1.60213	0.145297	3.58467	0.436069	1.18312	0.624745	3.20102	0.943291	1.0693	0.382177	4.03133	0.711709	1.03545
0.44292	1.68632	0.147675	3.58915	0.436997	1.25857	0.625302	3.20327	0.94411	1.08453	0.385246	4.03857	0.712504	1.05423
0.444235	1.77198	0.150408	3.594	0.437984	1.33568	0.626103	3.20652	0.944941	1.09983	0.388321	4.04534	0.713313	1.07322
0.445616	1.85898	0.153143	3.59857	0.439029	1.41451	0.626974	3.21006	0.945784	1.11519	0.391401	4.05159	0.714137	1.09237
0.447063	1.9474	0.155883	3.60288	0.440136	1.49501	0.628161	3.21491	0.946638	1.13056	0.394486	4.05727	0.714975	1.11165
0.448578	2.03705	0.158625	3.60696	0.441304	1.57706	0.629665	3.22093	0.947504	1.14604	0.397574	4.06249	0.715717	1.12868
0.450162	2.12773	0.16137	3.61079	0.442535	1.66074	0.631487	3.2281	0.948382	1.1615	0.400666	4.06734	0.716359	1.14329
0.451816	2.21938	0.164119	3.61442	0.443831	1.74595	0.63363	3.23633	0.949271	1.17707	0.403762	4.0716	0.716896	1.15544
0.453539	2.31181	0.16687	3.61784	0.445191	1.83255	0.636096	3.24563	0.950172	1.1927	0.406861	4.07544	0.717325	1.16508
0.455333	2.40482	0.169623	3.62099	0.446619	1.92057	0.638568	3.25477	0.951086	1.20834	0.409963	4.07884	0.717643	1.17206
0.457198	2.49818	0.172379	3.624	0.448114	2.00984	0.641048	3.26369	0.952011	1.22411	0.413067	4.08175	0.717847	1.17673
0.459134	2.59179	0.175137	3.6268	0.449677	2.10022	0.643534	3.27245	0.952948	1.23987	0.416173	4.08428	0.718142	1.18348
0.461141	2.68536	0.177897	3.62942	0.451309	2.19161	0.646026	3.28101	0.953897	1.25568	0.419281	4.08636	0.718464	1.1906
0.463219	2.77857	0.180659	3.63189	0.453011	2.28386	0.648526	3.28941	0.954858	1.27161	0.42239	4.08797	0.718906	1.20046
