Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
396  Points		408  Points		236  Points		198  Points		162  Points		309  Points		208  Points		109  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.236814	5.01879	0.0933237	3.00898	0.397589	0.981386	0.547032	2.44579	0.791876	1.27115	0.294317	4.01052	0.605017	1.4316	0.959244	0.458239
0.241071	4.99058	0.0939088	3.01061	0.398218	1.00896	0.549126	2.47934	0.792967	1.29418	0.297738	4.03526	0.606245	1.45629	0.959642	0.476592
0.24476	4.96478	0.0947505	3.0129	0.398978	1.04215	0.551249	2.51241	0.794077	1.31712	0.301181	4.05886	0.607494	1.48081	0.960055	0.495087
0.24789	4.9418	0.0956661	3.01515	0.399881	1.08132	0.5534	2.54502	0.795207	1.33998	0.304643	4.08141	0.608764	1.50522	0.960484	0.513622
0.250467	4.92219	0.0969123	3.01824	0.400817	1.12165	0.555578	2.57711	0.796357	1.36275	0.308123	4.10292	0.610054	1.52949	0.960929	0.532238
0.252497	4.90628	0.0984902	3.02205	0.401789	1.16328	0.557784	2.60871	0.797525	1.38542	0.311622	4.12342	0.611365	1.55362	0.961389	0.550937
0.253985	4.89437	0.100401	3.02629	0.402796	1.20624	0.560016	2.63989	0.798713	1.40799	0.315138	4.14293	0.612697	1.57759	0.961866	0.569641
0.254936	4.88659	0.102646	3.03095	0.40384	1.25062	0.561982	2.66672	0.79992	1.43049	0.318669	4.16152	0.614049	1.60144	0.962358	0.588434
0.2563	4.87509	0.105226	3.03595	0.404923	1.29645	0.563674	2.68922	0.801146	1.45287	0.322216	4.17928	0.615421	1.62517	0.962867	0.607327
0.257779	4.86248	0.10781	3.04054	0.406046	1.34383	0.565084	2.70771	0.802392	1.47515	0.325778	4.1961	0.616813	1.64871	0.963391	0.626257
0.259784	4.84498	0.110398	3.04476	0.407209	1.39279	0.566206	2.72229	0.803656	1.49735	0.329354	4.21205	0.618226	1.6722	0.963932	0.645183
0.26231	4.82218	0.112989	3.04859	0.408415	1.44339	0.567034	2.73285	0.804939	1.51942	0.332943	4.22729	0.619658	1.69551	0.964489	0.66418
0.265348	4.79374	0.115584	3.05208	0.409665	1.49573	0.567566	2.73956	0.80624	1.54144	0.336545	4.24173	0.62111	1.7187	0.965062	0.683238
0.268888	4.75892	0.118181	3.0553	0.410959	1.54986	0.568333	2.74915	0.807561	1.56332	0.340158	4.25536	0.622391	1.73882	0.965651	0.702341
0.272918	4.71724	0.120781	3.05824	0.412301	1.60585	0.56917	2.75956	0.8089	1.58509	0.343783	4.26832	0.623495	1.75592	0.966256	0.72145
0.276912	4.67353	0.123383	3.06087	0.413691	1.66373	0.570313	2.77369	0.810257	1.60682	0.347419	4.28053	0.624416	1.77006	0.966878	0.740573
0.280868	4.62773	0.125987	3.06323	0.415131	1.7236	0.571767	2.79137	0.811633	1.62845	0.351065	4.29202	0.62515	1.78112	0.967516	0.759803
0.284784	4.57984	0.128594	3.06537	0.416623	1.78542	0.573537	2.81253	0.813027	1.64997	0.35472	4.30289	0.625692	1.78918	0.968171	0.779009
0.288658	4.52973	0.131202	3.06732	0.418168	1.84927	0.575631	2.83699	0.81444	1.67135	0.358384	4.31311	0.62604	1.79433	0.968841	0.798244
0.292489	4.47748	0.133811	3.06906	0.419768	1.91526	0.578055	2.86476	0.81587	1.69269	0.362057	4.32263	0.626543	1.80189	0.969528	0.817539
0.296275	4.42308	0.136422	3.07061	0.421426	1.98331	0.580504	2.89208	0.817319	1.71395	0.365737	4.33156	0.627091	1.81008	0.970232	0.836793
0.300013	4.36643	0.139035	3.07199	0.423142	2.0534	0.582975	2.91898	0.818786	1.73504	0.369425	4.33987	0.627841	1.82102	0.970952	0.856125
0.303702	4.30769	0.141648	3.0732	0.424919	2.12556	0.585469	2.94546	0.82027	1.75611	0.373119	4.34756	0.628797	1.83491	0.971688	0.875454
0.307341	4.24692	0.144262	3.07425	0.426758	2.1997	0.587985	2.97154	0.821773	1.77708	0.37682	4.3547	0.629961	1.85162	0.972441	0.894775
0.310926	4.18407	0.146877	3.07513	0.428661	2.27585	0.590524	2.99726	0.823293	1.79792	0.380527	4.36127	0.631341	1.87117	0.97321	0.91416
0.314458	4.11932	0.149493	3.0759	0.430629	2.35388	0.593084	3.02256	0.824831	1.81867	0.384239	4.36721	0.632942	1.89355	0.973996	0.933515
0.317933	4.0528	0.15211	3.07656	0.432665	2.43361	0.595665	3.04744	0.826387	1.83937	0.387956	4.37262	0.634562	1.91581	0.974798	0.952889
0.321352	3.98468	0.154726	3.07713	0.434769	2.51496	0.598268	3.07196	0.82796	1.85999	0.391677	4.3775	0.636201	1.93801	0.975617	0.9723
0.324712	3.91515	0.157344	3.07758	0.436943	2.59783	0.600891	3.09609	0.829551	1.88046	0.395402	4.38182	0.637858	1.96006	0.976452	0.991706
0.328012	3.84437	0.159962	3.07788	0.439188	2.68192	0.603534	3.11991	0.831159	1.90085	0.39913	4.38562	0.639535	1.98208	0.977304	1.0111
0.331251	3.77259	0.162579	3.07815	0.441505	2.76708	0.606198	3.14329	0.832784	1.92118	0.402862	4.38889	0.64123	2.00404	0.978172	1.03048
0.334429	3.70007	0.165198	3.07833	0.443895	2.85307	0.608881	3.1663	0.834427	1.94146	0.406596	4.39165	0.642944	2.02593	0.979057	1.04989
0.337545	3.62707	0.167816	3.07838	0.446358	2.93959	0.611584	3.18903	0.835872	1.95903	0.410332	4.39383	0.644676	2.04775	0.979958	1.0693
0.340599	3.55386	0.170434	3.0784	0.448895	3.02642	0.614306	3.21135	0.837115	1.97395	0.41407	4.39556	0.646427	2.06949	0.980876	1.08871
0.34359	3.48075	0.173052	3.07833	0.451506	3.11324	0.617046	3.2333	0.838149	1.9863	0.417809	4.39679	0.648196	2.09119	0.98181	1.10811
0.34652	3.40805	0.17567	3.07822	0.454191	3.19981	0.619806	3.25495	0.838972	1.99601	0.421549	4.39748	0.649984	2.11283	0.982761	1.1275
0.349387	3.336	0.178288	3.07808	0.456949	3.28578	0.622583	3.27624	0.839579	2.00313	0.42529	4.39771	0.65179	2.13445	0.983728	1.14686
0.352194	3.26483	0.180906	3.07785	0.45978	3.37089	0.625379	3.2972	0.839969	2.00767	0.42903	4.39738	0.653615	2.15604	0.984712	1.16623
0.354941	3.19494	0.183524	3.07758	0.462683	3.45481	0.628192	3.31783	0.840531	2.0142	0.43277	4.39661	0.655458	2.17763	0.985712	1.18565
0.357629	3.12655	0.186141	3.07728	0.465657	3.53728	0.631022	3.33817	0.841144	2.02133	0.436509	4.39539	0.657319	2.19914	0.986728	1.20499
0.360259	3.05981	0.188758	3.07689	0.4687	3.61811	0.63387	3.35817	0.841981	2.03094	0.440246	4.39361	0.659199	2.22064	0.987761	1.22434
0.362834	2.99499	0.191375	3.07649	0.471811	3.69704	0.636735	3.37784	0.843045	2.0431	0.443982	4.39136	0.661097	2.24219	0.988811	1.24369
0.365354	2.93222	0.193992	3.07609	0.474989	3.77385	0.639616	3.39722	0.844341	2.05781	0.447716	4.38867	0.663013	2.26367	0.989877	1.26298
0.367822	2.87174	0.196608	3.07561	0.478231	3.84832	0.642513	3.4163	0.845872	2.07497	0.451448	4.38548	0.664947	2.28516	0.990959	1.28229
0.370239	2.81363	0.199223	3.07517	0.481535	3.92034	0.645427	3.43506	0.847645	2.0946	0.455176	4.38176	0.6669	2.3067	0.991916	1.29912
0.372608	2.75789	0.201839	3.07467	0.484899	3.98981	0.648357	3.45355	0.849435	2.11417	0.458901	4.37761	0.668871	2.32822	0.992741	1.31336
0.37493	2.70471	0.204454	3.0741	0.488322	4.05659	0.651302	3.47174	0.851242	2.13366	0.462623	4.37301	0.67086	2.34981	0.993431	1.32526
0.377208	2.65413	0.207068	3.07353	0.4918	4.12063	0.654262	3.48966	0.853065	2.15303	0.46634	4.36786	0.672868	2.3714	0.99398	1.33454
0.379445	2.60609	0.209682	3.07297	0.495331	4.18186	0.657238	3.50729	0.854904	2.17238	0.470052	4.36228	0.674894	2.39298	0.994386	1.3415
0.381641	2.56065	0.212295	3.07241	0.498913	4.24031	0.660228	3.52465	0.85676	2.19169	0.47376	4.3562	0.676939	2.41465	0.994648	1.34596
0.383801	2.51775	0.214908	3.0718	0.502544	4.29602	0.663233	3.54175	0.858632	2.21089	0.477462	4.34963	0.679001	2.43635	0.995025	1.35217
0.385924	2.47737	0.21752	3.07118	0.506221	4.34886	0.666253	3.55861	0.860521	2.23004	0.481159	4.34265	0.681083	2.45811	0.995436	1.35905
0.388015	2.43948	0.220132	3.07055	0.509941	4.39895	0.669287	3.57518	0.862425	2.24912	0.484849	4.33515	0.683183	2.47995	0.996	1.36832
0.390074	2.40393	0.222743	3.06991	0.513704	4.44642	0.672334	3.59149	0.864347	2.26813	0.488533	4.32719	0.685301	2.50186	0.996718	1.38009
