Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
477  Points		492  Points		478  Points		257  Points		405  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.309671	1.14283	0.116244	2.24549	0.303369	1.22902	0.534435	7.44209	0.482151	4.98008	0.608274	5.31834
0.310732	1.13477	0.118336	2.24502	0.304504	1.20794	0.541351	7.40367	0.486729	4.84451	0.613266	5.39921
0.311786	1.12823	0.120427	2.24449	0.30562	1.18979	0.54823	7.3613	0.490614	4.72531	0.618334	5.48047
0.312834	1.12307	0.122518	2.24404	0.306721	1.17423	0.555068	7.31511	0.493849	4.62323	0.623478	5.56161
0.313879	1.11912	0.124609	2.24359	0.307808	1.16103	0.561861	7.26527	0.496471	4.5387	0.628698	5.64216
0.31492	1.11627	0.126699	2.24315	0.308884	1.14989	0.568606	7.21187	0.498509	4.472	0.633992	5.72151
0.315959	1.11447	0.128789	2.24278	0.309951	1.14058	0.5753	7.15504	0.499989	4.42289	0.639359	5.79922
0.316996	1.11356	0.130878	2.24238	0.31101	1.13289	0.581939	7.09491	0.500928	4.39156	0.644798	5.87479
0.318034	1.11343	0.132967	2.242	0.312062	1.12674	0.58852	7.03156	0.502265	4.34672	0.650306	5.9478
0.319071	1.11404	0.135056	2.24162	0.313109	1.12194	0.595042	6.96514	0.503704	4.29803	0.655881	6.01785
0.32011	1.11535	0.137144	2.24129	0.314153	1.11826	0.601499	6.89581	0.505634	4.23211	0.66152	6.08456
0.32115	1.11724	0.139232	2.24097	0.315193	1.11572	0.607891	6.82364	0.508032	4.14935	0.667219	6.14768
0.322191	1.11969	0.14132	2.24063	0.316232	1.11416	0.614214	6.74875	0.510869	4.05035	0.672975	6.20697
0.323236	1.12262	0.143407	2.24035	0.317269	1.11342	0.620467	6.67124	0.514111	3.93582	0.678785	6.26227
0.324283	1.12598	0.145495	2.24007	0.318306	1.11352	0.626646	6.59131	0.517717	3.80708	0.684645	6.31341
0.325334	1.12978	0.147582	2.23978	0.319344	1.11434	0.632749	6.509	0.521205	3.68144	0.69055	6.3603
0.326389	1.13393	0.149668	2.23952	0.320383	1.11578	0.638774	6.42445	0.524577	3.55933	0.696496	6.40289
0.327447	1.13842	0.151755	2.23928	0.321423	1.11782	0.64472	6.33788	0.527838	3.44108	0.702481	6.44112
0.32851	1.14322	0.153841	2.23902	0.322466	1.12041	0.650584	6.24933	0.530989	3.32687	0.708499	6.47502
0.329577	1.1483	0.155927	2.23878	0.323511	1.12346	0.656365	6.15895	0.534037	3.21689	0.714546	6.50468
0.33065	1.15361	0.158013	2.23855	0.324559	1.12693	0.662061	6.06697	0.536984	3.11118	0.720619	6.53007
0.331727	1.15911	0.160098	2.23832	0.325611	1.13083	0.66767	5.97346	0.539834	3.00983	0.726714	6.55128
0.332809	1.16483	0.162183	2.23813	0.326666	1.13508	0.673192	5.87859	0.542592	2.91287	0.732827	6.56841
0.333897	1.17077	0.164269	2.23789	0.327726	1.13966	0.678624	5.78251	0.545262	2.82026	0.738954	6.58152
0.334991	1.17688	0.166354	2.2377	0.32879	1.14452	0.683967	5.68542	0.547847	2.73196	0.745091	6.59067
0.33609	1.18309	0.168438	2.23753	0.329859	1.14965	0.689218	5.58749	0.550353	2.64781	0.751235	6.596
0.337196	1.18943	0.170523	2.23734	0.330932	1.15504	0.694378	5.48888	0.552781	2.5678	0.757382	6.59758
0.338307	1.19588	0.172607	2.23717	0.332011	1.16059	0.6988	5.40257	0.555137	2.49176	0.763529	6.59547
