Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
				0.309612	1.77647	0.0917006	2.25486	0.300051	2.27895	0.462547	7.13762	0.547063	6.60132	0.421748	6.36163	0.56272	4.66031
				0.311233	1.70681	0.0938011	2.25401	0.302116	2.15838	0.469214	7.17059	0.553244	6.66602	0.42462	6.33133	0.567085	4.70977
				0.312793	1.64439	0.0959007	2.25315	0.304073	2.04976	0.475908	7.19603	0.559484	6.72855	0.426723	6.30851	0.571497	4.76005
				0.314297	1.58854	0.0979996	2.25231	0.305935	1.95205	0.482623	7.21454	0.565782	6.78895	0.428065	6.29345	0.575955	4.81132
				0.315753	1.53859	0.100098	2.25157	0.307711	1.8643	0.489352	7.2268	0.572135	6.84726	0.429989	6.27147	0.580462	4.86368
				0.317164	1.49384	0.102195	2.25083	0.309409	1.78553	0.496089	7.2333	0.578541	6.90361	0.432071	6.24714	0.585018	4.91722
				0.318536	1.45385	0.104292	2.25009	0.311038	1.71494	0.50283	7.23444	0.584999	6.95808	0.434891	6.21291	0.589625	4.97192
				0.319873	1.41818	0.106388	2.24947	0.312605	1.65171	0.50957	7.23064	0.591507	7.01069	0.438434	6.16835	0.594283	5.02787
				0.321179	1.38633	0.108483	2.24879	0.314116	1.59504	0.516304	7.22224	0.598063	7.06143	0.442684	6.11232	0.598994	5.08497
				0.322457	1.35792	0.110578	2.24816	0.315577	1.5444	0.523028	7.20961	0.604665	7.1104	0.44762	6.04367	0.603758	5.14315
				0.323709	1.33266	0.112673	2.24759	0.316993	1.49906	0.529738	7.19306	0.611312	7.15764	0.453213	5.96115	0.608577	5.20237
				0.32494	1.31021	0.114766	2.24701	0.31837	1.45851	0.536431	7.17278	0.618002	7.20306	0.458728	5.87466	0.613452	5.26251
				0.326151	1.29028	0.11686	2.2465	0.319711	1.42234	0.543104	7.14898	0.624734	7.24673	0.46416	5.78428	0.618383	5.32331
				0.327344	1.27269	0.118953	2.24599	0.32102	1.39005	0.549752	7.12191	0.631506	7.28866	0.469506	5.69021	0.623371	5.38465
