Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
472  Points		493  Points		472  Points		204  Points		131  Points		121  Points		380  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.331441	1.47429	0.113086	2.24815	0.324256	1.68189	0.501058	7.03475	0.615764	7.0193	0.720474	4.63067	0.450535	6.05396	0.607726	5.14812
0.332799	1.44335	0.115181	2.2476	0.325798	1.63099	0.504242	7.03742	0.622327	7.06761	0.724808	4.67441	0.456142	5.98168	0.612547	5.20086
0.33413	1.41544	0.117274	2.24704	0.327295	1.58492	0.508271	7.03931	0.628934	7.11362	0.729184	4.71823	0.461681	5.90602	0.617418	5.25411
0.335437	1.39024	0.119368	2.2465	0.328751	1.54325	0.513143	7.03933	0.635582	7.15729	0.7336	4.76215	0.467147	5.82699	0.622338	5.30774
0.336721	1.3676	0.12146	2.24605	0.330171	1.5056	0.518858	7.03636	0.64227	7.19871	0.738058	4.80626	0.472539	5.74474	0.627308	5.36167
0.337985	1.3473	0.123553	2.24556	0.331557	1.47158	0.525411	7.02936	0.648996	7.23774	0.742556	4.85069	0.477852	5.65942	0.632329	5.4157
0.339231	1.32904	0.125645	2.24507	0.332913	1.44087	0.531956	7.01872	0.655757	7.27437	0.747096	4.89552	0.483085	5.5712	0.6374	5.46962
0.340462	1.31273	0.127736	2.24463	0.334242	1.41318	0.53849	7.00468	0.662551	7.30864	0.751678	4.94095	0.488233	5.48028	0.642521	5.52335
0.341677	1.29821	0.129827	2.2442	0.335546	1.38824	0.545009	6.98737	0.669376	7.34043	0.756303	4.98699	0.493296	5.38689	0.647692	5.57668
0.342881	1.28526	0.131918	2.2438	0.336828	1.3658	0.55151	6.96707	0.676229	7.36966	0.760971	5.03379	0.498271	5.29127	0.652912	5.62936
0.344072	1.27381	0.134009	2.24345	0.338091	1.34565	0.557991	6.94396	0.683108	7.39632	0.765683	5.08156	0.503156	5.19365	0.658181	5.68119
0.345254	1.26372	0.136099	2.24306	0.339336	1.32759	0.564449	6.91819	0.690011	7.42034	0.77044	5.13036	0.507949	5.09438	0.663499	5.73195
0.346427	1.25489	0.138188	2.24271	0.340565	1.31146	0.570882	6.88993	0.696935	7.44159	0.775243	5.18043	0.512649	4.9937	0.668862	5.78148
0.347593	1.24719	0.140278	2.2424	0.34178	1.29706	0.577288	6.85924	0.703878	7.45991	0.780093	5.23186	0.517254	4.8919	0.673574	5.82351
0.348751	1.24051	0.142367	2.24205	0.342982	1.28425	0.583664	6.82628	0.710836	7.47531	0.784992	5.28485	0.521764	4.7894	0.677616	5.85845
0.349904	1.23483	0.144455	2.24174	0.344173	1.27291	0.590008	6.7912	0.717807	7.48765	0.789941	5.33956	0.526179	4.68645	0.680978	5.88655
0.351052	1.23008	0.146544	2.24143	0.345354	1.26291	0.596319	6.75407	0.724789	7.49674	0.794942	5.39617	0.530497	4.58329	0.683646	5.90828
0.352196	1.22613	0.148632	2.24113	0.346526	1.25418	0.602594	6.71496	0.731777	7.50246	0.799996	5.4549	0.534719	4.48034	0.685615	5.92393
0.353337	1.22293	0.15072	2.24087	0.347691	1.24659	0.608831	6.67391	0.738769	7.50468	0.805106	5.51588	0.538846	4.37785	0.686878	5.93386
0.354475	1.2204	0.152808	2.2406	0.348849	1.24001	0.61503	6.63104	0.745761	7.50332	0.810274	5.57933	0.542877	4.2761	0.688696	5.94792
0.355611	1.21858	0.154895	2.24035	0.350001	1.23442	0.621187	6.58643	0.75275	7.4982	0.815503	5.64543	0.546814	4.17535	0.690678	5.96291
0.356746	1.21734	0.156982	2.24012	0.351149	1.22971	0.627303	6.54006	0.759733	7.48912	0.820794	5.71436	0.550657	4.07583	0.693381	5.98295
0.357879	1.21663	0.159069	2.23985	0.352293	1.22582	0.633374	6.49208	0.766705	7.47608	0.826151	5.78621	0.554409	3.9778	0.696812	6.00739
0.359013	1.21644	0.161156	2.23965	0.353433	1.22267	0.6394	6.44246	0.773664	7.45902	0.831576	5.86116	0.558069	3.88144	0.70098	6.03585
0.360146	1.21673	0.163243	2.23943	0.354571	1.22022	0.645379	6.39128	0.779713	7.44083	0.837072	5.93926	0.561641	3.7869	0.705894	6.06764
0.36128	1.21745	0.165329	2.23918	0.355707	1.21844	0.651309	6.33859	0.784857	7.42285	0.842643	6.02055	0.565126	3.69429	0.711564	6.10198
0.362269	1.21838	0.167415	2.23898	0.356842	1.21726	0.65719	6.28442	0.789101	7.40616	0.848291	6.10504	0.568525	3.60382	0.717264	6.13387
0.363112	1.21942	0.169501	2.23881	0.357975	1.21659	0.66302	6.22884	0.792449	7.39188	0.854019	6.19258	0.571841	3.51563	0.722994	6.16322
0.36381	1.22052	0.171587	2.23861	0.359109	1.21644	0.668797	6.17186	0.794907	7.38092	0.85983	6.283	0.575076	3.42967	0.728749	6.19002
0.364363	1.22134	0.173673	2.23844	0.360242	1.21681	0.67452	6.1136	0.796478	7.3735	0.865727	6.37608	0.578232	3.34605	0.734528	6.2143
0.36477	1.22209	0.175758	2.23828	0.361376	1.21754	0.680189	6.05404	0.798734	7.36243	0.871711	6.47136	0.581311	3.26486	0.740329	6.23595
0.36503	1.2226	0.177843	2.23809	0.362511	1.21868	0.685801	5.99324	0.801182	7.35	0.877786	6.56846	0.584316	3.18612	0.746148	6.25502
0.365404	1.22323	0.179928	2.23789	0.363647	1.22023	0.691357	5.93134	0.804504	7.33212	0.883951	6.66685	0.587248	3.10979	0.751984	6.27152
0.365811	1.22399	0.182013	2.23775	0.364784	1.22211	0.696854	5.86832	0.808694	7.30835	0.890209	6.76579	0.590111	3.03592	0.757834	6.28544
0.366365	1.22516	0.184098	2.23761	0.365924	1.22433	0.702292	5.80425	0.813742	7.27787	0.896558	6.86472	0.592905	2.96449	0.763696	6.29683
