Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
465  Points		492  Points		184  Points		137  Points		118  Points		344  Points		150  Points		120  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.332738	2.78609	0.102713	2.2548	0.443885	5.87691	0.623383	5.52832	0.688819	4.32008	0.393127	6.22029	0.551429	4.3723	0.794255	3.19746
0.335289	2.69128	0.104813	2.25405	0.449391	5.93927	0.627895	5.58363	0.692874	4.3845	0.398912	6.19615	0.553413	4.39348	0.797252	3.23663
0.337753	2.60186	0.106913	2.2533	0.454952	5.99638	0.631775	5.62805	0.696989	4.45012	0.404673	6.16987	0.555935	4.41993	0.800286	3.27527
0.340137	2.51758	0.109012	2.25256	0.460564	6.04833	0.635006	5.66287	0.701166	4.51719	0.410409	6.14153	0.559005	4.45177	0.803355	3.31344
0.342444	2.43821	0.11111	2.2519	0.466223	6.09526	0.637575	5.68914	0.705407	4.58587	0.416117	6.1111	0.562635	4.48876	0.80646	3.35119
0.34468	2.36357	0.113208	2.25124	0.471922	6.13725	0.639471	5.70769	0.709711	4.65628	0.421796	6.0786	0.566837	4.5308	0.8096	3.38845
0.346849	2.29346	0.115305	2.25058	0.477659	6.17454	0.640688	5.71932	0.714083	4.72863	0.427444	6.04401	0.571077	4.57243	0.812774	3.42525
0.348954	2.22765	0.117402	2.25003	0.483428	6.20736	0.642441	5.73549	0.718523	4.803	0.433059	6.00737	0.575357	4.61372	0.815982	3.46165
0.351	2.16591	0.119498	2.24943	0.489225	6.23589	0.644353	5.75237	0.723033	4.8796	0.438638	5.96877	0.579675	4.65469	0.819224	3.4976
0.35299	2.10798	0.121593	2.24887	0.495048	6.26034	0.646961	5.77434	0.727615	4.95854	0.444181	5.92815	0.58403	4.69539	0.8225	3.53311
