Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
486  Points		495  Points		317  Points		169  Points		153  Points		425  Points		426  Points		202  Points		153  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.253923	5.35969	0.0796047	1.84022	0.353856	7.57713	0.449339	9.56137	0.618514	13.2745	0.301127	7.06815	0.298242	7.09386	0.490141	10.3373	0.696174	14.8498
0.256161	5.30263	0.0817178	1.84924	0.358228	7.52071	0.453475	9.46179	0.620755	13.0614	0.304685	7.03733	0.3018	7.06225	0.492655	10.19	0.697716	14.5927
0.258286	5.24546	0.08383	1.85787	0.362717	7.46886	0.457656	9.36694	0.623029	12.8572	0.308855	7.00235	0.305973	7.0264	0.495203	10.0491	0.699301	14.3463
0.260309	5.18836	0.0859415	1.86613	0.366717	7.42706	0.461882	9.27652	0.625336	12.6614	0.313635	6.96363	0.310757	6.98677	0.497786	9.91406	0.700931	14.11
0.262237	5.13151	0.0880522	1.87405	0.370186	7.39368	0.46615	9.19028	0.627676	12.4735	0.318407	6.9263	0.315534	6.94862	0.500403	9.78464	0.702606	13.8833
0.264079	5.07504	0.0901621	1.88164	0.373094	7.36754	0.47046	9.10795	0.630048	12.293	0.323168	6.89022	0.320302	6.91181	0.503057	9.66053	0.704325	13.6657
0.265844	5.01909	0.0922711	1.88893	0.375416	7.34773	0.474812	9.02933	0.632453	12.1196	0.327917	6.85529	0.325059	6.8762	0.505746	9.54145	0.70609	13.4567
0.267539	4.96377	0.0943793	1.89592	0.377136	7.33363	0.479203	8.95419	0.63489	11.9529	0.33265	6.82138	0.329801	6.84169	0.508471	9.42716	0.707899	13.2558
0.26917	4.90917	0.0964865	1.90264	0.378242	7.32481	0.483633	8.88235	0.637357	11.7925	0.337366	6.78839	0.334528	6.80816	0.511233	9.31742	0.709754	13.0626
0.270745	4.85539	0.0985929	1.9091	0.379839	7.31238	0.488102	8.81361	0.639857	11.6381	0.342063	6.75623	0.339237	6.77551	0.514032	9.21201	0.711654	12.8768
0.272268	4.80247	0.100698	1.91532	0.381583	7.29922	0.492609	8.74781	0.642387	11.4894	0.346737	6.7248	0.343925	6.74365	0.51687	9.11074	0.713599	12.6979
0.273746	4.75047	0.102803	1.9213	0.383971	7.28185	0.497152	8.6848	0.644947	11.3462	0.351387	6.69403	0.34859	6.71249	0.519746	9.01342	0.715589	12.5257
0.275184	4.69943	0.104907	1.92707	0.387013	7.26073	0.501731	8.62442	0.647538	11.208	0.356011	6.66383	0.353229	6.68196	0.522662	8.91986	0.717625	12.3598
0.276585	4.64938	0.10701	1.93262	0.390723	7.23637	0.506346	8.56655	0.650159	11.0748	0.360605	6.63413	0.357842	6.65196	0.525618	8.82992	0.719706	12.1998
0.277953	4.60034	0.109112	1.93798	0.395114	7.2093	0.510995	8.51104	0.652811	10.9462	0.365168	6.60487	0.362424	6.62245	0.528616	8.74343	0.721831	12.0456
0.279293	4.55232	0.111213	1.94314	0.400201	7.18004	0.515678	8.45779	0.655492	10.8221	0.369698	6.57598	0.366974	6.59334	0.531656	8.66025	0.724002	11.8969
0.280608	4.50533	0.113314	1.94813	0.405331	7.15252	0.520394	8.40668	0.658203	10.7023	0.374191	6.5474	0.371489	6.56458	0.534739	8.58026	0.726217	11.7533
0.281901	4.45937	0.115414	1.95295	0.410498	7.12654	0.525143	8.35761	0.660943	10.5864	0.378646	6.51907	0.375968	6.53611	0.537867	8.50332	0.728476	11.6148
0.283173	4.41444	0.117513	1.9576	0.415697	7.10192	0.529924	8.31047	0.663713	10.4745	0.38306	6.49095	0.380407	6.50787	0.541039	8.42931	0.73078	11.4809
0.284429	4.37054	0.119611	1.9621	0.420922	7.07852	0.534737	8.26518	0.666512	10.3662	0.387432	6.46299	0.384804	6.47982	0.544257	8.35812	0.733127	11.3517
0.285669	4.32764	0.121708	1.96646	0.426169	7.0562	0.539581	8.22166	0.669341	10.2615	0.391757	6.43514	0.389158	6.4519	0.547522	8.28965	0.735518	11.2267
0.286897	4.28575	0.123805	1.97067	0.431432	7.03482	0.544455	8.1798	0.672199	10.1602	0.396036	6.40735	0.393465	6.42408	0.550834	8.22379	0.737952	11.1059
