Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3		Asym4	
484  Points		494  Points		484  Points		303  Points		159  Points		145  Points		421  Points		186  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.259649	2.48939	0.0794494	2.2667	0.244975	3.41471	0.365999	5.17523	0.452978	4.7192	0.625311	2.66262	0.326895	5.45894	0.496814	2.95402	0.699275	1.7603
0.261902	2.35254	0.0815609	2.26582	0.248065	3.2221	0.370882	5.30016	0.457401	4.77327	0.62781	2.70185	0.328711	5.45394	0.499584	2.99286	0.70094	1.81448
0.264033	2.22729	0.0836715	2.2649	0.250979	3.03747	0.375875	5.41306	0.461873	4.82591	0.630345	2.74055	0.329872	5.45046	0.502391	3.03179	0.702656	1.86906
0.266052	2.11333	0.0857813	2.26393	0.253725	2.86242	0.380968	5.51434	0.466393	4.87706	0.632916	2.7787	0.33154	5.44523	0.505234	3.07097	0.704423	1.92403
0.26797	2.01014	0.0878901	2.26297	0.256313	2.69796	0.38615	5.60462	0.470961	4.92684	0.635523	2.81632	0.333351	5.4392	0.508113	3.11045	0.706242	1.97941
0.269798	1.91699	0.0899981	2.26201	0.258752	2.54487	0.391412	5.68448	0.475574	4.97535	0.638164	2.85348	0.33581	5.43028	0.51103	3.15036	0.708112	2.03502
0.271543	1.83329	0.0921051	2.26102	0.261055	2.4035	0.396743	5.75463	0.480232	5.02257	0.64084	2.89015	0.338915	5.41821	0.513983	3.19086	0.710034	2.09093
0.273214	1.75827	0.0942112	2.26005	0.263231	2.27386	0.402135	5.81582	0.484933	5.0686	0.64355	2.92635	0.34266	5.40207	0.516975	3.23202	0.712008	2.1471
0.274819	1.69112	0.0963164	2.25908	0.265292	2.15564	0.40758	5.86863	0.489676	5.11348	0.646293	2.96214	0.347038	5.38122	0.520006	3.2739	0.714034	2.2034
0.276365	1.63124	0.0984208	2.25816	0.267248	2.04838	0.413071	5.91388	0.494461	5.15732	0.649069	2.99754	0.352039	5.3546	0.523076	3.31666	0.716114	2.25982
0.277859	1.57791	0.100524	2.25726	0.269109	1.9515	0.417887	5.94763	0.499286	5.20018	0.651879	3.03259	0.357015	5.32514	0.526186	3.36041	0.718245	2.31633
0.279305	1.53043	0.102627	2.25634	0.270884	1.86427	0.422012	5.97245	0.504151	5.24204	0.65472	3.06723	0.361962	5.29276	0.529338	3.40522	0.72043	2.3729
0.28071	1.48835	0.104729	2.25544	0.272583	1.78598	0.425436	5.99026	0.509054	5.28297	0.657594	3.10152	0.366878	5.25745	0.532531	3.45112	0.722667	2.42941
0.282079	1.45107	0.10683	2.25458	0.274212	1.71593	0.42815	6.00287	0.513995	5.32309	0.6605	3.13559	0.371759	5.21914	0.535768	3.49816	0.724957	2.48582
0.283414	1.41805	0.10893	2.25375	0.27578	1.65336	0.430149	6.01118	0.518973	5.36237	0.663437	3.16939	0.376603	5.17784	0.53905	3.54647	0.727299	2.5421
0.284721	1.38897	0.111029	2.25293	0.277293	1.59758	0.431429	6.01604	0.523988	5.40089	0.666406	3.20292	0.381407	5.13356	0.542377	3.59598	0.729694	2.5982
0.286002	1.36335	0.113128	2.25212	0.278757	1.54793	0.433272	6.02262	0.529037	5.43866	0.669405	3.23629	0.386169	5.0863	0.545751	3.64675	0.732141	2.65406
0.287261	1.34089	0.115226	2.25135	0.280177	1.50385	0.435277	6.02908	0.534122	5.47576	0.672436	3.26948	0.390885	5.03597	0.549172	3.69878	0.734639	2.7096
0.288501	1.32124	0.117323	2.25064	0.281559	1.46478	0.438008	6.0368	0.539241	5.51223	0.675498	3.30255	0.395553	4.98268	0.552643	3.75193	0.73719	2.76473
0.289723	1.30412	0.11942	2.24991	0.282907	1.43019	0.441465	6.04489	0.544393	5.54804	0.67859	3.33558	0.40017	4.92649	0.556164	3.80623	0.739791	2.81948
0.290931	1.2893	0.121516	2.24918	0.284224	1.39968	0.445652	6.05225	0.549579	5.58325	0.681713	3.36854	0.404733	4.86733	0.559735	3.86159	0.742443	2.87375
0.292126	1.2765	0.123611	2.24853	0.285515	1.37278	0.450569	6.0577	0.554797	5.61787	0.684867	3.40142	0.409239	4.80538	0.563359	3.91787	0.745146	2.9275
0.29331	1.26563	0.125705	2.24787	0.286782	1.34914	0.456215	6.06018	0.560047	5.65194	0.688051	3.43445	0.413687	4.74068	0.567036	3.97493	0.747898	2.98066
