Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		481  Points		493  Points		481  Points		280  Points		143  Points		413  Points		163  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
				0.339263	3.5694	0.201197	2.0908	0.339226	3.57009	0.691595	7.24828	0.828102	8.27136	0.557019	5.84616	0.75954	7.94901
				0.340462	3.54724	0.20328	2.09218	0.340425	3.54792	0.695851	7.22235	0.834538	8.2588	0.558836	5.80843	0.764286	7.93128
				0.341667	3.52558	0.205362	2.09353	0.34163	3.52624	0.700032	7.19617	0.840947	8.24619	0.560618	5.77106	0.769721	7.91119
				0.342879	3.50439	0.207444	2.09486	0.342841	3.50504	0.70414	7.16972	0.846508	8.23515	0.562367	5.73407	0.775141	7.89134
				0.344097	3.48366	0.209525	2.09616	0.344059	3.4843	0.708175	7.14304	0.851229	8.2257	0.564085	5.69747	0.780545	7.87168
				0.345321	3.46339	0.211607	2.09744	0.345283	3.46401	0.712137	7.11613	0.85512	8.21785	0.565774	5.66125	0.785929	7.85221
				0.346551	3.44355	0.213689	2.09869	0.346513	3.44416	0.716027	7.089	0.858188	8.21162	0.567434	5.62542	0.791293	7.83288
				0.347788	3.42414	0.21577	2.09992	0.34775	3.42474	0.719846	7.06167	0.860438	8.20702	0.569068	5.58998	0.796633	7.81368
				0.349031	3.40515	0.217852	2.10112	0.348993	3.40573	0.723595	7.03416	0.861876	8.20407	0.570677	5.55494	0.801948	7.79458
				0.350281	3.38656	0.219933	2.1023	0.350242	3.38713	0.727274	7.00647	0.863939	8.19982	0.572261	5.5203	0.807235	7.77555
				0.351537	3.36836	0.222014	2.10346	0.351498	3.36892	0.730886	6.97863	0.866178	8.19518	0.573823	5.48606	0.812493	7.75659
				0.3528	3.35054	0.224095	2.1046	0.35276	3.35109	0.734431	6.95064	0.869215	8.18885	0.575363	5.45222	0.81772	7.73767
				0.354068	3.3331	0.226176	2.10572	0.354029	3.33364	0.73791	6.92252	0.873043	8.18081	0.576883	5.41878	0.822914	7.71877
				0.355343	3.31602	0.228257	2.10682	0.355304	3.31654	0.741324	6.89429	0.877653	8.17102	0.578383	5.38574	0.828074	7.69987
				0.356625	3.29929	0.230338	2.1079	0.356585	3.2998	0.744675	6.86596	0.883034	8.15943	0.579865	5.3531	0.833197	7.68097
				0.357913	3.28291	0.232418	2.10896	0.357873	3.28341	0.747963	6.83755	0.889171	8.14601	0.58133	5.32085	0.838282	7.66204
				0.359206	3.26686	0.234499	2.11	0.359166	3.26735	0.751191	6.80906	0.895268	8.13246	0.582778	5.28901	0.843327	7.64306
				0.360507	3.25114	0.236579	2.11102	0.360466	3.25162	0.754359	6.78051	0.901324	8.11876	0.584211	5.25755	0.848332	7.62404
				0.361813	3.23573	0.23866	2.11202	0.361773	3.2362	0.757469	6.75192	0.90734	8.10493	0.585629	5.22649	0.853294	7.60496
				0.363126	3.22063	0.24074	2.11301	0.363085	3.2211	0.760521	6.7233	0.913315	8.09096	0.587032	5.19582	0.858212	7.5858
				0.364445	3.20584	0.24282	2.11398	0.364404	3.20629	0.763519	6.69465	0.91925	8.07687	0.588423	5.16553	0.863085	7.56656
				0.36577	3.19134	0.2449	2.11494	0.365728	3.19178	0.766462	6.666	0.925144	8.06266	0.589801	5.13562	0.867912	7.54723
				0.367101	3.17713	0.24698	2.11588	0.367059	3.17756	0.769352	6.63736	0.930999	8.04833	0.591168	5.1061	0.872691	7.52781
				0.368438	3.16319	0.24906	2.1168	0.368396	3.16362	0.772191	6.60872	0.936814	8.0339	0.592523	5.07694	0.877423	7.50828
				0.369781	3.14953	0.25114	2.11771	0.369739	3.14995	0.774979	6.58012	0.942591	8.01936	0.593868	5.04817	0.882105	7.48864
				0.37113	3.13613	0.25322	2.1186	0.371088	3.13655	0.777718	6.55155	0.94833	8.00474	0.595202	5.01976	0.886738	7.46889
				0.372485	3.123	0.2553	2.11948	0.372443	3.1234	0.78041	6.52303	0.954031	7.99002	0.596528	4.99171	0.891319	7.44902
				0.373846	3.11011	0.25738	2.12035	0.373804	3.11051	0.783056	6.49457	0.959695	7.97523	0.597844	4.96403	0.89585	7.42904
				0.375213	3.09748	0.259459	2.1212	0.375171	3.09786	0.785656	6.46617	0.965323	7.96036	0.599153	4.9367	0.900329	7.40894
				0.376586	3.08508	0.261539	2.12204	0.376543	3.08546	0.788213	6.43784	0.970914	7.94543	0.600453	4.90973	0.904755	7.38872
				0.377964	3.07292	0.263618	2.12286	0.377922	3.07329	0.790727	6.4096	0.97647	7.93043	0.601746	4.8831	0.909129	7.36837
				0.379349	3.06099	0.265698	2.12367	0.379306	3.06135	0.793199	6.38145	0.981991	7.91537	0.603032	4.85682	0.91345	7.34791
				0.380739	3.04928	0.267777	2.12447	0.380696	3.04964	0.795632	6.35339	0.987476	7.90026	0.604312	4.83087	0.917718	7.32732
				0.382134	3.03779	0.269857	2.12526	0.382091	3.03814	0.798025	6.32544	0.992927	7.88509	0.605586	4.80526	0.921933	7.30662
				0.383536	3.02651	0.271936	2.12603	0.383492	3.02686	0.80038	6.29761	0.998342	7.86986	0.606854	4.77999	0.926095	7.28581
				0.384943	3.01545	0.274015	2.1268	0.384899	3.01579	0.802699	6.26988	1.00372	7.85459	0.608116	4.75504	0.930203	7.26488
				0.386355	3.00458	0.276094	2.12755	0.386311	3.00492	0.804981	6.24229			0.609374	4.73041	0.934259	7.24385
				0.387773	2.99392	0.278173	2.12829	0.387729	2.99424	0.807229	6.21482			0.610627	4.7061	0.938262	7.22271
				0.389196	2.98345	0.280252	2.12902	0.389152	2.98377	0.809444	6.18748			0.611876	4.6821	0.942212	7.20147
				0.390625	2.97316	0.282331	2.12974	0.390581	2.97348	0.811625	6.16029			0.613121	4.65842	0.946111	7.18013
				0.392059	2.96307	0.28441	2.13045	0.392015	2.96338	0.813775	6.13323			0.614362	4.63504	0.949957	7.1587
				0.393499	2.95315	0.286489	2.13115	0.393454	2.95346	0.815894	6.10633			0.6156	4.61196	0.953752	7.13719
				0.394944	2.94341	0.288568	2.13184	0.394899	2.94371	0.817984	6.07957			0.616834	4.58917	0.957496	7.1156
				0.396394	2.93385	0.290647	2.13252	0.396349	2.93414	0.820044	6.05297			0.618066	4.56668	0.96119	7.09393
				0.397849	2.92445	0.292725	2.13319	0.397804	2.92474	0.822077	6.02653			0.619295	4.54448	0.964834	7.0722
				0.399309	2.91522	0.294804	2.13385	0.399264	2.91551	0.824082	6.00024			0.620522	4.52256	0.968429	7.0504
				0.400775	2.90615	0.296883	2.1345	0.400729	2.90643	0.826061	5.97412			0.621746	4.50092	0.971975	7.02854
				0.402245	2.89724	0.298961	2.13514	0.4022	2.89752	0.828014	5.94817			0.622969	4.47956	0.975473	7.00663
				0.403721	2.88849	0.30104	2.13577	0.403675	2.88876	0.829943	5.92239			0.62419	4.45847	0.978924	6.98467
				0.405201	2.87988	0.303118	2.1364	0.405155	2.88015	0.831847	5.89677			0.625409	4.43764	0.982328	6.96267
				0.406686	2.87142	0.305197	2.13701	0.40664	2.87168	0.833728	5.87133			0.626627	4.41708	0.985686	6.94064
				0.408177	2.86311	0.307275	2.13762	0.40813	2.86337	0.835587	5.84606			0.627843	4.39679	0.988999	6.91858
