Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
459  Points		491  Points		459  Points		138  Points		110  Points		101  Points		321  Points		118  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.400923	1.27616	0.143816	2.24069	0.394816	1.36321	0.66626	7.95834	0.817049	8.52225	0.869276	7.41618	0.599072	5.74035	0.532738	5.31354
0.402106	1.26323	0.145903	2.24052	0.396076	1.34233	0.673658	7.92061	0.824971	8.48044	0.876237	7.52943	0.604364	5.61915	0.527821	5.2403
0.403277	1.25156	0.147991	2.24032	0.397317	1.32325	0.681019	7.8808	0.832851	8.43242	0.883306	7.64681	0.609542	5.49768	0.522973	5.1645
0.404438	1.24105	0.150078	2.24011	0.398542	1.30591	0.688343	7.83899	0.840684	8.37892	0.890486	7.76768	0.614608	5.37634	0.518197	5.08598
0.40559	1.2316	0.152165	2.23993	0.399751	1.29017	0.695626	7.79517	0.847467	8.32837	0.89778	7.89113	0.619561	5.25551	0.513496	5.00461
0.406733	1.22318	0.154252	2.23977	0.400946	1.27589	0.702868	7.74941	0.853216	8.2829	0.90519	8.01615	0.624401	5.13528	0.508872	4.92035
0.407869	1.21571	0.156338	2.23958	0.402128	1.26297	0.710067	7.70171	0.857945	8.24393	0.912717	8.14161	0.62913	5.01603	0.504328	4.83306
0.408998	1.20911	0.158425	2.23941	0.403299	1.25134	0.717219	7.65211	0.861669	8.21255	0.920361	8.26627	0.633748	4.89807	0.499866	4.74269
0.410122	1.20332	0.160511	2.23929	0.40446	1.24088	0.724325	7.60072	0.864398	8.18912	0.928121	8.38894	0.638257	4.78152	0.49549	4.64909
0.41124	1.19825	0.162598	2.23912	0.405611	1.23144	0.731383	7.54749	0.86614	8.17398	0.935993	8.50846	0.642658	4.66662	0.491203	4.55223
0.412355	1.1939	0.164684	2.23896	0.406754	1.22305	0.738389	7.49242	0.868639	8.15229	0.943975	8.6238	0.646953	4.55359	0.487008	4.45205
0.413465	1.19019	0.16677	2.23884	0.40789	1.2156	0.745344	7.43562	0.871348	8.12864	0.952062	8.7342	0.651143	4.44254	0.482907	4.3485
0.414572	1.18708	0.168855	2.23871	0.40902	1.20898	0.752245	7.37712	0.875019	8.09643	0.96025	8.83914	0.655231	4.33362	0.478905	4.2415
0.415677	1.18459	0.170941	2.23857	0.410143	1.20318	0.75909	7.31693	0.879641	8.05598	0.967463	8.92577	0.659218	4.22698	0.475004	4.13094
0.41678	1.18256	0.173027	2.23847	0.411262	1.19816	0.765879	7.25508	0.8852	8.00778	0.973666	8.99591	0.663107	4.12268	0.471207	4.01692
0.417739	1.18117	0.175112	2.23834	0.412376	1.19382	0.772609	7.19164	0.891679	7.95286	0.97883	9.05122	0.6669	4.0208	0.467518	3.89941
0.418556	1.18031	0.177198	2.23821	0.413486	1.19011	0.77928	7.12666	0.89906	7.89275	0.982936	9.09331	0.6706	3.92145	0.463941	3.77829
0.419232	1.17975	0.179283	2.2381	0.414593	1.18704	0.785889	7.06016	0.906386	7.83633	0.985967	9.12345	0.674207	3.82464	0.460478	3.65358
0.419766	1.17947	0.181368	2.23801	0.415698	1.18456	0.792436	6.99226	0.913662	7.78432	0.987912	9.14212	0.677726	3.73039	0.457133	3.52533
0.420158	1.17928	0.183453	2.23789	0.416801	1.18255	0.798918	6.92301	0.920891	7.73711	0.990714	9.16839	0.681159	3.63869	0.453909	3.39361
