Sym0		Asym0		Sym2		Sym3		Sym4		Asym1		Asym3	
461  Points		490  Points		148  Points		115  Points		105  Points		328  Points		124  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.399533	5.13961	0.155562	2.08332	0.673755	9.24565	0.805117	10.813	0.878445	11.2903	0.60076	8.24425	0.736845	10.0825
0.400718	5.09381	0.157649	2.08525	0.680667	9.22259	0.807758	10.8002	0.885561	11.2471	0.605525	8.20474	0.743265	10.0423
0.401895	5.04897	0.159735	2.08714	0.687541	9.19959	0.811341	10.7828	0.892791	11.2063	0.61019	8.16487	0.749719	10.0036
0.403065	5.00509	0.161822	2.08897	0.694374	9.17662	0.815856	10.761	0.899182	11.1726	0.614755	8.12466	0.756206	9.96621
0.404229	4.96213	0.163908	2.09076	0.701166	9.15367	0.821292	10.7347	0.904697	11.1453	0.61922	8.08413	0.762722	9.93016
0.405386	4.92007	0.165995	2.0925	0.707915	9.13072	0.827633	10.704	0.909303	11.1236	0.623588	8.04332	0.769267	9.89534
0.406539	4.87889	0.168081	2.0942	0.714619	9.10775	0.834858	10.6689	0.912973	11.107	0.627859	8.00224	0.775838	9.86167
0.407687	4.83856	0.170167	2.09586	0.721278	9.08473	0.842027	10.6339	0.915688	11.0952	0.632035	7.96093	0.782433	9.8291
0.408685	4.80411	0.172253	2.09749	0.727889	9.06166	0.84914	10.599	0.917432	11.0877	0.636117	7.9194	0.78905	9.79756
0.409533	4.77523	0.174339	2.09907	0.734451	9.03851	0.856196	10.5642	0.919948	11.0771	0.640106	7.8777	0.795688	9.76698
0.410233	4.75169	0.176424	2.10062	0.740962	9.01528	0.863196	10.5295	0.922696	11.0659	0.644005	7.83583	0.802343	9.73731
0.410786	4.73328	0.17851	2.10213	0.747422	8.99195	0.870143	10.495	0.926453	11.0509	0.647815	7.79384	0.809014	9.7085
0.411192	4.71987	0.180595	2.10361	0.753829	8.9685	0.87704	10.4606	0.931237	11.0327	0.651538	7.75174	0.815699	9.68048
0.411452	4.71133	0.18268	2.10505	0.760182	8.94493	0.88389	10.4265	0.937069	11.0115	0.655177	7.70957	0.822394	9.65321
0.411826	4.69914	0.184766	2.10647	0.76648	8.92123	0.890697	10.3925	0.943973	10.9878	0.658732	7.66734	0.829099	9.62663
0.412231	4.68597	0.186851	2.10785	0.772721	8.89739	0.897465	10.3589	0.951975	10.962	0.662206	7.62509	0.835812	9.60071
0.412782	4.66822	0.188936	2.1092	0.778904	8.87339	0.904198	10.3256	0.960057	10.9378	0.665602	7.58284	0.842529	9.57539
0.413479	4.64603	0.191021	2.11052	0.785029	8.84924	0.910901	10.2926	0.968212	10.9148	0.66892	7.54061	0.849249	9.55063
0.414321	4.61956	0.193106	2.11182	0.791093	8.82492	0.917577	10.26	0.976436	10.8931	0.672164	7.49842	0.85597	9.5264
0.415308	4.58903	0.19519	2.11309	0.797097	8.80043	0.924231	10.2279	0.984724	10.8726	0.675334	7.45629	0.862689	9.50265
0.41644	4.55464	0.197275	2.11433	0.80304	8.77576	0.930866	10.1962	0.99307	10.8531	0.678434	7.41425	0.869406	9.47935
0.417571	4.52095	0.199359	2.11554	0.80892	8.75092	0.937486	10.165	1.00147	10.8346	0.681466	7.37231	0.876118	9.45647
0.418703	4.48793	0.201444	2.11674	0.814737	8.7259	0.944093	10.1342			0.68443	7.3305	0.882823	9.43397
0.419835	4.45557	0.203528	2.1179	0.82049	8.7007	0.950689	10.104			0.68733	7.28882	0.889519	9.41181
0.420967	4.42385	0.205613	2.11905	0.826179	8.67531	0.957279	10.0742			0.690167	7.24731	0.896204	9.38998
0.422101	4.39275	0.207697	2.12017	0.831803	8.64975	0.963862	10.045			0.692944	7.20596	0.902877	9.36845
0.423236	4.36226	0.209781	2.12127	0.837362	8.624	0.970442	10.0164			0.695661	7.1648	0.909536	9.34718
