Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
459  Points		492  Points		459  Points		141  Points		111  Points		103  Points		323  Points		121  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.342167	7.67749	0.0772413	1.94853	0.321033	8.14183	0.46821	10.4974	0.581191	13.1048	0.682309	15.5552	0.388524	9.73824	0.567558	12.844
0.345357	7.59039	0.0793439	1.95561	0.325354	8.06095	0.475255	10.4374	0.587419	12.9727	0.687019	15.3368	0.394986	9.70277	0.572854	12.6962
0.348379	7.50316	0.0814456	1.96235	0.329448	7.97821	0.482381	10.3814	0.593777	12.8487	0.691792	15.1287	0.402384	9.66334	0.578202	12.5554
0.351243	7.41603	0.0835465	1.96877	0.333323	7.89394	0.489579	10.3292	0.600259	12.7323	0.696626	14.9302	0.40976	9.6251	0.583601	12.4214
0.35396	7.32923	0.0856465	1.9749	0.336989	7.80847	0.495904	10.2865	0.606859	12.6229	0.70152	14.7408	0.417109	9.5879	0.589049	12.2935
0.356543	7.24298	0.0877458	1.98075	0.340457	7.72212	0.50133	10.2518	0.613573	12.5199	0.706474	14.5598	0.424429	9.5516	0.594547	12.1716
0.359	7.15743	0.0898442	1.98634	0.343739	7.6352	0.505838	10.2244	0.620394	12.4229	0.711487	14.3869	0.431716	9.51606	0.600092	12.0552
0.361342	7.07274	0.091942	1.9917	0.346846	7.54801	0.509414	10.2033	0.627316	12.3314	0.716558	14.2215	0.438966	9.48117	0.605686	11.944
0.363578	6.98904	0.0940391	1.99682	0.349789	7.46079	0.512051	10.1882	0.634335	12.2451	0.721686	14.0632	0.446177	9.44681	0.611326	11.8377
0.365715	6.90644	0.0961355	2.00174	0.352581	7.3738	0.513741	10.1787	0.641446	12.1636	0.72687	13.9117	0.453345	9.41288	0.617014	11.7361
0.367763	6.82502	0.0982313	2.00645	0.355232	7.28724	0.516173	10.1653	0.648642	12.0866	0.732111	13.7665	0.460465	9.37929	0.622748	11.6389
0.369728	6.74486	0.100327	2.01098	0.357752	7.20131	0.518822	10.1509	0.655919	12.0136	0.737408	13.6274	0.467535	9.34593	0.628529	11.5459
0.371616	6.66602	0.102421	2.01533	0.360152	7.11616	0.522431	10.1318	0.663272	11.9444	0.742761	13.4939	0.474551	9.31273	0.634356	11.4569
0.373435	6.58853	0.104515	2.01951	0.362441	7.03194	0.527006	10.1083	0.670696	11.8788	0.748169	13.366	0.481509	9.27961	0.64023	11.3716
0.37519	6.51244	0.106609	2.02354	0.364628	6.94876	0.532551	10.0809	0.678185	11.8165	0.753634	13.2432	0.488406	9.24649	0.646151	11.29
0.376886	6.43777	0.108702	2.02741	0.366721	6.86672	0.539072	10.0499	0.685736	11.7572	0.759154	13.1253	0.495237	9.21332	0.652118	11.2117
0.378528	6.36453	0.110795	2.03115	0.368727	6.78591	0.546571	10.0157	0.693342	11.7007	0.764731	13.0121	0.502	9.18001	0.658132	11.1367
0.380121	6.29272	0.112887	2.03475	0.370654	6.70638	0.554083	9.98291	0.701	11.6468	0.770366	12.9034	0.50869	9.14652	0.664193	11.0648
0.381668	6.22236	0.114979	2.03823	0.372509	6.62819	0.561602	9.95134	0.708704	11.5953	0.776058	12.799	0.515305	9.1128	0.670301	10.9959
0.383173	6.15343	0.117071	2.04159	0.374296	6.55138	0.569125	9.92086	0.716449	11.546	0.78181	12.6988	0.52184	9.07878	0.676456	10.9298
0.38464	6.08593	0.119162	2.04483	0.376021	6.47598	0.576648	9.89135	0.72423	11.4987	0.787623	12.6025	0.528292	9.04443	0.682657	10.8664
0.386072	6.01985	0.121253	2.04796	0.37769	6.402	0.584167	9.8627	0.732041	11.4533	0.793498	12.51	0.534659	9.00971	0.688905	10.8057
0.387472	5.95516	0.123343	2.051	0.379308	6.32946	0.591678	9.83481	0.739878	11.4096	0.799437	12.4211	0.540936	8.97458	0.694388	10.7547
0.388842	5.89185	0.125433	2.05393	0.380878	6.25835	0.599178	9.80759	0.747735	11.3675	0.805442	12.3359	0.54712	8.93901	0.69909	10.7127
0.390185	5.82991	0.127523	2.05677	0.382404	6.18869	0.606665	9.78097	0.755607	11.3267	0.811517	12.2541	0.55321	8.90298	0.702996	10.6789
0.391504	5.7693	0.129613	2.05953	0.38389	6.12046	0.614135	9.75488	0.763486	11.2872	0.817664	12.1756	0.559202	8.86647	0.706097	10.6528
0.3928	5.71	0.131702	2.0622	0.38534	6.05365	0.621586	9.72925	0.771368	11.2488	0.823885	12.1004	0.565094	8.82945	0.708384	10.6339
0.394076	5.65199	0.133791	2.06478	0.386756	5.98824	0.629015	9.70402	0.779245	11.2113	0.830186	12.0283	0.570883	8.79193	0.709851	10.6219
0.395332	5.59525	0.13588	2.06729	0.388141	5.92423	0.636421	9.67914	0.787112	11.1747	0.836569	11.9593	0.576569	8.75388	0.711963	10.605
0.396572	5.53974	0.137968	2.06973	0.389498	5.86159	0.6438	9.65457	0.794962	11.1388	0.843039	11.8934	0.582149	8.71532	0.714265	10.5868
0.397796	5.48545	0.140056	2.0721	0.390829	5.80029	0.651152	9.63026	0.802789	11.1035	0.8496	11.8305	0.587622	8.67624	0.717403	10.5624
0.399006	5.43234	0.142145	2.0744	0.392137	5.74032	0.658472	9.60616	0.810585	11.0687	0.856257	11.7705	0.592987	8.63665	0.721388	10.5324
