Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.28482	1.80828	1.28384	1.80822	0.509392	1.72923	0.833982	-0.579494	1.03417	1.33994	1.28975	-0.210484	0.289056	2.0527	1.26465	2.56531	0.751338	1.67918	1.06588	-0.378078	1.33833	0.900069
1.28221	1.80884	1.28123	1.80974	0.511889	1.72947	0.833157	-0.564268	1.03611	1.34344	1.28945	-0.206577	0.292025	2.05994	1.26094	2.57177	0.753759	1.67535	1.06534	-0.372837	1.33963	0.904943
1.27959	1.8123	1.27862	1.8146	0.514385	1.72877	0.832353	-0.54817	1.03805	1.3461	1.28915	-0.202134	0.295003	2.06558	1.25722	2.57789	0.756175	1.67114	1.0648	-0.366895	1.34094	0.908905
1.27697	1.8201	1.27599	1.82462	0.516879	1.72717	0.831574	-0.531209	1.03999	1.348	1.28886	-0.19713	0.297987	2.06965	1.2535	2.58361	0.758584	1.66645	1.06428	-0.360212	1.34225	0.91207
1.27434	1.83482	1.27335	1.84283	0.519371	1.72469	0.83082	-0.513401	1.04194	1.34915	1.28858	-0.191515	0.300977	2.07226	1.24977	2.58897	0.760985	1.6614	1.06376	-0.352778	1.34357	0.91437
1.27168	1.86068	1.27067	1.87441	0.521539	1.72183	0.830092	-0.494778	1.04389	1.34954	1.28831	-0.185339	0.30397	2.07343	1.24602	2.59406	0.76338	1.6559	1.06326	-0.34465	1.34489	0.915748
1.26897	1.90449	1.26794	1.92733	0.523383	1.71894	0.829392	-0.475328	1.04584	1.34924	1.28805	-0.178554	0.306963	2.07309	1.24228	2.59888	0.765766	1.64989	1.06277	-0.33579	1.34621	0.916307
1.26618	1.9757	1.26511	2.01118	0.524906	1.71619	0.82872	-0.455104	1.04778	1.34818	1.28779	-0.171137	0.309954	2.07139	1.23852	2.60339	0.768142	1.64351	1.06229	-0.3262	1.34754	0.915959
1.26327	2.08193	1.26213	2.13011	0.526109	1.71373	0.828078	-0.434067	1.04973	1.34644	1.28755	-0.163114	0.312942	2.06837	1.23476	2.60766	0.77051	1.63668	1.06183	-0.315882	1.34886	0.914752
1.26017	2.21758	1.25896	2.27107	0.526992	1.71166	0.827467	-0.412281	1.05167	1.34398	1.28732	-0.154465	0.315925	2.06397	1.23099	2.61165	0.772867	1.62939	1.06138	-0.304841	1.35018	0.912703
1.25686	2.3579	1.25558	2.40541	0.527556	1.71039	0.826888	-0.389729	1.05361	1.34081	1.28711	-0.145224	0.3189	2.05829	1.22722	2.61538	0.775214	1.62163	1.06095	-0.293087	1.35149	0.909776
1.25336	2.47516	1.25202	2.51016	0.528367	1.7087	0.826342	-0.366379	1.05554	1.33697	1.2869	-0.135311	0.321867	2.05132	1.22344	2.6189	0.777548	1.61342	1.06053	-0.280637	1.3528	0.905975
1.24972	2.55849	1.24833	2.58168	0.529247	1.70648	0.82583	-0.34231	1.05747	1.33244	1.28672	-0.124786	0.324822	2.04307	1.21966	2.62219	0.779871	1.60477	1.06014	-0.267457	1.35411	0.901301
1.24598	2.61302	1.24456	2.6279	0.530442	1.70324	0.825354	-0.317536	1.05939	1.32725	1.28654	-0.113625	0.327765	2.03363	1.21588	2.62534	0.782181	1.59561	1.05976	-0.253547	1.35541	0.895762
1.24218	2.64802	1.24075	2.65764	0.531951	1.69901	0.824913	-0.292011	1.0613	1.32135	1.28639	-0.101776	0.330693	2.02295	1.21208	2.62826	0.784477	1.58599	1.0594	-0.238986	1.35669	0.889372
1.23833	2.6708	1.23689	2.67721	0.53377	1.69343	0.824511	-0.26579	1.0632	1.31483	1.28625	-0.0892845	0.333604	2.01105	1.20829	2.63096	0.786759	1.57592	1.05907	-0.223705	1.35797	0.882158
1.23447	2.68604	1.23302	2.69041	0.535895	1.68641	0.824146	-0.238836	1.06509	1.30764	1.28613	-0.0761666	0.336498	1.99803	1.20449	2.63349	0.789027	1.56536	1.05876	-0.207718	1.35924	0.874101
1.23058	2.69651	1.22913	2.69952	0.538323	1.67759	0.823821	-0.211224	1.06698	1.29977	1.28603	-0.0623818	0.339372	1.98383	1.20069	2.63585	0.791278	1.55435	1.05847	-0.191052	1.3605	0.86524
1.22668	2.70382	1.22522	2.70603	0.540738	1.66801	0.823536	-0.182952	1.06885	1.29129	1.28595	-0.0479226	0.342225	1.96849	1.19688	2.63808	0.793514	1.54287	1.05821	-0.173687	1.36174	0.855573
1.22277	2.70909	1.22131	2.71069	0.543138	1.65769	0.823293	-0.153946	1.0707	1.28217	1.28589	-0.0328469	0.345055	1.95211	1.19307	2.64013	0.795732	1.53092	1.05797	-0.155656	1.36297	0.845103
1.21886	2.71295	1.2174	2.7141	0.545523	1.6466	0.823092	-0.124353	1.07255	1.27243	1.28586	-0.017051	0.34786	1.93461	1.18926	2.64195	0.797933	1.5185	1.05776	-0.136953	1.36418	0.83383
1.21494	2.71576	1.21348	2.71658	0.547892	1.63483	0.822934	-0.0941715	1.07438	1.26203	1.28584	-0.000620447	0.350639	1.91609	1.18544	2.64369	0.800116	1.5056	1.05757	-0.117565	1.36537	0.821832
1.21102	2.71779	1.20956	2.71839	0.550243	1.62232	0.82282	-0.0633245	1.07619	1.25104	1.28585	0.0164204	0.353391	1.89657	1.18163	2.64526	0.802279	1.49226	1.05742	-0.0975374	1.36655	0.809114
1.2071	2.71923	1.20563	2.71968	0.552575	1.6091	0.822751	-0.0318796	1.07799	1.23947	1.28589	0.0341691	0.356114	1.87605	1.17781	2.64664	0.804423	1.47846	1.05729	-0.0768923	1.36771	0.79569
1.20317	2.72027	1.20171	2.72057	0.554888	1.59517	0.822728	0.00010203	1.07977	1.22731	1.28595	0.0525279	0.358807	1.85461	1.17399	2.64794	0.806547	1.4642	1.0572	-0.0555971	1.36885	0.781586
1.19924	2.72102	1.19778	2.72118	0.55718	1.58059	0.822752	0.0326444	1.08153	1.21455	1.28604	0.0715208	0.361468	1.83233	1.17016	2.64908	0.80865	1.44951	1.05713	-0.0336611	1.36997	0.766855
1.19532	2.72144	1.19385	2.72151	0.559451	1.56539	0.822822	0.0657223	1.08328	1.2012	1.28616	0.091196	0.364096	1.80917	1.16634	2.65005	0.810732	1.43443	1.0571	-0.0111058	1.37106	0.751529
1.19139	2.72161	1.18992	2.72167	0.561699	1.54947	0.822941	0.0992854	1.085	1.18731	1.28631	0.11143	0.366691	1.78521	1.16251	2.65087	0.812791	1.41891	1.0571	0.0120288	1.37214	0.735598
1.18746	2.72165	1.18599	2.72162	0.563924	1.53294	0.823109	0.133306	1.0867	1.17293	1.28648	0.13227	0.36925	1.76056	1.15869	2.65157	0.814828	1.40296	1.05713	0.0357395	1.37319	0.719191
1.18353	2.72153	1.18207	2.72144	0.566124	1.51582	0.823326	0.167729	1.08839	1.15803	1.28669	0.153734	0.371773	1.73524	1.15486	2.65209	0.816841	1.38666	1.0572	0.0600162	1.37421	0.702269
1.1796	2.72128	1.17814	2.72117	0.568299	1.49814	0.823556	0.198115	1.09005	1.14265	1.28692	0.175789	0.374259	1.70928	1.15103	2.65248	0.818576	1.3721	1.05731	0.0848393	1.37521	0.684906
1.17568	2.72092	1.17421	2.72076	0.570449	1.47992	0.823782	0.224229	1.09168	1.12675	1.28719	0.198365	0.376707	1.68279	1.1472	2.65273	0.82004	1.35954	1.05745	0.110169	1.37619	0.667172
1.17175	2.72043	1.17028	2.72023	0.572572	1.46111	0.823991	0.245897	1.0933	1.11041	1.2875	0.221472	0.379117	1.65589	1.14337	2.65281	0.821241	1.34903	1.05763	0.135999	1.37714	0.649062
1.16782	2.71989	1.16636	2.71963	0.574667	1.44182	0.824169	0.263165	1.09489	1.0937	1.28783	0.245126	0.381487	1.62859	1.13954	2.65273	0.822184	1.34046	1.05784	0.162318	1.37806	0.630713
1.1639	2.71923	1.16243	2.719	0.576734	1.4221	0.824308	0.275898	1.09646	1.07653	1.2882	0.269291	0.383818	1.60096	1.13572	2.6525	0.822873	1.33419	1.05809	0.189101	1.37896	0.612106
1.15997	2.71852	1.15851	2.71825	0.578772	1.40188	0.824401	0.284152	1.098	1.05905	1.28861	0.293889	0.386109	1.57311	1.13189	2.65212	0.823313	1.33022	1.05839	0.216299	1.37983	0.593275
1.15605	2.71775	1.15459	2.71741	0.580781	1.38125	0.824538	0.295941	1.09951	1.04123	1.28905	0.318916	0.388359	1.54516	1.12806	2.6515	0.823943	1.32451	1.05872	0.24389	1.38067	0.574364
1.15213	2.71687	1.15066	2.71655	0.582759	1.36025	0.824694	0.308708	1.101	1.02308	1.28953	0.344361	0.39057	1.51716	1.12423	2.6507	0.824624	1.31817	1.05909	0.271824	1.38149	0.555365
1.14821	2.71599	1.14674	2.71563	0.584707	1.33891	0.824917	0.326266	1.10247	1.00473	1.29005	0.370201	0.392739	1.48921	1.12041	2.64977	0.825545	1.30936	1.0595	0.300155	1.38228	0.536337
1.14429	2.71503	1.14282	2.71466	0.586624	1.31729	0.825216	0.348497	1.1039	0.98613	1.2906	0.396394	0.394869	1.46143	1.11658	2.64856	0.826701	1.29821	1.05996	0.328764	1.38304	0.517396
1.14037	2.71399	1.13891	2.7136	0.58851	1.29538	0.825604	0.375523	1.10531	0.967306	1.29119	0.422851	0.396958	1.43388	1.11276	2.64717	0.828085	1.28464	1.06045	0.357637	1.38377	0.498485
