Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
395  Points		395  Points		377  Points		361  Points		231  Points		110  Points		400  Points		379  Points		295  Points		239  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.2259	2.60511	1.22438	2.6039	0.530582	1.91004	0.862415	-0.00641269	1.2136	0.452836	1.31287	0.509038	0.304867	2.22457	1.23017	2.40324	0.850755	1.30241	1.08564	0.154673
1.22214	2.60211	1.22062	2.60085	0.531567	1.91014	0.862412	0.00181872	1.21425	0.451032	1.31362	0.527489	0.308084	2.23274	1.22672	2.38254	0.852639	1.30876	1.08587	0.163509
1.21839	2.59903	1.21687	2.59777	0.532906	1.91014	0.862421	0.0105179	1.2149	0.448741	1.31439	0.546228	0.311313	2.2398	1.2233	2.36055	0.854533	1.31442	1.08611	0.172685
1.21464	2.59587	1.21312	2.59459	0.534599	1.91007	0.862442	0.0196398	1.21555	0.445991	1.3152	0.565249	0.31455	2.24578	1.21991	2.33736	0.856434	1.31938	1.08637	0.182173
1.2109	2.59264	1.20938	2.59133	0.536647	1.90971	0.862477	0.0292411	1.21619	0.442761	1.31603	0.58454	0.317796	2.25067	1.21655	2.31297	0.858341	1.32365	1.08664	0.192069
1.20716	2.58932	1.20564	2.58794	0.539049	1.90901	0.862527	0.0393617	1.21683	0.439086	1.31688	0.60408	0.321047	2.25451	1.21323	2.28747	0.860255	1.32728	1.08692	0.202338
1.20342	2.5859	1.20191	2.58446	0.541804	1.90774	0.862591	0.0499348	1.21746	0.43503	1.31777	0.623897	0.324304	2.25742	1.20995	2.26101	0.862173	1.33022	1.08722	0.212915
1.19969	2.58236	1.19818	2.58088	0.544556	1.90608	0.862671	0.0609737	1.21808	0.43058	1.31868	0.643902	0.327564	2.25935	1.2067	2.23372	0.864095	1.33251	1.08753	0.223889
1.19597	2.57872	1.19446	2.57723	0.547306	1.90405	0.862767	0.0725046	1.2187	0.425781	1.31963	0.664064	0.330826	2.26035	1.2035	2.20581	0.86602	1.33425	1.08787	0.235289
1.19225	2.57502	1.19074	2.57353	0.550053	1.90153	0.86288	0.0845068	1.21931	0.420653	1.3206	0.684393	0.334089	2.26045	1.20033	2.17737	0.867946	1.3353	1.08821	0.247032
1.18853	2.57123	1.18703	2.56963	0.552795	1.89855	0.863011	0.0970121	1.21991	0.415229	1.3216	0.704908	0.337351	2.25962	1.19721	2.14863	0.869874	1.33571	1.08858	0.259163
1.18482	2.5673	1.18332	2.56564	0.555533	1.89519	0.86316	0.110011	1.22051	0.40951	1.32264	0.725504	0.340612	2.25796	1.19413	2.11985	0.871802	1.33559	1.08896	0.271707
1.18112	2.56325	1.17962	2.56161	0.558266	1.89142	0.863328	0.123485	1.2211	0.40349	1.3237	0.746189	0.343869	2.25544	1.19109	2.09116	0.87373	1.33483	1.08936	0.284564
1.17743	2.55911	1.17593	2.55743	0.560993	1.88719	0.863517	0.137468	1.22167	0.39731	1.32479	0.766976	0.347123	2.2521	1.18809	2.06277	0.875656	1.33346	1.08978	0.2979
1.17373	2.55486	1.17224	2.55312	0.563714	1.88255	0.863725	0.151958	1.22224	0.390957	1.32591	0.787752	0.350371	2.24794	1.18514	2.03485	0.877579	1.33153	1.09022	0.311608
1.17005	2.55046	1.16856	2.54865	0.566428	1.87749	0.863955	0.166876	1.2228	0.384402	1.32706	0.808574	0.353612	2.24296	1.18222	2.0075	0.879499	1.32906	1.09068	0.325695
1.16637	2.54597	1.16488	2.54413	0.569134	1.87199	0.864207	0.182284	1.22335	0.377737	1.32825	0.829419	0.356846	2.23718	1.17934	1.98094	0.881416	1.32602	1.09116	0.340245
1.1627	2.5414	1.16122	2.53946	0.571832	1.86605	0.864445	0.196133	1.22389	0.370926	1.32946	0.85016	0.36007	2.23063	1.1765	1.9552	0.883327	1.32243	1.09167	0.355135
1.15904	2.53664	1.15755	2.53467	0.574521	1.85971	0.864662	0.208245	1.22442	0.364043	1.3307	0.870843	0.363285	2.22332	1.1737	1.9303	0.885233	1.31833	1.09219	0.370414
1.15538	2.53175	1.1539	2.52979	0.5772	1.85296	0.864851	0.21848	1.22494	0.357161	1.33197	0.89148	0.366488	2.21527	1.17093	1.90636	0.886889	1.3143	1.09273	0.386104
1.15173	2.52679	1.15025	2.5247	0.57987	1.84577	0.865007	0.226608	1.22545	0.350209	1.33327	0.911955	0.36968	2.20649	1.16819	1.88339	0.888296	1.3105	1.0933	0.402175
1.14808	2.52163	1.14661	2.51951	0.582529	1.83818	0.865125	0.232729	1.22595	0.343262	1.33461	0.932322	0.372858	2.19693	1.16549	1.8614	0.889457	1.30725	1.0939	0.418645
1.14445	2.51637	1.14298	2.51418	0.585176	1.83014	0.865203	0.236707	1.22645	0.336327	1.33597	0.952549	0.376022	2.18663	1.16282	1.84034	0.890373	1.30451	1.09451	0.435544
1.14082	2.51098	1.13935	2.50873	0.587812	1.82169	0.865316	0.242352	1.22693	0.329488	1.33736	0.972568	0.37917	2.17565	1.16018	1.82019	0.891044	1.3024	1.09515	0.452791
1.1372	2.5054	1.13574	2.50316	0.590435	1.81285	0.865443	0.248573	1.2274	0.322696	1.33877	0.992392	0.382302	2.16401	1.15757	1.80099	0.891474	1.30107	1.09582	0.470364
1.13359	2.49973	1.13213	2.49738	0.593045	1.80356	0.86562	0.257225	1.22786	0.315995	1.34022	1.01197	0.385417	2.15167	1.15498	1.78266	0.89209	1.29897	1.09651	0.488371
1.12998	2.49388	1.12853	2.49146	0.595641	1.79386	0.865853	0.268304	1.22831	0.309406	1.34169	1.03136	0.388514	2.13865	1.15242	1.76511	0.892759	1.29665	1.09723	0.506735
1.12639	2.4879	1.12493	2.48547	0.598223	1.78378	0.866148	0.281923	1.22875	0.302964	1.3432	1.05049	0.391591	2.12493	1.14989	1.74832	0.893667	1.29354	1.09797	0.525372
1.1228	2.4818	1.12135	2.47929	0.600791	1.77331	0.866513	0.298235	1.22918	0.296674	1.34473	1.06936	0.394648	2.11056	1.14737	1.73232	0.894813	1.28938	1.09875	0.544408
1.11922	2.47554	1.11778	2.47292	0.603343	1.7624	0.866957	0.317388	1.22961	0.290539	1.34628	1.0879	0.397684	2.09565	1.14488	1.71694	0.896192	1.28405	1.09955	0.563804
1.11565	2.46908	1.11421	2.46641	0.605878	1.75109	0.867429	0.336962	1.23002	0.28464	1.34787	1.10617	0.400697	2.08006	1.14242	1.70215	0.897803	1.27746	1.10037	0.583479
1.1121	2.46246	1.11066	2.45976	0.608398	1.73943	0.867929	0.356967	1.23043	0.278848	1.34948	1.12417	0.403688	2.06388	1.13997	1.68803	0.899642	1.26959	1.10123	0.603421
1.10855	2.45575	1.10711	2.45298	0.6109	1.72737	0.868459	0.377442	1.23083	0.273343	1.35111	1.14179	0.406655	2.04719	1.13754	1.67444	0.901468	1.26126	1.102	0.62103
1.10501	2.44885	1.10358	2.44602	0.613384	1.71493	0.869019	0.398337	1.23122	0.268046	1.35277	1.15908	0.409598	2.02991	1.13514	1.66132	0.903283	1.25248	1.10267	0.636221
1.10148	2.44179	1.10005	2.43891	0.61585	1.70212	0.869609	0.419661	1.2316	0.262946	1.35446	1.17608	0.412515	2.01211	1.13275	1.64871	0.905084	1.2433	1.10324	0.648892
1.09796	2.43461	1.09654	2.43164	0.618298	1.68898	0.87023	0.441419	1.23198	0.258166	1.35617	1.19272	0.415406	1.99384	1.13038	1.63652	0.906872	1.23376	1.1037	0.658936
1.09445	2.42723	1.09303	2.42421	0.620726	1.67549	0.870883	0.463577	1.23235	0.253586	1.3579	1.20901	0.418271	1.9751	1.12802	1.62473	0.908645	1.22387	1.10404	0.666412
1.09095	2.4197	1.08954	2.41661	0.623134	1.66164	0.871569	0.486082	1.23271	0.24926	1.35966	1.22496	0.421108	1.95592	1.12569	1.61331	0.910405	1.21361	1.10426	0.671291
1.08746	2.41205	1.08605	2.40886	0.625523	1.64746	0.872287	0.50898	1.23307	0.245223	1.36144	1.24054	0.423917	1.93634	1.12337	1.60219	0.912149	1.20306	1.10458	0.67821
1.08399	2.40421	1.08258	2.401	0.62789	1.63297	0.873038	0.532258	1.23342	0.241469	1.36324	1.25572	0.426698	1.9164	1.12106	1.59145	0.913878	1.19215	1.10494	0.685651
1.08052	2.39623	1.07912	2.39295	0.630237	1.61822	0.873823	0.555835	1.23372	0.238415	1.36506	1.27056	0.429449	1.89618	1.11877	1.58104	0.91559	1.18098	1.10542	0.695933
1.07707	2.3881	1.07568	2.38477	0.632562	1.60316	0.874642	0.579745	1.23397	0.235919	1.36691	1.28509	0.432172	1.87563	1.1165	1.57083	0.917287	1.16957	1.10604	0.709022
1.07363	2.37982	1.07224	2.37646	0.634865	1.58783	0.875497	0.603969	1.23418	0.234038	1.36877	1.2992	0.434864	1.85484	1.11424	1.56088	0.918967	1.15789	1.10681	0.724937
1.0702	2.37141	1.06882	2.36797	0.637145	1.57225	0.876386	0.628495	1.23434	0.232613	1.37066	1.31291	0.437526	1.83387	1.11199	1.55124	0.920629	1.14602	1.10773	0.743743
1.06678	2.36285	1.0654	2.35934	0.639403	1.5564	0.877311	0.653282	1.23446	0.231494	1.37256	1.32627	0.440158	1.81272	1.10976	1.54178	0.922275	1.13396	1.10882	0.765427
1.06338	2.35415	1.062	2.35058	0.641638	1.54039	0.878272	0.67831	1.23454	0.230891	1.37449	1.33929	0.442759	1.79149	1.10754	1.53252	0.923903	1.12174	1.10994	0.787292
1.05999	2.34532	1.05862	2.34171	0.64385	1.52418	0.879269	0.703532	1.23465	0.230114	1.37643	1.35194	0.445329	1.77022	1.10534	1.52351	0.925513	1.10937	1.1111	0.809247
1.05661	2.33638	1.05524	2.33267	0.646038	1.50776	0.880303	0.72896	1.23477	0.22922	1.37839	1.36419	0.447869	1.74897	1.10314	1.51466	0.927105	1.09693	1.11228	0.831248
1.05324	2.3273	1.05188	2.32353	0.648202	1.4912	0.881373	0.754565	1.23493	0.228055	1.38037	1.37611	0.450378	1.72768	1.10096	1.50598	0.92868	1.08437	1.1135	0.853381
1.04989	2.31806	1.04854	2.31433	0.650343	1.47453	0.882481	0.780331	1.23513	0.226651	1.3821	1.3862	0.452856	1.70653	1.0988	1.49746	0.930236	1.07175	1.11474	0.875544
1.04655	2.30874	1.0452	2.30495	0.652459	1.45774	0.883626	0.806214	1.23537	0.22513	1.3836	1.39459	0.455304	1.68552	1.09664	1.48914	0.931773	1.05915	1.11602	0.897648
1.04323	2.29933	1.04188	2.29549	0.654551	1.44089	0.884808	0.832193	1.23565	0.223557	1.38483	1.40131	0.457722	1.66468	1.0945	1.48093	0.933293	1.04651	1.11734	0.919796
1.03991	2.28981	1.03858	2.28595	0.656619	1.42396	0.886028	0.858256	1.23598	0.222011	1.38582	1.40659	0.46011	1.64412	1.09237	1.47286	0.934794	1.03393	1.11868	0.94193
1.03662	2.28022	1.03528	2.2763	0.658662	1.40693	0.887286	0.884325	1.2363	0.220763	1.38654	1.41059	0.462468	1.62381	1.09025	1.46499	0.936278	1.02141	1.12005	0.963983
1.03333	2.27057	1.03201	2.2666	0.66068	1.38996	0.888581	0.910397	1.23661	0.219809	1.38701	1.41301	0.464798	1.60387	1.08814	1.45723	0.937743	1.00896	1.12146	0.98596
1.03006	2.26077	1.02874	2.25681	0.662674	1.37301	0.889914	0.936469	1.23693	0.219149	1.38768	1.41629	0.467098	1.58431	1.08604	1.44955	0.93919	0.996696	1.1229	1.00779
1.02681	2.25093	1.02549	2.24695	0.664644	1.35604	0.891285	0.962506	1.23725	0.218819	1.38841	1.41994	0.469371	1.56515	1.08395	1.44204	0.94062	0.98452	1.12437	1.0295
1.02356	2.24107	1.02225	2.23706	0.666589	1.33917	0.892693	0.988452	1.23756	0.218727	1.38941	1.42492	0.471616	1.54646	1.08188	1.4347	0.942032	0.972463	1.12587	1.05106
1.02034	2.23114	1.01903	2.22709	0.668509	1.32242	0.894138	1.01435	1.23788	0.218937	1.39068	1.43107	0.473835	1.52828	1.07981	1.42742	0.943427	0.960685	1.12741	1.07238
1.01712	2.22119	1.01583	2.21712	0.670406	1.30577	0.895621	1.04005	1.23819	0.219482	1.39221	1.43834	0.476028	1.51066	1.07776	1.42025	0.944806	0.949156	1.12897	1.09355
1.01392	2.21117	1.01263	2.20713	0.672279	1.2892	0.89714	1.06556	1.23851	0.220267	1.39403	1.44661	0.478196	1.49361	1.07571	1.41324	0.946167	0.937826	1.13056	1.1145
1.01074	2.20115	1.00945	2.19711	0.674128	1.27283	0.898697	1.09099	1.23883	0.221392	1.39612	1.45574	0.48034	1.47714	1.07368	1.40632	0.947513	0.926777	1.13219	1.13516
1.00757	2.19117	1.00629	2.1871	0.675953	1.25669	0.90029	1.11612	1.23915	0.222797	1.39823	1.46455	0.48246	1.46132	1.07165	1.39952	0.948843	0.916053	1.13384	1.15552
1.00441	2.18115	1.00314	2.17712	0.677756	1.24072	0.901919	1.14099	1.23947	0.224488	1.40035	1.46886	0.484558	1.4462	1.06964	1.3928	0.950157	0.905637	1.13552	1.17562
1.00127	2.17115	1.00001	2.16711	0.679535	1.225	0.903584	1.16566	1.2398	0.226469			0.486635	1.43172	1.06763	1.38625	0.951457	0.895595	1.13723	1.19538
0.998147	2.16119	0.996885	2.15714	0.681292	1.20953	0.905284	1.19	1.24013	0.228704			0.488691	1.41792	1.06563	1.3798	0.952743	0.885923	1.13897	1.21482
0.995035	2.15123	0.993778	2.14722	0.683026	1.19432	0.907019	1.21401	1.24046	0.231287			0.490728	1.40487	1.06365	1.37343	0.954015	0.876656	1.14074	1.23395
0.991937	2.14134	0.990686	2.13736	0.684739	1.17946	0.908788	1.23765	1.24079	0.234153			0.492747	1.39256	1.06167	1.36722	0.955273	0.867774	1.14253	1.25267
0.988853	2.13153	0.987608	2.12759	0.686431	1.16489	0.910592	1.26097	1.24113	0.23727			0.494748	1.38095	1.0597	1.36108	0.95652	0.859305	1.14436	1.271
0.985784	2.12179	0.984544	2.11786	0.688102	1.15069	0.912428	1.28388	1.24148	0.24066			0.496733	1.37009	1.05774	1.3551	0.957754	0.851335	1.1462	1.28892
