Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.21494	2.46463	1.21348	2.46435	0.547892	6.4826	0.822934	8.98804	1.07438	11.6418	1.28584	14.1162	0.350639	4.19345	1.18544	2.60227	0.800116	8.75242	1.05757	11.6274	1.36537	14.7962
1.21102	2.46389	1.20956	2.46361	0.550243	6.4011	0.82282	8.84732	1.07619	11.4819	1.28585	13.8961	0.353391	4.15465	1.18163	2.60213	0.802279	8.63967	1.05742	11.4441	1.36655	14.5809
1.2071	2.46314	1.20563	2.46286	0.552575	6.32208	0.822751	8.71138	1.07799	11.3266	1.28589	13.6831	0.356114	4.1168	1.17781	2.60199	0.804423	8.53017	1.05729	11.2667	1.36771	14.3719
1.20317	2.46238	1.20171	2.4621	0.554888	6.2454	0.822728	8.58001	1.07977	11.1758	1.28595	13.4768	0.358807	4.07985	1.17399	2.60185	0.806547	8.42376	1.0572	11.0951	1.36885	14.169
1.19924	2.46161	1.19778	2.46133	0.55718	6.17095	0.822752	8.45301	1.08153	11.0293	1.28604	13.2769	0.361468	4.04375	1.17016	2.6017	0.80865	8.3203	1.05713	10.9288	1.36997	13.9718
1.19532	2.46084	1.19385	2.46055	0.559451	6.09861	0.822822	8.33021	1.08328	10.8868	1.28616	13.0831	0.364096	4.00843	1.16634	2.60154	0.810732	8.21965	1.0571	10.7678	1.37106	13.7802
1.19139	2.46007	1.18992	2.45977	0.561699	6.02827	0.822941	8.21142	1.085	10.7483	1.28631	12.8953	0.366691	3.97384	1.16251	2.60139	0.812791	8.12167	1.0571	10.6118	1.37214	13.5937
1.18746	2.45928	1.18599	2.45899	0.563924	5.95982	0.823109	8.09649	1.0867	10.6134	1.28648	12.7131	0.36925	3.93995	1.15869	2.60122	0.814828	8.02627	1.05713	10.4606	1.37319	13.4124
1.18353	2.4585	1.18207	2.4582	0.566124	5.89318	0.823326	7.98525	1.08839	10.482	1.28669	12.5363	0.371773	3.9067	1.15486	2.60106	0.816841	7.9333	1.0572	10.314	1.37421	13.2358
1.1796	2.45771	1.17814	2.45741	0.568299	5.82825	0.823556	7.89122	1.09005	10.3541	1.28692	12.3647	0.374259	3.87407	1.15103	2.60089	0.818576	7.85421	1.05731	10.1717	1.37521	13.0638
