Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.25157	2.47214	1.24944	2.4718	0.511428	8.91879	0.854633	15.1616	1.12072	19.4804	1.29995	22.6597	0.282668	5.71607	1.25294	2.60225	0.788001	13.8285	1.07858	18.8172
1.24769	2.47152	1.24556	2.47118	0.514094	8.74516	0.854241	14.7763	1.122	19.0254	1.30008	22.1057	0.285703	5.61359	1.24912	2.60212	0.790205	13.5246	1.07847	18.3531
1.24381	2.4709	1.24168	2.47056	0.516764	8.57991	0.853856	14.4099	1.1233	18.5924	1.30022	21.5785	0.288759	5.51716	1.24531	2.60199	0.792416	13.2355	1.07837	17.9114
1.23993	2.47028	1.23781	2.46995	0.519436	8.42243	0.853481	14.061	1.12461	18.1798	1.30036	21.076	0.291833	5.42625	1.24149	2.60186	0.794633	12.96	1.07827	17.4904
1.23606	2.46967	1.23394	2.46933	0.521765	8.2911	0.853114	13.7285	1.12594	17.7861	1.30052	20.5968	0.294923	5.34039	1.23767	2.60174	0.796855	12.6974	1.07818	17.0889
1.23219	2.46905	1.23006	2.46871	0.523751	8.18324	0.852759	13.4113	1.12727	17.4102	1.3007	20.1392	0.298028	5.25916	1.23386	2.60162	0.79908	12.4466	1.0781	16.7054
1.22832	2.46844	1.2262	2.4681	0.525394	8.09673	0.852415	13.1083	1.12861	17.0508	1.30089	19.7018	0.301145	5.18217	1.23005	2.6015	0.801309	12.2068	1.07802	16.3389
1.22445	2.46782	1.22233	2.46748	0.526692	8.02998	0.852083	12.8187	1.12995	16.7068	1.30109	19.2833	0.304273	5.10909	1.22624	2.60139	0.80354	11.9775	1.07796	15.9881
1.22058	2.46721	1.21846	2.46687	0.527646	7.98181	0.851765	12.5416	1.13131	16.3773	1.3013	18.8826	0.307409	5.03961	1.22244	2.60128	0.805772	11.7578	1.07791	15.6522
1.21672	2.46659	1.2146	2.46626	0.528257	7.95136	0.851462	12.2762	1.13267	16.0614	1.30153	18.4985	0.310551	4.97345	1.21864	2.60118	0.808004	11.5471	1.07786	15.3303
1.21286	2.46598	1.21074	2.46565	0.529135	7.90813	0.851174	12.0219	1.13403	15.7582	1.30178	18.1301	0.313699	4.91035	1.21484	2.60108	0.810236	11.345	1.07783	15.0215
1.209	2.46537	1.20688	2.46504	0.530089	7.86181	0.850902	11.778	1.13539	15.4669	1.30205	17.7765	0.31685	4.85009	1.21104	2.601	0.812466	11.1509	1.07781	14.725
1.20514	2.46476	1.20303	2.46443	0.531386	7.79995	0.850648	11.5438	1.13676	15.187	1.30233	17.4367	0.320003	4.79247	1.20725	2.60092	0.814695	10.9643	1.0778	14.4402
1.20129	2.46415	1.19918	2.46382	0.533025	7.72349	0.850412	11.3189	1.13813	14.9176	1.30263	17.1101	0.323155	4.73728	1.20347	2.60085	0.816921	10.7847	1.07781	14.1663
1.19744	2.46355	1.19533	2.46321	0.535006	7.63359	0.850196	11.1027	1.1395	14.6582	1.30295	16.7959	0.326307	4.68436	1.19969	2.60079	0.819143	10.6119	1.07783	13.9028
1.19359	2.46294	1.19148	2.46261	0.537327	7.53154	0.85	10.8948	1.14087	14.4083	1.30329	16.4934	0.329455	4.63354	1.19591	2.60075	0.82136	10.4453	1.07787	13.6491
1.18974	2.46234	1.18763	2.46201	0.539985	7.41871	0.849826	10.6947	1.14223	14.1673	1.30366	16.202	0.332598	4.58468	1.19214	2.60072	0.823573	10.2846	1.07792	13.4048
1.1859	2.46174	1.18379	2.46141	0.542638	7.3102	0.849673	10.502	1.14359	13.9347	1.30404	15.9212	0.335736	4.53765	1.18838	2.6007	0.825779	10.1296	1.07798	13.1692
1.18206	2.46114	1.17995	2.46081	0.545285	7.20574	0.849544	10.3164	1.14495	13.7101	1.30444	15.6503	0.338866	4.49232	1.18463	2.6007	0.827979	9.97989	1.07807	12.942
1.17822	2.46055	1.17612	2.46022	0.547925	7.1051	0.849439	10.1374	1.1463	13.4931	1.30487	15.389	0.341987	4.44857	1.18088	2.60072	0.830172	9.83521	1.07817	12.7228
1.17439	2.45995	1.17229	2.45963	0.550556	7.00806	0.849359	9.96483	1.14765	13.2832	1.30532	15.1366	0.345098	4.40631	1.17714	2.60075	0.832356	9.6953	1.07829	12.5111
1.17056	2.45936	1.16846	2.45904	0.553179	6.91441	0.849305	9.79827	1.14898	13.0802	1.3058	14.8929	0.348197	4.36542	1.17342	2.60081	0.834531	9.55991	1.07843	12.3067
1.16673	2.45878	1.16463	2.45846	0.555792	6.82396	0.849278	9.63748	1.15031	12.8836	1.3063	14.6573	0.351283	4.32583	1.1697	2.60089	0.836697	9.42882	1.07859	12.109
1.1629	2.4582	1.16081	2.45788	0.558394	6.73653	0.849278	9.48218	1.15164	12.6932	1.30683	14.4295	0.354355	4.28746	1.166	2.601	0.838852	9.30181	1.07877	11.9179
1.15908	2.45762	1.15699	2.4573	0.560985	6.65196	0.849308	9.33212	1.15295	12.5087	1.30738	14.2092	0.357411	4.25021	1.1623	2.60114	0.840996	9.17868	1.07897	11.7331
1.15526	2.45704	1.15317	2.45673	0.563565	6.57009	0.849367	9.18706	1.15425	12.3297	1.30796	13.9959	0.36045	4.21402	1.15863	2.60131	0.843129	9.05924	1.07919	11.5541
1.15145	2.45647	1.14936	2.45616	0.566131	6.49079	0.849456	9.04679	1.15553	12.156	1.30857	13.7895	0.363471	4.17882	1.15496	2.60152	0.845249	8.94332	1.07944	11.3809
1.14764	2.45591	1.14555	2.4556	0.568684	6.41391	0.849577	8.91109	1.15681	11.9874	1.30921	13.5895	0.366473	4.14455	1.15132	2.60177	0.847356	8.83075	1.07971	11.2131
1.14384	2.45535	1.14175	2.45504	0.571222	6.33934	0.84973	8.77978	1.15807	11.8236	1.30988	13.3957	0.369453	4.11116	1.14769	2.60206	0.849449	8.72138	1.08001	11.0505
1.14003	2.45479	1.13795	2.45449	0.573745	6.26696	0.84989	8.66877	1.15932	11.6645	1.31057	13.2079	0.372412	4.07858	1.14408	2.6024	0.851261	8.62856	1.08033	10.8929
1.13624	2.45424	1.13416	2.45394	0.576252	6.19665	0.850047	8.57657	1.16055	11.5097	1.3113	13.0257	0.375348	4.04676	1.1405	2.60279	0.852797	8.55119	1.08067	10.7401
1.13244	2.4537	1.13036	2.4534	0.578742	6.12831	0.850191	8.50197	1.16176	11.3592	1.31206	12.849	0.37826	4.01567	1.13693	2.60323	0.854061	8.48839	1.08105	10.5919
1.12865	2.45316	1.12658	2.45287	0.581216	6.06185	0.850314	8.444	1.16296	11.2127	1.31284	12.6776	0.381147	3.98525	1.1334	2.60374	0.855056	8.43947	1.08145	10.4481
1.12487	2.45263	1.1228	2.45234	0.58367	5.99717	0.85041	8.40194	1.16415	11.07	1.31367	12.5111	0.384007	3.95546	1.12989	2.60432	0.855785	8.40391	1.08187	10.3084
1.12109	2.4521	1.11902	2.45182	0.586106	5.93419	0.850474	8.37527	1.16531	10.9311	1.31452	12.3495	0.38684	3.92627	1.12641	2.60497	0.85625	8.38133	1.08233	10.1729
1.11731	2.45159	1.11525	2.45131	0.588523	5.87283	0.850569	8.33727	1.16646	10.7957	1.31541	12.1925	0.389645	3.89763	1.12297	2.6057	0.856918	8.34911	1.08282	10.0412
1.11354	2.45108	1.11148	2.4508	0.590919	5.81302	0.850676	8.2964	1.16759	10.6637	1.31632	12.0399	0.392421	3.86953	1.11956	2.60652	0.857642	8.3144	1.08333	9.91331
1.10978	2.45058	1.10772	2.4503	0.593294	5.75468	0.85083	8.24155	1.1687	10.5349	1.31728	11.8916	0.395166	3.84192	1.11619	2.60743	0.858623	8.26772	1.08388	9.78902
1.10602	2.45008	1.10396	2.44982	0.595648	5.69774	0.851036	8.17336	1.16979	10.4093	1.31826	11.7475	0.397881	3.81478	1.11285	2.60844	0.859857	8.20951	1.08445	9.6682
1.10226	2.4496	1.10021	2.44934	0.59798	5.64214	0.851305	8.0926	1.17086	10.2867	1.31928	11.6073	0.400564	3.78808	1.10956	2.60955	0.861341	8.14035	1.08506	9.55073
1.09852	2.44912	1.09646	2.44887	0.600289	5.58783	0.851646	8.00019	1.17191	10.167	1.32034	11.4709	0.403215	3.7618	1.10632	2.61078	0.863069	8.06086	1.0857	9.43648
