Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
343  Points		344  Points		201  Points		140  Points		289  Points		289  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.341779	3.12516	0.149673	4.76884	0.517268	6.28682	0.759158	5.0932	0.494619	5.49291	0.496186	5.4831	0.838574	0.739311
0.343854	3.01922	0.152899	4.77513	0.521569	6.43752	0.762606	5.1078	0.498324	5.46909	0.499884	5.45853	0.839101	0.820424
0.34586	2.92121	0.156129	4.78095	0.52597	6.57969	0.766063	5.12187	0.502012	5.44345	0.503092	5.43564	0.839683	0.902489
0.347803	2.83101	0.159362	4.78629	0.530464	6.71351	0.76953	5.13525	0.505211	5.41971	0.505817	5.4151	0.840321	0.985552
0.349688	2.74832	0.162599	4.79112	0.535046	6.83901	0.773005	5.1481	0.507928	5.39834	0.508062	5.39732	0.841015	1.0695
0.351519	2.67301	0.165839	4.79556	0.539709	6.95644	0.776489	5.16046	0.510165	5.38008	0.509831	5.3828	0.841767	1.1544
0.353301	2.60475	0.169082	4.79955	0.54445	7.06602	0.779982	5.17236	0.511929	5.36498	0.511129	5.37203	0.842576	1.24022
0.35504	2.54326	0.172327	4.80311	0.549262	7.16785	0.783482	5.18374	0.513223	5.35386	0.511959	5.36486	0.843443	1.32684
0.356739	2.48822	0.175575	4.80635	0.55414	7.26239	0.786989	5.19469	0.514049	5.34656	0.513149	5.35439	0.844369	1.41437
0.358403	2.43922	0.178825	4.80923	0.559079	7.3498	0.790504	5.20528	0.515236	5.33566	0.51444	5.34299	0.845355	1.5026
0.360037	2.39594	0.182076	4.81168	0.564075	7.43042	0.794026	5.21546	0.516522	5.32387	0.516192	5.32689	0.846401	1.59154
0.361642	2.35815	0.185329	4.81392	0.569124	7.50453	0.797555	5.22533	0.518267	5.30737	0.518399	5.30606	0.847507	1.68128
0.363224	2.32546	0.188584	4.81584	0.57422	7.5725	0.80109	5.23486	0.520467	5.28592	0.521057	5.28004	0.848674	1.77163
0.364786	2.29744	0.19184	4.81741	0.578697	7.62706	0.804631	5.24413	0.523114	5.25926	0.524158	5.24839	0.849902	1.86256
0.36633	2.27381	0.195096	4.8188	0.582538	7.67004	0.808179	5.25318	0.526203	5.22688	0.527693	5.21074	0.851191	1.95406
0.36786	2.25441	0.198354	4.81995	0.58573	7.70332	0.811733	5.26199	0.529723	5.18824	0.531202	5.17152	0.852543	2.04601
0.369378	2.23883	0.201612	4.82078	0.588263	7.72825	0.815292	5.27074	0.533216	5.14822	0.534684	5.13086	0.853957	2.13834
0.370886	2.22676	0.204871	4.82144	0.590131	7.74584	0.818858	5.27934	0.536682	5.10676	0.538138	5.08882	0.855434	2.23102
0.372388	2.21795	0.20813	4.82193	0.591329	7.75668	0.822429	5.28786	0.54012	5.06392	0.541563	5.04539	0.856973	2.32401
0.373885	2.21226	0.211389	4.82212	0.593053	7.77153	0.826006	5.29642	0.543528	5.01978	0.544959	5.00076	0.858576	2.41712
