Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.345911	2.91569	0.180154	5.37456	0.535113	6.74093	0.526645	4.81415	0.527624	4.80418
0.347716	2.83289	0.181795	5.37868	0.539386	6.86056	0.529659	4.78305	0.530632	4.77268
0.34947	2.75692	0.183871	5.38349	0.543732	6.97325	0.532653	4.75062	0.53362	4.73987
0.351179	2.68766	0.186384	5.38908	0.548147	7.07926	0.535627	4.71692	0.536587	4.70576
0.352847	2.62486	0.189336	5.39527	0.552626	7.17861	0.538579	4.68202	0.539532	4.67047
0.354477	2.56823	0.192727	5.40197	0.557165	7.27161	0.541509	4.64599	0.54208	4.6388
0.356073	2.51755	0.196123	5.40825	0.561761	7.35854	0.544044	4.61363	0.544238	4.61116
0.35764	2.47257	0.199522	5.41411	0.56641	7.43951	0.54619	4.58546	0.546013	4.58781
0.35918	2.43303	0.202924	5.41953	0.571107	7.51486	0.547955	4.56172	0.547409	4.56915
0.360696	2.39858	0.20633	5.42458	0.575851	7.58476	0.549344	4.54272	0.548433	4.55505
0.362193	2.36902	0.209739	5.42928	0.580636	7.64936	0.550361	4.52842	0.549086	4.54611
0.363672	2.34401	0.213151	5.43358	0.585461	7.70915	0.551011	4.51923	0.550023	4.53333
0.365138	2.32332	0.216565	5.43753	0.589694	7.75749	0.551942	4.50617	0.551039	4.51903
0.366591	2.30671	0.219982	5.44113	0.593323	7.79593	0.552951	4.49177	0.552415	4.4994
0.368036	2.29381	0.223401	5.44445	0.596337	7.82577	0.554319	4.47195	0.554146	4.47435
0.369473	2.28452	0.226822	5.44747	0.598729	7.84821	0.556039	4.44651	0.556227	4.4437
0.370906	2.27843	0.230245	5.45017	0.600491	7.86415	0.558107	4.41537	0.558649	4.40711
0.372152	2.2756	0.233669	5.45256	0.601621	7.87405	0.560514	4.37835	0.561404	4.36447
0.373213	2.275	0.237095	5.45467	0.603247	7.88781	0.563251	4.33524	0.564132	4.3211
0.374091	2.27568	0.240522	5.45655	0.605019	7.90218	0.56596	4.29151	0.566833	4.27725
0.374785	2.27686	0.24395	5.45814	0.607432	7.92099	0.568642	4.24727	0.569506	4.23283
0.375296	2.27818	0.247379	5.45953	0.610493	7.94347	0.571296	4.2025	0.57215	4.18792
0.375624	2.27917	0.250809	5.46066	0.614206	7.96869	0.573922	4.15736	0.574767	4.1426
0.376094	2.28067	0.254239	5.46155	0.618576	7.9958	0.576519	4.11187	0.577355	4.09702
0.376606	2.28279	0.25767	5.46227	0.623608	8.02356	0.579088	4.06609	0.579914	4.05125
0.377303	2.28625	0.261101	5.46268	0.628656	8.04792	0.581627	4.02022	0.582444	4.00528
0.378186	2.29125	0.264533	5.46294	0.633718	8.06907	0.584138	3.9742	0.584946	3.95926
0.379257	2.2983	0.267964	5.46307	0.638793	8.08697	0.58662	3.92811	0.587418	3.91323
0.380517	2.30797	0.271396	5.46292	0.643878	8.10174	0.589073	3.88209	0.589862	3.86723
