Sym0		Asym0		Sym1		Asym1		Asym2	
341  Points		338  Points		214  Points		291  Points		291  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.434216	5.2409	0.380648	4.51613	0.801664	9.62192	0.654491	7.87876	0.65506	7.86632
0.43618	5.22499	0.384031	4.52257	0.806122	9.60303	0.656242	7.84055	0.656807	7.82826
0.438162	5.20952	0.387412	4.52889	0.810533	9.58385	0.657983	7.80279	0.658545	7.79065
0.440161	5.1945	0.390791	4.53509	0.814893	9.56437	0.659715	7.76549	0.660275	7.75349
0.442177	5.1799	0.394167	4.54116	0.819201	9.54457	0.66144	7.72864	0.661997	7.71679
0.444211	5.16571	0.397541	4.54712	0.823456	9.52443	0.663157	7.69225	0.663712	7.68055
0.446262	5.15193	0.400912	4.55297	0.827655	9.50396	0.664868	7.6563	0.665421	7.64475
0.44833	5.13854	0.40428	4.5587	0.831799	9.48314	0.666572	7.62081	0.667124	7.6094
0.450415	5.12554	0.407645	4.56432	0.835885	9.46196	0.668272	7.58577	0.668822	7.5745
0.452517	5.11291	0.411008	4.56983	0.839911	9.44041	0.669967	7.55117	0.670516	7.54005
0.454636	5.10064	0.414368	4.57524	0.843878	9.4185	0.671659	7.51701	0.672207	7.50604
0.456771	5.08873	0.417726	4.58054	0.847783	9.39621	0.673347	7.4833	0.673894	7.47247
0.458922	5.07717	0.42108	4.58573	0.851626	9.37355	0.675033	7.45003	0.675579	7.43934
0.461089	5.06594	0.424432	4.59083	0.855406	9.35051	0.676717	7.41719	0.677263	7.40664
0.463272	5.05504	0.42778	4.59582	0.859123	9.32709	0.6784	7.38479	0.678945	7.37438
0.465471	5.04446	0.431126	4.60072	0.862775	9.3033	0.680082	7.35282	0.680627	7.34255
0.467686	5.03419	0.434469	4.60552	0.866363	9.27914	0.681763	7.32129	0.682309	7.31115
0.469916	5.02422	0.437809	4.61023	0.869887	9.25461	0.683446	7.29018	0.683991	7.28018
0.472161	5.01455	0.441146	4.61484	0.873345	9.22972	0.685129	7.25949	0.685675	7.24963
0.474421	5.00516	0.444479	4.61936	0.876739	9.20449	0.686814	7.22923	0.68736	7.21951
0.476696	4.99606	0.44781	4.62379	0.880068	9.17891	0.688501	7.19938	0.689048	7.18979
0.478986	4.98722	0.451138	4.62813	0.883334	9.153	0.69019	7.16995	0.690738	7.1605
0.48129	4.97865	0.454462	4.63239	0.886535	9.12677	0.691882	7.14093	0.692432	7.13162
0.483608	4.97033	0.457784	4.63655	0.889674	9.10023	0.693578	7.11233	0.694129	7.10314
0.48594	4.96227	0.461102	4.64064	0.892751	9.07341	0.695278	7.08413	0.69583	7.07507
0.488286	4.95444	0.464417	4.64464	0.895766	9.0463	0.696982	7.05633	0.697536	7.0474
0.490646	4.94686	0.467728	4.64856	0.898721	9.01893	0.698691	7.02893	0.699246	7.02013
0.493019	4.9395	0.471037	4.65239	0.901618	8.99132	0.700405	7.00193	0.700962	6.99326
0.495406	4.93237	0.474342	4.65615	0.904456	8.96348	0.702125	6.97532	0.702684	6.96677
0.497805	4.92546	0.477644	4.65983	0.907238	8.93542	0.703851	6.94909	0.704411	6.94068
0.500218	4.91876	0.480943	4.66343	0.909964	8.90717	0.705583	6.92326	0.706145	6.91497
0.502643	4.91226	0.484238	4.66696	0.912637	8.87874	0.707321	6.8978	0.707886	6.88963
0.505081	4.90597	0.48753	4.67041	0.915258	8.85015	0.709067	6.87273	0.709634	6.86468
0.50753	4.89987	0.490818	4.67379	0.917828	8.82142	0.71082	6.84803	0.71139	6.8401
0.509992	4.89396	0.494104	4.6771	0.920348	8.79256	0.712581	6.8237	0.713153	6.81589
0.512466	4.88824	0.497385	4.68033	0.922821	8.7636	0.71435	6.79973	0.714925	6.79204
0.514952	4.88269	0.500664	4.6835	0.925248	8.73454	0.716127	6.77613	0.716705	6.76856
0.517449	4.87732	0.503938	4.68659	0.927631	8.70542	0.717912	6.75289	0.718493	6.74543
0.519958	4.87212	0.50721	4.68962	0.929971	8.67623	0.719707	6.73	0.72029	6.72266
0.522478	4.86708	0.510478	4.69258	0.93227	8.647	0.72151	6.70747	0.722097	6.70024
0.525009	4.86221	0.513742	4.69548	0.934529	8.61775	0.723323	6.68528	0.723912	6.67816
0.52755	4.85749	0.517003	4.69831	0.93675	8.58848	0.725145	6.66344	0.725738	6.65643
0.530102	4.85292	0.52026	4.70107	0.938935	8.55922	0.726977	6.64194	0.727573	6.63504
0.532665	4.8485	0.523514	4.70377	0.941085	8.52997	0.728819	6.62077	0.729419	6.61398
0.535238	4.84422	0.526764	4.70641	0.943202	8.50076	0.730671	6.59993	0.731274	6.59325
0.537821	4.84008	0.530011	4.70899	0.945286	8.47159	0.732534	6.57943	0.73314	6.57285
0.540414	4.83608	0.533254	4.71151	0.947341	8.44247	0.734407	6.55925	0.735017	6.55277
0.543017	4.83221	0.536493	4.71397	0.949366	8.41342	0.736291	6.53938	0.736904	6.53301
0.545629	4.82847	0.539729	4.71637	0.951363	8.38445	0.738186	6.51984	0.738802	6.51357
0.548251	4.82485	0.542961	4.71872	0.953335	8.35557	0.740092	6.50061	0.740712	6.49444
0.550882	4.82135	0.54619	4.721	0.955281	8.32678	0.742009	6.48168	0.742632	6.47561
0.553522	4.81797	0.549415	4.72323	0.957204	8.29811	0.743937	6.46306	0.744564	6.45709
0.556172	4.8147	0.552636	4.72541	0.959104	8.26955	0.745877	6.44475	0.746508	6.43887
0.558829	4.81155	0.555854	4.72753	0.960983	8.24111	0.747828	6.42673	0.748463	6.42095
0.561496	4.8085	0.559068	4.7296	0.962841	8.21281	0.749791	6.409	0.75043	6.40331
0.564171	4.80556	0.562278	4.73161	0.964681	8.18465	0.751766	6.39156	0.752409	6.38597
0.566854	4.80272	0.565485	4.73358	0.966502	8.15664	0.753753	6.37441	0.754399	6.36891
0.569546	4.79998	0.568688	4.73549	0.968307	8.12878	0.755751	6.35754	0.756402	6.35213
0.572245	4.79733	0.571887	4.73735	0.970096	8.10107	0.757762	6.34095	0.758417	6.33563
0.574952	4.79478	0.575083	4.73917	0.97187	8.07354	0.759785	6.32463	0.760444	6.3194
0.577667	4.79231	0.578275	4.74093	0.97363	8.04617	0.761821	6.30859	0.762483	6.30344
0.58039	4.78994	0.581464	4.74265	0.975377	8.01898	0.763868	6.29281	0.764534	6.28775
0.58312	4.78765	0.584648	4.74431	0.977111	7.99197	0.765928	6.2773	0.766598	6.27232
0.585857	4.78544	0.58783	4.74594	0.978834	7.96514	0.768	6.26204	0.768675	6.25715
0.588602	4.78332	0.591007	4.74751	0.980547	7.9385	0.770085	6.24705	0.770763	6.24224
0.591353	4.78127	0.594181	4.74905	0.98225	7.91205	0.772182	6.2323	0.772865	6.22758
0.594112	4.7793	0.597351	4.75053	0.983944	7.88579	0.774292	6.21781	0.774979	6.21316
0.596877	4.7774	0.600517	4.75198	0.985629	7.85973	0.776414	6.20356	0.777105	6.19899
0.599648	4.77558	0.60368	4.75338	0.987307	7.83387	0.778549	6.18955	0.779244	6.18506
0.602427	4.77382	0.606839	4.75474	0.988978	7.80821	0.780697	6.17578	0.781396	6.17137
0.605211	4.77214	0.609995	4.75605	0.990642	7.78276	0.782857	6.16225	0.78356	6.15792
0.608002	4.77051	0.613147	4.75733	0.992301	7.75751	0.78503	6.14895	0.785737	6.14469
0.610799	4.76895	0.616295	4.75857	0.993955	7.73246	0.787215	6.13588	0.787927	6.13169
0.613602	4.76746	0.61944	4.75976	0.995604	7.70763	0.789414	6.12304	0.790129	6.11892
0.616411	4.76602	0.622581	4.76092	0.997249	7.683	0.791624	6.11041	0.792344	6.10637
0.619225	4.76464	0.625719	4.76204	0.998891	7.65859	0.793848	6.09801	0.794571	6.09403
0.622045	4.76332	0.628853	4.76312	1.00053	7.63439	0.796084	6.08582	0.796811	6.08191
0.624871	4.76205	0.631984	4.76417			0.798333	6.07384	0.799064	6.07001
0.627702	4.76083	0.635111	4.76518			0.800594	6.06208	0.80133	6.05831
0.630538	4.75967	0.638234	4.76615			0.802868	6.05052	0.803608	6.04681
0.63338	4.75856	0.641355	4.76709			0.805154	6.03916	0.805898	6.03552
0.636226	4.75749	0.644471	4.76799			0.807453	6.028	0.808201	6.02443
0.639078	4.75647	0.647585	4.76886			0.809764	6.01704	0.810516	6.01353
0.641935	4.7555	0.650694	4.7697			0.812088	6.00627	0.812844	6.00282
0.644796	4.75457	0.653801	4.77051			0.814425	5.9957	0.815185	5.99231
0.647662	4.75369	0.656904	4.77128			0.816773	5.98531	0.817537	5.98198
0.650532	4.75284	0.660004	4.77202			0.819134	5.97511	0.819902	5.97184
0.653407	4.75204	0.6631	4.77273			0.821507	5.96509	0.822279	5.96188
0.656286	4.75127	0.666193	4.77341			0.823893	5.95524	0.824668	5.95209
0.65917	4.75055	0.669283	4.77407			0.82629	5.94558	0.82707	5.94248
0.662058	4.74985	0.67237	4.77469			0.8287	5.93609	0.829483	5.93305
0.66495	4.7492	0.675453	4.77529			0.831121	5.92677	0.831909	5.92378
0.667846	4.74858	0.678534	4.77586			0.833555	5.91761	0.834347	5.91468
0.670745	4.74799	0.681611	4.7764			0.836001	5.90863	0.836796	5.90575
0.673649	4.74743	0.684685	4.77691			0.838458	5.8998	0.839257	5.89697
0.676556	4.74691	0.687756	4.7774			0.840927	5.89114	0.84173	5.88836
0.679467	4.74642	0.690824	4.77786			0.843408	5.88263	0.844215	5.8799
0.682382	4.74595	0.693889	4.7783			0.8459	5.87428	0.846711	5.8716
0.6853	4.74551	0.696951	4.77872			0.848404	5.86608	0.849218	5.86345
0.688221	4.7451	0.70001	4.77911			0.85092	5.85803	0.851737	5.85545
0.691146	4.74472	0.703066	4.77948			0.853446	5.85012	0.854268	5.84759
0.694074	4.74436	0.70612	4.77982			0.855985	5.84237	0.85681	5.83988
0.697005	4.74403	0.70917	4.78015			0.858534	5.83475	0.859363	5.83231
0.699939	4.74372	0.712218	4.78045			0.861094	5.82727	0.861927	5.82488
0.702877	4.74343	0.715263	4.78073			0.863666	5.81994	0.864502	5.81759
0.705817	4.74317	0.718305	4.781			0.866248	5.81273	0.867087	5.81043
0.70876	4.74292	0.721345	4.78124			0.868841	5.80566	0.869684	5.8034
0.711706	4.7427	0.724382	4.78146			0.871445	5.79872	0.872292	5.7965
0.714655	4.7425	0.727416	4.78166			0.87406	5.79191	0.87491	5.78973
0.717606	4.74232	0.730448	4.78185			0.876685	5.78523	0.877538	5.78309
0.72056	4.74215	0.733478	4.78202			0.879321	5.77867	0.880177	5.77657
0.723516	4.74201	0.736505	4.78217			0.881967	5.77223	0.882827	5.77017
0.726475	4.74188	0.73953	4.7823			0.884623	5.76591	0.885487	5.76389
0.729437	4.74177	0.742552	4.78242			0.88729	5.75971	0.888156	5.75772
0.7324	4.74167	0.745572	4.78252			0.889967	5.75362	0.890836	5.75168
0.735366	4.74159	0.74859	4.78261			0.892653	5.74765	0.893526	5.74574
0.738334	4.74152	0.751605	4.78268			0.89535	5.74179	0.896226	5.73992
0.741305	4.74147	0.754619	4.78274			0.898056	5.73604	0.898935	5.7342
0.744277	4.74143	0.75763	4.78278			0.900772	5.7304	0.901654	5.72859
0.747252	4.74141	0.760639	4.78281			0.903497	5.72486	0.904383	5.72309
0.750228	4.7414	0.763646	4.78283			0.906233	5.71943	0.907121	5.71769
0.753206	4.7414	0.766651	4.78284			0.908977	5.71409	0.909869	5.71239
0.756187	4.74141	0.769654	4.78283			0.911731	5.70886	0.912625	5.70719
0.759169	4.74143	0.772655	4.78281			0.914493	5.70373	0.915391	5.70208
0.762153	4.74147	0.775655	4.78278			0.917265	5.69869	0.918166	5.69708
0.765138	4.74151	0.778652	4.78274			0.920046	5.69375	0.92095	5.69216
0.768125	4.74157	0.781648	4.78269			0.922836	5.68889	0.923742	5.68734
0.771114	4.74163	0.784642	4.78262			0.925634	5.68414	0.926543	5.68261
0.774105	4.74171	0.787635	4.78255			0.928441	5.67947	0.929353	5.67797
0.777097	4.74179	0.790625	4.78247			0.931257	5.67488	0.932172	5.67342
0.78009	4.74188	0.793615	4.78238			0.934081	5.67039	0.934998	5.66895
0.783085	4.74198	0.796602	4.78228			0.936913	5.66598	0.937833	5.66456
0.786081	4.74208	0.799588	4.78218			0.939754	5.66165	0.940677	5.66026
0.789079	4.7422	0.802573	4.78206			0.942603	5.6574	0.943528	5.65604
0.792078	4.74232	0.805556	4.78194			0.94546	5.65323	0.946387	5.6519
0.795078	4.74244	0.808538	4.78181			0.948324	5.64915	0.949255	5.64784
0.798079	4.74258	0.811519	4.78167			0.951197	5.64513	0.95213	5.64385
0.801082	4.74271	0.814498	4.78153			0.954077	5.6412	0.955012	5.63994
0.804085	4.74286	0.817476	4.78138			0.956965	5.63733	0.957903	5.6361
0.80709	4.74301	0.820453	4.78123			0.95986	5.63354	0.9608	5.63233
0.810096	4.74316	0.823429	4.78107			0.962763	5.62983	0.963706	5.62864
0.813102	4.74332	0.826403	4.7809			0.965673	5.62618	0.966618	5.62501
0.81611	4.74349	0.829377	4.78073			0.96859	5.6226	0.969538	5.62145
0.819119	4.74366	0.832349	4.78055			0.971515	5.61908	0.972464	5.61796
0.822128	4.74383	0.83532	4.78037			0.974446	5.61564	0.975398	5.61453
0.825139	4.744	0.838291	4.78019			0.977385	5.61225	0.978339	5.61117
0.82815	4.74418	0.84126	4.78			0.98033	5.60893	0.981286	5.60787
0.831162	4.74437	0.844229	4.77981			0.983282	5.60568	0.98424	5.60463
