Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.358539	2.44419	0.188613	5.1821	0.562274	7.37991	0.535054	4.87485	0.534337	4.88325	0.86799	1.34633
0.360097	2.40558	0.191946	5.18673	0.567045	7.45892	0.536172	4.86179	0.535457	4.87028	0.868884	1.43453
0.361632	2.37207	0.195282	5.1909	0.571865	7.53213	0.536886	4.85341	0.536172	4.8619	0.869835	1.52325
0.363147	2.34338	0.198621	5.19479	0.57673	7.59969	0.53791	4.84106	0.537197	4.84955	0.870843	1.61251
0.364645	2.31922	0.201962	5.19832	0.581637	7.66199	0.53902	4.82742	0.538309	4.8361	0.871908	1.70229
0.366129	2.29924	0.205305	5.20147	0.585945	7.71218	0.540524	4.80877	0.539817	4.81767	0.873032	1.79248
0.367602	2.28316	0.20865	5.20432	0.589638	7.75206	0.542419	4.78482	0.541715	4.79374	0.874213	1.88295
0.369065	2.27085	0.211997	5.20691	0.592706	7.78296	0.544697	4.75525	0.543997	4.76437	0.875453	1.97369
0.370522	2.26192	0.215346	5.20922	0.59514	7.80612	0.547351	4.71974	0.546657	4.72915	0.876751	2.06464
0.371974	2.25618	0.218695	5.21116	0.596934	7.82269	0.550373	4.67816	0.549684	4.68775	0.878108	2.15577
0.373423	2.2535	0.222046	5.21288	0.598085	7.83285	0.553367	4.63556	0.552685	4.64539	0.879523	2.24698
0.374871	2.25346	0.225398	5.21432	0.599741	7.8469	0.556333	4.59207	0.555658	4.60213	0.880997	2.33812
0.376134	2.25544	0.228751	5.21557	0.601544	7.86169	0.559272	4.54783	0.558602	4.55795	0.88253	2.42922
0.377212	2.25857	0.232105	5.21657	0.604002	7.88092	0.562181	4.50273	0.561519	4.5131	0.884121	2.52015
0.378105	2.26216	0.235459	5.21734	0.60712	7.90398	0.565062	4.45699	0.564406	4.46753	0.88577	2.61084
0.378812	2.26549	0.238814	5.21793	0.610901	7.92971	0.567912	4.41066	0.567263	4.42129	0.887478	2.70115
0.379332	2.26834	0.242169	5.21828	0.615352	7.95715	0.570733	4.36372	0.570091	4.3745	0.889244	2.79101
0.379665	2.27027	0.245524	5.21846	0.620477	7.98516	0.573523	4.31637	0.572888	4.32722	0.891067	2.88041
0.380145	2.27322	0.248879	5.21838	0.62562	8.00952	0.576283	4.26866	0.575655	4.27955	0.892947	2.96921
0.380668	2.27679	0.252234	5.21819	0.630777	8.0304	0.579012	4.2206	0.578391	4.23161	0.894885	3.05733
0.381379	2.28189	0.255589	5.21788	0.635946	8.04784	0.58171	4.17237	0.581096	4.18345	0.896879	3.14475
0.382282	2.28896	0.258943	5.2173	0.641125	8.06198	0.584377	4.124	0.58377	4.13506	0.898929	3.23126
0.383377	2.29841	0.262297	5.21659	0.646312	8.07297	0.587013	4.07557	0.586413	4.08667	0.901034	3.31684
0.384668	2.31058	0.265651	5.2158	0.651506	8.0808	0.589618	4.0272	0.589025	4.03827	0.903194	3.40149
0.386159	2.32577	0.269004	5.21483	0.656703	8.08562	0.592192	3.97893	0.591606	3.98993	0.905408	3.48504
0.387659	2.34234	0.272357	5.2137	0.661903	8.0874	0.594734	3.93086	0.594156	3.94182	0.907675	3.56743
0.389171	2.36018	0.275708	5.21251	0.667102	8.08632	0.597246	3.88305	0.596675	3.89399	0.909995	3.64858
0.390694	2.37912	0.279059	5.21111	0.672301	8.08238	0.599727	3.83558	0.599163	3.84641	0.912366	3.7284
0.39223	2.39905	0.282409	5.20956	0.677495	8.07559	0.602178	3.78855	0.601621	3.79921	0.914789	3.80686
0.393779	2.4199	0.285758	5.20799	0.682685	8.06603	0.604599	3.74205	0.604048	3.75258	0.917262	3.88384
0.395341	2.44157	0.289106	5.20631	0.687867	8.05372	0.60699	3.69604	0.606446	3.7065	0.919783	3.95938
0.396918	2.46403	0.292453	5.20451	0.693041	8.0387	0.609352	3.65069	0.608814	3.66101	0.922353	4.03339
0.39851	2.48714	0.295798	5.2026	0.698204	8.02089	0.611684	3.6061	0.611154	3.61625	0.924969	4.10575
0.400116	2.5108	0.299142	5.20059	0.703354	8.00037	0.613989	3.5622	0.613464	3.57221	0.927632	4.17637
0.401738	2.53505	0.302485	5.19846	0.708491	7.97711	0.616265	3.51919	0.615747	3.52896	0.93034	4.24533
0.403376	2.5598	0.305827	5.19624	0.713612	7.95115	0.618514	3.47703	0.618002	3.48659	0.933091	4.31257
0.40503	2.58492	0.309167	5.19395	0.718715	7.92246	0.620736	3.43584	0.62023	3.44513	0.935885	4.37795
0.4067	2.61031	0.312506	5.19164	0.723799	7.89108	0.622932	3.39561	0.622432	3.40466	0.93872	4.44153
0.408386	2.63612	0.315843	5.18922	0.728862	7.85692	0.625102	3.35634	0.624608	3.36521	0.941596	4.50319
0.41009	2.66219	0.319178	5.18668	0.733902	7.81994	0.627247	3.31818	0.626759	3.32681	0.944511	4.56295
0.41181	2.68838	0.322512	5.18413	0.738917	7.78017	0.629369	3.28112	0.628886	3.28951	0.947464	4.6208
0.413546	2.7148	0.325844	5.18148	0.743906	7.73768	0.631467	3.24517	0.630989	3.25335	0.950453	4.67664
0.4153	2.74138	0.329175	5.17877	0.748867	7.69234	0.633542	3.21043	0.633069	3.21829	0.953477	4.73057
0.417072	2.76804	0.332503	5.17599	0.753797	7.64414	0.635595	3.17688	0.635127	3.18441	0.956536	4.7825
0.41886	2.79475	0.33583	5.17316	0.758696	7.59319	0.637627	3.1445	0.637164	3.15176	0.959627	4.83233
0.420665	2.82148	0.339155	5.17026	0.763561	7.53932	0.639638	3.11329	0.63918	3.12032	0.962749	4.8802
0.422488	2.84821	0.342479	5.16728	0.768391	7.48262	0.64163	3.08336	0.641176	3.0901	0.965902	4.92607
0.424328	2.8749	0.3458	5.16435	0.773183	7.42306	0.643603	3.05475	0.643153	3.0612	0.969083	4.96982
0.426185	2.90162	0.349119	5.16129	0.777936	7.36064	0.645558	3.02734	0.645113	3.03348	0.972292	5.01157
0.428059	2.92825	0.352437	5.15817	0.782648	7.29547	0.647496	3.00116	0.647054	3.00699	0.975528	5.05135
0.42995	2.95477	0.355752	5.15507	0.787317	7.22749	0.649417	2.97624	0.648979	2.98181	0.978788	5.08898
0.431858	2.9812	0.359065	5.15188	0.791941	7.15667	0.651323	2.95258	0.650888	2.95791	0.982071	5.12454
0.433783	3.00746	0.362376	5.14858	0.796519	7.08321	0.653214	2.93019	0.652783	2.93524	0.985377	5.1582
0.435725	3.0336	0.365686	5.14534	0.801049	7.00715	0.65509	2.90902	0.654663	2.91377	0.988275	5.18593
0.437684	3.05956	0.368993	5.14208	0.805529	6.92842	0.656954	2.88909	0.656529	2.89354	0.990758	5.2083
0.439659	3.08539	0.372298	5.1387	0.809958	6.84724	0.658805	2.87043	0.658383	2.87456	0.992818	5.22597
0.441651	3.11104	0.3756	5.13531	0.814334	6.76366	0.660645	2.85292	0.660226	2.85679	0.994452	5.23937
0.44366	3.13649	0.378901	5.13191	0.818655	6.67777	0.662474	2.83658	0.662057	2.84021	0.995656	5.24881
0.445685	3.16169	0.382199	5.12846	0.822921	6.58982	0.664293	2.82146	0.663878	2.82481	0.996428	5.25482
0.447725	3.18665	0.385495	5.12499	0.827129	6.49984	0.666102	2.80747	0.665689	2.81058	0.997539	5.26327
0.449782	3.2114	0.388789	5.1215	0.831279	6.40798	0.667903	2.79464	0.667492	2.79747	0.998749	5.2721
0.451855	3.23597	0.392081	5.11795	0.835369	6.31446	0.669695	2.78292	0.669286	2.7855	1.0004	5.27807
0.453943	3.26025	0.39537	5.11437	0.839398	6.21945	0.671481	2.77229	0.671073	2.77463		
0.456047	3.28428	0.398657	5.11078	0.843366	6.12318	0.67326	2.76272	0.672854	2.7648		
0.458166	3.30808	0.401942	5.10718	0.847272	6.02579	0.675034	2.75417	0.674629	2.75606		
0.460301	3.3316	0.405224	5.10357	0.851114	5.92754	0.676802	2.74671	0.676398	2.74834		
0.46245	3.35487	0.408505	5.09986	0.854894	5.82863	0.678565	2.74022	0.678163	2.74162		
0.464615	3.37787	0.411782	5.09615	0.858609	5.72929	0.680325	2.73464	0.679923	2.73587		
0.466794	3.40056	0.415057	5.09249	0.862261	5.62968	0.682082	2.7301	0.681681	2.73103		
0.468987	3.423	0.41833	5.0888	0.865848	5.53015	0.683836	2.72645	0.683435	2.72718		
0.471195	3.44515	0.421601	5.08504	0.869372	5.43093	0.685588	2.72367	0.685187	2.72425		
0.473417	3.467	0.424869	5.0812	0.872832	5.33207	0.687338	2.72175	0.686938	2.72214		
0.475653	3.48865	0.428135	5.07748	0.876228	5.23387	0.689087	2.72068	0.688688	2.72088		
0.477903	3.50998	0.431398	5.0737	0.879562	5.13658	0.690836	2.72047	0.690437	2.72046		
0.480167	3.53094	0.434659	5.06985	0.882833	5.04039	0.692586	2.72105	0.692186	2.72083		
0.482443	3.55166	0.437917	5.06602	0.886043	4.94543	0.694335	2.72235	0.693935	2.72197		
0.484734	3.57216	0.441173	5.06219	0.889192	4.85189	0.696086	2.72438	0.695686	2.72387		
0.487037	3.59233	0.444426	5.05837	0.892282	4.75995	0.697839	2.72715	0.697438	2.72647		
0.489353	3.61218	0.447677	5.05449	0.895313	4.66978	0.699593	2.7306	0.699192	2.72978		
0.491682	3.63176	0.450926	5.05059	0.898286	4.58139	0.70135	2.73477	0.700948	2.73372		
0.494023	3.65106	0.454172	5.04673	0.901204	4.49495	0.703109	2.73956	0.702707	2.73834		
0.496376	3.6701	0.457415	5.04283	0.904066	4.41066	0.704872	2.74492	0.704469	2.74362		
0.498742	3.68885	0.460656	5.03887	0.906875	4.32855	0.706639	2.75085	0.706235	2.74945		
0.50112	3.70725	0.463894	5.03498	0.909632	4.2486	0.70841	2.75741	0.708004	2.75587		
0.503509	3.72541	0.46713	5.03107	0.912338	4.17089	0.710185	2.76457	0.709778	2.76289		
0.50591	3.74336	0.470364	5.02715	0.914995	4.09557	0.711964	2.77219	0.711557	2.77039		
0.508322	3.76098	0.473595	5.02323	0.917605	4.02263	0.713749	2.78029	0.713341	2.77838		
0.510746	3.77829	0.476823	5.01925	0.920168	3.95203	0.71554	2.78896	0.71513	2.78694		
0.513181	3.79538	0.480049	5.0153	0.922686	3.88377	0.717336	2.79807	0.716924	2.79595		
0.515626	3.81215	0.483272	5.01136	0.925162	3.81797	0.719137	2.80756	0.718725	2.80538		
0.518083	3.82865	0.486492	5.00737	0.927596	3.75449	0.720946	2.81751	0.720532	2.81525		
0.52055	3.84497	0.489711	5.00341	0.92999	3.69336	0.72276	2.82789	0.722345	2.82549		
0.523027	3.86098	0.492926	4.99942	0.932345	3.63466	0.724582	2.83871	0.724165	2.83618		
0.525514	3.87669	0.496139	4.99546	0.934663	3.5782	0.726411	2.84985	0.725992	2.84726		
0.528012	3.89213	0.49935	4.99151	0.936946	3.52396	0.728246	2.86131	0.727826	2.85869		
0.530519	3.90733	0.502558	4.98752	0.939195	3.472	0.73009	2.87315	0.729668	2.87045		
0.533036	3.92231	0.505763	4.98351	0.94141	3.42225	0.731941	2.88533	0.731517	2.88249		
0.535562	3.93707	0.508966	4.97954	0.943595	3.37461	0.7338	2.89778	0.733374	2.89488		
0.538098	3.9515	0.512166	4.9756	0.94575	3.32908	0.735667	2.91054	0.73524	2.9076		
0.540644	3.96567	0.515364	4.9716	0.947876	3.28557	0.737542	2.92361	0.737113	2.92059		
0.543198	3.97971	0.518559	4.96759	0.949975	3.24402	0.739426	2.93688	0.738995	2.93378		
0.545761	3.99342	0.521751	4.96362	0.952047	3.20446	0.741319	2.95041	0.740885	2.94727		
0.548333	4.0069	0.524941	4.95967	0.954095	3.16674	0.74322	2.96419	0.742785	2.96102		
0.550913	4.02023	0.528129	4.95568	0.956119	3.13084	0.74513	2.97813	0.744693	2.97495		
0.553502	4.03321	0.531314	4.95173	0.958121	3.09671	0.74705	2.99237	0.74661	2.98914		
0.556099	4.04601	0.534496	4.94778	0.960101	3.06431	0.748978	3.00682	0.748537	3.0035		
0.558705	4.05862	0.537676	4.94379	0.962061	3.03362	0.750916	3.02136	0.750472	3.018		
0.561318	4.07092	0.540853	4.93984	0.964002	3.00447	0.752863	3.03612	0.752417	3.03269		
0.563939	4.08307	0.544028	4.93589	0.965924	2.97685	0.75482	3.05103	0.754372	3.04762		
0.566568	4.09503	0.5472	4.93196	0.96783	2.95078	0.756786	3.06608	0.756336	3.06267		
0.569205	4.1067	0.550369	4.92803	0.969719	2.92617	0.758763	3.0813	0.75831	3.07784		
0.571849	4.1182	0.553537	4.92405	0.971592	2.90294	0.760749	3.09665	0.760294	3.09312		
0.574501	4.12953	0.556701	4.92014	0.973452	2.88102	0.762744	3.11208	0.762287	3.10851		
0.577159	4.14055	0.559863	4.91628	0.975297	2.86046	0.76475	3.12765	0.764291	3.12411		
