Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
393  Points		393  Points		374  Points		205  Points		400  Points		301  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.687892	2.65518	0.687784	2.65519	0.666978	5.49576	0.90036	7.37671	0.450243	3.70411	0.669716	5.52191	1.00018	8.19626
0.685314	2.65544	0.685206	2.65545	0.668648	5.46468	0.901165	7.32354	0.452368	3.69134	0.670566	5.48389		
0.682736	2.6557	0.682629	2.65571	0.670312	5.43404	0.901982	7.27133	0.454482	3.67869	0.671438	5.44665		
0.680159	2.65596	0.680051	2.65597	0.671967	5.40383	0.902814	7.22005	0.456586	3.66617	0.672329	5.41017		
0.677582	2.65623	0.677474	2.65624	0.673616	5.37404	0.903658	7.1697	0.45868	3.65376	0.673242	5.37444		
0.675004	2.6565	0.674897	2.65651	0.675256	5.34465	0.904517	7.12024	0.460763	3.64146	0.674175	5.33943		
0.672427	2.65677	0.67232	2.65678	0.676888	5.31567	0.905389	7.07166	0.462835	3.62927	0.675129	5.30514		
0.66985	2.65704	0.669743	2.65706	0.678513	5.28707	0.906275	7.02394	0.464897	3.61719	0.676104	5.27154		
0.667274	2.65732	0.667166	2.65733	0.680129	5.25885	0.907174	6.97705	0.466948	3.6052	0.6771	5.23863		
0.664697	2.6576	0.66459	2.65762	0.681737	5.231	0.908088	6.93098	0.468987	3.59332	0.678118	5.20638		
0.662121	2.65789	0.662014	2.6579	0.683338	5.20351	0.909016	6.88572	0.471016	3.58153	0.679157	5.17479		
0.659545	2.65818	0.659438	2.65819	0.684929	5.17637	0.909957	6.84123	0.473033	3.56983	0.680217	5.14383		
0.65697	2.65847	0.656862	2.65848	0.686513	5.14958	0.910913	6.79752	0.475039	3.55822	0.681299	5.1135		
0.654395	2.65876	0.654287	2.65878	0.688088	5.12312	0.911883	6.75455	0.477033	3.5467	0.682403	5.08378		
0.65182	2.65906	0.651712	2.65908	0.689655	5.09698	0.912867	6.71231	0.479016	3.53526	0.683529	5.05465		
0.649246	2.65937	0.649138	2.65938	0.691213	5.07117	0.913865	6.6708	0.480988	3.52391	0.684676	5.02612		
0.646672	2.65968	0.646564	2.65969	0.692763	5.04567	0.914877	6.62999	0.482948	3.51264	0.685845	4.99815		
0.644098	2.65999	0.643991	2.66	0.694304	5.02047	0.915904	6.58986	0.484896	3.50144	0.687036	4.97075		
0.641525	2.6603	0.641418	2.66032	0.695837	4.99558	0.916945	6.55041	0.486832	3.49032	0.688248	4.9439		
0.638953	2.66063	0.638846	2.66064	0.697361	4.97097	0.918	6.51161	0.488757	3.47927	0.689483	4.91758		
0.636381	2.66095	0.636274	2.66097	0.698876	4.94665	0.91907	6.47346	0.490671	3.4683	0.690739	4.89179		
0.63381	2.66129	0.633703	2.6613	0.700382	4.92261	0.920153	6.43595	0.492572	3.4574	0.692018	4.86652		
0.631239	2.66162	0.631132	2.66164	0.70188	4.89884	0.921252	6.39905	0.494462	3.44657	0.693318	4.84175		
0.62867	2.66197	0.628562	2.66198	0.703369	4.87534	0.922364	6.36276	0.49634	3.43581	0.69464	4.81747		
0.6261	2.66232	0.625993	2.66233	0.70485	4.85211	0.923491	6.32706	0.498207	3.42512	0.695984	4.79368		
