Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
389  Points		390  Points		366  Points		199  Points		400  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.763921	2.59021	0.764765	2.59016	0.622087	1.81098	0.884988	0.506392	0.37826	2.39358	0.658457	0.37705
0.761341	2.59043	0.762185	2.59035	0.62389	1.80935	0.885497	0.515609	0.380643	2.39179	0.658838	0.388576
0.758761	2.59059	0.759605	2.59056	0.625692	1.80749	0.886015	0.525028	0.383025	2.38972	0.659231	0.400318
0.756181	2.59076	0.757025	2.59072	0.627491	1.80544	0.886542	0.534504	0.385404	2.38743	0.659636	0.412256
0.7536	2.59091	0.754444	2.59085	0.629288	1.80324	0.887079	0.544095	0.38778	2.3849	0.660052	0.424378
0.75102	2.59103	0.751864	2.59095	0.631083	1.80093	0.887626	0.55383	0.390155	2.38211	0.660481	0.436721
0.748439	2.59112	0.749283	2.59107	0.632876	1.79843	0.888183	0.563637	0.392526	2.37907	0.660922	0.449306
0.745858	2.5912	0.746702	2.59121	0.634666	1.79575	0.888749	0.573567	0.394894	2.37582	0.661376	0.462055
0.743277	2.59127	0.744121	2.59123	0.636453	1.79294	0.889325	0.583602	0.397259	2.37238	0.661843	0.475016
0.740696	2.59132	0.74154	2.59128	0.638237	1.78997	0.889912	0.593775	0.39962	2.36866	0.662322	0.488212
0.738115	2.59134	0.738959	2.59138	0.640019	1.78684	0.890508	0.604019	0.401977	2.36472	0.662815	0.50157
0.735534	2.59137	0.736378	2.59139	0.641797	1.78358	0.891115	0.614426	0.40433	2.36054	0.663322	0.515139
0.732953	2.59136	0.733797	2.59134	0.643572	1.78014	0.891732	0.624917	0.406679	2.3562	0.663842	0.528986
0.730372	2.59134	0.731216	2.59133	0.645343	1.77655	0.89236	0.635535	0.409024	2.3516	0.664375	0.542972
0.727791	2.5913	0.728635	2.5913	0.647111	1.77285	0.892998	0.64626	0.411364	2.34679	0.664923	0.557158
0.72521	2.59121	0.726054	2.59123	0.648874	1.76896	0.893647	0.657039	0.413699	2.34179	0.665485	0.571618
0.722629	2.59113	0.723473	2.59119	0.650634	1.76494	0.894307	0.667975	0.416029	2.33651	0.666062	0.586213
0.720048	2.59104	0.720892	2.59111	0.65239	1.76076	0.894978	0.679033	0.418353	2.33105	0.666653	0.601008
0.717468	2.59096	0.718311	2.59095	0.654142	1.75646	0.89566	0.690195	0.420672	2.32542	0.667259	0.616031
0.714887	2.59079	0.715731	2.5908	0.655889	1.75202	0.896353	0.701452	0.422986	2.31953	0.66788	0.631255
0.712307	2.59062	0.71315	2.59067	0.657632	1.74741	0.897057	0.7128	0.425293	2.31347	0.668517	0.64671
0.709726	2.59046	0.71057	2.59051	0.65937	1.74272	0.897773	0.72428	0.427594	2.30723	0.669168	0.662324
0.707146	2.59023	0.70799	2.59035	0.661104	1.73787	0.8985	0.735827	0.429889	2.30073	0.669836	0.678104
0.704566	2.59003	0.70541	2.59013	0.662832	1.73284	0.899238	0.747493	0.432177	2.29401	0.670519	0.69414
0.701987	2.58981	0.70283	2.58984	0.664556	1.72773	0.899989	0.759306	0.434459	2.28714	0.671219	0.710391
0.699407	2.58953	0.700251	2.58963	0.666274	1.72248	0.900751	0.771149	0.436733	2.28016	0.671934	0.726792
0.696828	2.58924	0.697672	2.58937	0.667987	1.71709	0.901525	0.783093	0.439001	2.27289	0.672667	0.743356
0.694249	2.58892	0.695093	2.58903	0.669694	1.71162	0.902311	0.795175	0.441261	2.26545	0.673415	0.76013
0.691671	2.58863	0.692514	2.5887	0.671396	1.70598	0.903109	0.807325	0.443514	2.25783	0.674181	0.777097
0.689093	2.58829	0.689936	2.58839	0.673093	1.70021	0.903919	0.819553	0.445759	2.24999	0.674963	0.794247
0.686515	2.58789	0.687358	2.58802	0.674783	1.69438	0.904742	0.831907	0.447996	2.24204	0.675763	0.811574
0.683938	2.58751	0.684781	2.58762	0.676468	1.68839	0.905576	0.844324	0.450225	2.2339	0.67658	0.829078
0.681361	2.5871	0.682203	2.58725	0.678147	1.68232	0.906423	0.856772	0.452446	2.22559	0.677414	0.846755
0.678784	2.58663	0.679627	2.58679	0.679819	1.67612	0.907283	0.869365	0.454659	2.2171	0.678267	0.864564
0.676208	2.58612	0.67705	2.58629	0.681486	1.66986	0.908155	0.882075	0.456863	2.20843	0.679137	0.882567
0.673632	2.58563	0.674475	2.58582	0.683146	1.66343	0.90904	0.894799	0.459058	2.19964	0.680025	0.900755
0.671057	2.58516	0.671899	2.5853	0.684799	1.65693	0.909938	0.907574	0.461244	2.19065	0.680931	0.919078
0.668483	2.58456	0.669325	2.58479	0.686446	1.65034	0.910848	0.920462	0.463422	2.18156	0.681856	0.937556
0.665909	2.58398	0.66675	2.5842	0.688087	1.64362	0.911771	0.933405	0.46559	2.17233	0.682799	0.956155
0.663335	2.58342	0.664177	2.58354	0.689721	1.63688	0.912708	0.946376	0.467749	2.16291	0.68376	0.9749
0.660762	2.58273	0.661604	2.58292	0.691348	1.63005	0.913657	0.959448	0.469899	2.15339	0.684741	0.993805
0.65819	2.58204	0.659031	2.58228	0.692968	1.62308	0.914619	0.97257	0.472039	2.14374	0.68574	1.01283
0.655619	2.58137	0.65646	2.58161	0.694581	1.61604	0.915594	0.985761	0.474169	2.13397	0.686758	1.03197
0.653048	2.58063	0.653889	2.58087	0.696187	1.60901	0.916582	0.998986	0.47629	2.12406	0.687796	1.0512
0.650478	2.57983	0.651318	2.58009	0.697786	1.60181	0.917584	1.01223	0.4784	2.11403	0.688852	1.0706
0.647909	2.57902	0.648749	2.57931	0.699378	1.59457	0.918599	1.02552	0.480501	2.10395	0.689929	1.09006
0.645341	2.57818	0.64618	2.57844	0.700962	1.58731	0.919627	1.03888	0.482592	2.0938	0.691024	1.10962
0.642773	2.57729	0.643613	2.57757	0.70254	1.57996	0.920668	1.05224	0.484672	2.08348	0.692139	1.12928
0.640206	2.57637	0.641046	2.57669	0.70411	1.57255	0.921723	1.06563	0.486742	2.07307	0.693273	1.14899
0.637641	2.57538	0.63848	2.57572	0.705672	1.56513	0.922791	1.07905	0.488802	2.06263	0.694428	1.16886
0.635076	2.57438	0.635915	2.57472	0.707228	1.55764	0.923873	1.09247	0.490851	2.05212	0.695602	1.18871
0.632512	2.57331	0.633351	2.57369	0.708775	1.55009	0.924967	1.10598	0.49289	2.04154	0.696796	1.2086
0.62995	2.57222	0.630788	2.57257	0.710315	1.54254	0.926076	1.11941	0.494918	2.03087	0.698009	1.2286
0.627388	2.57109	0.628226	2.57145	0.711848	1.53495	0.927197	1.13284	0.496935	2.02021	0.699243	1.24866
0.624828	2.56986	0.625665	2.57027	0.713373	1.5273	0.928332	1.14636	0.498942	2.00946	0.700497	1.26869
0.622269	2.56861	0.623106	2.56902	0.714891	1.51966	0.929481	1.15984	0.500938	1.99871	0.70177	1.28876
0.619711	2.56732	0.620548	2.56774	0.7164	1.51203	0.930643	1.17325	0.502924	1.98797	0.703064	1.30885
0.617155	2.56595	0.617991	2.5664	0.717903	1.50436	0.931818	1.18667	0.504898	1.97718	0.704378	1.32895
0.6146	2.56453	0.615435	2.56501	0.719397	1.49667	0.933007	1.20014	0.506862	1.96641	0.705711	1.34905
0.612046	2.56306	0.612881	2.56354	0.720884	1.48896	0.934209	1.21355	0.508815	1.95561	0.707065	1.36911
0.609494	2.56151	0.610329	2.56198	0.722363	1.4813	0.935424	1.22688	0.510758	1.94484	0.708439	1.38919
0.606944	2.55988	0.607778	2.56041	0.723835	1.47365	0.936653	1.24022	0.51269	1.93408	0.709832	1.4092
0.604395	2.55818	0.605228	2.55875	0.725299	1.46602	0.937895	1.25352	0.514611	1.92332	0.711246	1.42912
0.601848	2.55644	0.602681	2.557	0.726755	1.45834	0.93915	1.26676	0.516521	1.91266	0.712679	1.44905
0.599302	2.5546	0.600135	2.55523	0.728204	1.45069	0.940418	1.27996	0.518421	1.90204	0.714133	1.46894
0.596759	2.55265	0.59759	2.55333	0.729645	1.44314	0.9417	1.29315	0.52031	1.89145	0.715606	1.48872
0.594217	2.55067	0.595048	2.55134	0.731079	1.43555	0.942994	1.30624	0.522189	1.88095	0.717098	1.50845
0.591678	2.5486	0.592508	2.54928	0.732505	1.42803	0.944302	1.31925	0.524057	1.8705	0.71861	1.52806
0.58914	2.54646	0.58997	2.54716	0.733923	1.42055	0.945622	1.33221	0.525915	1.86012	0.720142	1.54753
0.586605	2.54417	0.587434	2.5449	0.735335	1.41308	0.946956	1.34514	0.527762	1.84986	0.721693	1.56692
0.584072	2.54175	0.5849	2.54255	0.736738	1.4057	0.948302	1.35793	0.5296	1.83971	0.723264	1.58624
0.581542	2.53926	0.582369	2.54011	0.738135	1.39833	0.949661	1.37066	0.531427	1.8296	0.724853	1.60539
0.579014	2.5367	0.57984	2.53756	0.739524	1.39105	0.951032	1.38335	0.533244	1.81961	0.726462	1.62441
0.576489	2.534	0.577314	2.53489	0.740906	1.38385	0.952416	1.39589	0.535052	1.8098	0.728089	1.64328
0.573966	2.53113	0.574791	2.53206	0.742281	1.37666	0.953813	1.40831	0.53685	1.80009	0.729735	1.66199
0.571446	2.52816	0.57227	2.52918	0.743648	1.36955	0.955222	1.42067	0.538638	1.79051	0.7314	1.68053
0.56893	2.52507	0.569753	2.5261	0.745009	1.36258	0.956643	1.43297	0.540416	1.78109	0.733083	1.6989
0.566416	2.52184	0.567238	2.52288	0.746363	1.35562	0.958076	1.44513	0.542186	1.77178	0.734784	1.71714
0.563906	2.51842	0.564727	2.51957	0.747709	1.34872	0.959522	1.45715	0.543946	1.76262	0.736503	1.73514
0.5614	2.51487	0.562219	2.51607	0.749049	1.34194	0.960979	1.46906	0.545697	1.75367	0.73824	1.75294
0.558897	2.51114	0.559715	2.51237	0.750383	1.33525	0.962448	1.4809	0.547439	1.74485	0.739995	1.77055
0.556397	2.50724	0.557214	2.50852	0.751709	1.32866	0.963929	1.49259	0.549173	1.7362	0.741768	1.78797
0.553902	2.50318	0.554718	2.50454	0.753029	1.32215	0.965422	1.50415	0.550898	1.72776	0.743557	1.80518
0.551411	2.49886	0.552225	2.50031	0.754343	1.31574	0.966925	1.51556	0.552615	1.71947	0.745364	1.8221
