Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
409  Points		409  Points		379  Points		219  Points		400  Points		329  Points		210  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.869535	2.03787	0.86905	2.03985	0.531963	1.91443	0.863844	0.023795	0.30878	2.24216	0.903381	1.82843	0.859438	1.24587
0.867502	2.04623	0.867015	2.04829	0.53387	1.91465	0.86387	0.029299	0.311016	2.24731	0.901553	1.84235	0.860682	1.25111
0.865459	2.05498	0.86497	2.05711	0.535777	1.91463	0.863902	0.0350206	0.313257	2.25196	0.899711	1.85615	0.861931	1.25595
0.863408	2.06399	0.862917	2.06626	0.537684	1.91445	0.86394	0.0409174	0.315502	2.25607	0.897855	1.86996	0.863184	1.26044
0.861348	2.07333	0.860854	2.07564	0.539591	1.91405	0.863984	0.0469914	0.317751	2.25968	0.895986	1.88372	0.864441	1.26464
0.859278	2.083	0.858782	2.0853	0.541497	1.91346	0.864033	0.053333	0.320004	2.26287	0.894103	1.89738	0.865703	1.26854
0.857198	2.09291	0.8567	2.09526	0.543402	1.91269	0.86409	0.0598634	0.322259	2.26551	0.892206	1.91091	0.866968	1.27209
0.855109	2.10301	0.854608	2.10547	0.545307	1.91174	0.864153	0.0665979	0.324517	2.26773	0.890296	1.92429	0.868237	1.2753
0.853009	2.11332	0.852506	2.11584	0.547211	1.91058	0.864222	0.0735673	0.326776	2.26954	0.888373	1.93762	0.869509	1.27817
0.850899	2.12391	0.850393	2.12644	0.549113	1.90921	0.864299	0.0807466	0.329038	2.27084	0.886436	1.95083	0.870783	1.28079
0.848778	2.13459	0.84827	2.13715	0.551014	1.90766	0.864383	0.0880855	0.3313	2.27174	0.884487	1.96383	0.87206	1.28307
0.846647	2.14539	0.846136	2.14801	0.552913	1.90589	0.864475	0.095657	0.333563	2.27224	0.882524	1.97665	0.873339	1.28504
0.844504	2.15631	0.843991	2.15897	0.554811	1.90397	0.864574	0.103521	0.335827	2.27231	0.880549	1.9893	0.87462	1.28671
0.842351	2.16734	0.841835	2.16998	0.556706	1.90188	0.864681	0.111535	0.33809	2.27196	0.878561	2.00176	0.875902	1.28808
0.840187	2.17847	0.839668	2.18107	0.558599	1.89953	0.864796	0.119764	0.340352	2.27118	0.876561	2.01405	0.877186	1.28916
0.838012	2.18954	0.83749	2.19217	0.56049	1.89702	0.86492	0.12825	0.342614	2.27005	0.874549	2.02613	0.87847	1.28994
0.835825	2.2006	0.835301	2.20327	0.562378	1.89433	0.865052	0.136901	0.344874	2.26853	0.872525	2.038	0.879756	1.29046
0.833628	2.21172	0.833101	2.21437	0.564263	1.89143	0.865192	0.145798	0.347133	2.2666	0.87049	2.04959	0.881041	1.29063
0.831419	2.22277	0.83089	2.2254	0.566146	1.88833	0.865342	0.154925	0.34939	2.2643	0.868442	2.06092	0.882327	1.29054
0.8292	2.2337	0.828668	2.23629	0.568025	1.88505	0.865501	0.164254	0.351644	2.26158	0.866384	2.07203	0.883612	1.29018
0.82697	2.24455	0.826435	2.24713	0.569901	1.88158	0.865647	0.172626	0.353895	2.25854	0.864315	2.08292	0.884897	1.28954
0.824729	2.25533	0.824192	2.25791	0.571773	1.8779	0.865777	0.179798	0.356143	2.25515	0.862235	2.0935	0.886181	1.28863
0.822477	2.26596	0.821938	2.26845	0.573642	1.87403	0.865889	0.185781	0.358387	2.25138	0.860144	2.10385	0.887464	1.28739
0.820215	2.2764	0.819673	2.27887	0.575506	1.86997	0.86598	0.190745	0.360628	2.24719	0.858044	2.11387	0.888581	1.28619
0.817942	2.2867	0.817398	2.28914	0.577367	1.86573	0.866049	0.194431	0.362864	2.24272	0.855933	2.1236	0.889532	1.285
0.81566	2.29682	0.815113	2.29921	0.579223	1.86131	0.866093	0.196591	0.365095	2.23788	0.853814	2.13302	0.890318	1.28383
0.813367	2.30676	0.812818	2.30911	0.581075	1.85667	0.866158	0.19994	0.367322	2.23265	0.851684	2.14214	0.890939	1.28282
0.811064	2.31648	0.810513	2.31876	0.582922	1.85184	0.86623	0.203719	0.369543	2.22713	0.849546	2.15103	0.891395	1.28201
0.808752	2.32595	0.808199	2.3282	0.584764	1.84683	0.86633	0.208647	0.371758	2.22125	0.847399	2.15954	0.891687	1.28161
0.806431	2.33529	0.805875	2.33745	0.586601	1.84159	0.866459	0.215159	0.373968	2.21506	0.845244	2.16771	0.892106	1.28089
0.8041	2.34433	0.803542	2.34651	0.588432	1.8362	0.866621	0.223072	0.376171	2.20849	0.843081	2.17557	0.892561	1.27995
0.801761	2.35315	0.801201	2.35526	0.590258	1.83064	0.866819	0.23255	0.378367	2.20157	0.840911	2.18314	0.89318	1.27891
0.799413	2.36179	0.798851	2.36375	0.592079	1.82483	0.867056	0.243583	0.380556	2.19439	0.838732	2.19038	0.893962	1.27726
0.797056	2.37012	0.796492	2.37208	0.593894	1.81885	0.867304	0.25482	0.382738	2.18685	0.836547	2.19725	0.894907	1.27516
0.794691	2.37821	0.794125	2.38014	0.595702	1.8127	0.867564	0.266287	0.384913	2.17897	0.834355	2.20378	0.896012	1.27263
0.792319	2.38607	0.791751	2.38795	0.597505	1.80633	0.867835	0.278001	0.387079	2.17082	0.832157	2.21001	0.897278	1.26943
0.789938	2.39373	0.789368	2.39552	0.5993	1.7998	0.868118	0.289924	0.389237	2.16233	0.829953	2.21587	0.898541	1.26601
