Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4		Asym5	
488  Points		495  Points		330  Points		181  Points		160  Points		431  Points		220  Points		163  Points		137  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.267948	1.57986	0.107547	2.25895	0.376973	4.90548	0.493006	4.56961	0.639446	2.51751	0.343328	4.62926	0.511948	2.83841	0.713271	2.00492	0.778945	2.48976
0.269401	1.54135	0.109651	2.25805	0.381575	4.96887	0.49728	4.60427	0.641805	2.54778	0.347629	4.60282	0.514611	2.87919	0.715158	2.04544	0.78128	2.52102
0.27082	1.50696	0.111755	2.25716	0.386232	5.02514	0.501586	4.63837	0.644193	2.57802	0.351904	4.57429	0.517313	2.9207	0.717083	2.08583	0.783643	2.55219
0.272209	1.47627	0.113857	2.25628	0.390939	5.07469	0.505923	4.67185	0.646609	2.60816	0.356152	4.5437	0.520054	2.96299	0.719045	2.12604	0.786035	2.58327
0.273571	1.44894	0.115959	2.25544	0.395688	5.11793	0.510291	4.70476	0.649053	2.63819	0.360371	4.51093	0.522834	3.00604	0.721044	2.16595	0.788457	2.61438
0.274909	1.42476	0.11806	2.25461	0.400475	5.15533	0.51469	4.73709	0.651525	2.66823	0.364558	4.47605	0.525655	3.04982	0.723081	2.20563	0.790907	2.64546
0.276226	1.40342	0.12016	2.25376	0.405295	5.18725	0.519118	4.76888	0.654025	2.69828	0.368712	4.43917	0.528517	3.0943	0.725154	2.245	0.793386	2.67649
0.277524	1.38463	0.12226	2.25297	0.410141	5.21405	0.523576	4.80016	0.656553	2.72834	0.37283	4.40022	0.531421	3.13954	0.727264	2.28404	0.795894	2.70757
0.278806	1.36813	0.124358	2.25217	0.41501	5.23606	0.528063	4.83092	0.659109	2.75845	0.376911	4.35925	0.534367	3.18549	0.72941	2.32279	0.798432	2.7386
0.280073	1.35373	0.126456	2.2514	0.419898	5.25361	0.532578	4.86118	0.661693	2.78855	0.380953	4.31627	0.537357	3.23204	0.731592	2.3611	0.800998	2.76962
0.281328	1.34127	0.128554	2.25065	0.4248	5.26701	0.537121	4.89093	0.664305	2.81881	0.384954	4.27135	0.54039	3.27909	0.73381	2.39906	0.803592	2.80066
0.282573	1.33056	0.13065	2.24991	0.429713	5.27652	0.541692	4.92018	0.666946	2.84921	0.388912	4.22457	0.543467	3.32666	0.736063	2.4366	0.806216	2.8317
0.283808	1.32144	0.132746	2.24921	0.434632	5.28245	0.546289	4.94894	0.669615	2.87977	0.392826	4.17599	0.546185	3.36842	0.73835	2.47366	0.808869	2.86278
0.285035	1.31375	0.134841	2.2485	0.439556	5.28491	0.550913	4.97725	0.672312	2.91049	0.396694	4.12559	0.548528	3.40426	0.740672	2.51028	0.811551	2.8939
0.286256	1.30731	0.136936	2.24784	0.44448	5.28416	0.554964	5.00146	0.675038	2.94139	0.400514	4.07358	0.550485	3.43401	0.743028	2.5464	0.814261	2.92502
0.287471	1.30212	0.13903	2.24719	0.449402	5.28045	0.558433	5.02181	0.677793	2.97258	0.404284	4.02	0.552045	3.45741	0.745417	2.58201	0.817001	2.95619
0.288682	1.29803	0.141123	2.24653	0.45432	5.2738	0.561312	5.03848	0.680577	3.00404	0.408004	3.96494	0.553198	3.47485	0.747839	2.61712	0.81977	2.98741
0.28989	1.29483	0.143216	2.24591	0.459229	5.26446	0.563595	5.0514	0.683391	3.03578	0.411673	3.90862	0.553939	3.486	0.750294	2.65166	0.822568	3.01865
0.291095	1.2926	0.145308	2.24531	0.464129	5.25262	0.565277	5.06097	0.686234	3.06789	0.415288	3.85102	0.555009	3.50192	0.75278	2.68568	0.825395	3.04992
0.292298	1.29115	0.1474	2.24475	0.469017	5.23831	0.566356	5.067	0.689107	3.10041	0.418848	3.79234	0.556177	3.51928	0.755298	2.71913	0.828251	3.08126
