Sym0		Asym0		Sym1		Sym2		Asym1	
474  Points		490  Points		474  Points		224  Points		396  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.535227	1.83043	0.453556	2.23226	0.536339	1.83225			0.751851	1.34488
0.536934	1.83323	0.455636	2.23223	0.538048	1.83504			0.753105	1.3483
0.538643	1.83602	0.457716	2.23218	0.539759	1.83779			0.754363	1.3517
0.540355	1.83874	0.459795	2.23223	0.541472	1.84052			0.755624	1.35505
0.542069	1.84145	0.461875	2.23222	0.543188	1.84324			0.756888	1.35844
0.543786	1.84416	0.463955	2.23218	0.544907	1.84592			0.758155	1.36182
0.545506	1.84683	0.466034	2.23219	0.546628	1.84854			0.759426	1.3652
0.547228	1.84945	0.468114	2.23217	0.548352	1.85117			0.760699	1.36857
0.548952	1.85208	0.470194	2.23215	0.550078	1.85377			0.761976	1.37187
0.550679	1.85468	0.472274	2.23218	0.551806	1.85635			0.763256	1.37524
0.552408	1.85726	0.474353	2.23216	0.553537	1.85892			0.764539	1.37857
0.55414	1.85983	0.476433	2.23211	0.55527	1.86145			0.765824	1.38188
0.555874	1.86232	0.478513	2.23212	0.557005	1.86396			0.767114	1.38523
0.55761	1.86481	0.480592	2.23213	0.558743	1.86646			0.768406	1.38851
0.559348	1.8673	0.482672	2.23213	0.560483	1.86892			0.769701	1.3918
0.561089	1.86976	0.484752	2.23213	0.562226	1.87132			0.770999	1.39513
0.562833	1.87219	0.486831	2.2321	0.56397	1.87377			0.772301	1.3984
0.564578	1.87458	0.488911	2.23208	0.565717	1.87616			0.773605	1.40165
0.566326	1.87699	0.490991	2.23207	0.567466	1.87853			0.774912	1.40492
0.568076	1.87936	0.49307	2.23207	0.569218	1.88089			0.776223	1.40817
0.569828	1.88172	0.49515	2.23207	0.570971	1.8832			0.777536	1.41141
0.571582	1.88403	0.497229	2.23206	0.572727	1.88553			0.778853	1.41467
0.573338	1.88633	0.499309	2.23206	0.574485	1.88783			0.780172	1.41788
0.575097	1.88861	0.501389	2.23203	0.576245	1.89011			0.781495	1.42109
0.576858	1.89085	0.503468	2.23204	0.578007	1.89235			0.78282	1.42431
0.57862	1.8931	0.505548	2.23205	0.579771	1.89457			0.784149	1.4275
0.580385	1.89537	0.507627	2.23202	0.581537	1.89675			0.78548	1.43066
0.582152	1.89756	0.509707	2.23201	0.583305	1.89893			0.786815	1.43382
0.583921	1.89972	0.511786	2.232	0.585075	1.90116			0.788152	1.43705
0.585692	1.90186	0.513866	2.23199	0.586848	1.9033			0.789493	1.4402
0.587465	1.90399	0.515945	2.23199	0.588622	1.90539			0.790836	1.44328
0.58924	1.90616	0.518025	2.23199	0.590398	1.9075			0.792182	1.44643
0.591017	1.90826	0.520104	2.23199	0.592176	1.90962			0.793531	1.44958
0.592796	1.91034	0.522184	2.23199	0.593957	1.9117			0.794883	1.45265
0.594577	1.91241	0.524264	2.23195	0.595739	1.91373			0.796238	1.45577
0.596359	1.91443	0.526343	2.23193	0.597523	1.91577			0.797596	1.45886
0.598144	1.91647	0.528423	2.23196	0.599308	1.91778			0.798956	1.46191
0.59993	1.91851	0.530502	2.23194	0.601096	1.91978			0.80032	1.46497
0.601719	1.92048	0.532582	2.23193	0.602886	1.9218			0.801686	1.46804
0.603509	1.92246	0.534661	2.23196	0.604677	1.92376			0.803055	1.47111
0.605301	1.92444	0.536741	2.2319	0.60647	1.92569			0.804428	1.47412
0.607095	1.92638	0.53882	2.23191	0.608266	1.92761			0.805802	1.47712
0.608891	1.9283	0.540899	2.23191	0.610062	1.92953			0.80718	1.48016
0.610688	1.93021	0.542979	2.23188	0.611861	1.93147			0.80856	1.48314
0.612487	1.93208	0.545058	2.2319	0.613661	1.93332			0.809944	1.48614
0.614288	1.93397	0.547138	2.23191	0.615464	1.93516			0.81133	1.4891
0.616091	1.93583	0.549217	2.23191	0.617267	1.93703			0.812718	1.49208
0.617896	1.93768	0.551297	2.23188	0.619073	1.93889			0.81411	1.49504
0.619702	1.93952	0.553376	2.23186	0.62088	1.94069			0.815504	1.49794
0.62151	1.94131	0.555455	2.23185	0.622689	1.94247			0.816901	1.5009
0.623319	1.94309	0.557535	2.23185	0.6245	1.94428			0.818301	1.5038
0.62513	1.94486	0.559614	2.23188	0.626312	1.94606			0.819703	1.50668
0.626943	1.94666	0.561694	2.23186	0.628126	1.94779			0.821109	1.50959
0.628758	1.94844	0.563773	2.23182	0.629942	1.9495			0.822516	1.51251
0.630574	1.95013	0.565852	2.23183	0.631759	1.95127			0.823927	1.51536
