Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
476  Points		491  Points		476  Points		241  Points		401  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.354943	1.24329	0.203942	2.23526	0.354277	1.23901	0.786939	4.10442	0.60062	1.56231	0.899701	6.48207
0.355805	1.24879	0.206024	2.23515	0.355435	1.24643	0.788786	4.05521	0.602062	1.53511	0.905708	6.41323
0.356822	1.25531	0.208106	2.23502	0.3566	1.25387	0.791089	3.99367	0.60348	1.50957	0.911651	6.34197
0.357995	1.26269	0.210189	2.23496	0.357772	1.26133	0.793827	3.92052	0.604875	1.4856	0.917526	6.26846
0.359175	1.27011	0.212271	2.23489	0.35895	1.26872	0.796976	3.83646	0.606248	1.4631	0.923332	6.19284
0.360361	1.27752	0.214353	2.23478	0.360136	1.27611	0.800506	3.74231	0.607601	1.44192	0.929066	6.11528
0.361555	1.28489	0.216435	2.23473	0.361328	1.28347	0.803949	3.65063	0.608935	1.42204	0.934727	6.03604
0.362756	1.29227	0.218517	2.23467	0.362527	1.29085	0.807308	3.56154	0.610251	1.40338	0.940313	5.95521
0.363963	1.29958	0.220599	2.23456	0.363734	1.2982	0.810586	3.47503	0.61155	1.38588	0.945824	5.873
0.365177	1.30687	0.222681	2.23451	0.364946	1.3055	0.813784	3.39109	0.612834	1.36944	0.951257	5.78959
0.366398	1.31417	0.224763	2.23445	0.366166	1.31278	0.816905	3.30971	0.614102	1.35401	0.956612	5.70517
0.367626	1.32141	0.226845	2.23438	0.367393	1.32004	0.819951	3.23087	0.615357	1.33959	0.961888	5.61997
0.368861	1.32862	0.228927	2.23431	0.368626	1.3273	0.822925	3.15456	0.616598	1.32604	0.967084	5.5341
0.370102	1.33582	0.231008	2.23424	0.369866	1.33444	0.825829	3.08071	0.617828	1.31334	0.9722	5.44783
0.37135	1.34296	0.23309	2.2342	0.371113	1.3416	0.828666	3.00928	0.619046	1.30149	0.977236	5.36127
0.372604	1.35005	0.235171	2.23411	0.372366	1.34874	0.831437	2.94025	0.620253	1.29041	0.98219	5.27457
0.373865	1.35712	0.237253	2.23403	0.373626	1.35578	0.834145	2.87354	0.62145	1.27999	0.986442	5.19912
0.375133	1.36416	0.239334	2.23399	0.374892	1.36278	0.836791	2.80913	0.622638	1.27032	0.990018	5.13485
0.376407	1.37113	0.241416	2.23396	0.376165	1.3698	0.839379	2.74697	0.623817	1.26127	0.992942	5.08189
0.377688	1.37805	0.243497	2.23392	0.377445	1.37679	0.84191	2.68696	0.624988	1.25286	0.995232	5.04004
0.378975	1.38496	0.245578	2.23382	0.378731	1.38365	0.844386	2.62905	0.626152	1.24503	0.996904	5.00948
0.380269	1.39181	0.24766	2.23377	0.380023	1.39049	0.846809	2.57321	0.627308	1.23771	0.997969	4.9899
0.381569	1.39861	0.249741	2.23375	0.381322	1.39735	0.849181	2.5194	0.628458	1.23098	0.999492	4.96168
0.382875	1.40538	0.251822	2.23366	0.382627	1.40411	0.851503	2.46752	0.629602	1.22468	1.00114	4.94647
0.384188	1.4121	0.253903	2.23362	0.383938	1.41079	0.853779	2.41748	0.63074	1.2189		
0.385506	1.41875	0.255984	2.2336	0.385256	1.41746	0.856008	2.36925	0.631873	1.21355		
0.386831	1.42534	0.258065	2.23355	0.386579	1.42409	0.858194	2.32283	0.633002	1.20861		
0.388162	1.43189	0.260146	2.23349	0.387909	1.4307	0.860337	2.27812	0.634125	1.20412		
0.389499	1.43843	0.262227	2.23343	0.389245	1.43719	0.862439	2.235	0.635245	1.19997		
0.390843	1.44488	0.264308	2.23339	0.390587	1.44363	0.864501	2.19349	0.636361	1.19618		
0.392192	1.45129	0.266389	2.23337	0.391935	1.4501	0.866526	2.15354	0.637474	1.19274		
0.393547	1.45765	0.268469	2.23333	0.393289	1.45645	0.868514	2.11507	0.638584	1.18967		
0.394908	1.46394	0.27055	2.23327	0.394649	1.46274	0.870467	2.07804	0.639691	1.18689		
0.396275	1.47023	0.272631	2.23324	0.396015	1.46903	0.872386	2.04238	0.640796	1.18436		
0.397648	1.47642	0.274712	2.23319	0.397387	1.47526	0.874273	2.00804	0.641898	1.18215		
0.399026	1.48255	0.276792	2.23316	0.398764	1.48144	0.876128	1.97498	0.642998	1.18023		
0.40041	1.4887	0.278873	2.23311	0.400147	1.48754	0.877953	1.94317	0.644097	1.17854		
0.4018	1.49473	0.280953	2.23305	0.401536	1.49359	0.879749	1.91259	0.645194	1.17711		
0.403195	1.50072	0.283034	2.23306	0.40293	1.49958	0.881517	1.88312	0.646291	1.17592		
0.404596	1.50668	0.285114	2.23303	0.40433	1.50555	0.883258	1.85476	0.647386	1.17489		
0.406003	1.51259	0.287195	2.23297	0.405736	1.51149	0.884973	1.82748	0.64848	1.17411		
0.407415	1.51844	0.289275	2.23295	0.407147	1.51732	0.886663	1.8012	0.649574	1.17358		
0.408832	1.52422	0.291356	2.2329	0.408563	1.52309	0.888329	1.77597	0.650667	1.1732		
0.410255	1.52996	0.293436	2.23287	0.409985	1.52887	0.889973	1.75168	0.65176	1.17298		
0.411683	1.53566	0.295516	2.23286	0.411412	1.53458	0.891593	1.72829	0.652852	1.17298		
0.413117	1.54129	0.297597	2.23282	0.412844	1.54022	0.893193	1.70579	0.653945	1.17312		
0.414555	1.54688	0.299677	2.23279	0.414282	1.54586	0.894772	1.68414	0.655038	1.17338		
0.415999	1.55243	0.301757	2.23275	0.415725	1.55139	0.896331	1.66336	0.656132	1.17383		
0.417448	1.55791	0.303837	2.23272	0.417173	1.55686	0.897871	1.64329	0.657226	1.17447		
0.418902	1.56336	0.305918	2.23271	0.418626	1.56231	0.899393	1.62404	0.65832	1.17518		
0.420361	1.56876	0.307998	2.23263	0.420084	1.56774	0.900898	1.60551	0.659416	1.17602		
0.421825	1.5741	0.310078	2.23263	0.421547	1.5731	0.902385	1.58767	0.660512	1.17706		
0.423294	1.57937	0.312158	2.23263	0.423015	1.57837	0.903856	1.57059	0.661609	1.17817		
0.424768	1.5846	0.314238	2.23255	0.424488	1.58361	0.905312	1.5541	0.662707	1.17934		
0.426247	1.58982	0.316318	2.23255	0.425966	1.58883	0.906752	1.5382	0.663806	1.1807		
0.427731	1.59495	0.318398	2.23255	0.427449	1.59401	0.908178	1.52297	0.664907	1.18215		
0.429219	1.60005	0.320478	2.23248	0.428936	1.59908	0.90959	1.50835	0.666009	1.18367		
0.430712	1.60512	0.322558	2.23244	0.430429	1.60415	0.910989	1.49427	0.667113	1.18528		
0.43221	1.61011	0.324638	2.23246	0.431926	1.60913	0.912374	1.48075	0.668218	1.187		
0.433713	1.61506	0.326718	2.23243	0.433427	1.61412	0.913748	1.46773	0.669325	1.18881		
0.43522	1.61995	0.328798	2.23238	0.434933	1.61906	0.915109	1.45521	0.670433	1.19071		
0.436731	1.62482	0.330878	2.23236	0.436444	1.62392	0.916459	1.44324	0.671543	1.19268		
0.438247	1.62966	0.332958	2.23235	0.437959	1.62872	0.917799	1.43169	0.672656	1.19469		
0.439768	1.6344	0.335038	2.23234	0.439479	1.63351	0.919127	1.4206	0.67377	1.19683		
0.441293	1.63911	0.337118	2.2323	0.441003	1.63824	0.920446	1.40993	0.674886	1.199		
0.442822	1.6438	0.339197	2.23228	0.442532	1.64292	0.921754	1.39972	0.676004	1.20122		
0.444356	1.64846	0.341277	2.23227	0.444065	1.64756	0.923054	1.38993	0.677124	1.20354		
0.445894	1.65306	0.343357	2.23223	0.445602	1.65215	0.924344	1.38046	0.678246	1.20591		
0.447436	1.65756	0.345437	2.23221	0.447143	1.65672	0.925626	1.37144	0.679371	1.20834		
0.448983	1.66207	0.347517	2.2322	0.448689	1.66124	0.9269	1.36279	0.680498	1.2108		
0.450533	1.66653	0.349596	2.23219	0.450239	1.66569	0.928166	1.35447	0.681627	1.21331		
0.452088	1.67092	0.351676	2.23215	0.451793	1.67008	0.929424	1.34647	0.682759	1.21588		
0.453647	1.67535	0.353756	2.23213	0.453351	1.67447	0.930675	1.33881	0.683893	1.21852		
0.45521	1.67965	0.355835	2.23212	0.454913	1.67883	0.931919	1.3315	0.68503	1.2212		
0.456777	1.68392	0.357915	2.23208	0.456479	1.68313	0.933156	1.32451	0.686169	1.22386		
0.458348	1.68819	0.359995	2.23206	0.458049	1.68741	0.934387	1.31776	0.68731	1.22661		
0.459922	1.6924	0.362074	2.23205	0.459623	1.6916	0.935611	1.3113	0.688454	1.22942		
0.461501	1.69656	0.364154	2.23205	0.461201	1.69574	0.93683	1.30515	0.689601	1.23221		
0.463084	1.70066	0.366233	2.23204	0.462783	1.6999	0.938043	1.29925	0.69075	1.23504		
0.46467	1.70476	0.368313	2.232	0.464369	1.704	0.939251	1.29363	0.691902	1.23795		
0.46626	1.70882	0.370392	2.23195	0.465958	1.70806	0.940454	1.28825	0.693057	1.24088		
0.467854	1.71283	0.372472	2.23196	0.467552	1.71207	0.941652	1.28311	0.694215	1.24377		
0.469452	1.71677	0.374551	2.23196	0.469149	1.71601	0.942845	1.27816	0.695375	1.24675		
0.471053	1.72072	0.376631	2.23193	0.470749	1.71996	0.944033	1.27349	0.696538	1.24978		
0.472658	1.7246	0.37871	2.23191	0.472354	1.72388	0.945218	1.26903	0.697704	1.25279		
0.474267	1.72845	0.38079	2.2319	0.473962	1.72774	0.946398	1.26475	0.698872	1.2558		
0.475879	1.73227	0.382869	2.23186	0.475573	1.73154	0.947574	1.2607	0.700044	1.25888		
0.477495	1.73605	0.384949	2.23184	0.477188	1.73534	0.948747	1.25685	0.701218	1.26196		
0.479114	1.73978	0.387028	2.23187	0.478807	1.73907	0.949916	1.25316	0.702395	1.26504		
0.480737	1.7435	0.389107	2.23184	0.480429	1.74277	0.951082	1.24971	0.703575	1.26819		
0.482363	1.74716	0.391187	2.2318	0.482054	1.74649	0.952245	1.24641	0.704758	1.2713		
0.483992	1.75079	0.393266	2.23177	0.483683	1.75014	0.953405	1.24326	0.705944	1.27443		
0.485625	1.75443	0.395345	2.23176	0.485315	1.75372	0.954562	1.24029	0.707133	1.27765		
0.487262	1.75797	0.397425	2.23179	0.486951	1.75727	0.955716	1.23749	0.708325	1.28083		
0.488901	1.76146	0.399504	2.23177	0.48859	1.76081	0.956868	1.23488	0.70952	1.28399		
0.490544	1.76497	0.401583	2.23172	0.490232	1.76433	0.958017	1.23236	0.710717	1.28719		
0.49219	1.76848	0.403663	2.2317	0.491877	1.76781	0.959164	1.23001	0.711918	1.29039		
0.493839	1.77188	0.405742	2.23169	0.493526	1.77124	0.960309	1.22781	0.713122	1.29365		
0.495492	1.77527	0.407821	2.23172	0.495178	1.77464	0.961452	1.22571	0.714329	1.29688		
0.497147	1.77864	0.409901	2.23169	0.496833	1.77799	0.962593	1.22383	0.715539	1.30011		
0.498806	1.78195	0.41198	2.23165	0.498491	1.78131	0.963732	1.222	0.716751	1.30334		
0.500468	1.78524	0.414059	2.23162	0.500152	1.78465	0.96487	1.22029	0.717967	1.3066		
0.502133	1.78854	0.416138	2.23165	0.501817	1.78794	0.966006	1.21877	0.719186	1.30988		
0.503801	1.79176	0.418217	2.23162	0.503484	1.79115	0.967141	1.21732	0.720408	1.31313		
0.505471	1.79499	0.420297	2.23158	0.505154	1.79437	0.968275	1.21597	0.721633	1.3164		
0.507145	1.79817	0.422376	2.23159	0.506827	1.79756	0.969407	1.21474	0.722861	1.31969		
0.508822	1.80127	0.424455	2.23159	0.508504	1.80069	0.970538	1.21365	0.724092	1.32298		
0.510502	1.80439	0.426534	2.23156	0.510183	1.80379	0.971669	1.21263	0.725326	1.32624		
0.512184	1.80749	0.428613	2.23154	0.511865	1.80688	0.972798	1.21172	0.726563	1.32951		
0.51387	1.81054	0.430692	2.23157	0.51355	1.80996	0.973926	1.21093	0.727804	1.3328		
0.515558	1.81357	0.432771	2.23155	0.515238	1.81301	0.975054	1.21017	0.729047	1.33609		
0.517249	1.81654	0.434851	2.2315	0.516928	1.81599	0.976181	1.20954	0.730293	1.33938		
0.518943	1.8195	0.43693	2.23148	0.518621	1.81895	0.977308	1.20904	0.731543	1.34264		
0.52064	1.82248	0.439009	2.2315	0.520318	1.82189	0.978434	1.2086	0.732795	1.34595		
0.522339	1.82539	0.441088	2.23148	0.522016	1.82483	0.97956	1.2082	0.734051	1.34926		
0.524041	1.82824	0.443167	2.23143	0.523718	1.82773	0.980686	1.20789	0.735309	1.35249		
0.525746	1.8311	0.445246	2.23144	0.525422	1.83057	0.981811	1.20767	0.736571	1.35578		
0.527453	1.83392	0.447325	2.23145	0.527129	1.83338	0.982936	1.20755	0.737836	1.35908		
0.529163	1.83675	0.449404	2.23145	0.528838	1.83621	0.984061	1.2075	0.739103	1.36234		
0.530876	1.83953	0.451483	2.23142	0.530551	1.83898	0.985186	1.2075	0.740374	1.36562		
0.532591	1.84227	0.453562	2.2314	0.532265	1.84173	0.986311	1.20758	0.741648	1.3689		
0.534309	1.84499	0.455641	2.23139	0.533982	1.84449	0.987436	1.20773	0.742925	1.37216		
0.536029	1.84768	0.45772	2.23139	0.535702	1.84719	0.988562	1.20795	0.744205	1.3754		
0.537751	1.85037	0.459799	2.23138	0.537424	1.84986	0.989687	1.20821	0.745488	1.3787		
0.539477	1.853	0.461878	2.23135	0.539149	1.85251	0.990813	1.20852	0.746774	1.38197		
0.541204	1.8556	0.463957	2.23136	0.540876	1.85512	0.991939	1.20893	0.748063	1.38517		
0.542934	1.85821	0.466036	2.23134	0.542606	1.85774	0.993066	1.20939	0.749355	1.38842		
0.544667	1.8608	0.468114	2.23132	0.544338	1.86033	0.994193	1.20988	0.75065	1.39166		
0.546402	1.86334	0.470193	2.23135	0.546072	1.86287	0.99532	1.21042	0.751948	1.39489		
0.548139	1.8659	0.472272	2.23129	0.547809	1.86539	0.996448	1.21105	0.753249	1.39812		
0.549879	1.86838	0.474351	2.23126	0.549548	1.86789	0.997577	1.21174	0.754554	1.40134		
0.551621	1.87083	0.47643	2.23129	0.55129	1.87039	0.998706	1.21241	0.755861	1.40456		
