Sym0		Asym0		Sym1		Sym2		Asym1	
475  Points		491  Points		475  Points		236  Points		399  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.513494	2.62455	0.429936	2.177	0.513542	2.62444	0.977715	4.99964	0.730194	3.73069
0.515176	2.62067	0.432015	2.17726	0.515225	2.62056	0.978834	4.98163	0.73143	3.71931
0.516862	2.61684	0.434095	2.17751	0.516911	2.61673	0.979953	4.96378	0.73267	3.70804
0.51855	2.61306	0.436174	2.17776	0.518599	2.61295	0.981071	4.94611	0.733912	3.6969
0.520241	2.60933	0.438254	2.17801	0.52029	2.60923	0.982189	4.92859	0.735158	3.68588
0.521935	2.60565	0.440333	2.17826	0.521984	2.60555	0.983307	4.91124	0.736407	3.67497
0.523632	2.60202	0.442412	2.17851	0.523681	2.60192	0.984424	4.89404	0.737658	3.66418
0.525331	2.59844	0.444492	2.17875	0.52538	2.59833	0.98554	4.877	0.738913	3.6535
0.527033	2.5949	0.446571	2.17899	0.527083	2.59479	0.986657	4.86012	0.740171	3.64294
0.528738	2.5914	0.44865	2.17923	0.528787	2.5913	0.987774	4.84339	0.741432	3.63249
0.530445	2.58795	0.45073	2.17947	0.530495	2.58785	0.98889	4.82682	0.742696	3.62215
0.532155	2.58455	0.452809	2.1797	0.532205	2.58445	0.990007	4.81039	0.743963	3.61192
0.533868	2.58118	0.454888	2.17994	0.533917	2.58109	0.991123	4.79411	0.745234	3.60179
0.535583	2.57786	0.456968	2.18017	0.535633	2.57777	0.99224	4.77798	0.746507	3.59177
0.537301	2.57459	0.459047	2.18039	0.53735	2.57449	0.993357	4.762	0.747783	3.58186
0.539021	2.57135	0.461126	2.18062	0.53907	2.57125	0.994474	4.74615	0.749062	3.57204
0.540743	2.56815	0.463205	2.18084	0.540793	2.56806	0.995592	4.73045	0.750345	3.56233
0.542468	2.56499	0.465285	2.18107	0.542518	2.5649	0.99671	4.71489	0.75163	3.55272
0.544196	2.56188	0.467364	2.18129	0.544246	2.56179	0.997828	4.69947	0.752919	3.54321
0.545926	2.5588	0.469443	2.1815	0.545976	2.55871	0.998947	4.68419	0.75421	3.53379
0.547658	2.55576	0.471522	2.18172	0.547708	2.55567	1.00007	4.66904	0.755505	3.52447
0.549393	2.55275	0.473601	2.18193	0.549443	2.55267			0.756802	3.51524
0.55113	2.54979	0.475681	2.18215	0.55118	2.5497			0.758103	3.50611
0.552869	2.54686	0.47776	2.18236	0.55292	2.54677			0.759406	3.49707
0.554611	2.54396	0.479839	2.18257	0.554662	2.54388			0.760713	3.48812
0.556355	2.5411	0.481918	2.18277	0.556406	2.54102			0.762022	3.47926
0.558102	2.53828	0.483997	2.18298	0.558152	2.53819			0.763335	3.47049
0.55985	2.53548	0.486077	2.18318	0.559901	2.5354			0.76465	3.46181
0.561601	2.53273	0.488156	2.18338	0.561652	2.53265			0.765968	3.45321
0.563354	2.53	0.490235	2.18358	0.563405	2.52992			0.76729	3.4447
0.565109	2.52731	0.492314	2.18378	0.56516	2.52723			0.768614	3.43627
0.566866	2.52465	0.494393	2.18398	0.566917	2.52457			0.769941	3.42793
0.568626	2.52202	0.496472	2.18417	0.568677	2.52194			0.771272	3.41966
0.570388	2.51942	0.498551	2.18437	0.570439	2.51935			0.772605	3.41148
0.572151	2.51685	0.50063	2.18456	0.572202	2.51678			0.773941	3.40338
0.573917	2.51432	0.502709	2.18475	0.573968	2.51424			0.77528	3.39536
0.575685	2.51181	0.504789	2.18494	0.575736	2.51174			0.776622	3.38741
0.577455	2.50933	0.506868	2.18512	0.577506	2.50926			0.777967	3.37954
0.579227	2.50688	0.508947	2.18531	0.579278	2.50681			0.779314	3.37175
0.581001	2.50446	0.511026	2.18549	0.581052	2.50439			0.780665	3.36404
0.582777	2.50207	0.513105	2.18568	0.582828	2.502			0.782018	3.35639
0.584555	2.4997	0.515184	2.18586	0.584606	2.49963			0.783375	3.34882
0.586335	2.49736	0.517263	2.18604	0.586386	2.4973			0.784734	3.34132
0.588117	2.49505	0.519342	2.18621	0.588168	2.49499			0.786096	3.3339
0.5899	2.49277	0.521421	2.18639	0.589952	2.4927			0.787461	3.32654
0.591686	2.49051	0.5235	2.18657	0.591738	2.49044			0.788828	3.31926
0.593474	2.48827	0.525579	2.18674	0.593525	2.48821			0.790199	3.31204
0.595263	2.48606	0.527658	2.18691	0.595315	2.486			0.791572	3.30489
0.597054	2.48388	0.529737	2.18708	0.597106	2.48382			0.792948	3.2978
0.598848	2.48172	0.531816	2.18725	0.598899	2.48166			0.794327	3.29079
0.600643	2.47959	0.533895	2.18742	0.600695	2.47952			0.795709	3.28384
0.602439	2.47747	0.535974	2.18759	0.602491	2.47741			0.797093	3.27695
0.604238	2.47539	0.538053	2.18775	0.60429	2.47533			0.79848	3.27013
0.606038	2.47332	0.540132	2.18792	0.60609	2.47326			0.79987	3.26337
0.60784	2.47128	0.542211	2.18808	0.607893	2.47122			0.801263	3.25667
0.609644	2.46926	0.54429	2.18824	0.609697	2.4692			0.802658	3.25003
0.61145	2.46726	0.546368	2.18841	0.611502	2.46721			0.804056	3.24346
0.613257	2.46529	0.548447	2.18856	0.61331	2.46523			0.805457	3.23694
0.615066	2.46333	0.550526	2.18872	0.615119	2.46328			0.806861	3.23049
0.616877	2.4614	0.552605	2.18888	0.616929	2.46135			0.808267	3.22409
0.618689	2.45949	0.554684	2.18904	0.618742	2.45943			0.809676	3.21775
0.620503	2.4576	0.556763	2.18919	0.620556	2.45754			0.811087	3.21147
0.622319	2.45573	0.558842	2.18934	0.622372	2.45567			0.812502	3.20525
