Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4	
470  Points		492  Points		196  Points		137  Points		119  Points		365  Points		151  Points		119  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.367505	4.57271	0.162927	2.06497	0.612856	7.91545	0.743244	9.59484	0.799739	10.2532	0.543765	6.9957	0.678966	8.76115	0.896174	10.8251
0.367798	4.56427	0.165015	2.06702	0.618586	7.89445	0.7492	9.55679	0.804649	10.2099	0.547804	6.96419	0.684139	8.72303	0.899092	10.7703
0.368219	4.55221	0.167102	2.06902	0.624285	7.87358	0.755117	9.51913	0.810378	10.1624	0.551772	6.93253	0.689343	8.68619	0.901518	10.7258
0.368676	4.53919	0.169189	2.07097	0.629954	7.8528	0.760991	9.48181	0.816206	10.1173	0.55567	6.90072	0.694575	8.65057	0.903443	10.6912
0.369296	4.52162	0.171276	2.07288	0.635591	7.8321	0.766821	9.44481	0.822134	10.0744	0.559497	6.86877	0.699836	8.6161	0.904862	10.666
0.370078	4.49966	0.173363	2.07474	0.641195	7.81147	0.772607	9.40811	0.828161	10.0337	0.563255	6.83671	0.705122	8.58274	0.905773	10.65
0.371019	4.47346	0.17545	2.07656	0.646764	7.79088	0.778348	9.3717	0.834286	9.99509	0.566945	6.80454	0.710434	8.55042	0.907084	10.6271
0.372119	4.44323	0.177536	2.07833	0.652298	7.77034	0.784045	9.33557	0.840506	9.95846	0.570567	6.77228	0.715768	8.5191	0.908512	10.6025
0.373376	4.40919	0.179622	2.08007	0.657795	7.74981	0.7897	9.29972	0.846819	9.92371	0.574122	6.73995	0.721124	8.48872	0.910461	10.5694
0.374628	4.37583	0.181708	2.08176	0.663255	7.7293	0.795313	9.26418	0.853222	9.89075	0.577612	6.70755	0.7265	8.45923	0.912934	10.5282
0.375875	4.34313	0.183794	2.08342	0.668678	7.70879	0.800887	9.22896	0.859711	9.85948	0.581037	6.6751	0.731895	8.43058	0.915939	10.4792
0.377119	4.31108	0.18588	2.08504	0.674061	7.68827	0.806425	9.19406	0.866282	9.82981	0.584399	6.64263	0.737306	8.40273	0.919483	10.4229
0.378359	4.27968	0.187966	2.08663	0.679404	7.66773	0.81193	9.15953	0.872932	9.80165	0.587699	6.61013	0.742733	8.37564	0.923574	10.3599
0.379596	4.24889	0.190051	2.08818	0.684706	7.64716	0.817404	9.12537	0.879656	9.77489	0.590938	6.57764	0.748173	8.34926	0.927692	10.2985
0.38083	4.21871	0.192136	2.0897	0.689967	7.62656	0.822851	9.09161	0.88645	9.74945	0.594117	6.54515	0.753624	8.32356	0.931835	10.2386
0.382063	4.18913	0.194222	2.09119	0.695186	7.60591	0.828273	9.05827	0.893311	9.72525	0.597239	6.51269	0.759086	8.29849	0.936005	10.1802
0.383294	4.16013	0.196306	2.09265	0.700362	7.58522	0.833673	9.02537	0.900233	9.7022	0.600303	6.48027	0.764556	8.27401	0.940199	10.1232
0.384523	4.1317	0.198391	2.09407	0.705494	7.56447	0.839056	8.99293	0.907214	9.68023	0.603312	6.4479	0.770033	8.2501	0.944419	10.0676
0.385752	4.10382	0.200476	2.09547	0.710582	7.54367	0.844422	8.96096	0.914249	9.65927	0.606267	6.41559	0.775515	8.22672	0.948664	10.0134
0.386981	4.07648	0.202561	2.09684	0.715625	7.5228	0.849775	8.92948	0.921335	9.63925	0.609168	6.38336	0.781001	8.20383	0.952933	9.96055
0.388209	4.04968	0.204645	2.09818	0.720622	7.50186	0.855117	8.8985	0.928468	9.62011	0.612018	6.35122	0.786489	8.18141	0.957226	9.90893
0.389438	4.02339	0.20673	2.0995	0.725574	7.48085	0.860451	8.86802	0.935645	9.60178	0.614818	6.31918	0.791978	8.15943	0.961544	9.85854
0.390667	3.99761	0.208814	2.10079	0.73048	7.45977	0.865777	8.83806	0.942864	9.58422	0.617569	6.28724	0.797466	8.13785	0.965885	9.80934
0.391896	3.97232	0.210898	2.10205	0.735339	7.43861	0.871099	8.8086	0.950121	9.56738	0.620272	6.25543	0.802951	8.11666	0.97025	9.76131
0.393127	3.94751	0.212982	2.10329	0.740151	7.41738	0.876418	8.77967	0.957413	9.5512	0.622929	6.22374	0.808433	8.09582	0.974637	9.71439
0.394359	3.92318	0.215066	2.10451	0.744915	7.39607	0.881735	8.75125	0.964738	9.53565	0.62554	6.19219	0.813909	8.07532	0.979048	9.66857
0.395592	3.89931	0.21715	2.1057	0.749632	7.37469	0.887051	8.72335	0.972094	9.52067	0.628108	6.16079	0.819379	8.05513	0.983482	9.6238
