Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		474  Points		213  Points		392  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.357777	1.17336	0.179859	2.23667	0.351441	1.13341	0.778149	5.21331	0.60116	2.11781
0.358873	1.18039	0.181942	2.23656	0.3525	1.13997	0.78295	5.09321	0.603104	2.05753
0.359976	1.18748	0.184026	2.23647	0.353565	1.14666	0.78764	4.97428	0.604994	2.00074
0.360943	1.19364	0.18611	2.23639	0.354637	1.15338	0.792219	4.85676	0.606832	1.94729
0.361771	1.19891	0.188193	2.23627	0.355714	1.16021	0.79669	4.74082	0.608622	1.89698
0.362458	1.20328	0.190277	2.23614	0.356799	1.16711	0.800498	4.64115	0.610367	1.84964
0.363003	1.20675	0.19236	2.23604	0.357889	1.17407	0.803681	4.55737	0.612069	1.80509
0.363405	1.20946	0.194443	2.23595	0.358986	1.18111	0.80627	4.48899	0.613731	1.76315
0.363663	1.21105	0.196527	2.23587	0.36009	1.18818	0.808289	4.43535	0.615355	1.72369
0.364034	1.21333	0.19861	2.23579	0.3612	1.1953	0.809758	4.39631	0.616943	1.68656
0.364438	1.21596	0.200693	2.23572	0.362317	1.20242	0.810692	4.37152	0.618497	1.65163
0.364989	1.21935	0.202776	2.23561	0.363441	1.20956	0.812025	4.33594	0.62002	1.61875
0.365689	1.22379	0.204859	2.23552	0.364571	1.21676	0.813461	4.29764	0.621514	1.58784
0.366537	1.22919	0.206941	2.23543	0.365708	1.22395	0.815394	4.24621	0.622979	1.55873
0.367538	1.23547	0.209024	2.23536	0.366852	1.23113	0.817806	4.18179	0.624418	1.53131
0.368692	1.24263	0.211107	2.23532	0.368002	1.23835	0.820674	4.10508	0.625832	1.50556
0.369853	1.24983	0.213189	2.23526	0.369159	1.24555	0.82397	4.01691	0.627224	1.48133
0.371021	1.25706	0.215272	2.23516	0.370323	1.25273	0.827666	3.91802	0.628593	1.45852
0.372196	1.26426	0.217354	2.23507	0.371494	1.25995	0.831271	3.82159	0.629941	1.43709
0.373377	1.27142	0.219437	2.23503	0.372671	1.26715	0.834787	3.72771	0.631271	1.41692
0.374565	1.27855	0.221519	2.23493	0.373855	1.2743	0.838217	3.63649	0.632582	1.39794
0.37576	1.2857	0.223601	2.23489	0.375046	1.28143	0.841563	3.54789	0.633876	1.38013
0.376961	1.29283	0.225684	2.23486	0.376243	1.28858	0.844828	3.46184	0.635153	1.36343
0.378169	1.29995	0.227766	2.23474	0.377447	1.29571	0.848014	3.37839	0.636416	1.34772
0.379383	1.30702	0.229848	2.23468	0.378657	1.30279	0.851124	3.29748	0.637665	1.33294
0.380604	1.31404	0.23193	2.23469	0.379874	1.30981	0.854159	3.21912	0.6389	1.31907
0.381832	1.32102	0.234012	2.23462	0.381098	1.31684	0.857122	3.14328	0.640123	1.30605
0.383066	1.32799	0.236094	2.23454	0.382328	1.32386	0.860016	3.06988	0.641334	1.29387
0.384306	1.33496	0.238176	2.23451	0.383565	1.33082	0.862842	2.9989	0.642534	1.28247
0.385553	1.34189	0.240257	2.23442	0.384808	1.33774	0.865604	2.93027	0.643723	1.27175
0.386807	1.34875	0.242339	2.23437	0.386057	1.34464	0.868303	2.86394	0.644903	1.26174
0.388066	1.35559	0.244421	2.23435	0.387313	1.3515	0.870941	2.79991	0.646074	1.25241
0.389333	1.36238	0.246503	2.2343	0.388576	1.35834	0.87352	2.73805	0.647237	1.24369
0.390605	1.36911	0.248584	2.23424	0.389845	1.36512	0.876043	2.67833	0.648392	1.23551
0.391884	1.37584	0.250666	2.23421	0.39112	1.37185	0.878511	2.62075	0.649539	1.22788
0.393169	1.38254	0.252748	2.23416	0.392401	1.37854	0.880926	2.56516	0.65068	1.2208
0.39446	1.38915	0.254829	2.2341	0.393688	1.38519	0.883291	2.5115	0.651814	1.21425
0.395757	1.39575	0.256911	2.2341	0.394982	1.3918	0.885606	2.45977	0.652943	1.20816
0.397061	1.40227	0.258992	2.23403	0.396282	1.39837	0.887874	2.40996	0.654065	1.20252
0.39837	1.40876	0.261073	2.23396	0.397588	1.40492	0.890097	2.36191	0.655183	1.19728
0.399686	1.41526	0.263155	2.23396	0.3989	1.41141	0.892275	2.31554	0.656296	1.19246
0.401008	1.42166	0.265236	2.23392	0.400218	1.41781	0.894412	2.27094	0.657405	1.18804
0.402335	1.42797	0.267317	2.23387	0.401542	1.42419	0.896507	2.22791	0.65851	1.18396
0.403668	1.43431	0.269399	2.23384	0.402872	1.43057	0.898563	2.18643	0.659612	1.18024
0.405008	1.4406	0.27148	2.23379	0.404207	1.43687	0.900581	2.14654	0.660709	1.17687
0.406353	1.44682	0.273561	2.23377	0.405549	1.4431	0.902563	2.1081	0.661804	1.17384
0.407704	1.453	0.275642	2.23375	0.406896	1.44929	0.904509	2.07105	0.662897	1.17104
0.40906	1.4591	0.277724	2.23371	0.40825	1.45546	0.906422	2.03535	0.663987	1.16854
0.410423	1.46518	0.279805	2.23365	0.409608	1.46158	0.908302	2.00098	0.665074	1.16637
0.411791	1.47123	0.281886	2.23362	0.410973	1.46761	0.910151	1.96794	0.66616	1.16441
0.413164	1.47718	0.283967	2.23361	0.412343	1.47363	0.911969	1.93608	0.667244	1.1627
0.414543	1.48313	0.286048	2.23356	0.413719	1.4796	0.913758	1.90539	0.668327	1.16129
0.415928	1.48903	0.288129	2.23354	0.4151	1.48549	0.91552	1.87587	0.669408	1.16004
0.417318	1.49483	0.29021	2.23349	0.416487	1.49136	0.917254	1.84745	0.670488	1.15897
0.418713	1.50063	0.292291	2.23347	0.417879	1.49718	0.918962	1.82006	0.671568	1.15818
0.420114	1.50639	0.294372	2.23346	0.419277	1.50299	0.920645	1.79369	0.672646	1.15757
0.42152	1.51208	0.296452	2.23342	0.42068	1.50871	0.922304	1.76835	0.673725	1.15715
0.422932	1.51771	0.298533	2.2334	0.422088	1.51436	0.92394	1.74392	0.674803	1.15691
0.424348	1.52331	0.300614	2.23335	0.423502	1.51996	0.925554	1.72043	0.67588	1.15679
0.42577	1.5289	0.302695	2.23332	0.424921	1.52555	0.927146	1.69784	0.676958	1.15687
0.427197	1.53436	0.304776	2.23331	0.426344	1.53109	0.928718	1.67604	0.678036	1.1571
0.428629	1.5398	0.306856	2.23327	0.427774	1.53657	0.930269	1.65507	0.679114	1.15747
0.430066	1.54523	0.308937	2.23325	0.429208	1.54202	0.931802	1.63495	0.680193	1.15802
0.431509	1.55062	0.311018	2.23324	0.430647	1.54742	0.933316	1.61552	0.681272	1.15866
0.432956	1.55592	0.313099	2.2332	0.432091	1.55275	0.934812	1.59683	0.682352	1.15942
0.434408	1.56117	0.315179	2.23318	0.43354	1.55802	0.936291	1.57888	0.683432	1.16035
0.435865	1.56639	0.31726	2.23316	0.434994	1.56329	0.937754	1.56159	0.684514	1.16136
0.437327	1.57156	0.31934	2.23316	0.436453	1.56849	0.939201	1.54496	0.685597	1.16249
0.438793	1.57672	0.321421	2.23312	0.437917	1.57362	0.940633	1.52896	0.68668	1.16375
0.440265	1.58178	0.323502	2.23306	0.439386	1.57874	0.94205	1.51356	0.687765	1.16508
0.441741	1.5868	0.325582	2.23307	0.440859	1.5838	0.943453	1.49875	0.688851	1.16655
0.443222	1.59181	0.327663	2.23304	0.442337	1.58881	0.944843	1.48454	0.689939	1.16809
0.444707	1.59676	0.329743	2.23302	0.443819	1.59381	0.94622	1.47084	0.691028	1.16966
