Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
469  Points		492  Points		469  Points		178  Points		119  Points		372  Points		130  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.476094	1.58889	0.347742	2.23337	0.476667	1.5906	1.00023	1.78708			0.740011	1.24618		
0.477577	1.59336	0.349823	2.23335	0.478151	1.59512					0.741172	1.24606		
0.479064	1.59783	0.351904	2.23334	0.479639	1.59958					0.742333	1.24604		
0.480554	1.6023	0.353985	2.23333	0.481131	1.60401					0.743494	1.24614		
0.482049	1.60674	0.356066	2.23329	0.482628	1.60838					0.744655	1.24633		
0.483548	1.61108	0.358146	2.23328	0.484128	1.61273					0.745816	1.24665		
0.485051	1.61541	0.360227	2.23327	0.485633	1.6171					0.746978	1.24707		
0.486558	1.6197	0.362308	2.23326	0.487142	1.62137					0.74814	1.24753		
0.488069	1.62397	0.364388	2.23322	0.488654	1.6256					0.749303	1.24813		
0.489584	1.62822	0.366469	2.2332	0.490171	1.62983					0.750466	1.24879		
0.491103	1.6324	0.36855	2.23319	0.491691	1.63404					0.75163	1.24953		
0.492626	1.63658	0.37063	2.23315	0.493216	1.63819					0.752794	1.25037		
0.494153	1.64072	0.372711	2.23317	0.494744	1.64232					0.75396	1.25131		
0.495684	1.6448	0.374792	2.23314	0.496276	1.6464					0.755126	1.25232		
0.497218	1.6489	0.376872	2.23312	0.497812	1.65041					0.756293	1.25338		
0.498756	1.65292	0.378953	2.23312	0.499351	1.65444					0.757461	1.2545		
0.500298	1.65691	0.381033	2.23308	0.500895	1.65846					0.758631	1.25571		
0.501844	1.66088	0.383114	2.23309	0.502442	1.66241					0.759801	1.25698		
0.503393	1.66481	0.385195	2.23306	0.503992	1.66633					0.760973	1.25827		
0.504946	1.66871	0.387275	2.23305	0.505547	1.67023					0.762146	1.25965		
0.506502	1.67257	0.389356	2.23304	0.507105	1.67405					0.76332	1.26115		
0.508062	1.6764	0.391436	2.233	0.508666	1.6779					0.764496	1.26263		
0.509626	1.68022	0.393517	2.23298	0.510231	1.68169					0.765673	1.26417		
0.511193	1.684	0.395597	2.23301	0.5118	1.68546					0.766852	1.26579		
0.512764	1.68776	0.397678	2.23299	0.513372	1.68921					0.768032	1.26744		
0.514338	1.69147	0.399758	2.23294	0.514947	1.69287					0.769213	1.26914		
0.515916	1.69515	0.401838	2.23295	0.516526	1.69654					0.770397	1.27087		
0.517497	1.69879	0.403919	2.23296	0.518109	1.7002					0.771581	1.27265		
0.519081	1.7024	0.405999	2.23292	0.519694	1.70383					0.772768	1.2745		
0.520669	1.70604	0.40808	2.23291	0.521284	1.70737					0.773956	1.27641		
0.52226	1.70958	0.41016	2.2329	0.522876	1.71093					0.775146	1.27828		
0.523855	1.71307	0.41224	2.23286	0.524472	1.71447					0.776338	1.28024		
0.525453	1.71661	0.414321	2.23287	0.526071	1.71796					0.777532	1.28224		
0.527054	1.7201	0.416401	2.23288	0.527673	1.72142					0.778728	1.28423		
0.528658	1.7235	0.418481	2.23285	0.529278	1.72484					0.779925	1.28629		
0.530265	1.72692	0.420562	2.23283	0.530887	1.72823					0.781124	1.28835		
0.531876	1.73031	0.422642	2.23279	0.532499	1.73161					0.782326	1.29047		
0.533489	1.73369	0.424722	2.2328	0.534114	1.73499					0.783529	1.29263		
0.535106	1.73703	0.426803	2.23281	0.535732	1.73829					0.784734	1.29481		
0.536726	1.74031	0.428883	2.23278	0.537353	1.74155					0.785942	1.29704		
0.538349	1.74356	0.430963	2.23276	0.538977	1.74483					0.787151	1.29921		
0.539975	1.7468	0.433043	2.23275	0.540604	1.74808					0.788363	1.30147		
0.541604	1.75007	0.435124	2.23275	0.542234	1.75132					0.789576	1.30377		
0.543236	1.75327	0.437204	2.23275	0.543867	1.75447					0.790792	1.30602		
0.544871	1.75642	0.439284	2.23274	0.545503	1.75759					0.79201	1.30836		
0.546509	1.75952	0.441364	2.23271	0.547142	1.76076					0.79323	1.31069		
