Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		468  Points		491  Points		467  Points		170  Points		120  Points		362  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
				0.353188	5.6553	0.12098	2.03588	0.346614	5.97063	0.555778	9.29806	0.673932	10.7108	0.492627	8.53636	0.650032	10.3744
				0.354493	5.59276	0.123071	2.0391	0.348072	5.90103	0.55831	9.2887	0.681327	10.6703	0.498507	8.50101	0.655657	10.3109
				0.355775	5.53167	0.125162	2.04222	0.349492	5.83296	0.56175	9.2761	0.688758	10.6315	0.504299	8.46527	0.661334	10.25
				0.357034	5.47198	0.127253	2.04523	0.350876	5.76641	0.566096	9.26035	0.696222	10.5944	0.509998	8.42911	0.667062	10.1916
				0.358274	5.41368	0.129343	2.04816	0.352229	5.70134	0.571343	9.24155	0.703714	10.5587	0.515602	8.39249	0.67284	10.1356
				0.359496	5.35674	0.131433	2.05099	0.353554	5.63776	0.577485	9.21981	0.711234	10.5244	0.521108	8.3554	0.678669	10.0819
				0.360703	5.30112	0.133522	2.05373	0.354852	5.57562	0.584512	9.19522	0.718775	10.4913	0.526513	8.31782	0.684547	10.0304
				0.361895	5.2468	0.135611	2.0564	0.356127	5.51492	0.591515	9.17098	0.726336	10.4595	0.531816	8.27973	0.690473	9.98098
				0.363074	5.19374	0.1377	2.05899	0.357381	5.45563	0.598492	9.14701	0.733913	10.4287	0.537015	8.24112	0.696447	9.93355
				0.364242	5.14192	0.139789	2.0615	0.358616	5.39771	0.605439	9.12328	0.741502	10.3988	0.542107	8.202	0.702467	9.888
				0.3654	5.0913	0.141877	2.06394	0.359833	5.34113	0.612355	9.09973	0.749099	10.3699	0.547093	8.16237	0.70853	9.84425
				0.36655	5.04186	0.143965	2.06631	0.361036	5.28588	0.619237	9.07634	0.7567	10.3417	0.55197	8.12223	0.714636	9.8022
				0.367691	4.99357	0.146053	2.06861	0.362224	5.23191	0.626083	9.05305	0.7643	10.3142	0.556738	8.08161	0.71999	9.76687
				0.368825	4.94639	0.148141	2.07085	0.3634	5.1792	0.632891	9.02985	0.771896	10.2874	0.561398	8.0405	0.724577	9.73767
				0.369954	4.90029	0.150228	2.07303	0.364565	5.12772	0.63966	9.0067	0.779482	10.2611	0.565949	7.99895	0.728386	9.71414
				0.371078	4.85526	0.152315	2.07516	0.365721	5.07743	0.646387	8.98357	0.787054	10.2352	0.570392	7.95696	0.731408	9.69592
				0.372197	4.81125	0.154402	2.07722	0.366868	5.02831	0.653071	8.96043	0.794607	10.2098	0.574727	7.91457	0.733634	9.68273
				0.373312	4.76824	0.156489	2.07923	0.368007	4.98033	0.659709	8.93726	0.802136	10.1846	0.578956	7.8718	0.735062	9.67437
				0.374425	4.72621	0.158576	2.0812	0.36914	4.93346	0.6663	8.91404	0.809635	10.1596	0.583079	7.8287	0.737116	9.66249
				0.375536	4.68513	0.160662	2.08311	0.370267	4.88766	0.672843	8.89075	0.817101	10.1348	0.587099	7.78528	0.739354	9.64973
				0.376644	4.64497	0.162749	2.08497	0.371389	4.84291	0.679335	8.86737	0.824528	10.1101	0.591017	7.74159	0.742403	9.63263
				0.377752	4.60571	0.164835	2.08679	0.372507	4.79919	0.685775	8.84387	0.831912	10.0854	0.594835	7.69766	0.74627	9.61143
				0.378859	4.56732	0.166921	2.08856	0.373622	4.75645	0.692161	8.82025	0.839248	10.0607	0.598555	7.65352	0.75096	9.58639
				0.379965	4.52978	0.169007	2.09029	0.374734	4.71469	0.698492	8.79649	0.846533	10.0359	0.60218	7.60921	0.756482	9.55781
				0.381072	4.49307	0.171092	2.09198	0.375844	4.67387	0.704766	8.77257	0.852837	10.0143	0.605711	7.56477	0.76284	9.52601
				0.38218	4.45717	0.173178	2.09363	0.376953	4.63396	0.710982	8.74849	0.858179	9.99578	0.609151	7.52023	0.769221	9.49522
				0.383145	4.42652	0.175263	2.09524	0.37806	4.59494	0.717138	8.72422	0.862571	9.98042	0.612502	7.47562	0.775622	9.46536
				0.383969	4.40085	0.177348	2.09682	0.379167	4.5568	0.723234	8.69977	0.86603	9.96823	0.615768	7.43098	0.782039	9.43639
				0.384651	4.37993	0.179434	2.09836	0.380273	4.51949	0.729266	8.67511	0.868564	9.95926	0.61895	7.38633	0.788471	9.40822
				0.385191	4.36359	0.181519	2.09986	0.38138	4.48301	0.735236	8.65025	0.870182	9.95351	0.622052	7.34171	0.794914	9.38082
				0.385588	4.35169	0.183603	2.10133	0.382488	4.44732	0.74114	8.62517	0.872502	9.94523	0.625075	7.29715	0.801366	9.35412
				0.385842	4.34412	0.185688	2.10277	0.383596	4.41241	0.746978	8.59987	0.875018	9.93621	0.628023	7.25268	0.807826	9.32807
				0.386208	4.3333	0.187773	2.10417	0.384707	4.37826	0.75275	8.57434	0.878427	9.92393	0.630897	7.20832	0.814289	9.30262
				0.386606	4.32163	0.189857	2.10555	0.385818	4.34484	0.758453	8.54858	0.882719	9.90836	0.633701	7.16409	0.820755	9.27773
				0.387147	4.3059	0.191942	2.1069	0.386932	4.31214	0.764088	8.52259	0.887883	9.88948	0.636437	7.12002	0.82722	9.25336
				0.387833	4.28624	0.194026	2.10822	0.388048	4.28013	0.769652	8.49637	0.893901	9.86729	0.639107	7.07614	0.833681	9.22945
				0.388663	4.2628	0.19611	2.10951	0.389166	4.2488	0.775147	8.4699	0.90076	9.84178	0.641713	7.03245	0.840138	9.20598
				0.389639	4.23578	0.198195	2.11077	0.390287	4.21813	0.78057	8.44321	0.90757	9.81626	0.644259	6.98899	0.846588	9.1829
				0.390761	4.20539	0.200279	2.11201	0.391411	4.18811	0.785922	8.41628	0.914335	9.79076	0.646746	6.94577	0.853028	9.16018
				0.391886	4.17563	0.202363	2.11322	0.392538	4.15871	0.791201	8.38911	0.921058	9.76533	0.649177	6.9028	0.859456	9.13779
				0.393014	4.14649	0.204446	2.11441	0.393668	4.12992	0.796409	8.36172	0.927744	9.74	0.651553	6.86011	0.86587	9.11569
				0.394146	4.11795	0.20653	2.11558	0.394802	4.10172	0.801543	8.33411	0.934395	9.71481	0.653877	6.8177	0.872269	9.09385
				0.395281	4.09	0.208614	2.11672	0.395939	4.0741	0.806605	8.30627	0.941016	9.68978	0.656151	6.77559	0.87865	9.07225
				0.39642	4.06262	0.210698	2.11784	0.39708	4.04704	0.811594	8.27822	0.94761	9.66495	0.658376	6.73378	0.885011	9.05086
				0.397562	4.03579	0.212781	2.11894	0.398225	4.02053	0.81651	8.24997	0.95418	9.64035	0.660556	6.6923	0.89135	9.02966
				0.398709	4.00951	0.214865	2.12002	0.399374	3.99455	0.821354	8.22151	0.960728	9.61599	0.66269	6.65115	0.897666	9.00861
				0.39986	3.98375	0.216948	2.12108	0.400527	3.9691	0.826125	8.19286	0.967257	9.5919	0.664782	6.61033	0.903957	8.98771
				0.401014	3.95851	0.219031	2.12212	0.401684	3.94415	0.830824	8.16402	0.97377	9.56808	0.666833	6.56986	0.910221	8.96692
				0.402173	3.93378	0.221115	2.12313	0.402845	3.9197	0.835451	8.13501	0.980268	9.54456	0.668845	6.52974	0.916456	8.94623
				0.403337	3.90952	0.223198	2.12413	0.404011	3.89572	0.840006	8.10583	0.986753	9.52132	0.670819	6.48998	0.922661	8.92562
				0.404504	3.88575	0.225281	2.12512	0.405181	3.87222	0.844491	8.0765	0.993226	9.49839	0.672757	6.45058	0.928833	8.90508
				0.405677	3.86244	0.227364	2.12608	0.406356	3.84917	0.848905	8.04701	0.999688	9.47576	0.67466	6.41155	0.934973	8.88457
				0.406853	3.83959	0.229447	2.12703	0.407536	3.82658	0.85325	8.01739	1.00614	9.45343	0.676529	6.37289	0.941077	8.8641
				0.408035	3.81717	0.23153	2.12796	0.40872	3.80441	0.857525	7.98763			0.678367	6.3346	0.947145	8.84365
				0.409221	3.79519	0.233613	2.12887	0.409909	3.78267	0.861733	7.95776			0.680174	6.29669	0.953175	8.8232
