Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
250  Points		498  Points		250  Points		228  Points		211  Points		144  Points		313  Points		236  Points		192  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.344519	6.7817	0.0799515	1.68559	0.333599	7.28526	0.51857	10.9424	0.605128	11.8798	0.866456	16.9557	0.25358	5.54076	0.462382	10.1008	0.730641	14.3327
0.346621	6.70019	0.0820409	1.69632	0.335578	7.18236	0.518958	10.847	0.606496	11.7198	0.867464	16.6714	0.257016	5.50379	0.464058	9.93521	0.731785	14.0975
0.348745	6.62198	0.0841321	1.70668	0.337582	7.08398	0.519456	10.729	0.607675	11.5876	0.868489	16.3975	0.260469	5.46862	0.465762	9.77666	0.732948	13.8709
0.350889	6.54688	0.0862249	1.71669	0.339609	6.98985	0.520071	10.5904	0.608659	11.4811	0.869531	16.1334	0.263938	5.43514	0.467492	9.62474	0.73413	13.6526
0.353054	6.47472	0.0883189	1.72636	0.341658	6.89973	0.520809	10.4329	0.609443	11.3986	0.870589	15.8785	0.267423	5.40323	0.469248	9.47907	0.735329	13.442
0.355239	6.40535	0.0904141	1.7357	0.343731	6.81338	0.52168	10.2589	0.610022	11.3388	0.871664	15.6325	0.270922	5.3728	0.471029	9.33929	0.736548	13.2388
0.357444	6.33862	0.0925104	1.74474	0.345825	6.73059	0.522576	10.0916	0.610394	11.301	0.872756	15.3949	0.274436	5.34375	0.472837	9.20507	0.737784	13.0426
0.359669	6.27441	0.0946076	1.75348	0.34794	6.65116	0.523497	9.93071	0.610931	11.2472	0.873864	15.1652	0.277963	5.31599	0.474669	9.07612	0.739038	12.853
0.361914	6.21259	0.0967054	1.76193	0.350077	6.5749	0.524444	9.77589	0.611518	11.1895	0.874989	14.9431	0.281504	5.28946	0.476526	8.95215	0.74031	12.6699
0.364177	6.15304	0.0988038	1.77012	0.352234	6.50164	0.525417	9.62683	0.612319	11.1121	0.87613	14.7282	0.285057	5.26406	0.478407	8.83289	0.7416	12.4927
0.36646	6.09565	0.100903	1.77804	0.354411	6.43124	0.526416	9.48326	0.61334	11.0162	0.877287	14.5202	0.288622	5.23975	0.480313	8.71811	0.742908	12.3214
0.368762	6.04034	0.103002	1.78572	0.356609	6.36353	0.527443	9.3449	0.614585	10.9031	0.878461	14.3189	0.292199	5.21645	0.482242	8.60756	0.744233	12.1555
0.371084	5.98699	0.105102	1.79316	0.358826	6.29838	0.528496	9.21151	0.616059	10.774	0.87965	14.1238	0.295787	5.19411	0.484195	8.50105	0.745402	12.0153
0.373424	5.93553	0.107202	1.80037	0.361063	6.23567	0.529577	9.08285	0.61777	10.6307	0.880856	13.9347	0.299386	5.17267	0.486171	8.39836	0.746409	11.8988
0.375785	5.88588	0.109302	1.80735	0.36332	6.17527	0.530685	8.9587	0.619501	10.4923	0.882078	13.7513	0.302994	5.15209	0.48817	8.29932	0.747249	11.8045
0.378164	5.83796	0.111402	1.81413	0.365596	6.11708	0.531822	8.83887	0.621252	10.3585	0.883315	13.5735	0.306613	5.13231	0.490191	8.20374	0.747918	11.7312
0.380564	5.7917	0.113502	1.82071	0.36789	6.061	0.532987	8.72316	0.623023	10.2291	0.884569	13.4009	0.31024	5.11329	0.492235	8.11146	0.748412	11.678
0.382983	5.74704	0.115602	1.82709	0.370205	6.00692	0.534181	8.61139	0.624813	10.1039	0.885838	13.2333	0.313877	5.09499	0.494301	8.02233	0.74873	11.6442
0.385424	5.70391	0.117703	1.83329	0.372538	5.95476	0.535404	8.50338	0.626623	9.9828	0.887122	13.0706	0.317522	5.07737	0.496388	7.9362	0.749187	11.5961
0.387885	5.66226	0.119803	1.83931	0.374891	5.90443	0.536656	8.39898	0.628451	9.8655	0.888423	12.9125	0.321176	5.0604	0.498496	7.85293	0.749687	11.5444
0.390367	5.62204	0.121903	1.84516	0.377263	5.85587	0.537937	8.29804	0.630299	9.75187	0.889739	12.7588	0.324837	5.04404	0.500625	7.77239	0.750371	11.475
0.392872	5.58319	0.124002	1.85084	0.379655	5.80899	0.539249	8.20042	0.632165	9.64176	0.89107	12.6095	0.328506	5.02826	0.502775	7.69447	0.751241	11.3886
0.395399	5.54568	0.126102	1.85636	0.382067	5.76373	0.540591	8.10597	0.63405	9.53502	0.892417	12.4642	0.332181	5.01303	0.504945	7.61905	0.752301	11.2863
0.39795	5.50946	0.128201	1.86173	0.384499	5.72003	0.541963	8.01458	0.635953	9.43149	0.893603	12.3408	0.335864	4.99833	0.507135	7.54601	0.753557	11.1691
0.400525	5.47449	0.130301	1.86696	0.386952	5.67782	0.543365	7.92612	0.637875	9.33106	0.894623	12.2379	0.339553	4.98412	0.509346	7.47527	0.755014	11.0382
