Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
427  Points		528  Points		426  Points		406  Points		353  Points		254  Points		457  Points		401  Points		346  Points		217  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.291738	6.34436	0.0607098	1.26361	0.28935	7.01724	0.454767	9.99837	0.572126	12.469	0.845385	18.4976	0.188242	4.56859	0.432234	9.67703	0.705934	15.2825	0.889442	19.1593
0.292237	6.22899	0.0625134	1.2764	0.289798	6.87282	0.455105	9.88146	0.572656	12.2321	0.845666	18.1341	0.189996	4.50919	0.432357	9.63384	0.706225	14.9865	0.88973	18.7885
0.292745	6.11833	0.064326	1.28889	0.290256	6.73487	0.455375	9.79111	0.573196	12.0048	0.845954	17.7849	0.191763	4.45267	0.432534	9.57248	0.706522	14.7022	0.890023	18.432
0.293263	6.01209	0.0661474	1.3011	0.290724	6.60298	0.455575	9.72583	0.573747	11.7863	0.846246	17.4493	0.193543	4.39883	0.432727	9.50676	0.706824	14.4287	0.890322	18.0892
0.293791	5.91003	0.0679772	1.31303	0.291202	6.47678	0.455703	9.68455	0.574307	11.5762	0.846544	17.1264	0.195334	4.34749	0.432992	9.41894	0.707132	14.1656	0.890626	17.7592
0.294329	5.81192	0.0698151	1.32469	0.29169	6.35592	0.455889	9.62587	0.574877	11.3741	0.846848	16.8156	0.197138	4.2985	0.433331	9.3104	0.707446	13.9122	0.890936	17.4413
0.294877	5.71755	0.0716607	1.33609	0.292188	6.24008	0.456093	9.56298	0.575458	11.1795	0.847158	16.5162	0.198953	4.2517	0.433747	9.18277	0.707766	13.6681	0.891252	17.135
0.295434	5.62671	0.0735135	1.34723	0.292695	6.12897	0.456371	9.47888	0.576048	10.992	0.847473	16.2276	0.200779	4.20695	0.434241	9.03789	0.708091	13.4327	0.891573	16.8395
0.296002	5.53922	0.0753735	1.35813	0.293212	6.02231	0.456727	9.37483	0.576648	10.8113	0.847793	15.9492	0.202614	4.16413	0.434818	8.87775	0.708422	13.2056	0.8919	16.5544
0.296579	5.45491	0.0772403	1.36879	0.293739	5.91985	0.457162	9.25233	0.577258	10.6369	0.848119	15.6805	0.20446	4.12311	0.435406	8.7238	0.708759	12.9863	0.892232	16.279
0.297166	5.37362	0.0791136	1.37921	0.294276	5.82136	0.45768	9.11306	0.577877	10.4686	0.848451	15.421	0.206315	4.08379	0.436004	8.57569	0.709102	12.7745	0.89257	16.013
0.297762	5.2952	0.0809931	1.38941	0.294823	5.72663	0.458284	8.95889	0.578425	10.3266	0.848788	15.1702	0.20818	4.04608	0.436612	8.43312	0.70945	12.5698	0.892913	15.7558
0.298368	5.2195	0.0828786	1.39939	0.295379	5.63545	0.458898	8.81042	0.578898	10.2089	0.849131	14.9278	0.210053	4.00988	0.437231	8.29578	0.709804	12.3718	0.893262	15.507
0.298985	5.1464	0.0847699	1.40915	0.295946	5.54765	0.459522	8.66736	0.579293	10.1138	0.849479	14.6932	0.211935	3.97509	0.437859	8.1634	0.710163	12.1803	0.893616	15.2662
0.29961	5.07577	0.0866667	1.41871	0.296522	5.46303	0.460156	8.52942	0.579608	10.04	0.849833	14.4662	0.213824	3.94165	0.438498	8.03573	0.710529	11.9949	0.893976	15.0331
0.300246	5.0075	0.0885688	1.42807	0.297108	5.38145	0.460799	8.39635	0.579841	9.98648	0.850192	14.2464	0.215721	3.90948	0.439147	7.91253	0.7109	11.8153	0.894341	14.8073
0.300891	4.94147	0.0904759	1.43723	0.297703	5.30275	0.461453	8.26789	0.579991	9.95255	0.850557	14.0334	0.217626	3.87852	0.439807	7.79357	0.711276	11.6413	0.894712	14.5884
0.301546	4.8776	0.092388	1.4462	0.298309	5.22679	0.462116	8.14383	0.580207	9.90424	0.850927	13.827	0.219538	3.84868	0.440476	7.67866	0.711659	11.4726	0.895088	14.3761
0.302211	4.81578	0.0943048	1.45498	0.298924	5.15345	0.462789	8.02394	0.580443	9.85231	0.851303	13.6268	0.221457	3.81993	0.441155	7.56759	0.712047	11.309	0.895469	14.1702
0.302885	4.75591	0.0962262	1.46359	0.299549	5.08258	0.463471	7.90803	0.580766	9.78265	0.851684	13.4325	0.223382	3.7922	0.441845	7.46019	0.71244	11.1503	0.895856	13.9703
0.303481	4.70528	0.0981518	1.47202	0.300183	5.01408	0.464164	7.79591	0.581178	9.69611	0.852071	13.244	0.225314	3.76544	0.442544	7.35627	0.712839	10.9962	0.896249	13.7763
0.303995	4.6632	0.100082	1.48027	0.300828	4.94784	0.464865	7.6874	0.581681	9.59373	0.852463	13.061	0.227252	3.7396	0.443254	7.25569	0.713244	10.8465	0.896647	13.5878
0.304423	4.62914	0.102015	1.48837	0.301482	4.88376	0.465577	7.58234	0.582278	9.47667	0.852861	12.8832	0.229196	3.71464	0.443973	7.15829	0.713655	10.7012	0.89705	13.4047
0.304765	4.60266	0.103953	1.4963	0.302145	4.82174	0.466297	7.48057	0.582972	9.34623	0.853264	12.7104	0.231146	3.69051	0.444702	7.06393	0.714017	10.5778	0.897459	13.2266
0.305018	4.58344	0.105895	1.50407	0.302819	4.76169	0.467028	7.38195	0.583675	9.21979	0.853673	12.5424	0.233101	3.66717	0.445441	6.97248	0.71433	10.475	0.897873	13.0535
0.30518	4.57125	0.10784	1.51169	0.303502	4.70353	0.467767	7.28633	0.584387	9.09716	0.854087	12.379	0.235061	3.64459	0.446189	6.8838	0.71459	10.3916	0.898292	12.8851
0.305414	4.55388	0.109788	1.51917	0.304195	4.64716	0.468516	7.1936	0.585109	8.97818	0.854507	12.2201	0.237027	3.62273	0.446947	6.79779	0.714798	10.3267	0.898717	12.7212
0.30567	4.53519	0.11174	1.52649	0.304898	4.59253	0.469274	7.10362	0.58584	8.8627	0.854932	12.0654	0.238997	3.60156	0.447715	6.71433	0.714951	10.2795	0.899147	12.5616
0.30602	4.5101	0.113695	1.53368	0.30561	4.53955	0.470041	7.01628	0.586581	8.75056	0.855362	11.9148	0.240972	3.58105	0.448493	6.6333	0.71505	10.2495	0.899583	12.4062
0.306466	4.47889	0.115653	1.54073	0.306332	4.48816	0.470817	6.93146	0.587331	8.64164	0.855798	11.7682	0.242952	3.56116	0.44928	6.55463	0.715192	10.2068	0.900024	12.2548
0.30701	4.44191	0.117362	1.54676	0.307064	4.4383	0.471603	6.84908	0.588089	8.53579	0.856239	11.6253	0.244936	3.54187	0.450077	6.47819	0.715348	10.1608	0.90047	12.1073
0.307654	4.39956	0.11882	1.55183	0.307805	4.3899	0.472397	6.76902	0.588858	8.4329	0.856686	11.4861	0.246924	3.52316	0.450883	6.40392	0.71556	10.0989	0.900922	11.9635
0.308404	4.35229	0.120027	1.55596	0.308556	4.3429	0.4732	6.69121	0.589635	8.33285	0.857138	11.3503	0.248917	3.50499	0.451699	6.33172	0.71583	10.0217	0.901379	11.8233
0.309162	4.30637	0.120982	1.5592	0.309317	4.29726	0.474012	6.61553	0.590421	8.23552	0.857596	11.218	0.250913	3.48735	0.452524	6.26151	0.71616	9.93012	0.901841	11.6865
0.309931	4.26177	0.121685	1.56156	0.310087	4.25291	0.474833	6.54193	0.591216	8.14082	0.858059	11.0889	0.252913	3.47021	0.453359	6.19322	0.716551	9.82494	0.902308	11.5531
0.310709	4.21843	0.122135	1.56306	0.310867	4.20982	0.475663	6.4703	0.592021	8.04864	0.858527	10.963	0.254917	3.45356	0.454203	6.12677	0.717005	9.70715	0.902781	11.4229
0.311497	4.17629	0.122782	1.56521	0.311657	4.16793	0.476502	6.40059	0.592834	7.95888	0.858939	10.8557	0.256925	3.43737	0.455056	6.06209	0.717465	9.59238	0.903259	11.2958
