Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		225  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.200583	5.03701	0.0574644	2.23781	0.319377	2.17886	0.498334	1.19057	0.593974	1.72448	0.860508	1.10933	0.22886	4.107	0.4603	2.02155	0.72298	1.24054
0.205267	5.01708	0.0595515	2.24212	0.321161	2.21491	0.499463	1.23171	0.595597	1.75886	0.861553	1.13422	0.232704	4.14193	0.462202	2.06053	0.724149	1.26822
0.209932	4.99596	0.0616424	2.24582	0.323244	2.25535	0.50063	1.27356	0.597252	1.79284	0.862621	1.15896	0.236578	4.17503	0.46414	2.09893	0.725343	1.29574
0.214576	4.97358	0.0637364	2.24898	0.325364	2.29491	0.501836	1.31618	0.598938	1.82646	0.863713	1.1836	0.240483	4.20637	0.466113	2.13678	0.726563	1.32311
0.219199	4.9499	0.0658331	2.25174	0.32752	2.33362	0.503082	1.35945	0.600655	1.85977	0.864827	1.20814	0.244417	4.236	0.468122	2.1741	0.727808	1.35029
0.2238	4.92481	0.0679322	2.25407	0.329712	2.37158	0.504369	1.40336	0.602403	1.89263	0.865964	1.23254	0.248377	4.26403	0.4699	2.20611	0.729079	1.37728
0.228376	4.89822	0.0700333	2.256	0.331939	2.40884	0.505697	1.44798	0.604182	1.92517	0.867124	1.25687	0.252362	4.29057	0.471436	2.23311	0.730375	1.40407
0.232927	4.87008	0.072136	2.25763	0.334201	2.44548	0.507067	1.49325	0.60599	1.95737	0.868306	1.28106	0.256372	4.31567	0.472721	2.25518	0.731695	1.4307
0.237451	4.84033	0.0742401	2.25895	0.336496	2.48156	0.508296	1.53318	0.607829	1.98918	0.869511	1.30513	0.260404	4.33943	0.473745	2.27247	0.733041	1.45717
0.241947	4.80886	0.0763453	2.26005	0.338825	2.51722	0.509369	1.56757	0.609697	2.02064	0.870738	1.3291	0.264458	4.36189	0.474503	2.28517	0.734411	1.48343
0.246412	4.77553	0.0784515	2.26094	0.341187	2.55255	0.510274	1.59625	0.611594	2.05178	0.871987	1.35294	0.268532	4.38308	0.474991	2.2932	0.735805	1.50952
0.250845	4.74027	0.0805583	2.26156	0.343581	2.58758	0.511002	1.61911	0.61352	2.08257	0.873259	1.37668	0.272625	4.40309	0.475695	2.30466	0.737224	1.5354
0.255245	4.70309	0.0826657	2.26205	0.346008	2.62249	0.511543	1.63614	0.615475	2.11301	0.874553	1.40027	0.276736	4.42199	0.476464	2.31707	0.738666	1.56109
0.259609	4.66381	0.0847734	2.26241	0.348468	2.65737	0.511893	1.64699	0.617458	2.14312	0.875868	1.42372	0.280865	4.43986	0.477516	2.3339	0.740132	1.5866
0.263935	4.6223	0.0868814	2.26259	0.35096	2.69236	0.512399	1.66251	0.619468	2.17289	0.877205	1.44704	0.28501	4.45668	0.478858	2.35502	0.741623	1.61194
0.268222	4.57862	0.0889895	2.26264	0.353485	2.72754	0.512955	1.67956	0.621507	2.20232	0.878565	1.47025	0.289169	4.47244	0.480496	2.38013	0.743136	1.63704
0.272467	4.53265	0.0910976	2.26263	0.356043	2.76303	0.513721	1.70295	0.623572	2.23144	0.879945	1.49338	0.293344	4.48732	0.482441	2.40929	0.744673	1.66197
0.276668	4.48427	0.0932057	2.26252	0.358634	2.79902	0.514704	1.73269	0.625665	2.26024	0.881347	1.51634	0.297531	4.50131	0.484701	2.44229	0.746233	1.68671
0.280823	4.43352	0.0953136	2.26231	0.361258	2.83562	0.515915	1.76887	0.627784	2.28868	0.882771	1.53919	0.301731	4.51443	0.486992	2.47475	0.747816	1.71123
0.28493	4.38036	0.0974213	2.26206	0.363917	2.87288	0.517369	1.81164	0.629652	2.31321	0.884215	1.56189	0.305943	4.52666	0.489312	2.50666	0.749422	1.73557
0.288985	4.3248	0.0995287	2.26172	0.366612	2.91096	0.51908	1.86116	0.63126	2.33401	0.885681	1.58443	0.310166	4.53808	0.491663	2.538	0.75105	1.75972
0.292988	4.26677	0.101636	2.26137	0.369342	2.95004	0.520837	1.91103	0.632601	2.351	0.887168	1.60689	0.314399	4.54874	0.494042	2.56883	0.752701	1.78363
0.296936	4.2063	0.103742	2.26097	0.372109	2.99019	0.522641	1.96128	0.633668	2.36436	0.888675	1.62918	0.318642	4.55861	0.496449	2.59918	0.754374	1.80734
0.300826	4.1436	0.105849	2.26048	0.374914	3.03151	0.524492	2.01189	0.634456	2.37435	0.890204	1.65135	0.322894	4.56776	0.498885	2.62901	0.756069	1.83091
0.304657	4.07869	0.107955	2.26001	0.377758	3.07403	0.52639	2.06283	0.634963	2.38058	0.891752	1.67342	0.327154	4.57625	0.501348	2.65835	0.757785	1.85423
0.308427	4.01164	0.11006	2.25952	0.380642	3.11788	0.528335	2.11397	0.635693	2.38929	0.893322	1.69529	0.331421	4.58401	0.503839	2.68716	0.759524	1.87735
0.312133	3.94266	0.112165	2.25902	0.383567	3.16314	0.530329	2.16532	0.636489	2.39898	0.894911	1.71707	0.335696	4.59104	0.506355	2.71547	0.761284	1.90032
0.315773	3.87192	0.11427	2.25848	0.386536	3.20979	0.53237	2.21682	0.637578	2.41222	0.896521	1.73872	0.339976	4.59749	0.508899	2.74333	0.763065	1.92303
0.319347	3.79959	0.116373	2.25791	0.389548	3.2578	0.53446	2.26842	0.638963	2.42866	0.898151	1.76019	0.344262	4.60331	0.511467	2.7707	0.764867	1.94552
0.322853	3.72598	0.118477	2.25737	0.392606	3.30722	0.536597	2.32015	0.640651	2.44842	0.899801	1.78152	0.348554	4.60845	0.514061	2.7976	0.76669	1.96788
0.32629	3.65134	0.12058	2.25681	0.395711	3.35797	0.538783	2.37179	0.642648	2.47144	0.901471	1.80273	0.35285	4.613	0.51668	2.82406	0.768534	1.99004
0.329228	3.58563	0.122682	2.25627	0.398864	3.40993	0.541017	2.4234	0.644963	2.49751	0.90316	1.82384	0.35715	4.61696	0.519324	2.8501	0.770157	2.00914
0.331691	3.52927	0.124784	2.25571	0.402065	3.46304	0.543299	2.47498	0.647302	2.52337	0.90487	1.84474	0.361453	4.62033	0.521991	2.87565	0.771553	2.02525
