Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
403  Points		403  Points		395  Points		364  Points		250  Points		146  Points		409  Points		380  Points		352  Points		264  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.21412	2.46455	1.21448	2.46462	0.535368	7.22475	0.836888	10.3237	1.094	13.3211	1.29429	15.7928	0.332784	4.52094	1.19485	2.60148	0.800075	9.85693	1.0684	13.1971
1.21021	2.46383	1.21057	2.4639	0.537588	7.13363	0.836579	10.1394	1.09572	13.1115	1.29438	15.5206	0.3358	4.47418	1.19103	2.60133	0.80236	9.71238	1.06825	12.964
1.2063	2.46311	1.20666	2.46318	0.540128	7.03264	0.836301	9.96173	1.09742	12.9089	1.29449	15.2578	0.338802	4.429	1.1872	2.60117	0.804634	9.57265	1.06811	12.7392
1.20239	2.46239	1.20275	2.46245	0.542659	6.93524	0.836056	9.79048	1.09911	12.713	1.29463	15.0041	0.341788	4.3853	1.18337	2.60101	0.806895	9.43749	1.06799	12.5223
1.19849	2.46166	1.19884	2.46173	0.545178	6.84125	0.835843	9.6253	1.1008	12.5235	1.29478	14.759	0.344759	4.34298	1.17955	2.60086	0.809143	9.30667	1.0679	12.3128
1.19458	2.46093	1.19494	2.461	0.547686	6.75045	0.835665	9.46592	1.10248	12.3399	1.29496	14.5221	0.347711	4.30195	1.17573	2.6007	0.811377	9.17996	1.06782	12.1104
1.19068	2.46021	1.19103	2.46027	0.550181	6.66267	0.835523	9.31205	1.10415	12.1621	1.29515	14.293	0.350643	4.26211	1.1719	2.60055	0.813596	9.05716	1.06777	11.9148
1.18677	2.45948	1.18713	2.45954	0.552662	6.57774	0.835416	9.16345	1.1058	11.9897	1.29538	14.0713	0.353554	4.2234	1.16808	2.6004	0.8158	8.93808	1.06774	11.7256
1.18287	2.45875	1.18323	2.45881	0.555129	6.49552	0.835347	9.01989	1.10745	11.8225	1.29562	13.8567	0.356443	4.18574	1.16426	2.60026	0.817988	8.82253	1.06774	11.5426
1.17897	2.45802	1.17933	2.45808	0.55758	6.41584	0.835315	8.88114	1.10908	11.6602	1.29589	13.6489	0.359308	4.14906	1.16045	2.60011	0.820159	8.71035	1.06776	11.3655
1.17508	2.45729	1.17543	2.45735	0.560015	6.33858	0.835323	8.74698	1.11069	11.5027	1.29619	13.4476	0.362148	4.11329	1.15663	2.59998	0.822313	8.60138	1.06781	11.1941
1.17118	2.45656	1.17154	2.45662	0.562432	6.26362	0.83537	8.61724	1.11229	11.3496	1.29652	13.2526	0.364961	4.07838	1.15282	2.59984	0.824449	8.49546	1.06789	11.028
1.16729	2.45582	1.16764	2.45589	0.564831	6.19082	0.835458	8.49171	1.11388	11.2008	1.29687	13.0634	0.367746	4.04428	1.14901	2.59972	0.826567	8.39246	1.06799	10.8671
1.1634	2.45509	1.16375	2.45516	0.567211	6.12009	0.835588	8.37023	1.11545	11.0561	1.29726	12.88	0.370503	4.01093	1.14521	2.5996	0.828666	8.29224	1.06813	10.7111
1.15951	2.45436	1.15986	2.45443	0.569572	6.05131	0.83576	8.25263	1.117	10.9153	1.29767	12.7021	0.373229	3.97828	1.14141	2.59949	0.830745	8.19469	1.06829	10.5599
1.15562	2.45363	1.15597	2.45369	0.571911	5.9844	0.835945	8.1532	1.11853	10.7782	1.29811	12.5294	0.375924	3.94629	1.13761	2.59939	0.83254	8.11175	1.06848	10.4133
1.15173	2.4529	1.15209	2.45296	0.574228	5.91925	0.836128	8.07059	1.12004	10.6448	1.29858	12.3617	0.378587	3.91492	1.13382	2.59929	0.834057	8.04252	1.06871	10.271
1.14785	2.45217	1.1482	2.45223	0.576524	5.85578	0.836299	8.00373	1.12153	10.5147	1.29909	12.1989	0.381216	3.88414	1.13003	2.59921	0.835304	7.98625	1.06896	10.1329
1.14397	2.45143	1.14432	2.4515	0.578796	5.79392	0.836445	7.95178	1.123	10.3879	1.29963	12.0408	0.383812	3.85391	1.12625	2.59915	0.836283	7.94238	1.06925	9.99878
1.14009	2.4507	1.14045	2.45077	0.581044	5.73358	0.83656	7.91409	1.12445	10.2643	1.3002	11.8871	0.386372	3.82419	1.12248	2.59909	0.837	7.91046	1.06957	9.86859
1.13622	2.44997	1.13657	2.45004	0.583267	5.67469	0.836636	7.89018	1.12588	10.1437	1.3008	11.7377	0.388897	3.79497	1.11871	2.59906	0.837458	7.89019	1.06993	9.74214
1.13234	2.44925	1.1327	2.44931	0.585465	5.6172	0.83675	7.85612	1.12729	10.026	1.30144	11.5925	0.391385	3.7662	1.11495	2.59904	0.838113	7.86124	1.07032	9.61927
1.12847	2.44852	1.12883	2.44859	0.587637	5.56102	0.836879	7.81949	1.12867	9.91106	1.30211	11.4513	0.393837	3.73788	1.1112	2.59904	0.838823	7.83003	1.07074	9.49987
1.12461	2.44779	1.12496	2.44786	0.589782	5.50612	0.837064	7.77032	1.13003	9.79881	1.30282	11.3139	0.396251	3.70997	1.10746	2.59907	0.839784	7.78804	1.07121	9.3838
1.12074	2.44707	1.12109	2.44714	0.5919	5.45242	0.837314	7.70919	1.13137	9.68913	1.30357	11.1802	0.398628	3.68246	1.10373	2.59912	0.840991	7.73563	1.07171	9.27095
1.11688	2.44635	1.11723	2.44641	0.593991	5.39988	0.83764	7.63679	1.13268	9.58192	1.30435	11.0501	0.400967	3.65532	1.10001	2.5992	0.842439	7.67327	1.07224	9.16119
1.11302	2.44563	1.11337	2.44569	0.596053	5.34844	0.838054	7.55395	1.13397	9.47709	1.30516	10.9235	0.403267	3.62855	1.0963	2.5993	0.844122	7.60151	1.07281	9.05442
1.10917	2.44491	1.10952	2.44498	0.598086	5.29807	0.838574	7.46156	1.13523	9.37456	1.30602	10.8002	0.40553	3.60213	1.09261	2.59944	0.846031	7.52094	1.07342	8.95055
1.10531	2.4442	1.10566	2.44426	0.60009	5.24871	0.839142	7.37193	1.13647	9.27424	1.30691	10.68	0.407755	3.57604	1.08894	2.59962	0.847915	7.4422	1.07407	8.84945
1.10146	2.44348	1.10181	2.44355	0.602064	5.20033	0.839757	7.28496	1.13768	9.17606	1.30783	10.563	0.409942	3.55028	1.08528	2.59984	0.849775	7.36522	1.07476	8.75105
1.09762	2.44277	1.09797	2.44284	0.604008	5.15288	0.84042	7.20056	1.13887	9.07993	1.3088	10.449	0.412091	3.52484	1.08163	2.60011	0.851611	7.28993	1.07549	8.65525
1.09378	2.44207	1.09413	2.44213	0.605923	5.10633	0.841133	7.11863	1.14003	8.9858	1.3098	10.3379	0.414204	3.4997	1.07801	2.60043	0.853421	7.21626	1.07625	8.56196
1.08994	2.44137	1.09029	2.44143	0.607807	5.06065	0.841893	7.03908	1.14117	8.89359	1.31084	10.2295	0.41628	3.47487	1.07441	2.6008	0.855205	7.14416	1.07706	8.4711
1.0861	2.44067	1.08645	2.44073	0.60966	5.01581	0.842703	6.96184	1.14228	8.80324	1.31192	10.1239	0.418321	3.45033	1.07084	2.60124	0.856964	7.07357	1.07779	8.39384
1.08227	2.43997	1.08262	2.44004	0.611483	4.97176	0.843562	6.88681	1.14337	8.71469	1.31303	10.0209	0.420327	3.42609	1.06729	2.60174	0.858698	7.00442	1.07844	8.32934
1.07845	2.43928	1.07879	2.43935	0.613275	4.92849	0.84447	6.81393	1.14444	8.62789	1.31418	9.92038	0.422299	3.40213	1.06377	2.60232	0.860405	6.93668	1.079	8.27694
1.07462	2.4386	1.07497	2.43866	0.615036	4.88597	0.845426	6.74311	1.14548	8.54277	1.31537	9.82232	0.424237	3.37846	1.06028	2.60298	0.862087	6.87029	1.07945	8.23609
1.07081	2.43792	1.07115	2.43798	0.616766	4.84417	0.846432	6.6743	1.14636	8.46994	1.31659	9.72662	0.426144	3.35508	1.05683	2.60372	0.863742	6.80521	1.07978	8.20637
1.06699	2.43725	1.06734	2.43731	0.618466	4.80307	0.847486	6.60741	1.14711	8.40881	1.31785	9.6332	0.428019	3.33198	1.05341	2.60457	0.865372	6.74138	1.08	8.1875
1.06318	2.43658	1.06353	2.43664	0.620136	4.76266	0.848589	6.54239	1.14771	8.35891	1.31914	9.542	0.429865	3.30917	1.05004	2.60552	0.866976	6.67878	1.08032	8.16056
1.05938	2.43592	1.05973	2.43598	0.621775	4.72289	0.84974	6.47916	1.14818	8.31987	1.32047	9.45292	0.431683	3.28664	1.0467	2.60658	0.868554	6.61736	1.08066	8.13153
1.05558	2.43526	1.05593	2.43532	0.623385	4.68377	0.850939	6.41767	1.14853	8.29139	1.32184	9.36592	0.433473	3.2644	1.04341	2.60776	0.870106	6.55708	1.08115	8.09247
1.05178	2.43462	1.05213	2.43468	0.624965	4.64526	0.852185	6.35786	1.14875	8.27326	1.32324	9.28092	0.435237	3.24244	1.04017	2.60908	0.871633	6.49791	1.08177	8.04375
1.048	2.43398	1.04834	2.43404	0.626516	4.60736	0.853479	6.29967	1.14906	8.24734	1.32467	9.19785	0.436977	3.22077	1.03698	2.61053	0.873136	6.43981	1.08254	7.98583
1.04421	2.43335	1.04456	2.43341	0.628039	4.57005	0.854818	6.24305	1.14939	8.21934	1.32614	9.11666	0.438695	3.19939	1.03385	2.61212	0.874613	6.38276	1.08348	7.91925
1.04043	2.43273	1.04078	2.43278	0.629533	4.53331	0.856204	6.18793	1.14985	8.18157	1.32763	9.03728	0.44039	3.1783	1.03076	2.61387	0.876067	6.32673	1.08459	7.84461
1.03666	2.43211	1.03701	2.43217	0.631	4.49713	0.857634	6.13428	1.15041	8.13428	1.32916	8.95966	0.442066	3.15751	1.02774	2.61577	0.877497	6.27168	1.08574	7.77179
