Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
416  Points		417  Points		394  Points		365  Points		294  Points		172  Points		411  Points		397  Points		371  Points		268  Points		172  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.2522	2.4121	1.25299	2.41163	0.520556	7.30802	0.812353	11.004	1.01886	13.6606	1.27781	17.1424	0.313892	4.74109	1.27215	2.59082	0.759058	10.1581	1.04928	14.0257	1.29883	17.4348
1.24956	2.41372	1.25034	2.41323	0.521094	7.28185	0.811672	10.784	1.02096	13.4289	1.27735	16.8107	0.316757	4.68229	1.26891	2.59183	0.761344	9.99564	1.04865	13.752	1.30049	17.1253
1.24692	2.41536	1.24771	2.41487	0.521867	7.24464	0.811032	10.5727	1.02304	13.2056	1.27691	16.4917	0.319609	4.62575	1.26563	2.59278	0.763617	9.83903	1.04805	13.4888	1.30215	16.8272
1.2443	2.41704	1.24508	2.41654	0.522706	7.20472	0.810434	10.3698	1.02512	12.9903	1.27648	16.1845	0.322445	4.5713	1.26232	2.59367	0.765875	9.68796	1.04748	13.2356	1.3038	16.54
1.24169	2.41875	1.24247	2.41824	0.523844	7.15131	0.80988	10.1748	1.02718	12.7827	1.27608	15.8886	0.325262	4.51878	1.25898	2.5945	0.768118	9.5421	1.04693	12.9917	1.30544	16.2631
1.23909	2.42049	1.23986	2.41997	0.52528	7.08515	0.80937	9.98728	1.02923	12.5822	1.27569	15.6033	0.32806	4.46805	1.25561	2.59527	0.770344	9.40119	1.04641	12.7567	1.30707	15.9958
1.2365	2.42225	1.23727	2.42172	0.52701	7.00715	0.808905	9.80687	1.03127	12.3885	1.27532	15.3282	0.330836	4.41898	1.25221	2.59599	0.772553	9.26495	1.04592	12.5302	1.30869	15.7376
1.23391	2.42405	1.23468	2.42351	0.52903	6.91831	0.808486	9.63323	1.03329	12.2012	1.27498	15.0628	0.333588	4.37146	1.24878	2.59665	0.774744	9.13314	1.04545	12.3118	1.3103	15.4882
1.23134	2.42588	1.23211	2.42533	0.531335	6.81972	0.808114	9.466	1.0353	12.0201	1.27465	14.8064	0.336314	4.32538	1.24532	2.59727	0.776917	9.00552	1.04502	12.101	1.3119	15.247
1.22878	2.42773	1.22954	2.42718	0.533625	6.72453	0.807791	9.30489	1.03729	11.8447	1.27435	14.5589	0.339014	4.28063	1.24185	2.59783	0.779071	8.88188	1.04462	11.8975	1.31349	15.0135
1.22623	2.42961	1.22698	2.42905	0.535897	6.63252	0.807516	9.1496	1.03926	11.6748	1.27408	14.3196	0.341684	4.23713	1.23834	2.59835	0.781205	8.76203	1.04425	11.701	1.31506	14.7875
1.22368	2.43152	1.22444	2.43095	0.538151	6.54353	0.807291	8.99986	1.04122	11.5102	1.27383	14.0882	0.344324	4.19479	1.23482	2.59883	0.783318	8.64576	1.04392	11.5111	1.31661	14.5686
1.22114	2.43346	1.2219	2.43288	0.540386	6.45737	0.807116	8.85543	1.04316	11.3505	1.2736	13.8644	0.346932	4.15352	1.23127	2.59926	0.785409	8.5329	1.04362	11.3275	1.31815	14.3563
1.21861	2.43542	1.21936	2.43483	0.5426	6.3739	0.806993	8.71605	1.04507	11.1955	1.2734	13.6478	0.349507	4.11327	1.22771	2.59966	0.787478	8.4233	1.04335	11.1499	1.31968	14.1504
1.21608	2.4374	1.21683	2.4368	0.544793	6.29296	0.806922	8.5815	1.04697	11.0451	1.27324	13.4381	0.352046	4.07395	1.22413	2.60002	0.789525	8.31678	1.04313	10.9782	1.32118	13.9506
1.21356	2.43939	1.21431	2.4388	0.546963	6.21442	0.806904	8.45158	1.04885	10.8989	1.2731	13.235	0.354549	4.03551	1.22053	2.60034	0.791547	8.21321	1.04294	10.8119	1.32266	13.7566
1.21103	2.4414	1.21178	2.4408	0.54911	6.13814	0.80694	8.32607	1.05071	10.7569	1.27299	13.0383	0.357015	3.99789	1.21691	2.60064	0.793546	8.11245	1.04279	10.651	1.32412	13.5681
1.2085	2.44342	1.20926	2.44282	0.551231	6.06402	0.80703	8.20481	1.05254	10.6187	1.27291	12.8475	0.359442	3.96105	1.21328	2.6009	0.79552	8.01438	1.04267	10.4951	1.32556	13.3849
1.20597	2.44542	1.20672	2.44483	0.553327	5.99193	0.807174	8.0876	1.05435	10.4843	1.27286	12.6626	0.361829	3.92493	1.20963	2.60113	0.797468	7.91885	1.0426	10.3441	1.32698	13.2067
1.20341	2.44741	1.20418	2.44682	0.555396	5.92178	0.807374	7.97427	1.05614	10.3535	1.27285	12.4832	0.364176	3.88949	1.20597	2.60133	0.799145	7.83761	1.04257	10.1978	1.32837	13.0334
1.20083	2.44934	1.2016	2.44877	0.557437	5.85346	0.807594	7.87857	1.0579	10.2261	1.27287	12.3092	0.366482	3.85469	1.2023	2.60151	0.800558	7.76977	1.04258	10.0559	1.32974	12.8646
1.1982	2.45119	1.19899	2.45065	0.55945	5.78688	0.807815	7.79914	1.05964	10.1019	1.27293	12.1403	0.368745	3.8205	1.19861	2.60166	0.801716	7.71462	1.04263	9.91829	1.33108	12.7003
1.19548	2.45288	1.1963	2.4524	0.561433	5.72197	0.808021	7.73492	1.06135	9.98088	1.27302	11.9763	0.370967	3.78688	1.19492	2.60179	0.802624	7.6716	1.04272	9.78484	1.3324	12.5401
1.19265	2.45433	1.19351	2.45393	0.563386	5.65863	0.808199	7.68505	1.06303	9.86285	1.27315	11.8171	0.373145	3.75381	1.19121	2.6019	0.803288	7.6403	1.04286	9.65536	1.33368	12.384
1.18964	2.45544	1.19056	2.45515	0.565308	5.5968	0.808339	7.64889	1.06469	9.7477	1.27332	11.6624	0.37528	3.72126	1.1875	2.60198	0.80371	7.62041	1.04304	9.52969	1.33494	12.2318
1.18643	2.45613	1.18741	2.45597	0.567198	5.5364	0.808432	7.62596	1.06632	9.6353	1.27352	11.5121	0.377372	3.6892	1.18377	2.60205	0.804316	7.59201	1.04327	9.4077	1.33618	12.0832
1.18302	2.4564	1.18405	2.45636	0.569057	5.47737	0.808571	7.5933	1.06792	9.52554	1.27377	11.366	0.379422	3.65762	1.18004	2.6021	0.80497	7.5614	1.04354	9.28924	1.33738	11.9383
1.17945	2.45635	1.18052	2.45639	0.570882	5.41965	0.808729	7.5582	1.0695	9.41833	1.27405	11.2239	0.381428	3.62651	1.17629	2.60212	0.805855	7.52018	1.04386	9.17419	1.33855	11.7968
1.17576	2.45605	1.17686	2.45616	0.572674	5.36317	0.808956	7.51111	1.07104	9.31356	1.27437	11.0858	0.383392	3.59583	1.17254	2.60214	0.806964	7.46873	1.04422	9.06241	1.33969	11.6585
1.17199	2.45559	1.17312	2.45574	0.574433	5.30789	0.809262	7.4526	1.07256	9.21113	1.27474	10.9515	0.385314	3.56559	1.16878	2.60213	0.808291	7.40751	1.04463	8.9538	1.34081	11.5235
1.16817	2.45501	1.16931	2.45519	0.576158	5.25376	0.809661	7.38337	1.07405	9.11097	1.27514	10.8208	0.387195	3.53577	1.16502	2.60211	0.809827	7.33701	1.04509	8.84823	1.34189	11.3914
1.16432	2.45436	1.16547	2.45456	0.577848	5.20072	0.81017	7.30423	1.0755	9.01298	1.27559	10.6936	0.389036	3.50636	1.16125	2.60208	0.811563	7.25783	1.04559	8.7456	1.34294	11.2624
1.16044	2.45365	1.1616	2.45387	0.579504	5.14874	0.810807	7.21607	1.07693	8.91709	1.27608	10.5698	0.390837	3.47736	1.15747	2.60203	0.81327	7.18041	1.04613	8.64581	1.34396	11.1361
