Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Sym6		Sym7		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6		Asym7	
311  Points		310  Points		303  Points		293  Points		285  Points		218  Points		177  Points		105  Points		310  Points		304  Points		296  Points		257  Points		217  Points		179  Points		105  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.01311	2.51506	2.01253	2.51515	0.569483	8.61286	0.878603	10.7191	1.29391	15.9715	1.45473	17.7024	1.73748	20.9786	2.16525	26.6953	0.324262	4.85525	0.649316	9.41296	0.97752	12.0556	1.10701	13.5384	1.5183	18.4358	1.89697	22.6872	1.964	24.2006
2.0066	2.51603	2.00603	2.51612	0.57487	8.32994	0.879295	10.4999	1.29379	15.4194	1.45764	17.1347	1.7379	20.2756	2.1653	25.7766	0.33106	4.75126	0.64953	9.17961	0.979645	11.6657	1.10906	13.1001	1.51855	17.8131	1.89798	21.9403	1.96531	23.3833
2.00012	2.51702	1.99954	2.51711	0.580264	8.06987	0.879861	10.3333	1.29369	14.9044	1.46062	16.6051	1.73835	19.6188	2.16535	24.9192	0.337888	4.65598	0.649823	8.91309	0.98177	11.3017	1.11121	12.6919	1.5188	17.2315	1.899	21.2418	1.96669	22.6212
1.99365	2.51805	1.99307	2.51814	0.58566	7.82994	0.880288	10.2144	1.29361	14.4229	1.46366	16.11	1.73882	19.0037	2.16541	24.1171	0.344737	4.56828	0.65022	8.6205	0.983619	11.0037	1.11348	12.311	1.51908	16.687	1.90001	20.5871	1.96814	21.909
1.98719	2.5191	1.98662	2.5192	0.591053	7.60786	0.880566	10.1398	1.29355	13.9716	1.46676	15.646	1.7393	18.4265	2.16548	23.3651	0.3516	4.48722	0.650749	8.30888	0.98519	10.7626	1.11585	11.9549	1.51937	16.1762	1.90102	19.9721	1.96966	21.2419
1.98076	2.52018	1.98019	2.52028	0.596441	7.40163	0.880973	10.0347	1.29351	13.548	1.46992	15.2104	1.73981	17.8839	2.16555	22.6587	0.358467	4.412	0.651362	8.0205	0.986486	10.5715	1.11833	11.6214	1.51967	15.6961	1.90203	19.3934	1.97125	20.6161
1.97434	2.52129	1.97377	2.52139	0.601819	7.20958	0.881425	9.92309	1.2935	13.1495	1.47313	14.8006	1.74035	17.3728	2.16563	21.9939	0.365332	4.34192	0.652065	7.75303	0.987508	10.4255	1.12092	11.3084	1.51999	15.244	1.90304	18.8478	1.97293	20.0277
1.96793	2.52243	1.96737	2.52254	0.607182	7.03023	0.882054	9.77557	1.29351	12.774	1.4764	14.4145	1.7409	16.8907	2.16571	21.3671	0.372188	4.2764	0.652865	7.50444	0.988257	10.3209	1.12327	11.0511	1.52034	14.8176	1.90404	18.3325	1.97467	19.4736
1.96155	2.5236	1.96098	2.52371	0.612528	6.86231	0.882877	9.59573	1.29355	12.4196	1.47972	14.0501	1.74148	16.4351	2.16581	20.7752	0.379028	4.21491	0.653766	7.27299	0.988735	10.2551	1.12534	10.8422	1.52069	14.4147	1.90503	17.845	1.9765	18.9511
1.95518	2.5248	1.95461	2.52491	0.617852	6.70468	0.883913	9.38774	1.29362	12.0847	1.48308	13.7057	1.74209	16.004	2.16591	20.2152	0.385846	4.15701	0.654774	7.05713	0.989421	10.162	1.1271	10.6764	1.52107	14.0335	1.90601	17.3832	1.9784	18.4574
1.94882	2.52603	1.94826	2.52614	0.62315	6.55638	0.885185	9.15615	1.29371	11.7676	1.4865	13.3796	1.74272	15.5954	2.16602	19.6849	0.392635	4.10231	0.655896	6.8555	0.990166	10.0629	1.12851	10.5494	1.52147	13.6723	1.90698	16.9451	1.98038	17.9904
1.94249	2.5273	1.94193	2.52741	0.628418	6.41654	0.886726	8.90563	1.29384	11.467	1.48995	13.0704	1.74338	15.2076	2.16614	19.1817	0.399389	4.05047	0.657138	6.66692	0.991174	9.93134	1.12957	10.4583	1.52189	13.3296	1.90794	16.5288	1.98244	17.548
1.93617	2.52859	1.93561	2.52871	0.633654	6.2844	0.888354	8.67012	1.29397	11.2176	1.49346	12.7769	1.74407	14.8392	2.16626	18.7038	0.406102	4.00118	0.658504	6.49032	0.992443	9.77012	1.13026	10.401	1.52233	13.004	1.90889	16.1328	1.98457	17.1284
1.92986	2.52991	1.92931	2.53003	0.638852	6.15926	0.890074	8.44841	1.2941	11.0136	1.497	12.498	1.74479	14.4887	2.1664	18.2492	0.412768	3.95417	0.660001	6.32477	0.993969	9.58244	1.13125	10.3199	1.52279	12.6943	1.90983	15.7556	1.98679	16.7298
1.92358	2.53127	1.92302	2.53139	0.64401	6.04054	0.891888	8.23942	1.29422	10.8505	1.50058	12.2325	1.74553	14.1549	2.16655	17.8163	0.419383	3.90922	0.661635	6.16941	0.995744	9.37182	1.13235	10.2335	1.52328	12.3994	1.91076	15.3958	1.98908	16.3509
1.91731	2.53266	1.91675	2.53278	0.649123	5.92768	0.8938	8.04219	1.29433	10.7251	1.50419	11.9795	1.74631	13.8367	2.1667	17.4037	0.425939	3.8661	0.663411	6.02351	0.99776	9.14192	1.13386	10.1187	1.52379	12.1182	1.91167	15.0524	1.99145	15.9901
1.91105	2.53408	1.9105	2.53421	0.654189	5.82021	0.895813	7.85584	1.29441	10.6347	1.50785	11.7382	1.74712	13.533	2.16687	17.0098	0.432433	3.82463	0.665333	5.88638	0.999754	8.9237	1.13581	9.97782	1.52432	11.8499	1.91258	14.7242	1.99389	15.6464
1.90481	2.53553	1.90426	2.53566	0.659205	5.7177	0.897929	7.6796	1.29446	10.5777	1.51153	11.5077	1.74796	13.2428	2.16705	16.6335	0.438859	3.78464	0.667409	5.75741	1.00172	8.71625	1.13822	9.81374	1.52488	11.5935	1.91347	14.4102	1.99641	15.3185
1.89859	2.53702	1.89804	2.53715	0.664166	5.61974	0.900151	7.51275	1.29454	10.4968	1.51476	11.3152	1.74884	12.9653	2.16724	16.2737	0.445212	3.74598	0.669642	5.63604	1.00367	8.5188	1.14112	9.62947	1.52539	11.3793	1.91435	14.1095	1.999	15.0053
1.89238	2.53853	1.89183	2.53866	0.669071	5.52599	0.902482	7.35466	1.29463	10.4104	1.51754	11.1569	1.74975	12.6997	2.16744	15.9292	0.451487	3.70853	0.672037	5.52177	1.0056	8.33061	1.14454	9.42825	1.52583	11.2031	1.91523	13.8213	2.00167	14.7061
1.88617	2.54006	1.88562	2.54019	0.673916	5.43614	0.904923	7.20473	1.29476	10.2951	1.51985	11.0297	1.7507	12.4454	2.16765	15.5991	0.457682	3.67217	0.674598	5.41414	1.0075	8.15105	1.14807	9.2372	1.52622	11.0616	1.91609	13.5448	2.00441	14.4197
