Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.18974	2.6636	1.18763	2.66256	0.539985	1.84006	0.849826	-0.113281	1.14223	0.944454	1.30366	0.257857	0.332598	2.17581	1.19214	2.60855	0.823573	1.53078	1.07792	0.0407803
1.1859	2.6616	1.18379	2.66052	0.542638	1.83593	0.849673	-0.09757	1.14359	0.94181	1.30404	0.272965	0.335736	2.17112	1.18838	2.60363	0.825779	1.52641	1.07798	0.0523081
1.18206	2.65957	1.17995	2.65841	0.545285	1.83123	0.849544	-0.081163	1.14495	0.938499	1.30444	0.288606	0.338866	2.16545	1.18463	2.59818	0.827979	1.52149	1.07807	0.0643773
1.17822	2.65749	1.17612	2.65631	0.547925	1.82595	0.849439	-0.0640961	1.1463	0.934441	1.30487	0.304728	0.341987	2.1588	1.18088	2.59227	0.830172	1.51611	1.07817	0.0769436
1.17439	2.65531	1.17229	2.6541	0.550556	1.82009	0.849359	-0.0464418	1.14765	0.929694	1.30532	0.32137	0.345098	2.15119	1.17714	2.58578	0.832356	1.51019	1.07829	0.089991
1.17056	2.65307	1.16846	2.6518	0.553179	1.81368	0.849305	-0.0281255	1.14898	0.924301	1.3058	0.33854	0.348197	2.14263	1.17342	2.57867	0.834531	1.50377	1.07843	0.103562
1.16673	2.65079	1.16463	2.64948	0.555792	1.8067	0.849278	-0.0091441	1.15031	0.918202	1.3063	0.356183	0.351283	2.13318	1.1697	2.5709	0.836697	1.49685	1.07859	0.117666
1.1629	2.64842	1.16081	2.6471	0.558394	1.79915	0.849278	0.0104348	1.15164	0.911498	1.30683	0.374328	0.354355	2.12278	1.166	2.56238	0.838852	1.4894	1.07877	0.132324
1.15908	2.64596	1.15699	2.64461	0.560985	1.79105	0.849308	0.030623	1.15295	0.904169	1.30738	0.392968	0.357411	2.11147	1.1623	2.5531	0.840996	1.48152	1.07897	0.147431
1.15526	2.64346	1.15317	2.64205	0.563565	1.78242	0.849367	0.0514436	1.15425	0.896176	1.30796	0.412085	0.36045	2.09933	1.15863	2.5429	0.843129	1.47316	1.07919	0.163071
1.15145	2.64087	1.14936	2.63941	0.566131	1.77324	0.849456	0.0728701	1.15553	0.887661	1.30857	0.43164	0.363471	2.0863	1.15496	2.53173	0.845249	1.46428	1.07944	0.179263
1.14764	2.63819	1.14555	2.63671	0.568684	1.76352	0.849577	0.0948489	1.15681	0.87854	1.30921	0.451635	0.366473	2.07239	1.15132	2.51956	0.847356	1.45494	1.07971	0.195899
1.14384	2.63546	1.14175	2.63394	0.571222	1.75332	0.84973	0.11742	1.15807	0.868868	1.30988	0.472069	0.369453	2.05767	1.14769	2.50629	0.849449	1.44519	1.08001	0.213058
1.14003	2.63264	1.13795	2.63104	0.573745	1.74254	0.84989	0.137558	1.15932	0.85868	1.31057	0.492941	0.372412	2.04211	1.14408	2.49176	0.851261	1.43632	1.08033	0.230749
1.13624	2.62971	1.13416	2.62808	0.576252	1.73121	0.850047	0.155067	1.16055	0.847972	1.3113	0.514178	0.375348	2.02576	1.1405	2.47595	0.852797	1.42839	1.08067	0.248921
1.13244	2.6267	1.13036	2.62504	0.578742	1.7194	0.850191	0.169848	1.16176	0.836808	1.31206	0.535779	0.37826	2.00868	1.13693	2.45875	0.854061	1.42174	1.08105	0.26754
1.12865	2.62361	1.12658	2.62187	0.581216	1.70705	0.850314	0.181575	1.16296	0.825249	1.31284	0.557739	0.381147	1.99084	1.1334	2.44011	0.855056	1.41644	1.08145	0.286686
1.12487	2.62043	1.1228	2.61861	0.58367	1.69424	0.85041	0.190318	1.16415	0.813263	1.31367	0.57998	0.384007	1.97225	1.12989	2.4199	0.855785	1.41241	1.08187	0.306303
1.12109	2.61715	1.11902	2.61525	0.586106	1.68096	0.850474	0.195943	1.16531	0.800863	1.31452	0.602562	0.38684	1.953	1.12641	2.39808	0.85625	1.40976	1.08233	0.326346
1.11731	2.61373	1.11525	2.61182	0.588523	1.66717	0.850569	0.203976	1.16646	0.788147	1.31541	0.625388	0.389645	1.93312	1.12297	2.37465	0.856918	1.40595	1.08282	0.346877
1.11354	2.61021	1.11148	2.60825	0.590919	1.65292	0.850676	0.212945	1.16759	0.775168	1.31632	0.648408	0.392421	1.91259	1.11956	2.34955	0.857642	1.40179	1.08333	0.367797
1.10978	2.60659	1.10772	2.60457	0.593294	1.63821	0.85083	0.225247	1.1687	0.76188	1.31728	0.67167	0.395166	1.89146	1.11619	2.32279	0.858623	1.39602	1.08388	0.389129
1.10602	2.60287	1.10396	2.60078	0.595648	1.62306	0.851036	0.240882	1.16979	0.748341	1.31826	0.695123	0.397881	1.86979	1.11285	2.29438	0.859857	1.38863	1.08445	0.41092
1.10226	2.59903	1.10021	2.59687	0.59798	1.60746	0.851305	0.260081	1.17086	0.734667	1.31928	0.718664	0.400564	1.84764	1.10956	2.26452	0.861341	1.37945	1.08506	0.433042
1.09852	2.59508	1.09646	2.59286	0.600289	1.59146	0.851646	0.28288	1.17191	0.720796	1.32034	0.742309	0.403215	1.82503	1.10632	2.23329	0.863069	1.36838	1.0857	0.455533
1.09477	2.591	1.09272	2.58872	0.602574	1.57504	0.852074	0.309541	1.17294	0.706822	1.32143	0.766016	0.405832	1.80204	1.10311	2.20078	0.865035	1.35538	1.08638	0.478395
1.09104	2.58677	1.08899	2.5844	0.604835	1.55825	0.85254	0.336604	1.17395	0.692791	1.32255	0.789771	0.408417	1.77872	1.09996	2.16725	0.866982	1.34203	1.08709	0.50156
