Sym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
395  Points		394  Points		374  Points		355  Points		227  Points		396  Points		379  Points		289  Points		231  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.24703	2.58719	1.24441	2.58496	0.528171	1.91646	0.864925	0.0247666	1.24089	0.203464	0.290125	2.18232	1.25121	2.28852	0.861954	1.15139	1.08649	0.17257
1.24329	2.58394	1.24068	2.58167	0.529515	1.91703	0.864965	0.0311385	1.24118	0.201446	0.293286	2.19711	1.24793	2.26341	0.863624	1.16248	1.08675	0.180766
1.23957	2.58067	1.23696	2.5783	0.530503	1.91743	0.865015	0.0379496	1.24147	0.199242	0.296467	2.21059	1.24468	2.23766	0.86531	1.1728	1.08702	0.189248
1.23584	2.57727	1.23324	2.57486	0.531135	1.91774	0.865075	0.0451264	1.24175	0.19681	0.299667	2.22279	1.24147	2.21142	0.86701	1.18238	1.0873	0.198008
1.23213	2.57377	1.22953	2.57127	0.532045	1.918	0.865145	0.0526686	1.24203	0.194217	0.302884	2.23368	1.23829	2.18479	0.868723	1.19129	1.08759	0.207105
1.22841	2.57021	1.22582	2.56761	0.533034	1.91812	0.865227	0.0605752	1.24231	0.191522	0.306116	2.24345	1.23516	2.15797	0.870449	1.19944	1.08789	0.216511
1.22471	2.56653	1.22211	2.56388	0.534379	1.91838	0.86532	0.0689176	1.24259	0.188694	0.30936	2.25207	1.23206	2.13122	0.872185	1.20687	1.08821	0.226241
1.22101	2.56276	1.21842	2.56008	0.53608	1.91857	0.865426	0.0776924	1.24286	0.185749	0.312617	2.25957	1.22901	2.10467	0.873933	1.21368	1.08855	0.236252
1.21731	2.55888	1.21472	2.55614	0.538137	1.91859	0.865544	0.0868192	1.24312	0.182715	0.315883	2.26606	1.22599	2.07837	0.875689	1.21976	1.0889	0.246607
1.21362	2.55494	1.21104	2.55208	0.54055	1.91835	0.865676	0.0963569	1.24339	0.179577	0.319158	2.27154	1.22301	2.05257	0.877454	1.22518	1.08926	0.257282
1.20993	2.55085	1.20736	2.5479	0.543319	1.91768	0.865823	0.10635	1.24364	0.17645	0.322441	2.27604	1.22006	2.02743	0.879226	1.22994	1.08964	0.268305
1.20626	2.54664	1.20368	2.54365	0.546086	1.91669	0.865983	0.116742	1.24389	0.173273	0.325729	2.27954	1.21715	2.00293	0.881004	1.23405	1.09003	0.279658
1.20258	2.54239	1.20001	2.53933	0.548852	1.91528	0.86616	0.127565	1.24414	0.170068	0.329021	2.28216	1.21428	1.97919	0.882788	1.2375	1.09045	0.291377
