Sym0		Asym0		Sym1		Asym1		Asym2	
337  Points		334  Points		218  Points		288  Points		288  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.354995	6.84867	0.206285	4.04968	0.557812	10.726	0.553132	10.6701	0.552599	10.6854
0.356549	6.79808	0.207992	4.0594	0.562303	10.6861	0.555757	10.5952	0.555229	10.6102
0.358076	6.74815	0.210151	4.07156	0.566847	10.6482	0.558357	10.5215	0.557834	10.5363
0.35958	6.69893	0.212765	4.08608	0.571439	10.612	0.560934	10.4491	0.560085	10.4729
0.361063	6.65044	0.215835	4.10284	0.576077	10.5774	0.563158	10.387	0.561989	10.4196
0.362528	6.60272	0.219361	4.12174	0.580757	10.5444	0.565039	10.3347	0.563552	10.376
0.363979	6.55579	0.222891	4.14028	0.585476	10.5128	0.566584	10.2919	0.564782	10.3418
0.365418	6.50968	0.226425	4.15846	0.590232	10.4826	0.567799	10.2583	0.565682	10.3168
0.366664	6.47017	0.229962	4.1763	0.594404	10.4573	0.568688	10.2338	0.566257	10.3009
0.367721	6.43699	0.233502	4.19381	0.597979	10.4364	0.569255	10.2182	0.56708	10.2782
0.368593	6.40991	0.237046	4.21099	0.600948	10.4196	0.570068	10.1959	0.567972	10.2536
0.369282	6.38873	0.240592	4.22784	0.603303	10.4065	0.570949	10.1717	0.56918	10.2203
0.369788	6.37329	0.244141	4.24438	0.605038	10.3971	0.572141	10.1391	0.570698	10.1786
0.370111	6.36346	0.247692	4.26061	0.606151	10.3912	0.57364	10.0981	0.572521	10.1287
0.370576	6.34942	0.251245	4.27654	0.607752	10.3827	0.575439	10.049	0.574641	10.0708
0.371081	6.33426	0.2548	4.29218	0.609496	10.3736	0.577531	9.99214	0.577048	10.0053
0.371767	6.31381	0.258357	4.30752	0.611872	10.3614	0.579906	9.92772	0.579429	9.94065
0.372635	6.28826	0.261916	4.32257	0.614885	10.3463	0.582254	9.86417	0.581782	9.87693
0.373686	6.25779	0.265476	4.33735	0.61854	10.3285	0.584575	9.80148	0.584109	9.81407
0.37492	6.22267	0.269037	4.35186	0.62284	10.3082	0.586869	9.73962	0.586408	9.75204
0.376339	6.18318	0.2726	4.3661	0.627792	10.2855	0.589136	9.67856	0.58868	9.69082
0.377764	6.14457	0.276163	4.38007	0.63276	10.2636	0.591376	9.61828	0.590925	9.63039
0.379195	6.10683	0.279727	4.39379	0.637742	10.2424	0.593588	9.55876	0.593144	9.57072
0.380634	6.06995	0.283292	4.40726	0.642736	10.2217	0.595774	9.49998	0.595335	9.51179
0.382082	6.03393	0.286858	4.42048	0.64774	10.2016	0.597934	9.44192	0.5975	9.45359
0.383541	5.99876	0.290424	4.43345	0.652752	10.1821	0.600067	9.38457	0.599638	9.39609
0.38501	5.96443	0.293989	4.44619	0.657772	10.163	0.602174	9.3279	0.601751	9.33929
0.386491	5.93093	0.297556	4.4587	0.662797	10.1443	0.604256	9.27191	0.603837	9.28316
0.387985	5.89825	0.301122	4.47098	0.667825	10.1261	0.606312	9.21657	0.605899	9.22769
0.389493	5.86639	0.304687	4.48303	0.672856	10.1082	0.608343	9.16189	0.607935	9.17288
0.391015	5.83532	0.308253	4.49486	0.677887	10.0906	0.61035	9.10784	0.609946	9.1187
0.392553	5.80504	0.311818	4.50648	0.682916	10.0734	0.612332	9.05442	0.611934	9.06516
0.394106	5.77554	0.315383	4.51788	0.687943	10.0564	0.614291	9.00162	0.613897	9.01223
0.395675	5.7468	0.318947	4.52908	0.692966	10.0397	0.616227	8.94942	0.615838	8.95992
0.397261	5.7188	0.32251	4.54007	0.697984	10.0232	0.618141	8.89783	0.617756	8.9082
0.398864	5.69155	0.326073	4.55086	0.702994	10.0068	0.620033	8.84683	0.619653	8.85708
0.400485	5.66501	0.329634	4.56146	0.707995	9.99065	0.621904	8.79641	0.621528	8.80655
0.402124	5.63919	0.333194	4.57186	0.712987	9.97461	0.623754	8.74658	0.623382	8.7566
0.403781	5.61406	0.336753	4.58207	0.717967	9.95869	0.625584	8.69732	0.625216	8.70722
0.405456	5.58961	0.340311	4.59209	0.722933	9.94285	0.627395	8.64863	0.627031	8.65842
0.40715	5.56582	0.343868	4.60193	0.727885	9.92708	0.629188	8.60051	0.628827	8.61018
0.408863	5.54269	0.347423	4.6116	0.732821	9.91136	0.630962	8.55294	0.630605	8.5625
0.410595	5.5202	0.350976	4.62108	0.737739	9.89565	0.63272	8.50593	0.632366	8.51538
0.412347	5.49834	0.354528	4.63039	0.742638	9.87994	0.634461	8.45948	0.634111	8.46881
0.414118	5.47709	0.358078	4.63953	0.747516	9.86422	0.636187	8.41357	0.63584	8.4228
0.415909	5.45644	0.361626	4.6485	0.752371	9.84845	0.637898	8.36821	0.637554	8.37733
0.417719	5.43637	0.365172	4.6573	0.757202	9.83261	0.639595	8.32339	0.639254	8.3324
0.419549	5.41687	0.368716	4.66594	0.762007	9.8167	0.641279	8.27911	0.64094	8.28801
0.421398	5.39794	0.372258	4.67442	0.766785	9.80068	0.64295	8.23537	0.642614	8.24416
0.423267	5.37954	0.375797	4.68275	0.771534	9.78455	0.64461	8.19217	0.644275	8.20085
0.425156	5.36169	0.379335	4.69092	0.776251	9.76827	0.646258	8.14949	0.645926	8.15806
0.427065	5.34435	0.38287	4.69893	0.780936	9.75184	0.647897	8.10734	0.647567	8.11581
0.428993	5.32752	0.386402	4.7068	0.785587	9.73522	0.649526	8.06572	0.649197	8.07408
0.430941	5.31119	0.389932	4.71452	0.790201	9.71842	0.651146	8.02462	0.650819	8.03288
0.432908	5.29534	0.39346	4.72209	0.794777	9.7014	0.652758	7.98405	0.652433	7.9922
0.434894	5.27996	0.396984	4.72952	0.799313	9.68414	0.654364	7.94399	0.65404	7.95204
0.4369	5.26505	0.400506	4.73681	0.803807	9.66665	0.655963	7.90445	0.65564	7.91239
0.438925	5.25058	0.404025	4.74396	0.808258	9.64888	0.657556	7.86543	0.657235	7.87326
0.44097	5.23655	0.407541	4.75098	0.812663	9.63084	0.659145	7.82691	0.658824	7.83465
0.443033	5.22295	0.411054	4.75785	0.817022	9.61251	0.660729	7.7889	0.660409	7.79654
0.445115	5.20976	0.414564	4.7646	0.821331	9.59387	0.66231	7.7514	0.661991	7.75894
0.447216	5.19698	0.418071	4.77122	0.825589	9.5749	0.663888	7.71441	0.66357	7.72184
0.449335	5.1846	0.421574	4.7777	0.829795	9.5556	0.665464	7.67791	0.665146	7.68524
0.451473	5.1726	0.425075	4.78406	0.833947	9.53595	0.667039	7.64191	0.666721	7.64914
0.453629	5.16097	0.428571	4.79029	0.838044	9.51594	0.668612	7.60641	0.668295	7.61354
0.455803	5.14971	0.432065	4.7964	0.842083	9.49556	0.670186	7.57139	0.669868	7.57842
0.457995	5.13881	0.435554	4.80239	0.846063	9.4748	0.671761	7.53687	0.671443	7.5438
0.460204	5.12825	0.43904	4.80826	0.849983	9.45366	0.673336	7.50283	0.673018	7.50967
0.462431	5.11803	0.442523	4.81401	0.853841	9.43213	0.674913	7.46928	0.674595	7.47601
0.464676	5.10814	0.446001	4.81964	0.857637	9.4102	0.676493	7.4362	0.676174	7.44284
0.466937	5.09857	0.449476	4.82516	0.86137	9.38788	0.678076	7.4036	0.677756	7.41014
0.469216	5.08931	0.452947	4.83056	0.865038	9.36515	0.679662	7.37147	0.679341	7.37792
0.471511	5.08035	0.456414	4.83585	0.868641	9.34202	0.681252	7.33982	0.680931	7.34617
0.473823	5.07169	0.459877	4.84103	0.872178	9.3185	0.682847	7.30862	0.682524	7.31488
0.476151	5.06331	0.463336	4.8461	0.875649	9.29457	0.684447	7.27789	0.684123	7.28406
0.478495	5.05522	0.46679	4.85106	0.879054	9.27026	0.686053	7.24762	0.685728	7.2537
0.480855	5.04739	0.470241	4.85592	0.882391	9.24556	0.687664	7.21781	0.687338	7.22379
0.483231	5.03983	0.473687	4.86066	0.885663	9.22048	0.689283	7.18844	0.688956	7.19434
0.485623	5.03253	0.477128	4.86531	0.888867	9.19504	0.690909	7.15953	0.69058	7.16533
0.48803	5.02548	0.480565	4.86985	0.892006	9.16923	0.692542	7.13105	0.692211	7.13677
0.490452	5.01867	0.483998	4.87429	0.895079	9.14309	0.694183	7.10302	0.693851	7.10864
0.492888	5.01209	0.487426	4.87863	0.898087	9.1166	0.695833	7.07542	0.695499	7.08096
0.49534	5.00575	0.490849	4.88287	0.901032	9.08981	0.697491	7.04826	0.697156	7.05371
0.497806	4.99963	0.494268	4.88701	0.903913	9.0627	0.699159	7.02152	0.698822	7.02689
0.500286	4.99373	0.497682	4.89106	0.906732	9.03532	0.700837	6.99521	0.700497	7.00049
0.50278	4.98804	0.501091	4.89501	0.90949	9.00766	0.702524	6.96932	0.702183	6.97452
0.505288	4.98255	0.504495	4.89886	0.912189	8.97975	0.704222	6.94385	0.703879	6.94896
0.50781	4.97727	0.507894	4.90262	0.91483	8.95161	0.705931	6.91878	0.705585	6.92381
0.510345	4.97218	0.511288	4.90629	0.917414	8.92325	0.707651	6.89413	0.707303	6.89908
0.512894	4.96728	0.514677	4.90986	0.919942	8.8947	0.709382	6.86988	0.709032	6.87475
0.515455	4.96256	0.518061	4.91335	0.922417	8.86597	0.711125	6.84603	0.710773	6.85082
0.518029	4.95801	0.52144	4.91674	0.924841	8.83708	0.712881	6.82258	0.712525	6.82728
0.520616	4.95365	0.524813	4.92005	0.927214	8.80805	0.714648	6.79952	0.71429	6.80414
0.523215	4.94945	0.528181	4.92327	0.929538	8.7789	0.716429	6.77684	0.716068	6.78139
0.525827	4.94541	0.531543	4.9264	0.931816	8.74964	0.718222	6.75455	0.717859	6.75902
0.52845	4.94153	0.534901	4.92945	0.934049	8.7203	0.720028	6.73264	0.719662	6.73704
0.531086	4.93781	0.538252	4.93241	0.936238	8.6909	0.721848	6.71111	0.721479	6.71543
0.533732	4.93423	0.541598	4.93529	0.938386	8.66144	0.723681	6.68994	0.72331	6.69419
