Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.293309	5.74837	0.120674	4.78157	0.466962	3.04669	0.718478	4.63784	0.438377	5.49022	0.437538	5.48779	0.847241	-0.580841
0.29704	5.57702	0.123829	4.79607	0.469038	3.25816	0.721542	4.6647	0.441997	5.49921	0.441157	5.49734	0.84688	-0.515816
0.300657	5.40359	0.126993	4.80963	0.471255	3.47208	0.724624	4.69047	0.445623	5.506	0.444781	5.50462	0.846561	-0.449881
0.30416	5.22887	0.130166	4.82247	0.473613	3.68758	0.727722	4.71518	0.449252	5.51067	0.44841	5.50976	0.846287	-0.383058
0.307547	5.05375	0.133348	4.83437	0.476114	3.90375	0.730837	4.73891	0.452884	5.51317	0.452041	5.51279	0.846057	-0.315291
0.310819	4.87918	0.136126	4.84414	0.478757	4.11971	0.733967	4.76161	0.456516	5.51362	0.455673	5.51367	0.845871	-0.246566
0.313976	4.70603	0.138499	4.85205	0.481542	4.33432	0.737111	4.78329	0.460149	5.51203	0.459306	5.51252	0.845732	-0.17696
0.317019	4.5353	0.140463	4.85824	0.484468	4.54664	0.740269	4.80408	0.463779	5.50834	0.462937	5.50941	0.845638	-0.106422
0.319952	4.36785	0.142019	4.86304	0.487533	4.75584	0.743441	4.82401	0.467406	5.50272	0.466565	5.50421	0.845591	-0.034932
0.322775	4.20448	0.143163	4.86636	0.490734	4.96097	0.746625	4.84304	0.471029	5.4951	0.470189	5.49704	0.845592	0.0375292
0.325491	4.04606	0.143896	4.86838	0.494069	5.16116	0.749822	4.86122	0.474647	5.48555	0.473808	5.48796	0.845641	0.110981
0.328106	3.89318	0.144951	4.87142	0.497535	5.35572	0.75303	4.87862	0.478257	5.47402	0.47742	5.47686	0.845738	0.18538
0.330621	3.74641	0.146097	4.87465	0.501126	5.54412	0.75625	4.89519	0.481859	5.4606	0.481024	5.46387	0.845885	0.260739
0.333042	3.60639	0.147658	4.8787	0.50484	5.72566	0.75948	4.91092	0.485452	5.44535	0.484619	5.44908	0.846082	0.337085
0.335373	3.47344	0.149633	4.88376	0.50867	5.89992	0.762721	4.92593	0.489034	5.42821	0.488204	5.43235	0.846329	0.414372
0.337619	3.34777	0.152025	4.8896	0.512613	6.06665	0.765971	4.94029	0.492605	5.40927	0.491777	5.41379	0.846628	0.492608
0.339784	3.22964	0.154834	4.89595	0.516664	6.22559	0.76923	4.95391	0.496162	5.38848	0.495337	5.39346	0.846978	0.571808
0.341874	3.11912	0.158061	4.90275	0.520816	6.3766	0.772498	4.96684	0.499705	5.36595	0.498884	5.37135	0.847381	0.651902
0.343894	3.01628	0.161294	4.90905	0.525066	6.51962	0.775775	4.97914	0.503232	5.34172	0.502415	5.34752	0.847837	0.732956
0.345848	2.92101	0.16453	4.9149	0.529407	6.65463	0.779059	4.9908	0.506743	5.31574	0.50593	5.32192	0.848347	0.814995
0.347743	2.83321	0.16777	4.92031	0.533834	6.78172	0.782351	5.00188	0.510236	5.28812	0.509427	5.29466	0.848911	0.897867
0.349582	2.75271	0.171013	4.92519	0.538342	6.90105	0.785649	5.01245	0.513265	5.26275	0.51246	5.26963	0.84953	0.981574
0.35137	2.67924	0.174259	4.92964	0.542927	7.01281	0.788955	5.02239	0.515835	5.24015	0.515033	5.24734	0.850204	1.06623
0.353112	2.61256	0.177508	4.93374	0.547583	7.11721	0.792267	5.03182	0.517952	5.22076	0.517153	5.22825	0.850935	1.15164
0.354812	2.55244	0.18076	4.93744	0.552305	7.21445	0.795585	5.04083	0.51962	5.20498	0.518824	5.21255	0.851722	1.23784
0.356475	2.49859	0.184014	4.9408	0.557088	7.30475	0.798909	5.04933	0.520843	5.19332	0.520049	5.20096	0.852566	1.32488
0.358104	2.45056	0.18727	4.94377	0.561929	7.38848	0.802238	5.05742	0.521625	5.18571	0.520831	5.19349	0.853468	1.41258
0.359704	2.40816	0.190528	4.94645	0.566824	7.46584	0.805573	5.06511	0.522746	5.17449	0.521954	5.18233	0.854427	1.50096
0.361277	2.37109	0.193787	4.94882	0.571767	7.53707	0.808912	5.07242	0.523962	5.16213	0.523172	5.1701	0.855445	1.59001
0.362828	2.33891	0.197048	4.95089	0.576755	7.60268	0.812256	5.07946	0.525611	5.14503	0.524824	5.15325	0.856522	1.67964
0.364359	2.31143	0.200311	4.95265	0.581135	7.65537	0.815605	5.08619	0.527689	5.12294	0.526905	5.13137	0.857658	1.76982
0.365874	2.28837	0.203574	4.95415	0.584892	7.69707	0.818958	5.0926	0.53019	5.09551	0.52941	5.10415	0.858854	1.86048
0.367374	2.26929	0.206838	4.95547	0.588014	7.7295	0.822315	5.0988	0.533106	5.06241	0.532331	5.07131	0.86011	1.95158
0.368864	2.25401	0.210104	4.95649	0.590491	7.75365	0.825676	5.10489	0.536428	5.0231	0.535659	5.03236	0.861426	2.04295
0.370344	2.2423	0.213369	4.95731	0.592318	7.77056	0.829041	5.11084	0.539724	4.98257	0.538962	4.99207	0.862802	2.13463
0.371818	2.2338	0.216635	4.95793	0.593489	7.78117	0.83241	5.11663	0.542993	4.94081	0.542237	4.95059	0.864238	2.22664
0.373287	2.2284	0.219902	4.95829	0.595175	7.796	0.835783	5.12241	0.546234	4.89787	0.545485	4.90794	0.865735	2.31868
0.374754	2.22579	0.223169	4.95847	0.597011	7.81135	0.839159	5.12817	0.549447	4.85377	0.548704	4.86408	0.867293	2.41079
0.37622	2.22574	0.226435	4.95851	0.599514	7.83126	0.84254	5.13399	0.55263	4.80862	0.551894	4.81921	0.868912	2.50292
0.377687	2.22813	0.229702	4.95837	0.602688	7.85498	0.845924	5.13994	0.555783	4.76258	0.555054	4.77337	0.870591	2.59499
0.379156	2.2327	0.232968	4.95805	0.606539	7.88148	0.849312	5.14604	0.558905	4.71559	0.558183	4.72652	0.872331	2.68685
0.380439	2.23829	0.236235	4.95757	0.611072	7.9096	0.852705	5.15234	0.561996	4.6677	0.561281	4.67891	0.874131	2.77838
0.381536	2.24407	0.239501	4.95697	0.616293	7.93807	0.856101	5.15892	0.565055	4.61915	0.564348	4.63051	0.875992	2.86957
0.382445	2.24981	0.242766	4.95621	0.621531	7.96272	0.859502	5.16588	0.568082	4.56991	0.567383	4.58134	0.877912	2.96038
0.383166	2.25475	0.246031	4.95531	0.626785	7.98354	0.862908	5.17317	0.571076	4.52002	0.570384	4.53164	0.879893	3.05064
0.383697	2.25853	0.249295	4.95434	0.632051	8.00073	0.866318	5.1809	0.574038	4.4697	0.573354	4.48146	0.881932	3.14021
0.384037	2.26113	0.252559	4.95318	0.637327	8.0144	0.869734	5.18923	0.576966	4.41895	0.576289	4.43079	0.88403	3.22914
0.384527	2.26488	0.255822	4.95193	0.642611	8.02455	0.873156	5.19811	0.57986	4.36789	0.579192	4.37972	0.886187	3.3172
0.38506	2.26924	0.259084	4.95063	0.6479	8.03144	0.876583	5.20769	0.582721	4.31652	0.58206	4.32844	0.888401	3.40434
0.385787	2.27569	0.262345	4.94915	0.653193	8.03514	0.880017	5.21804	0.585548	4.26504	0.584895	4.27701	0.890672	3.49058
0.38671	2.28406	0.265605	4.94758	0.658487	8.03565	0.883459	5.22922	0.588341	4.21351	0.587696	4.22545	0.893	3.57573
0.38783	2.29479	0.268864	4.94602	0.663781	8.03305	0.886908	5.24132	0.5911	4.1619	0.590462	4.17388	0.895384	3.65965
0.389152	2.30828	0.272122	4.94431	0.669072	8.0274	0.890365	5.25433	0.593824	4.11051	0.593195	4.12246	0.897822	3.74235
0.390678	2.32474	0.275378	4.94247	0.674358	8.01878	0.893831	5.26844	0.596516	4.05929	0.595894	4.07116	0.900315	3.82374
0.392215	2.34218	0.278634	4.94062	0.679637	8.00727	0.897307	5.28372	0.599173	4.00835	0.598559	4.02014	0.902861	3.90376
