Sym0		Asym0		Sym1		Asym1		Asym2	
340  Points		338  Points		219  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.36722	2.31243	0.224192	5.65438	0.592623	7.79363	0.563523	4.19413	0.5615	4.22661
0.368456	2.30378	0.227667	5.65908	0.596188	7.83095	0.564368	4.18045	0.562425	4.21183
0.369506	2.29841	0.231145	5.66337	0.599149	7.86012	0.565284	4.16535	0.563679	4.19148
0.370372	2.29539	0.234626	5.6674	0.601498	7.88197	0.566524	4.14477	0.565256	4.16576
0.371057	2.29376	0.238109	5.67109	0.603229	7.89753	0.568083	4.1187	0.56715	4.13437
0.37156	2.29317	0.241594	5.67443	0.604339	7.9072	0.569955	4.08685	0.569354	4.09713
0.371882	2.29292	0.245081	5.67754	0.605936	7.92062	0.572133	4.04919	0.571857	4.05397
0.372345	2.29278	0.248569	5.68027	0.607676	7.9348	0.574607	4.0056	0.574335	4.01045
0.372848	2.29314	0.25206	5.68274	0.610046	7.95316	0.577055	3.96176	0.576785	3.96664
0.373532	2.29417	0.255552	5.68503	0.613052	7.9753	0.579475	3.91768	0.579208	3.92263
0.374398	2.29637	0.259045	5.68696	0.616697	8.00034	0.581868	3.87348	0.581605	3.87841
0.375447	2.30019	0.262539	5.68864	0.620988	8.02719	0.584234	3.82916	0.583974	3.83403
0.37668	2.30651	0.266034	5.69009	0.625928	8.0549	0.586573	3.78485	0.586315	3.78973
0.378099	2.31569	0.269531	5.69126	0.630885	8.07947	0.588885	3.74058	0.58863	3.74548
0.379525	2.32694	0.273027	5.69224	0.635856	8.10092	0.591169	3.69646	0.590917	3.7013
0.380959	2.34017	0.276524	5.693	0.640838	8.11936	0.593427	3.65251	0.593178	3.65739
0.382401	2.35518	0.280022	5.69355	0.645832	8.13486	0.595657	3.60888	0.595411	3.61377
0.383852	2.3719	0.28352	5.69388	0.650834	8.1475	0.597861	3.56568	0.597618	3.57042
0.385315	2.39009	0.287018	5.69393	0.655842	8.15737	0.600038	3.52281	0.599798	3.52752
