Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.334408	7.44802	0.158833	3.59683	0.506641	11.3625	0.496967	11.1343	0.496202	11.1539	0.861334	19.3836
0.336634	7.39175	0.16001	3.60472	0.510379	11.2836	0.500307	11.05	0.499545	11.0691	0.861532	19.1116
0.338781	7.33534	0.160763	3.60974	0.514224	11.2093	0.503634	10.9677	0.502874	10.9863	0.861781	18.8483
0.340855	7.2789	0.161846	3.6169	0.518172	11.1392	0.506946	10.8874	0.50619	10.9056	0.862081	18.5934
0.342858	7.22253	0.163024	3.62463	0.522219	11.0732	0.510243	10.809	0.509491	10.8267	0.862432	18.3465
0.344798	7.16633	0.164627	3.63503	0.526359	11.0109	0.513524	10.7323	0.512775	10.7497	0.862835	18.1075
0.346678	7.11038	0.166656	3.64803	0.530588	10.952	0.516787	10.6573	0.516042	10.6743	0.86329	17.8758
0.348502	7.05478	0.169113	3.6635	0.5349	10.8964	0.520032	10.5839	0.519292	10.6005	0.863798	17.6513
0.350277	6.99959	0.171998	3.68132	0.539292	10.8439	0.523258	10.512	0.522522	10.5283	0.86436	17.4338
0.352005	6.9449	0.175313	3.70134	0.543758	10.7941	0.526463	10.4415	0.525732	10.4575	0.864976	17.2229
0.353691	6.89076	0.178632	3.72091	0.548293	10.747	0.529239	10.3812	0.528512	10.3969	0.865646	17.0183
0.355339	6.83723	0.181956	3.74005	0.552894	10.7023	0.531592	10.3306	0.530869	10.3461	0.866372	16.82
0.356954	6.78437	0.185282	3.75876	0.557556	10.6599	0.533529	10.2892	0.532809	10.3046	0.867153	16.6276
0.358539	6.73223	0.188613	3.77705	0.562274	10.6196	0.535054	10.2569	0.534337	10.2721	0.86799	16.441
0.360097	6.68083	0.191946	3.79494	0.567045	10.5812	0.536172	10.2333	0.535457	10.2484	0.868884	16.2599
0.361632	6.63022	0.195282	3.81244	0.571865	10.5446	0.536886	10.2182	0.536172	10.2333	0.869835	16.0842
0.363147	6.58044	0.198621	3.82955	0.57673	10.5097	0.53791	10.1967	0.537197	10.2117	0.870843	15.9136
0.364645	6.53149	0.201962	3.84629	0.581637	10.4764	0.53902	10.1735	0.538309	10.1883	0.871908	15.7481
0.366129	6.48341	0.205305	3.86267	0.585945	10.4486	0.540524	10.1421	0.539817	10.1568	0.873032	15.5874
0.367602	6.43621	0.20865	3.87869	0.589638	10.4256	0.542419	10.1028	0.541715	10.1174	0.874213	15.4313
0.369065	6.3899	0.211997	3.89436	0.592706	10.4072	0.544697	10.0558	0.543997	10.0702	0.875453	15.2798
0.370522	6.34449	0.215346	3.90969	0.59514	10.3929	0.547351	10.0013	0.546657	10.0155	0.876751	15.1327
0.371974	6.3	0.218695	3.9247	0.596934	10.3826	0.550373	9.93976	0.549684	9.95375	0.878108	14.9897
0.373423	6.25642	0.222046	3.93938	0.598085	10.3761	0.553367	9.87913	0.552685	9.89291	0.879523	14.8509
0.374871	6.21375	0.225398	3.95376	0.599741	10.3669	0.556333	9.81938	0.555658	9.83296	0.880997	14.716
0.376134	6.17731	0.228751	3.96782	0.601544	10.3569	0.559272	9.76048	0.558602	9.77387	0.88253	14.585
0.377212	6.1468	0.232105	3.98159	0.604002	10.3436	0.562181	9.70239	0.561519	9.7156	0.884121	14.4577
0.378105	6.12195	0.235459	3.99506	0.60712	10.3272	0.565062	9.64508	0.564406	9.65812	0.88577	14.3339
0.378812	6.10254	0.238814	4.00826	0.610901	10.3078	0.567912	9.58851	0.567263	9.60138	0.887478	14.2137
0.379332	6.0884	0.242169	4.02117	0.615352	10.2856	0.570733	9.53266	0.570091	9.54537	0.889244	14.0968
0.379665	6.07941	0.245524	4.03382	0.620477	10.261	0.573523	9.47749	0.572888	9.49005	0.891067	13.9832
0.380145	6.06658	0.248879	4.0462	0.62562	10.2372	0.576283	9.42299	0.575655	9.43539	0.892947	13.8728
0.380668	6.05273	0.252234	4.05833	0.630777	10.2141	0.579012	9.36911	0.578391	9.38137	0.894885	13.7654
0.381379	6.03409	0.255589	4.0702	0.635946	10.1917	0.58171	9.31586	0.581096	9.32798	0.896879	13.6609
0.382282	6.01081	0.258943	4.08183	0.641125	10.17	0.584377	9.26319	0.58377	9.27518	0.898929	13.5594
0.383377	5.9831	0.262297	4.09322	0.646312	10.1487	0.587013	9.2111	0.586413	9.22296	0.901034	13.4606
0.384668	5.95121	0.265651	4.10438	0.651506	10.128	0.589618	9.15957	0.589025	9.1713	0.903194	13.3645
0.386159	5.91543	0.269004	4.1153	0.656703	10.1078	0.592192	9.10857	0.591606	9.12018	0.905408	13.271
0.387659	5.8805	0.272357	4.12601	0.661903	10.088	0.594734	9.05811	0.594156	9.0696	0.907675	13.18
0.389171	5.84641	0.275708	4.13649	0.667102	10.0686	0.597246	9.00815	0.596675	9.01953	0.909995	13.0915
0.390694	5.81315	0.279059	4.14677	0.672301	10.0495	0.599727	8.9587	0.599163	8.96996	0.912366	13.0053
0.39223	5.7807	0.282409	4.15683	0.677495	10.0308	0.602178	8.90974	0.601621	8.92089	0.914789	12.9214
0.393779	5.74905	0.285758	4.16669	0.682685	10.0123	0.604599	8.86127	0.604048	8.87231	0.917262	12.8397
0.395341	5.71819	0.289106	4.17636	0.687867	9.99409	0.60699	8.81326	0.606446	8.82419	0.919783	12.7602
0.396918	5.6881	0.292453	4.18583	0.693041	9.97606	0.609352	8.76572	0.608814	8.77655	0.922353	12.6827
0.39851	5.65878	0.295798	4.19511	0.698204	9.95822	0.611684	8.71864	0.611154	8.72936	0.924969	12.6073
0.400116	5.63019	0.299142	4.2042	0.703354	9.94053	0.613989	8.67201	0.613464	8.68263	0.927632	12.5337
0.401738	5.60233	0.302485	4.21312	0.708491	9.92296	0.616265	8.62584	0.615747	8.63635	0.93034	12.462
0.403376	5.57518	0.305827	4.22185	0.713612	9.90549	0.618514	8.5801	0.618002	8.59052	0.933091	12.3922
0.40503	5.54873	0.309167	4.23041	0.718715	9.88808	0.620736	8.5348	0.62023	8.54512	0.935885	12.324
0.4067	5.52296	0.312506	4.23881	0.723799	9.87071	0.622932	8.48995	0.622432	8.50016	0.93872	12.2576
0.408386	5.49786	0.315843	4.24703	0.728862	9.85337	0.625102	8.44552	0.624608	8.45564	0.941596	12.1928
0.41009	5.47342	0.319178	4.2551	0.733902	9.83601	0.627247	8.40153	0.626759	8.41155	0.944511	12.1296
0.41181	5.44961	0.322512	4.26301	0.738917	9.81862	0.629369	8.35797	0.628886	8.36789	0.947464	12.0678
0.413546	5.42643	0.325844	4.27076	0.743906	9.80118	0.631467	8.31483	0.630989	8.32466	0.950453	12.0076
0.4153	5.40385	0.329175	4.27836	0.748867	9.78366	0.633542	8.27213	0.633069	8.28185	0.953477	11.9487
