Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		473  Points		209  Points		390  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.363309	3.91054	0.189581	2.11439	0.358515	4.03514	0.812951	8.67583	0.616044	6.92002
0.363995	3.89395	0.191664	2.11564	0.359605	4.00541	0.816526	8.63913	0.617652	6.86622
0.36454	3.88098	0.193748	2.11687	0.360701	3.97635	0.819512	8.60769	0.619224	6.81314
0.364941	3.87154	0.195831	2.11807	0.361804	3.94796	0.821939	8.58159	0.620763	6.76076
0.365199	3.86554	0.197914	2.11924	0.362914	3.92022	0.82383	8.5609	0.62227	6.7091
0.365569	3.85696	0.199997	2.12039	0.364031	3.8931	0.825207	8.54565	0.623748	6.65815
0.365973	3.84772	0.20208	2.12152	0.365154	3.86658	0.826081	8.53587	0.625197	6.6079
0.366523	3.83525	0.204163	2.12263	0.366284	3.84066	0.827328	8.52181	0.626621	6.55836
0.367222	3.81969	0.206246	2.12371	0.36742	3.8153	0.828673	8.5065	0.628019	6.50953
0.36807	3.80114	0.208329	2.12477	0.368564	3.7905	0.830481	8.48564	0.629395	6.46138
0.369069	3.77977	0.210411	2.12581	0.369714	3.76625	0.832736	8.45922	0.630748	6.41393
0.370222	3.75574	0.212494	2.12683	0.370871	3.74251	0.835416	8.4272	0.632081	6.36716
0.371382	3.73223	0.214577	2.12784	0.372035	3.71929	0.838496	8.38955	0.633395	6.32107
0.372549	3.70923	0.216659	2.12882	0.373205	3.69656	0.841947	8.34628	0.63469	6.27565
0.373722	3.68671	0.218742	2.12978	0.374382	3.67431	0.845312	8.30295	0.635969	6.23089
0.374902	3.66467	0.220824	2.13073	0.375566	3.65253	0.848593	8.25958	0.637231	6.18678
0.376089	3.64309	0.222906	2.13166	0.376757	3.6312	0.851792	8.21621	0.638479	6.14332
0.377283	3.62197	0.224989	2.13257	0.377954	3.61032	0.854912	8.17286	0.639712	6.1005
0.378483	3.60128	0.227071	2.13347	0.379158	3.58988	0.857956	8.12955	0.640933	6.05831
0.37969	3.58102	0.229153	2.13435	0.380369	3.56985	0.860926	8.08631	0.64214	6.01674
0.380903	3.56117	0.231235	2.13521	0.381586	3.55023	0.863824	8.04315	0.643337	5.97578
0.382123	3.54172	0.233317	2.13606	0.382809	3.531	0.866654	8.00009	0.644522	5.93543
0.38335	3.52267	0.235399	2.13689	0.38404	3.51217	0.869417	7.95716	0.645697	5.89566
0.384583	3.504	0.237481	2.13771	0.385277	3.49371	0.872115	7.91437	0.646863	5.85649
0.385823	3.48571	0.239563	2.13852	0.38652	3.47562	0.874752	7.87174	0.64802	5.81788
0.387069	3.46778	0.241645	2.13931	0.38777	3.45789	0.877328	7.82928	0.649168	5.77985
0.388321	3.4502	0.243727	2.14009	0.389026	3.44051	0.879846	7.78701	0.650309	5.74237
