Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		381  Points		386  Points		374  Points		366  Points		342  Points		132  Points		381  Points		379  Points		366  Points		173  Points		126  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.00953	2.51919	0.514729	6.53473	2.01062	2.51908	0.818964	10.4817	1.26455	15.9357	1.57543	19.8743	2.0199	25.1603	0.4802	7.19792	2.03847	2.60534	1.18256	14.9033	1.64893	20.4205	1.9962	24.9682
2.00417	2.51976	0.521096	6.42729	2.00526	2.51964	0.822015	10.3332	1.2626	15.4614	1.58033	19.3723	2.01801	24.4344	0.486916	7.05459	2.03343	2.60658	1.18748	14.5425	1.6468	19.8276	2.00056	24.3209
1.99883	2.52036	0.527349	6.32442	1.99991	2.52023	0.824413	10.2194	1.2608	15.0152	1.58518	18.8972	2.01617	23.7487	0.493598	6.92007	2.02835	2.60778	1.19236	14.2009	1.64477	19.2679	2.00489	23.7084
1.9935	2.52098	0.53347	6.22556	1.99458	2.52085	0.826167	10.1376	1.25917	14.5947	1.58998	18.447	2.01441	23.1001	0.500231	6.7933	2.02323	2.60894	1.19717	13.8769	1.64285	18.7389	2.00918	23.1281
1.9882	2.52163	0.539445	6.13022	1.98928	2.52149	0.827287	10.0861	1.25771	14.198	1.59472	18.0195	2.01273	22.4858	0.506799	6.67339	2.01807	2.61006	1.20193	13.5691	1.64105	18.2383	2.01342	22.5772
1.98291	2.5223	0.54526	6.03797	1.98398	2.52216	0.82889	10.0131	1.25642	13.8234	1.59939	17.6131	2.01112	21.9033	0.513286	6.55951	2.01288	2.61113	1.20661	13.2762	1.63937	17.7641	2.01761	22.0536
1.97764	2.523	0.550899	5.94843	1.97871	2.52286	0.830624	9.93512	1.25532	13.4694	1.604	17.2262	2.00961	21.3503	0.519678	6.45097	2.00764	2.61216	1.21123	12.997	1.63782	17.3144	2.02175	21.5552
1.97238	2.52373	0.55635	5.86125	1.97345	2.52358	0.83297	9.83138	1.25441	13.1344	1.60854	16.8572	2.00819	20.8247	0.525957	6.34712	2.00237	2.61314	1.21577	12.7305	1.6364	16.8875	2.02582	21.08
1.96715	2.52448	0.5616	5.77615	1.96821	2.52433	0.835912	9.70377	1.25369	12.8172	1.613	16.5048	2.00686	20.3246	0.532109	6.24741	1.99706	2.61408	1.22022	12.4757	1.63512	16.4818	2.02983	20.6265
1.96193	2.52527	0.566637	5.69286	1.96299	2.5251	0.839431	9.55451	1.25317	12.5166	1.61738	16.168	2.00565	19.8485	0.538119	6.15132	1.99171	2.61497	1.22459	12.2318	1.63398	16.0959	2.03377	20.1931
1.95673	2.52607	0.571453	5.61117	1.95779	2.52591	0.843501	9.38602	1.25285	12.2315	1.62169	15.8455	2.00454	19.3946	0.54397	6.05841	1.98632	2.61583	1.22887	11.998	1.63299	15.7286	2.03763	19.7783
1.95155	2.52691	0.576039	5.53089	1.9526	2.52674	0.848088	9.20083	1.25274	11.961	1.6259	15.5364	2.00355	18.9617	0.54965	5.9683	1.98089	2.61663	1.23305	11.7736	1.63215	15.3788	2.04141	19.3809
1.94638	2.52777	0.580391	5.45188	1.94743	2.5276	0.852578	9.02365	1.25284	11.7041	1.63003	15.2398	2.00268	18.5484	0.555144	5.88062	1.97544	2.6174	1.23714	11.558	1.63146	15.0452	2.04511	18.9998
1.94123	2.52866	0.584502	5.37403	1.94228	2.52848	0.856963	8.85384	1.25315	11.46	1.63406	14.9549	2.00193	18.1536	0.56044	5.79507	1.96994	2.61813	1.24112	11.3505	1.63094	14.727	2.04871	18.6339
1.9361	2.52958	0.588373	5.29724	1.93714	2.52939	0.861235	8.6908	1.25369	11.228	1.63799	14.6809	2.00132	17.7761	0.565526	5.71139	1.96442	2.61882	1.24499	11.1506	1.63057	14.4232	2.05222	18.2821
1.93098	2.53053	0.592003	5.22145	1.93203	2.53033	0.865388	8.534	1.25434	11.0351	1.64183	14.4171	2.00084	17.4149	0.570393	5.62936	1.95886	2.61947	1.24828	10.9823	1.63038	14.133	2.05563	17.9436
1.92589	2.5315	0.595396	5.14663	1.92692	2.5313	0.869415	8.38296	1.25502	10.8771	1.64556	14.1629	2.0005	17.0692	0.575031	5.54878	1.95328	2.62008	1.25101	10.8428	1.63036	13.8557	2.05894	17.6176
1.9208	2.5325	0.598556	5.07277	1.92184	2.53229	0.873309	8.23724	1.25568	10.7508	1.64918	13.9176	2.0003	16.738	0.579435	5.4695	1.94767	2.62067	1.25323	10.7302	1.63051	13.5905	2.06214	17.3034
1.91573	2.53352	0.60149	4.99986	1.91676	2.53331	0.877064	8.09645	1.25627	10.6535	1.65269	13.6809	2.00026	16.4205	0.583601	5.39139	1.94203	2.62122	1.25495	10.6428	1.63083	13.3367	2.06522	17.0001
1.91068	2.53457	0.604206	4.92792	1.91171	2.53436	0.880676	7.96024	1.25673	10.5835	1.65609	13.4521	2.00036	16.1161	0.587526	5.31437	1.93636	2.62174	1.25619	10.5794	1.63133	13.0937	2.0682	16.7073
