Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
401  Points		399  Points		402  Points		388  Points		378  Points		364  Points		355  Points		399  Points		396  Points		378  Points		362  Points		173  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.92444	2.43375	0.486416	3.9941	1.92578	2.43339	1.86917	2.4599	1.11373	8.95459	1.39539	11.2038	2.06816	3.02098	0.485837	4.40693	0.783396	7.01692	1.06877	8.70901	1.43001	11.5008	1.72725	14.0437	2.08573	17.0495
1.91981	2.435	0.486441	3.94835	1.92114	2.43464	1.86308	2.45935	1.11931	8.83554	1.39504	10.9972	2.06705	3.02956	0.486042	4.3184	0.791347	6.94461	1.0684	8.54535	1.43431	11.3253	1.72679	13.7814	2.08887	16.7591
1.9152	2.43629	0.48646	3.91291	1.91653	2.43591	1.85739	2.45933	1.12489	8.72077	1.39475	10.7985	2.06597	3.03826	0.486189	4.23293	0.7994	6.87605	1.0681	8.38815	1.43861	11.156	1.72639	13.529	2.092	16.4791
1.91062	2.43762	0.486474	3.88725	1.91195	2.43723	1.85245	2.46031	1.13046	8.60993	1.39455	10.6075	2.06493	3.04706	0.486293	4.15046	0.807534	6.81084	1.06789	8.23724	1.4429	10.9926	1.72605	13.2862	2.0951	16.209
1.90607	2.43899	0.486483	3.87101	1.90738	2.43859	1.84797	2.46191	1.136	8.5027	1.39445	10.4238	2.06392	3.05597	0.486365	4.0709	0.815729	6.74862	1.06779	8.09247	1.44717	10.8346	1.7258	13.0524	2.09818	15.9481
1.90154	2.4404	0.486496	3.8479	1.90285	2.43999	1.84366	2.46374	1.14149	8.39875	1.39446	10.2471	2.06294	3.065	0.486416	3.99419	0.823963	6.68905	1.06784	7.9537	1.45139	10.6817	1.72564	12.8274	2.10122	15.6959
1.89703	2.44184	0.486511	3.82311	1.89833	2.44142	1.83943	2.46569	1.14692	8.29779	1.3946	10.0773	2.062	3.07414	0.486456	3.92024	0.832215	6.63182	1.06801	7.8376	1.45556	10.5335	1.72559	12.6106	2.10421	15.4519
1.89255	2.44333	0.486535	3.78991	1.89384	2.44289	1.83524	2.4677	1.15226	8.19953	1.39489	9.91407	2.06109	3.08339	0.486495	3.84899	0.840461	6.5766	1.06827	7.74214	1.45966	10.3897	1.72564	12.4019	2.10715	15.2157
1.88808	2.44485	0.486569	3.74879	1.88937	2.4444	1.83108	2.46977	1.15749	8.10372	1.39535	9.75727	2.06022	3.09276	0.486542	3.78035	0.848677	6.52311	1.06858	7.66564	1.46369	10.25	1.72582	12.2009	2.11003	14.9868
1.88364	2.44641	0.486621	3.70033	1.88492	2.44595	1.82695	2.4719	1.1626	8.0101	1.39598	9.60671	2.05937	3.10224	0.486605	3.71425	0.856835	6.47105	1.06889	7.60669	1.46762	10.1142	1.72614	12.0073	2.11284	14.7647
